
[00:00:00.000 --> 00:00:01.080]   That's today's deep question.
[01:02:52.640 --> 01:02:54.480]   beyond the hyperactive hive mind.
[01:02:54.480 --> 01:02:56.480]   So the trap that is being illustrated here
[01:02:56.480 --> 01:02:58.200]   that I wanna just quickly highlight
[01:02:58.200 --> 01:03:00.120]   is controlling workload per project,
[01:03:00.120 --> 01:03:02.920]   but not the number of projects.
[01:03:02.920 --> 01:03:05.080]   So you have a philosophy, and this I think is common,
[01:03:05.080 --> 01:03:07.480]   especially in tech oriented remote first companies.
[01:03:07.480 --> 01:03:10.960]   You have a mantra of one thing at a time, it's scrum boards.
[01:03:10.960 --> 01:03:12.800]   Like this is your task.
[01:03:12.800 --> 01:03:14.640]   And when you're done, you can pull another one in.
[01:03:14.640 --> 01:03:16.640]   That's all great, but then they don't restrict
[01:03:16.640 --> 01:03:18.440]   how many different projects you're involved in.
[01:03:18.440 --> 01:03:19.880]   And it's up to you.
[01:03:19.880 --> 01:03:21.240]   And like, well, I could subscribe to this one.
[01:03:21.240 --> 01:03:22.160]   It's right here in the system.
[01:03:22.160 --> 01:03:24.000]   And this one, I could be involved in this one and that one.
[01:03:24.000 --> 01:03:25.840]   And no single project maybe has you doing
[01:03:25.840 --> 01:03:27.880]   more than one thing at a time, but you have seven projects.
[01:03:27.880 --> 01:03:29.200]   And it's the same as having one project
[01:03:29.200 --> 01:03:30.600]   giving you seven different things to do,
[01:03:30.600 --> 01:03:32.400]   and you end up burned out.
[01:03:32.400 --> 01:03:34.600]   And if there is no systematic way
[01:03:34.600 --> 01:03:36.360]   to control your overall workload,
[01:03:36.360 --> 01:03:38.600]   then you're just thrown into a situation where it says,
[01:03:38.600 --> 01:03:40.160]   hey, it's up to you, but you know,
[01:03:40.160 --> 01:03:41.320]   if you're doing more projects,
[01:03:41.320 --> 01:03:43.160]   we're gonna look at you a little bit more positively.
[01:03:43.160 --> 01:03:45.000]   And then what happens?
[01:03:45.000 --> 01:03:47.040]   The young ones with all their energy
[01:03:47.040 --> 01:03:49.880]   start to climb the ranks, and the rest of us,
[01:03:49.880 --> 01:03:52.680]   like Peter, who were exhausted by COVID
[01:03:52.680 --> 01:03:55.280]   and have kids at home, we fall behind.
[01:03:55.280 --> 01:03:57.320]   And then you begin to just create the split.
[01:03:57.320 --> 01:03:59.240]   And then all the young people,
[01:03:59.240 --> 01:04:01.400]   they get promoted much faster,
[01:04:01.400 --> 01:04:04.840]   and they start saying things like fire and cap and base,
[01:04:04.840 --> 01:04:06.440]   and they shift all of the operations
[01:04:06.440 --> 01:04:08.000]   to TikTok and everyone dies.
[01:04:08.000 --> 01:04:11.000]   That's not great.
[01:04:11.000 --> 01:04:12.600]   So you have, this is a common mistake
[01:04:12.600 --> 01:04:14.160]   where you feel like you're a smart remote work company,
[01:04:14.160 --> 01:04:15.000]   but you're not.
[01:04:15.000 --> 01:04:18.480]   You control workload for project, but not project workloads.
[01:04:18.480 --> 01:04:20.400]   The other issue, this was not in Peter's message,
[01:04:20.400 --> 01:04:22.800]   but I'll just mention it 'cause I've heard about it a lot,
[01:04:22.800 --> 01:04:25.320]   is you get too obsessive about the details.
[01:04:25.320 --> 01:04:26.880]   I think this plagued a lot of people
[01:04:26.880 --> 01:04:30.000]   who adopted agile methodologies like Scrum
[01:04:30.000 --> 01:04:32.120]   with their common task boards and standing meetings,
[01:04:32.120 --> 01:04:35.560]   is that because engineers like me are sometimes
[01:04:35.560 --> 01:04:40.360]   on the nerdier end of the social spectrum, let's say,
[01:04:40.360 --> 01:04:41.800]   we get obsessive.
[01:04:41.800 --> 01:04:46.040]   And then it's, what matters is as the third degree
[01:04:46.040 --> 01:04:49.720]   Scrum master on an alternative Wednesday,
[01:04:49.720 --> 01:04:52.920]   I have to roll 2D12 to see if we're able
[01:04:52.920 --> 01:04:56.680]   to advance the pull methodology one more layer
[01:04:56.680 --> 01:04:58.040]   towards the dungeon of despair.
[01:04:58.040 --> 01:04:59.880]   It just becomes obsessing about the rules
[01:04:59.880 --> 01:05:01.680]   for the sake of obsessing about the rules.
[01:05:01.680 --> 01:05:03.160]   And then that's terrible too.
[01:05:03.160 --> 01:05:04.720]   So those are two traps that you can get away
[01:05:04.720 --> 01:05:07.960]   from the hive mind, but still be in a dangerous territory.
[01:05:07.960 --> 01:05:10.640]   So you have to control the overall workload,
[01:05:10.640 --> 01:05:13.840]   not just per project, and be worried about obsessing
[01:05:13.840 --> 01:05:15.360]   over the details of your systems.
[01:05:15.360 --> 01:05:17.800]   They're just a guide to help you get away
[01:05:17.800 --> 01:05:19.120]   from constant back and forth.
[01:05:19.120 --> 01:05:21.840]   It's not the Talmud.
[01:05:21.840 --> 01:05:24.720]   We do not have to pour over the Scrum master guide
[01:05:24.720 --> 01:05:27.520]   to make sure that we're using the right terminology.
[01:05:29.160 --> 01:05:30.960]   All right, Jesse, so that's basically what I have to say
[01:05:30.960 --> 01:05:32.960]   about remote work and hacking remote work.
[01:05:32.960 --> 01:05:35.840]   So again, if you're one of the people who is still remote,
[01:05:35.840 --> 01:05:37.800]   keep those ideas in mind.
[01:05:37.800 --> 01:05:38.920]   I like to end every episode
[01:05:38.920 --> 01:05:41.360]   with a something interesting segment.
[01:05:41.360 --> 01:05:42.760]   We do something different today.
[01:05:42.760 --> 01:05:45.520]   I'll report on the books I read last month.
[01:05:45.520 --> 01:05:48.040]   First, I wanna briefly mention another sponsor
[01:05:48.040 --> 01:05:49.120]   that makes this show possible.
[01:05:49.120 --> 01:05:53.340]   That's our friends at ZocDoc.com.
[01:05:53.340 --> 01:05:55.760]   So this is pretty common.
[01:05:55.760 --> 01:05:58.360]   Let's say you have a health issue.
[01:05:58.360 --> 01:06:00.160]   You don't have an established relationship
[01:06:00.160 --> 01:06:02.500]   with a doctor for that type of health issue.
[01:06:02.500 --> 01:06:03.340]   Your foot hurts.
[01:06:03.340 --> 01:06:04.480]   You don't know a podiatrist.
[01:06:04.480 --> 01:06:06.040]   You don't have a primary care physician.
[01:06:06.040 --> 01:06:07.280]   How do you find a doctor?
[01:06:07.280 --> 01:06:09.840]   A lot of people, especially people my age
[01:06:09.840 --> 01:06:11.000]   or a little younger, get stuck.
[01:06:11.000 --> 01:06:11.820]   Like, I don't know.
[01:06:11.820 --> 01:06:12.760]   I asked my friend.
[01:06:12.760 --> 01:06:18.580]   I walk down the street and look for one of those two snakes,
[01:06:18.580 --> 01:06:20.160]   Hippocratic snakes biting each other,
[01:06:20.160 --> 01:06:21.520]   and just say, "That must be a doctor's office."
[01:06:21.520 --> 01:06:22.360]   Like, we don't know what to do.
[01:06:22.360 --> 01:06:26.240]   So we get stuck, and we invent annoying words like adulting
[01:06:26.240 --> 01:06:28.680]   to explain why we're not actually making progress.
[01:06:28.680 --> 01:06:30.080]   What's really happening is it's difficult.
[01:06:30.080 --> 01:06:32.160]   This is where ZocDoc comes in.
[01:06:32.160 --> 01:06:35.720]   It is a free app, in fact, the only free app
[01:06:35.720 --> 01:06:37.680]   that lets you find and book doctors
[01:06:37.680 --> 01:06:39.440]   who are patient-reviewed, take your insurance,
[01:06:39.440 --> 01:06:40.560]   and available when you need them,
[01:06:40.560 --> 01:06:44.220]   and treat almost every condition under the sun.
[01:06:44.220 --> 01:06:45.360]   You look up doctors.
[01:06:45.360 --> 01:06:46.360]   Here's nearby doctors.
[01:06:46.360 --> 01:06:47.620]   Here's reviews from real patients.
[01:06:47.620 --> 01:06:48.640]   Do they take my insurance?
[01:06:48.640 --> 01:06:49.480]   Yes.
[01:06:49.480 --> 01:06:50.900]   Let me just book a meeting with this doctor
[01:06:50.900 --> 01:06:52.160]   all through the same app.
[01:06:52.160 --> 01:06:54.800]   This is the right way to do healthcare.
[01:06:54.800 --> 01:06:56.200]   You should be using ZocDoc.
[01:06:56.200 --> 01:06:57.040]   This is true, Jesse.
[01:06:57.040 --> 01:06:58.580]   It says in my ad notes here,
[01:06:58.580 --> 01:07:02.160]   it says in my ad notes that younger people
[01:07:02.160 --> 01:07:06.240]   are using TikTok to try to figure out
[01:07:06.240 --> 01:07:07.580]   medical care decisions.
[01:07:07.580 --> 01:07:11.200]   - Yeah. - That's a problem.
[01:07:11.200 --> 01:07:12.020]   That's a problem.
[01:07:12.020 --> 01:07:12.920]   You need ZocDoc.
[01:07:12.920 --> 01:07:14.680]   If you're using TikTok to figure out
[01:07:14.680 --> 01:07:16.400]   your medical conditions,
[01:07:16.400 --> 01:07:18.640]   you're gonna be giving yourself a prescription
[01:07:18.640 --> 01:07:22.040]   of a fire dance, and you just start dancing.
[01:07:22.040 --> 01:07:23.700]   And about halfway through the dance,
[01:07:23.700 --> 01:07:24.920]   your friend is like, "Yeah, but you still got
[01:07:24.920 --> 01:07:27.480]   "that six-inch rebar going through your spine."
[01:07:27.480 --> 01:07:28.320]   And you're like, "Yeah, you're right.
[01:07:28.320 --> 01:07:30.080]   "I probably should use ZocDoc.com."
[01:07:30.080 --> 01:07:33.600]   So you need ZocDoc, the only free app
[01:07:33.600 --> 01:07:35.440]   that lets you find and book doctors.
[01:07:35.440 --> 01:07:37.000]   Now, we do have a little bit of a contest.
[01:07:37.000 --> 01:07:37.820]   I should mention this.
[01:07:37.820 --> 01:07:38.880]   We do have a little bit of a contest.
[01:07:38.880 --> 01:07:41.640]   We like ZocDoc.com because there's a lot of ox in it.
[01:07:41.640 --> 01:07:44.200]   So we have a kind of informal contest
[01:07:44.200 --> 01:07:49.200]   of what could be an even cooler ox-centric URL.
[01:07:49.200 --> 01:07:52.240]   And you remember this, Jesse, 'cause I sent it to you.
[01:07:52.240 --> 01:07:54.280]   Someone sent us the idea of,
[01:07:54.280 --> 01:07:57.420]   what was it, like, what if the Dwayne Johnson,
[01:07:57.420 --> 01:07:59.200]   was this right?
[01:07:59.200 --> 01:08:00.160]   Dwayne, or was this mine?
[01:08:00.160 --> 01:08:03.060]   Dwayne Johnson has a website
[01:08:03.060 --> 01:08:06.960]   where he helps you make model-size docs
[01:08:06.960 --> 01:08:09.760]   for like model train displays.
[01:08:09.760 --> 01:08:12.800]   And his website was rockmockdoc.com.
[01:08:12.800 --> 01:08:14.480]   That was a good one.
[01:08:14.480 --> 01:08:17.040]   Now it's got zocdoc.com, but rockmockdoc.com.
[01:08:17.040 --> 01:08:17.920]   I like that.
[01:08:17.920 --> 01:08:20.400]   So anyways, go to zocdoc.com/deep
[01:08:20.400 --> 01:08:22.240]   and download the ZocDoc app for free.
[01:08:22.240 --> 01:08:24.240]   Then find a book at top-rated doctor today,
[01:08:24.240 --> 01:08:26.160]   many available within 24 hours.
[01:08:26.160 --> 01:08:28.880]   For God's sake, stop using TikTok to diagnose yourself.
[01:08:28.880 --> 01:08:33.880]   That's zocdoc.com/deep, zocdoc.com/deep.
[01:08:33.880 --> 01:08:39.720]   I also want to mention our friends at Ladder.
[01:08:39.720 --> 01:08:41.400]   So we're talking about things you should be doing,
[01:08:41.400 --> 01:08:43.840]   but you're not because you don't know how to get started.
[01:08:43.840 --> 01:08:47.280]   Life insurance is the other big one.
[01:08:47.280 --> 01:08:48.880]   If there is anyone who depends on you,
[01:08:48.880 --> 01:08:51.920]   a spouse, a partner, kids, you need life insurance.
[01:08:51.920 --> 01:08:53.600]   Why don't you have life insurance?
[01:08:53.600 --> 01:08:55.280]   Because you don't know how to get it.
[01:08:55.280 --> 01:08:58.320]   So I'm going to tell you how to get it very easily.
[01:08:58.320 --> 01:09:01.480]   You go to Ladder.
[01:09:01.480 --> 01:09:03.400]   Ladder is your solution to doing this.
[01:09:03.400 --> 01:09:05.760]   It's 100% digital.
[01:09:05.760 --> 01:09:08.260]   You don't have to do any doctors or needles or paperwork.
[01:09:08.260 --> 01:09:10.280]   If you're applying for $3 million in coverage or less,
[01:09:10.280 --> 01:09:11.400]   you just answer a few questions
[01:09:11.400 --> 01:09:13.260]   about your health and an application.
[01:09:13.260 --> 01:09:15.120]   There's smart algorithms working real time.
[01:09:15.120 --> 01:09:17.040]   You'll find out if you're instantly approved,
[01:09:17.040 --> 01:09:19.160]   no hidden fees, cancel anytime,
[01:09:19.160 --> 01:09:21.880]   get a full refund if you change your mind in 30 days.
[01:09:21.880 --> 01:09:26.400]   These are all policies that are insured by insurers
[01:09:26.400 --> 01:09:29.600]   rated A or A+ by AMBEST, they're high quality.
[01:09:29.600 --> 01:09:32.640]   So you just go to the website, ladderlife.com/deep,
[01:09:32.640 --> 01:09:33.840]   type, type, type, done.
[01:09:33.840 --> 01:09:36.000]   It's off your to-do list.
[01:09:36.000 --> 01:09:37.200]   This thing that you have no idea,
[01:09:37.200 --> 01:09:38.040]   you know you're supposed to do it,
[01:09:38.040 --> 01:09:39.760]   you have no idea how to do it, it's off your to-do list.
[01:09:39.760 --> 01:09:41.240]   You should do this right now.
[01:09:41.240 --> 01:09:45.440]   So go to ladderlife.com/deep today
[01:09:45.440 --> 01:09:47.920]   to see within minutes if you're instantly approved.
[01:09:47.920 --> 01:09:51.660]   That's L-A-D-D-E-R life.com/deep.
[01:09:51.660 --> 01:09:54.640]   Ladderlife.com/deep.
[01:09:54.640 --> 01:10:00.040]   All right, Jessie, we like to talk about each month,
[01:10:00.040 --> 01:10:02.040]   the books I read the last month.
[01:10:02.040 --> 01:10:03.240]   Long-time listeners know,
[01:10:03.240 --> 01:10:05.640]   my goal is to read five books per month.
[01:10:05.640 --> 01:10:07.400]   So we're in February now,
[01:10:07.400 --> 01:10:12.400]   so we will talk about the five books I read in January, 2023.
[01:10:12.400 --> 01:10:20.280]   The first one was called "Sitting by the Mini Bay,
[01:10:20.280 --> 01:10:23.380]   My Life in Building Model Docs" by Dwayne Johnson.
[01:10:23.380 --> 01:10:28.380]   So that was a surprising twist, surprising turn by him.
[01:10:28.380 --> 01:10:30.980]   It has over 50 pages of photos.
[01:10:30.980 --> 01:10:33.020]   He's shirtless in most of them, interesting.
[01:10:33.020 --> 01:10:36.220]   He builds his mock docs shirtless.
[01:10:36.220 --> 01:10:37.780]   So there you go.
[01:10:37.780 --> 01:10:38.620]   Now, what did I read?
[01:10:38.620 --> 01:10:39.620]   All right, let's go through this quickly.
[01:10:39.620 --> 01:10:43.980]   Book number one, "A Thousand Brains" by Jeff Hawkins.
[01:10:43.980 --> 01:10:47.500]   So this is a new theory about how the cortex
[01:10:47.500 --> 01:10:51.500]   helps create human consciousness and intelligence.
[01:10:51.500 --> 01:10:54.000]   Jeff Hopkins is a former tech executive
[01:10:54.000 --> 01:10:55.140]   who put all of his fortune
[01:10:55.140 --> 01:10:57.180]   into trying to figure out how the brain works
[01:10:57.180 --> 01:11:00.980]   and then build intelligent machines using this research.
[01:11:00.980 --> 01:11:04.200]   This is his latest book with his latest findings.
[01:11:04.200 --> 01:11:07.780]   If ever there's like Reese Terminator-style character
[01:11:07.780 --> 01:11:08.660]   who comes back from the future
[01:11:08.660 --> 01:11:10.740]   to prevent Skynet from going online,
[01:11:10.740 --> 01:11:12.300]   he's probably gonna be looking for Jeff Hawkins,
[01:11:12.300 --> 01:11:13.620]   let's be honest about that.
[01:11:13.620 --> 01:11:17.780]   All right, I also read "The 90s" by Chuck Klosterman.
[01:11:17.780 --> 01:11:20.260]   So Klosterman writes these books where,
[01:11:20.260 --> 01:11:21.620]   I don't know if you've ever seen a Klosterman book,
[01:11:21.620 --> 01:11:23.060]   but he's been doing these more recently.
[01:11:23.060 --> 01:11:25.020]   Like the 90s is just looking at the 90s
[01:11:25.020 --> 01:11:28.980]   and it's just all these different smart cultural critiques
[01:11:28.980 --> 01:11:30.280]   about different aspects of the 90s,
[01:11:30.280 --> 01:11:32.860]   which is when you and I were kids.
[01:11:32.860 --> 01:11:33.960]   It was good.
[01:11:33.960 --> 01:11:34.800]   Yeah.
[01:11:34.800 --> 01:11:35.620]   I've heard it was really good on tape.
[01:11:35.620 --> 01:11:37.420]   I read the physical version.
[01:11:37.420 --> 01:11:38.240]   I enjoyed it.
[01:11:38.240 --> 01:11:39.340]   I mean, it helps that I grew up then,
[01:11:39.340 --> 01:11:40.620]   but actually I might lend it to you.
[01:11:40.620 --> 01:11:41.460]   I think you would like it.
[01:11:41.460 --> 01:11:43.020]   Any examples?
[01:11:43.020 --> 01:11:46.740]   I mean, I think the music stuff is interesting.
[01:11:46.740 --> 01:11:47.580]   Yeah.
[01:11:47.580 --> 01:11:49.660]   Like he gets really deep on really
[01:11:49.660 --> 01:11:51.140]   what was happening behind the scenes
[01:11:51.140 --> 01:11:53.980]   with grunge and these musicians
[01:11:53.980 --> 01:11:56.820]   and the whole selling out culture that Gen X had created
[01:11:56.820 --> 01:12:00.900]   and how that clashed against the commercial imperatives
[01:12:00.900 --> 01:12:01.740]   of music.
[01:12:01.740 --> 01:12:03.100]   I actually learned a lot about,
[01:12:03.100 --> 01:12:04.600]   like Kurt Cobain, for example.
[01:12:04.600 --> 01:12:06.620]   Interesting.
[01:12:06.620 --> 01:12:07.540]   It doesn't make me think of,
[01:12:07.540 --> 01:12:09.100]   I don't look back after I read this book and say,
[01:12:09.100 --> 01:12:11.740]   "Man, I wish I could go back to the 90s."
[01:12:11.740 --> 01:12:12.740]   It's an interesting time.
[01:12:12.740 --> 01:12:14.700]   And it's interesting to think about,
[01:12:14.700 --> 01:12:15.700]   but it doesn't make me want to go back.
[01:12:15.700 --> 01:12:17.780]   But you know what I found out?
[01:12:17.780 --> 01:12:18.940]   You remember the 70s show?
[01:12:18.940 --> 01:12:20.740]   So when we were growing up in the 90s,
[01:12:20.740 --> 01:12:22.260]   there's a show called the 70s show,
[01:12:22.260 --> 01:12:24.260]   which was a sitcom about life in the 70s.
[01:12:24.260 --> 01:12:25.080]   Yeah.
[01:12:25.080 --> 01:12:26.560]   Well, now we're 30 years,
[01:12:26.560 --> 01:12:27.820]   20 or 30 years out of the 90s.
[01:12:27.820 --> 01:12:29.980]   They're doing a new show called the 90s show.
[01:12:29.980 --> 01:12:30.820]   Yeah.
[01:12:30.820 --> 01:12:32.160]   Because when we were growing up in the 90s,
[01:12:32.160 --> 01:12:36.100]   the 70s was as far from us as the 90s are far
[01:12:36.100 --> 01:12:38.220]   from people who are kids today.
[01:12:38.220 --> 01:12:41.020]   So our childhood is now going to be the target
[01:12:41.020 --> 01:12:44.020]   of the nostalgic retrospective show.
[01:12:44.020 --> 01:12:46.580]   It was a good time to be a New York Yankee fan if you were.
[01:12:46.580 --> 01:12:48.220]   Yeah, late 90s.
[01:12:48.220 --> 01:12:49.060]   Yeah.
[01:12:49.060 --> 01:12:49.880]   All right.
[01:12:49.880 --> 01:12:52.140]   Then I read a quite a good thriller actually.
[01:12:52.140 --> 01:12:55.100]   Robin Cook's very first thriller, "Coma"
[01:12:55.100 --> 01:12:59.340]   from the 1970s, straight up,
[01:12:59.340 --> 01:13:01.020]   one of the first medical thrillers.
[01:13:01.020 --> 01:13:02.520]   So him and Crichton were both working on this,
[01:13:02.520 --> 01:13:06.680]   but Cook was, I believe he got to the punch first.
[01:13:06.680 --> 01:13:09.180]   And it's, you know, it's creepy as hell.
[01:13:09.180 --> 01:13:10.640]   Like in the end there's coma patients.
[01:13:10.640 --> 01:13:13.460]   They're being put into comas surreptitiously
[01:13:13.460 --> 01:13:17.080]   so they could harvest their organs, not the spoiler alert.
[01:13:17.080 --> 01:13:17.920]   Really well-written.
[01:13:17.920 --> 01:13:19.500]   The interesting thing about it,
[01:13:19.500 --> 01:13:22.980]   unlike some modern thrillers is it's,
[01:13:22.980 --> 01:13:25.260]   I don't know, the last third
[01:13:25.260 --> 01:13:29.020]   before you get to any actual, I am being chased.
[01:13:29.020 --> 01:13:30.980]   Like any, I mean, the first two thirds of the book
[01:13:30.980 --> 01:13:33.340]   is really this new resident sort of starting
[01:13:33.340 --> 01:13:37.060]   to unravel the conspiracy and doing investigations.
[01:13:37.060 --> 01:13:39.920]   And the main stakes are, you know,
[01:13:39.920 --> 01:13:42.120]   her supervisors at the hospital are mad at her
[01:13:42.120 --> 01:13:44.000]   or that if she's not at round, she might get in trouble.
[01:13:44.000 --> 01:13:46.240]   So it's such, and yet it still works.
[01:13:46.240 --> 01:13:48.580]   Nowadays, a modern thriller, it's, you know,
[01:13:48.580 --> 01:13:51.760]   the second page, the shark is being shot at you
[01:13:51.760 --> 01:13:54.880]   from the cannon and you have to kill it with a laser sword.
[01:13:54.880 --> 01:13:56.060]   You know, it gets right into it.
[01:13:56.060 --> 01:13:57.560]   So different time, but great book.
[01:13:57.560 --> 01:14:00.080]   - When you read thrillers, do you breeze through them?
[01:14:00.080 --> 01:14:03.240]   - I'm not a fast reader.
[01:14:03.240 --> 01:14:05.800]   My wife is a fast reader.
[01:14:05.800 --> 01:14:07.760]   When she reads novels, she's like,
[01:14:07.760 --> 01:14:09.400]   I'm just, because I read a lot of nonfiction
[01:14:09.400 --> 01:14:11.880]   and write a lot of nonfiction, it's hard for me to speed up.
[01:14:11.880 --> 01:14:14.080]   So I'm the guy reading that's thinking,
[01:14:14.080 --> 01:14:15.280]   okay, well, interesting.
[01:14:15.280 --> 01:14:18.440]   They referenced the computer mainframe in chapter two
[01:14:18.440 --> 01:14:20.920]   and they noted that it was using hexadecimal.
[01:14:20.920 --> 01:14:22.880]   And now we're in chapter four and I'm wondering,
[01:14:22.880 --> 01:14:25.440]   you know, I'm reading these thrillers
[01:14:25.440 --> 01:14:27.920]   like I'm studying Proust,
[01:14:27.920 --> 01:14:29.600]   which is probably not the fastest way to do it.
[01:14:29.600 --> 01:14:32.280]   - When you say you're not fast, are you really fast?
[01:14:32.280 --> 01:14:34.240]   - I don't read these books very fast.
[01:14:34.240 --> 01:14:36.360]   I'm not a speed reader or not.
[01:14:36.360 --> 01:14:37.280]   I'm not even like a fast reader.
[01:14:37.280 --> 01:14:39.520]   I go too slow because my mind always wants
[01:14:39.520 --> 01:14:42.240]   to understand everything and fit everything into,
[01:14:42.240 --> 01:14:44.600]   I'm gonna, what Jeff Hawkins at a thousand brains
[01:14:44.600 --> 01:14:45.480]   would call reference frames.
[01:14:45.480 --> 01:14:48.280]   My brain, that book helped me understand my own brain.
[01:14:48.280 --> 01:14:50.680]   I have like an overactive reference frame system.
[01:14:50.680 --> 01:14:53.080]   Everything I encounter has to be fit into these frames
[01:14:53.080 --> 01:14:54.640]   and I'm incredibly unhappy until it is.
[01:14:54.640 --> 01:14:55.960]   So I can't read things fast.
[01:14:55.960 --> 01:14:57.560]   I can't have loose ends.
[01:14:57.560 --> 01:14:59.440]   I need to, okay, here's this person, here's the building,
[01:14:59.440 --> 01:15:01.120]   here's the rooms in the building.
[01:15:01.120 --> 01:15:02.720]   Like it's very useful when it comes time
[01:15:02.720 --> 01:15:05.160]   to solve math proofs or write things,
[01:15:05.160 --> 01:15:09.200]   but I can't, I'm just physically uncomfortable.
[01:15:09.200 --> 01:15:12.120]   If it doesn't bother my wife at all.
[01:15:12.120 --> 01:15:14.840]   If she's like, oh, I don't remember if like,
[01:15:14.840 --> 01:15:15.840]   oh, who is this guy?
[01:15:15.840 --> 01:15:16.680]   Was he dead?
[01:15:16.680 --> 01:15:17.560]   Or, you know, I'm like, no, no,
[01:15:17.560 --> 01:15:19.200]   I need to know like exactly his,
[01:15:19.200 --> 01:15:20.640]   like who did he connect to?
[01:15:20.640 --> 01:15:22.400]   How is this house laid out?
[01:15:22.400 --> 01:15:23.520]   So I can't read fast.
[01:15:23.520 --> 01:15:27.280]   I mean, you're right, maybe it's fast compared to,
[01:15:27.280 --> 01:15:28.880]   depends on the relative.
[01:15:28.880 --> 01:15:30.320]   - One more quick question about this.
[01:15:30.320 --> 01:15:33.280]   When you read a 10 page New York article,
[01:15:33.280 --> 01:15:34.360]   how long does it usually take you?
[01:15:34.360 --> 01:15:35.840]   - A while.
[01:15:35.840 --> 01:15:37.480]   If I read like a standard, because you know,
[01:15:37.480 --> 01:15:38.960]   I always try to read at least one article
[01:15:38.960 --> 01:15:41.760]   from the magazine each week when it comes out.
[01:15:41.760 --> 01:15:42.760]   - Half an hour?
[01:15:42.760 --> 01:15:43.600]   - Yeah.
[01:15:43.600 --> 01:15:44.720]   Like I'll read it in the morning sometimes
[01:15:44.720 --> 01:15:47.080]   for the kids get up and it will take the whole time.
[01:15:47.080 --> 01:15:48.760]   And sometimes I'll have to come back to it.
[01:15:48.760 --> 01:15:50.640]   Yeah, because I'm like every,
[01:15:50.640 --> 01:15:52.040]   because, but I'll come away and be able to tell you
[01:15:52.040 --> 01:15:53.520]   everything that happened in that New Yorker article,
[01:15:53.520 --> 01:15:55.960]   some of the stylistic choices of the author,
[01:15:55.960 --> 01:15:59.280]   you know, and I pulled out like two second order theories
[01:15:59.280 --> 01:16:01.040]   that we could potentially talk about on the show.
[01:16:01.040 --> 01:16:04.080]   So it's like a very cognitively involved process for me
[01:16:04.080 --> 01:16:04.920]   when I'm reading.
[01:16:04.920 --> 01:16:10.160]   I'm a machine for turning text into connected,
[01:16:10.160 --> 01:16:12.080]   internally consistent theories and ideas.
[01:16:12.080 --> 01:16:13.560]   Like that's what I am.
[01:16:13.560 --> 01:16:16.000]   I've been like bred in a lab to do that.
[01:16:16.000 --> 01:16:19.200]   All right, next, this is not really a book.
[01:16:19.200 --> 01:16:20.160]   Neither of these are really books,
[01:16:20.160 --> 01:16:21.400]   but I just read them back to back
[01:16:21.400 --> 01:16:23.040]   because one influenced the other.
[01:16:23.040 --> 01:16:26.880]   I read this over Martin Luther King weekend
[01:16:26.880 --> 01:16:29.560]   was Thoreau's on civil disobedience.
[01:16:29.560 --> 01:16:32.840]   And then Martin Luther King's letter from a Birmingham jail,
[01:16:32.840 --> 01:16:35.160]   the latter of course, inspired by him
[01:16:35.160 --> 01:16:36.080]   pulling from the former.
[01:16:36.080 --> 01:16:38.040]   So I thought it'd be interesting to read those,
[01:16:38.040 --> 01:16:39.240]   read those back to back.
[01:16:39.240 --> 01:16:42.280]   MLK's I think is much better than Thoreau's.
[01:16:42.280 --> 01:16:44.040]   I mean, I get Thoreau's at the time,
[01:16:44.040 --> 01:16:46.280]   I mean, obviously it was an innovative thought.
[01:16:46.280 --> 01:16:48.280]   Gandhi pulled from an MLK pulled from it,
[01:16:48.280 --> 01:16:50.960]   but it doesn't age as well.
[01:16:50.960 --> 01:16:52.640]   And in part because he created a world
[01:16:52.640 --> 01:16:53.640]   that's been more normalized.
[01:16:53.640 --> 01:16:56.480]   So it doesn't seem as retroactive, but it's, you know,
[01:16:57.480 --> 01:17:00.360]   I'm not gonna pay my tax until my friend comes
[01:17:00.360 --> 01:17:02.480]   like three hours later and pays for me
[01:17:02.480 --> 01:17:04.280]   to get out of my small jail in the town
[01:17:04.280 --> 01:17:05.240]   where I'm related to everybody.
[01:17:05.240 --> 01:17:06.600]   It just feels very different.
[01:17:06.600 --> 01:17:11.600]   I'm an MLK as a rhetorician is so good.
[01:17:11.600 --> 01:17:14.320]   Just his ability to make an argument
[01:17:14.320 --> 01:17:17.720]   and to inject a sort of a humanity into it.
[01:17:17.720 --> 01:17:19.880]   Yet it's still just rock solid.
[01:17:19.880 --> 01:17:21.920]   This clicks to this,
[01:17:21.920 --> 01:17:24.560]   this sort of inevitable logic with emotion.
[01:17:24.560 --> 01:17:29.120]   I mean, just absolute once in a century type ability.
[01:17:29.120 --> 01:17:31.560]   So you read these back to back and Thoreau,
[01:17:31.560 --> 01:17:33.360]   I mean, I love Thoreau.
[01:17:33.360 --> 01:17:34.920]   Thoreau's very influential to me,
[01:17:34.920 --> 01:17:38.360]   but you see the person who's really throwing
[01:17:38.360 --> 01:17:41.840]   the 105 mile per hour fastballs MLK there.
[01:17:41.840 --> 01:17:42.680]   Yeah, not Thoreau.
[01:17:42.680 --> 01:17:47.560]   And then the last was, well, I don't know how many people
[01:17:47.560 --> 01:17:49.440]   are gonna follow me up on this recommendation.
