
[00:00:00.000 --> 00:00:01.880]   Hey, everybody, welcome back.
[01:07:57.600 --> 01:07:59.600]   And they're doing the same thing.
[01:07:59.600 --> 01:08:01.600]   And they're doing the same thing.
[01:08:01.600 --> 01:08:03.600]   And they're doing the same thing.
[01:08:03.600 --> 01:08:05.600]   And they're doing the same thing.
[01:08:05.600 --> 01:08:07.600]   And they're doing the same thing.
[01:08:07.600 --> 01:08:09.600]   And they're doing the same thing.
[01:08:09.600 --> 01:08:11.600]   And they're doing the same thing.
[01:08:11.600 --> 01:08:13.600]   And they're doing the same thing.
[01:08:13.600 --> 01:08:15.600]   And they're doing the same thing.
[01:08:15.600 --> 01:08:17.600]   And they're doing the same thing.
[01:08:17.600 --> 01:08:19.600]   And they're doing the same thing.
[01:08:19.600 --> 01:08:21.600]   And they're doing the same thing.
[01:08:21.600 --> 01:08:23.600]   And they're doing the same thing.
[01:08:23.600 --> 01:08:25.600]   And they're doing the same thing.
[01:08:25.600 --> 01:08:27.600]   And they're doing the same thing.
[01:08:27.600 --> 01:08:29.600]   And they're doing the same thing.
[01:08:29.600 --> 01:08:31.600]   And they're doing the same thing.
[01:08:31.600 --> 01:08:33.600]   And they're doing the same thing.
[01:08:33.600 --> 01:08:35.600]   And they're doing the same thing.
[01:08:35.600 --> 01:08:37.600]   And they're doing the same thing.
[01:08:37.600 --> 01:08:39.600]   And they're doing the same thing.
[01:08:39.600 --> 01:08:41.600]   And they're doing the same thing.
[01:08:41.600 --> 01:08:43.600]   And they're doing the same thing.
[01:08:43.600 --> 01:08:45.600]   And they're doing the same thing.
[01:08:45.600 --> 01:08:47.600]   And they're doing the same thing.
[01:08:47.600 --> 01:08:49.600]   And they're doing the same thing.
[01:08:49.600 --> 01:08:51.600]   And they're doing the same thing.
[01:08:51.600 --> 01:08:53.600]   And they're doing the same thing.
[01:08:53.600 --> 01:08:55.600]   And they're doing the same thing.
[01:08:55.600 --> 01:08:57.600]   And they're doing the same thing.
[01:08:57.600 --> 01:08:59.600]   And they're doing the same thing.
[01:08:59.600 --> 01:09:01.600]   And they're doing the same thing.
[01:09:01.600 --> 01:09:03.600]   And they're doing the same thing.
[01:09:03.600 --> 01:09:05.600]   And they're doing the same thing.
[01:09:05.600 --> 01:09:07.600]   And they're doing the same thing.
[01:09:07.600 --> 01:09:09.600]   And they're doing the same thing.
[01:09:09.600 --> 01:09:11.600]   And they're doing the same thing.
[01:09:11.600 --> 01:09:13.600]   And they're doing the same thing.
[01:09:13.600 --> 01:09:15.600]   And they're doing the same thing.
[01:09:15.600 --> 01:09:17.600]   And they're doing the same thing.
[01:09:17.600 --> 01:09:19.600]   And they're doing the same thing.
[01:09:19.600 --> 01:09:21.600]   And they're doing the same thing.
[01:09:21.600 --> 01:09:23.600]   And they're doing the same thing.
[01:09:23.600 --> 01:09:25.600]   And they're doing the same thing.
[01:09:25.600 --> 01:09:27.600]   And they're doing the same thing.
[01:09:27.600 --> 01:09:29.600]   And they're doing the same thing.
[01:09:29.600 --> 01:09:31.600]   And they're doing the same thing.
[01:09:31.600 --> 01:09:33.600]   And they're doing the same thing.
[01:09:33.600 --> 01:09:35.600]   And they're doing the same thing.
[01:09:35.600 --> 01:09:37.600]   And they're doing the same thing.
[01:09:37.600 --> 01:09:39.600]   And they're doing the same thing.
[01:09:39.600 --> 01:09:41.600]   And they're doing the same thing.
[01:09:41.600 --> 01:09:43.600]   And they're doing the same thing.
[01:09:43.600 --> 01:09:45.600]   And they're doing the same thing.
[01:09:45.600 --> 01:09:47.600]   And they're doing the same thing.
[01:09:47.600 --> 01:09:49.600]   And they're doing the same thing.
[01:09:49.600 --> 01:09:51.600]   And they're doing the same thing.
[01:09:51.600 --> 01:09:53.600]   And they're doing the same thing.
[01:09:53.600 --> 01:09:55.600]   And they're doing the same thing.
[01:09:55.600 --> 01:09:57.600]   And they're doing the same thing.
[01:09:57.600 --> 01:09:59.600]   And they're doing the same thing.
[01:09:59.600 --> 01:10:01.600]   And they're doing the same thing.
[01:10:01.600 --> 01:10:03.600]   And they're doing the same thing.
[01:10:03.600 --> 01:10:05.600]   And they're doing the same thing.
[01:10:05.600 --> 01:10:07.600]   And they're doing the same thing.
[01:10:07.600 --> 01:10:09.600]   And they're doing the same thing.
[01:10:09.600 --> 01:10:11.600]   And they're doing the same thing.
[01:10:11.600 --> 01:10:13.600]   And they're doing the same thing.
[01:10:13.600 --> 01:10:15.600]   And they're doing the same thing.
[01:10:15.600 --> 01:10:17.600]   And they're doing the same thing.
[01:10:17.600 --> 01:10:19.600]   And they're doing the same thing.
[01:10:19.600 --> 01:10:21.600]   And they're doing the same thing.
[01:10:21.600 --> 01:10:23.600]   And they're doing the same thing.
[01:10:23.600 --> 01:10:25.600]   And they're doing the same thing.
[01:10:25.600 --> 01:10:27.600]   And they're doing the same thing.
[01:10:27.600 --> 01:10:29.600]   And they're doing the same thing.
[01:10:29.600 --> 01:10:31.600]   And they're doing the same thing.
[01:10:31.600 --> 01:10:33.600]   And they're doing the same thing.
[01:10:33.600 --> 01:10:35.600]   And they're doing the same thing.
[01:10:35.600 --> 01:10:37.600]   And they're doing the same thing.
[01:10:37.600 --> 01:10:39.600]   And they're doing the same thing.
[01:10:39.600 --> 01:10:41.600]   And they're doing the same thing.
[01:10:41.600 --> 01:10:43.600]   And they're doing the same thing.
[01:10:43.600 --> 01:10:45.600]   And they're doing the same thing.
[01:10:45.600 --> 01:10:47.600]   And they're doing the same thing.
[01:10:47.600 --> 01:10:49.600]   And they're doing the same thing.
[01:10:49.600 --> 01:10:51.600]   And they're doing the same thing.
[01:10:51.600 --> 01:10:53.600]   And they're doing the same thing.
[01:10:53.600 --> 01:10:55.600]   And they're doing the same thing.
[01:10:55.600 --> 01:10:57.600]   And they're doing the same thing.
[01:10:57.600 --> 01:10:59.600]   And they're doing the same thing.
[01:10:59.600 --> 01:11:01.600]   And they're doing the same thing.
[01:11:01.600 --> 01:11:03.600]   And they're doing the same thing.
[01:11:03.600 --> 01:11:05.600]   And they're doing the same thing.
[01:11:05.600 --> 01:11:07.600]   And they're doing the same thing.
[01:11:07.600 --> 01:11:09.600]   And they're doing the same thing.
[01:11:09.600 --> 01:11:11.600]   And they're doing the same thing.
[01:11:11.600 --> 01:11:13.600]   And they're doing the same thing.
[01:11:13.600 --> 01:11:15.600]   And they're doing the same thing.
[01:11:15.600 --> 01:11:17.600]   And they're doing the same thing.
[01:11:17.600 --> 01:11:19.600]   And they're doing the same thing.
[01:11:19.600 --> 01:11:21.600]   And they're doing the same thing.
[01:11:21.600 --> 01:11:23.600]   And they're doing the same thing.
[01:11:23.600 --> 01:11:25.600]   And they're doing the same thing.
[01:11:25.600 --> 01:11:27.600]   And they're doing the same thing.
[01:11:27.600 --> 01:11:29.600]   And they're doing the same thing.
[01:11:29.600 --> 01:11:31.600]   And they're doing the same thing.
[01:11:31.600 --> 01:11:33.600]   And they're doing the same thing.
[01:11:33.600 --> 01:11:35.600]   And they're doing the same thing.
[01:11:35.600 --> 01:11:37.600]   And they're doing the same thing.
[01:11:37.600 --> 01:11:39.600]   And they're doing the same thing.
[01:11:39.600 --> 01:11:41.600]   And they're doing the same thing.
[01:11:41.600 --> 01:11:43.600]   And they're doing the same thing.
[01:11:43.600 --> 01:11:45.600]   And they're doing the same thing.
[01:11:45.600 --> 01:11:47.600]   And they're doing the same thing.
[01:11:47.600 --> 01:11:49.600]   And they're doing the same thing.
[01:11:49.600 --> 01:11:51.600]   And they're doing the same thing.
[01:11:51.600 --> 01:11:53.600]   And they're doing the same thing.
[01:11:53.600 --> 01:11:55.600]   And they're doing the same thing.
[01:11:55.600 --> 01:11:57.600]   And they're doing the same thing.
[01:11:57.600 --> 01:11:59.600]   And they're doing the same thing.
[01:11:59.600 --> 01:12:01.600]   And they're doing the same thing.
[01:12:01.600 --> 01:12:03.600]   And they're doing the same thing.
[01:12:03.600 --> 01:12:05.600]   And they're doing the same thing.
[01:12:05.600 --> 01:12:07.600]   And they're doing the same thing.
[01:12:07.600 --> 01:12:09.600]   And they're doing the same thing.
[01:12:09.600 --> 01:12:11.600]   And they're doing the same thing.
[01:12:11.600 --> 01:12:13.600]   And they're doing the same thing.
[01:12:13.600 --> 01:12:15.600]   And they're doing the same thing.
[01:12:15.600 --> 01:12:17.600]   And they're doing the same thing.
[01:12:17.600 --> 01:12:19.600]   And they're doing the same thing.
[01:12:19.600 --> 01:12:21.600]   And they're doing the same thing.
[01:12:21.600 --> 01:12:23.600]   And they're doing the same thing.
[01:12:23.600 --> 01:12:25.600]   And they're doing the same thing.
[01:12:25.600 --> 01:12:27.600]   And they're doing the same thing.
[01:12:27.600 --> 01:12:29.600]   And they're doing the same thing.
[01:12:29.600 --> 01:12:31.600]   And they're doing the same thing.
[01:12:31.600 --> 01:12:33.600]   And they're doing the same thing.
[01:12:33.600 --> 01:12:35.600]   And they're doing the same thing.
[01:12:35.600 --> 01:12:37.600]   And they're doing the same thing.
[01:12:37.600 --> 01:12:39.600]   And they're doing the same thing.
[01:12:39.600 --> 01:12:41.600]   And they're doing the same thing.
[01:12:41.600 --> 01:12:43.600]   And they're doing the same thing.
[01:12:43.600 --> 01:12:45.600]   And they're doing the same thing.
[01:12:45.600 --> 01:12:47.600]   And they're doing the same thing.
[01:12:47.600 --> 01:12:49.600]   And they're doing the same thing.
[01:12:49.600 --> 01:12:51.600]   And they're doing the same thing.
[01:12:51.600 --> 01:12:53.600]   And they're doing the same thing.
[01:12:53.600 --> 01:12:55.600]   And they're doing the same thing.
[01:12:55.600 --> 01:12:57.600]   And they're doing the same thing.
[01:12:57.600 --> 01:12:59.600]   And they're doing the same thing.
[01:12:59.600 --> 01:13:01.600]   And they're doing the same thing.
[01:13:01.600 --> 01:13:03.600]   And they're doing the same thing.
[01:13:03.600 --> 01:13:05.600]   And they're doing the same thing.
[01:13:05.600 --> 01:13:07.600]   And they're doing the same thing.
[01:13:07.600 --> 01:13:09.600]   And they're doing the same thing.
[01:13:09.600 --> 01:13:11.600]   And they're doing the same thing.
[01:13:11.600 --> 01:13:13.600]   And they're doing the same thing.
[01:13:13.600 --> 01:13:15.600]   And they're doing the same thing.
[01:13:15.600 --> 01:13:17.600]   And they're doing the same thing.
[01:13:17.600 --> 01:13:19.600]   And they're doing the same thing.
[01:13:19.600 --> 01:13:21.600]   And they're doing the same thing.
[01:13:21.600 --> 01:13:23.600]   And they're doing the same thing.
[01:13:23.600 --> 01:13:25.600]   And they're doing the same thing.
[01:13:25.600 --> 01:13:27.600]   And they're doing the same thing.
[01:13:27.600 --> 01:13:29.600]   And they're doing the same thing.
[01:13:29.600 --> 01:13:31.600]   And they're doing the same thing.
[01:13:31.600 --> 01:13:33.600]   And they're doing the same thing.
[01:13:33.600 --> 01:13:35.600]   And they're doing the same thing.
[01:13:35.600 --> 01:13:37.600]   And they're doing the same thing.
[01:13:37.600 --> 01:13:39.600]   And they're doing the same thing.
[01:13:39.600 --> 01:13:41.600]   And they're doing the same thing.
[01:13:41.600 --> 01:13:43.600]   And they're doing the same thing.
[01:13:43.600 --> 01:13:45.600]   And they're doing the same thing.
[01:13:45.600 --> 01:13:47.600]   And they're doing the same thing.
[01:13:47.600 --> 01:13:49.600]   And they're doing the same thing.
[01:13:49.600 --> 01:13:51.600]   And they're doing the same thing.
[01:13:51.600 --> 01:13:53.600]   And they're doing the same thing.
[01:13:53.600 --> 01:13:55.600]   And they're doing the same thing.
[01:13:55.600 --> 01:13:57.600]   And they're doing the same thing.
[01:13:57.600 --> 01:13:59.600]   And they're doing the same thing.
[01:13:59.600 --> 01:14:01.600]   And they're doing the same thing.
[01:14:01.600 --> 01:14:03.600]   And they're doing the same thing.
[01:14:03.600 --> 01:14:05.600]   And they're doing the same thing.
[01:14:05.600 --> 01:14:07.600]   And they're doing the same thing.
[01:14:07.600 --> 01:14:09.600]   And they're doing the same thing.
[01:14:09.600 --> 01:14:11.600]   And they're doing the same thing.
[01:14:11.600 --> 01:14:13.600]   And they're doing the same thing.
[01:14:13.600 --> 01:14:15.600]   And they're doing the same thing.
[01:14:15.600 --> 01:14:17.600]   And they're doing the same thing.
[01:14:17.600 --> 01:14:19.600]   And they're doing the same thing.
[01:14:19.600 --> 01:14:21.600]   And they're doing the same thing.
[01:14:21.600 --> 01:14:23.600]   And they're doing the same thing.
[01:14:23.600 --> 01:14:25.600]   And they're doing the same thing.
[01:14:25.600 --> 01:14:27.600]   And they're doing the same thing.
[01:14:27.600 --> 01:14:29.600]   And they're doing the same thing.
[01:14:29.600 --> 01:14:31.600]   And they're doing the same thing.
[01:14:31.600 --> 01:14:33.600]   And they're doing the same thing.
[01:14:33.600 --> 01:14:35.600]   And they're doing the same thing.
[01:14:35.600 --> 01:14:37.600]   And they're doing the same thing.
[01:14:37.600 --> 01:14:39.600]   And they're doing the same thing.
[01:14:39.600 --> 01:14:41.600]   And they're doing the same thing.
[01:14:41.600 --> 01:14:43.600]   And they're doing the same thing.
[01:14:43.600 --> 01:14:45.600]   And they're doing the same thing.
[01:14:45.600 --> 01:14:47.600]   And they're doing the same thing.
[01:14:47.600 --> 01:14:49.600]   And they're doing the same thing.
[01:14:49.600 --> 01:14:51.600]   And they're doing the same thing.
[01:14:51.600 --> 01:14:53.600]   And they're doing the same thing.
[01:14:53.600 --> 01:14:55.600]   And they're doing the same thing.
[01:14:55.600 --> 01:14:57.600]   And they're doing the same thing.
[01:14:57.600 --> 01:14:59.600]   And they're doing the same thing.
[01:14:59.600 --> 01:15:01.600]   And they're doing the same thing.
[01:15:01.600 --> 01:15:03.600]   And they're doing the same thing.
[01:15:03.600 --> 01:15:05.600]   And they're doing the same thing.
[01:15:05.600 --> 01:15:07.600]   And they're doing the same thing.
[01:15:07.600 --> 01:15:09.600]   And they're doing the same thing.
[01:15:09.600 --> 01:15:11.600]   And they're doing the same thing.
[01:15:11.600 --> 01:15:13.600]   And they're doing the same thing.
[01:15:13.600 --> 01:15:15.600]   And they're doing the same thing.
[01:15:15.600 --> 01:15:17.600]   And they're doing the same thing.
[01:15:17.600 --> 01:15:19.600]   And they're doing the same thing.
[01:15:19.600 --> 01:15:21.600]   And they're doing the same thing.
[01:15:21.600 --> 01:15:23.600]   And they're doing the same thing.
[01:15:23.600 --> 01:15:25.600]   And they're doing the same thing.
[01:15:25.600 --> 01:15:27.600]   And they're doing the same thing.
[01:15:27.600 --> 01:15:29.600]   And they're doing the same thing.
[01:15:29.600 --> 01:15:31.600]   And they're doing the same thing.
[01:15:31.600 --> 01:15:33.600]   And they're doing the same thing.
[01:15:33.600 --> 01:15:35.600]   And they're doing the same thing.
[01:15:35.600 --> 01:15:37.600]   And they're doing the same thing.
[01:15:37.600 --> 01:15:39.600]   And they're doing the same thing.
[01:15:39.600 --> 01:15:41.600]   And they're doing the same thing.
[01:15:41.600 --> 01:15:43.600]   And they're doing the same thing.
[01:15:43.600 --> 01:15:45.600]   And they're doing the same thing.
[01:15:45.600 --> 01:15:47.600]   And they're doing the same thing.
[01:15:47.600 --> 01:15:49.600]   And they're doing the same thing.
[01:15:49.600 --> 01:15:51.600]   And they're doing the same thing.
[01:15:51.600 --> 01:15:53.600]   And they're doing the same thing.
[01:15:53.600 --> 01:15:55.600]   And they're doing the same thing.
[01:15:55.600 --> 01:15:57.600]   And they're doing the same thing.
[01:15:57.600 --> 01:15:59.600]   And they're doing the same thing.
[01:15:59.600 --> 01:16:01.600]   And they're doing the same thing.
[01:16:01.600 --> 01:16:03.600]   And they're doing the same thing.
[01:16:03.600 --> 01:16:05.600]   And they're doing the same thing.
[01:16:05.600 --> 01:16:07.600]   And they're doing the same thing.
[01:16:07.600 --> 01:16:09.600]   And they're doing the same thing.
[01:16:09.600 --> 01:16:11.600]   And they're doing the same thing.
[01:16:11.600 --> 01:16:13.600]   And they're doing the same thing.
[01:16:13.600 --> 01:16:15.600]   And they're doing the same thing.
[01:16:15.600 --> 01:16:17.600]   And they're doing the same thing.
[01:16:17.600 --> 01:16:19.600]   And they're doing the same thing.
[01:16:19.600 --> 01:16:21.600]   And they're doing the same thing.
[01:16:21.600 --> 01:16:23.600]   And they're doing the same thing.
[01:16:23.600 --> 01:16:25.600]   And they're doing the same thing.
[01:16:25.600 --> 01:16:27.600]   And they're doing the same thing.
[01:16:27.600 --> 01:16:29.600]   And they're doing the same thing.
[01:16:29.600 --> 01:16:31.600]   And they're doing the same thing.
[01:16:31.600 --> 01:16:33.600]   And they're doing the same thing.
[01:16:33.600 --> 01:16:35.600]   And they're doing the same thing.
[01:16:35.600 --> 01:16:37.600]   And they're doing the same thing.
[01:16:37.600 --> 01:16:39.600]   And they're doing the same thing.
[01:16:39.600 --> 01:16:41.600]   And they're doing the same thing.
[01:16:41.600 --> 01:16:43.600]   And they're doing the same thing.
[01:16:43.600 --> 01:16:45.600]   And they're doing the same thing.
[01:16:45.600 --> 01:16:47.600]   And they're doing the same thing.
[01:16:47.600 --> 01:16:49.600]   And they're doing the same thing.
[01:16:49.600 --> 01:16:51.600]   And they're doing the same thing.
[01:16:51.600 --> 01:16:53.600]   And they're doing the same thing.
[01:16:53.600 --> 01:16:55.600]   And they're doing the same thing.
[01:16:55.600 --> 01:16:57.600]   And they're doing the same thing.
[01:16:57.600 --> 01:16:59.600]   And they're doing the same thing.
[01:16:59.600 --> 01:17:01.600]   And they're doing the same thing.
[01:17:01.600 --> 01:17:03.600]   And they're doing the same thing.
[01:17:03.600 --> 01:17:05.600]   And they're doing the same thing.
[01:17:05.600 --> 01:17:07.600]   And they're doing the same thing.
[01:17:07.600 --> 01:17:09.600]   And they're doing the same thing.
[01:17:09.600 --> 01:17:11.600]   And they're doing the same thing.
[01:17:11.600 --> 01:17:13.600]   And they're doing the same thing.
[01:17:13.600 --> 01:17:15.600]   And they're doing the same thing.
[01:17:15.600 --> 01:17:17.600]   And they're doing the same thing.
[01:17:17.600 --> 01:17:19.600]   And they're doing the same thing.
[01:17:19.600 --> 01:17:21.600]   And they're doing the same thing.
[01:17:21.600 --> 01:17:23.600]   And they're doing the same thing.
[01:17:23.600 --> 01:17:25.600]   And they're doing the same thing.
[01:17:25.600 --> 01:17:27.600]   And they're doing the same thing.
[01:17:27.600 --> 01:17:29.600]   And they're doing the same thing.
[01:17:29.600 --> 01:17:31.600]   And they're doing the same thing.
[01:17:31.600 --> 01:17:33.600]   And they're doing the same thing.
[01:17:33.600 --> 01:17:35.600]   And they're doing the same thing.
[01:17:35.600 --> 01:17:37.600]   And they're doing the same thing.
[01:17:37.600 --> 01:17:39.600]   And they're doing the same thing.
[01:17:39.600 --> 01:17:41.600]   And they're doing the same thing.
[01:17:41.600 --> 01:17:43.600]   And they're doing the same thing.
[01:17:43.600 --> 01:17:45.600]   And they're doing the same thing.
[01:17:45.600 --> 01:17:47.600]   And they're doing the same thing.
[01:17:47.600 --> 01:17:49.600]   And they're doing the same thing.
[01:17:49.600 --> 01:17:51.600]   And they're doing the same thing.
[01:17:51.600 --> 01:17:53.600]   And they're doing the same thing.
[01:17:53.600 --> 01:17:55.600]   And they're doing the same thing.
[01:17:55.600 --> 01:17:57.600]   And they're doing the same thing.
[01:17:57.600 --> 01:17:59.600]   And they're doing the same thing.
[01:17:59.600 --> 01:18:01.600]   And they're doing the same thing.
[01:18:01.600 --> 01:18:03.600]   And they're doing the same thing.
[01:18:03.600 --> 01:18:05.600]   And they're doing the same thing.
[01:18:05.600 --> 01:18:07.600]   And they're doing the same thing.
[01:18:07.600 --> 01:18:09.600]   And they're doing the same thing.
[01:18:09.600 --> 01:18:11.600]   And they're doing the same thing.
[01:18:11.600 --> 01:18:13.600]   And they're doing the same thing.
[01:18:13.600 --> 01:18:15.600]   And they're doing the same thing.
[01:18:15.600 --> 01:18:17.600]   And they're doing the same thing.
[01:18:17.600 --> 01:18:19.600]   And they're doing the same thing.
[01:18:19.600 --> 01:18:21.600]   And they're doing the same thing.
[01:18:21.600 --> 01:18:23.600]   And they're doing the same thing.
[01:18:23.600 --> 01:18:25.600]   And they're doing the same thing.
[01:18:25.600 --> 01:18:27.600]   And they're doing the same thing.
[01:18:27.600 --> 01:18:29.600]   And they're doing the same thing.
[01:18:29.600 --> 01:18:31.600]   And they're doing the same thing.
[01:18:31.600 --> 01:18:33.600]   And they're doing the same thing.
[01:18:33.600 --> 01:18:35.600]   And they're doing the same thing.
[01:18:35.600 --> 01:18:37.600]   And they're doing the same thing.
[01:18:37.600 --> 01:18:39.600]   And they're doing the same thing.
[01:18:39.600 --> 01:18:41.600]   And they're doing the same thing.
[01:18:41.600 --> 01:18:43.600]   And they're doing the same thing.
[01:18:43.600 --> 01:18:45.600]   And they're doing the same thing.
[01:18:45.600 --> 01:18:47.600]   And they're doing the same thing.
[01:18:47.600 --> 01:18:49.600]   And they're doing the same thing.
[01:18:49.600 --> 01:18:51.600]   And they're doing the same thing.
[01:18:51.600 --> 01:18:53.600]   And they're doing the same thing.
[01:18:53.600 --> 01:18:55.600]   And they're doing the same thing.
[01:18:55.600 --> 01:18:57.600]   And they're doing the same thing.
[01:18:57.600 --> 01:18:59.600]   And they're doing the same thing.
[01:18:59.600 --> 01:19:01.600]   And they're doing the same thing.
[01:19:01.600 --> 01:19:03.600]   And they're doing the same thing.
[01:19:03.600 --> 01:19:05.600]   And they're doing the same thing.
[01:19:05.600 --> 01:19:07.600]   And they're doing the same thing.
[01:19:07.600 --> 01:19:09.600]   And they're doing the same thing.
[01:19:09.600 --> 01:19:11.600]   And they're doing the same thing.
[01:19:11.600 --> 01:19:13.600]   And they're doing the same thing.
[01:19:13.600 --> 01:19:15.600]   And they're doing the same thing.
[01:19:15.600 --> 01:19:17.600]   And they're doing the same thing.
[01:19:17.600 --> 01:19:19.600]   And they're doing the same thing.
[01:19:19.600 --> 01:19:21.600]   And they're doing the same thing.
[01:19:21.600 --> 01:19:23.600]   And they're doing the same thing.
[01:19:23.600 --> 01:19:25.600]   And they're doing the same thing.
[01:19:25.600 --> 01:19:27.600]   And they're doing the same thing.
[01:19:27.600 --> 01:19:29.600]   And they're doing the same thing.
[01:19:29.600 --> 01:19:31.600]   And they're doing the same thing.
[01:19:31.600 --> 01:19:33.600]   And they're doing the same thing.
[01:19:33.600 --> 01:19:35.600]   And they're doing the same thing.
[01:19:35.600 --> 01:19:37.600]   And they're doing the same thing.
[01:19:37.600 --> 01:19:39.600]   And they're doing the same thing.
[01:19:39.600 --> 01:19:41.600]   And they're doing the same thing.
[01:19:41.600 --> 01:19:43.600]   And they're doing the same thing.
[01:19:43.600 --> 01:19:45.600]   And they're doing the same thing.
[01:19:45.600 --> 01:19:47.600]   And they're doing the same thing.
[01:19:47.600 --> 01:19:49.600]   And they're doing the same thing.
[01:19:49.600 --> 01:19:51.600]   And they're doing the same thing.
[01:19:51.600 --> 01:19:53.600]   And they're doing the same thing.
[01:19:53.600 --> 01:19:55.600]   And they're doing the same thing.
[01:19:55.600 --> 01:19:57.600]   And they're doing the same thing.
[01:19:57.600 --> 01:19:59.600]   And they're doing the same thing.
[01:19:59.600 --> 01:20:01.600]   And they're doing the same thing.
[01:20:01.600 --> 01:20:03.600]   And they're doing the same thing.
[01:20:03.600 --> 01:20:05.600]   And they're doing the same thing.
[01:20:05.600 --> 01:20:07.600]   And they're doing the same thing.
[01:20:07.600 --> 01:20:09.600]   And they're doing the same thing.
[01:20:09.600 --> 01:20:11.600]   And they're doing the same thing.
[01:20:11.600 --> 01:20:13.600]   And they're doing the same thing.
[01:20:13.600 --> 01:20:15.600]   And they're doing the same thing.
[01:20:15.600 --> 01:20:17.600]   And they're doing the same thing.
[01:20:17.600 --> 01:20:19.600]   And they're doing the same thing.
[01:20:19.600 --> 01:20:21.600]   And they're doing the same thing.
[01:20:21.600 --> 01:20:23.600]   And they're doing the same thing.
[01:20:23.600 --> 01:20:25.600]   And they're doing the same thing.
[01:20:25.600 --> 01:20:27.600]   And they're doing the same thing.
[01:20:27.600 --> 01:20:29.600]   And they're doing the same thing.
[01:20:29.600 --> 01:20:31.600]   And they're doing the same thing.
[01:20:31.600 --> 01:20:33.600]   And they're doing the same thing.
[01:20:33.600 --> 01:20:35.600]   And they're doing the same thing.
[01:20:35.600 --> 01:20:37.600]   And they're doing the same thing.
[01:20:37.600 --> 01:20:39.600]   And they're doing the same thing.
[01:20:39.600 --> 01:20:41.600]   And they're doing the same thing.
[01:20:41.600 --> 01:20:43.600]   And they're doing the same thing.
[01:20:43.600 --> 01:20:45.600]   And they're doing the same thing.
[01:20:45.600 --> 01:20:47.600]   And they're doing the same thing.
[01:20:47.600 --> 01:20:49.600]   And they're doing the same thing.
[01:20:49.600 --> 01:20:51.600]   And they're doing the same thing.
[01:20:51.600 --> 01:20:53.600]   And they're doing the same thing.
[01:20:53.600 --> 01:20:55.600]   And they're doing the same thing.
[01:20:55.600 --> 01:20:57.600]   And they're doing the same thing.
[01:20:57.600 --> 01:20:59.600]   And they're doing the same thing.
[01:20:59.600 --> 01:21:01.600]   And they're doing the same thing.
[01:21:01.600 --> 01:21:03.600]   And they're doing the same thing.
[01:21:03.600 --> 01:21:05.600]   And they're doing the same thing.
[01:21:05.600 --> 01:21:07.600]   And they're doing the same thing.
[01:21:07.600 --> 01:21:09.600]   And they're doing the same thing.
[01:21:09.600 --> 01:21:11.600]   And they're doing the same thing.
[01:21:11.600 --> 01:21:13.600]   And they're doing the same thing.
[01:21:13.600 --> 01:21:15.600]   And they're doing the same thing.
[01:21:15.600 --> 01:21:17.600]   And they're doing the same thing.
[01:21:17.600 --> 01:21:19.600]   And they're doing the same thing.
[01:21:19.600 --> 01:21:21.600]   And they're doing the same thing.
[01:21:21.600 --> 01:21:23.600]   And they're doing the same thing.
[01:21:23.600 --> 01:21:25.600]   And they're doing the same thing.
[01:21:25.600 --> 01:21:27.600]   And they're doing the same thing.
[01:21:27.600 --> 01:21:29.600]   And they're doing the same thing.
[01:21:29.600 --> 01:21:31.600]   And they're doing the same thing.
[01:21:31.600 --> 01:21:33.600]   And they're doing the same thing.

