
[00:00:00.000 --> 00:00:06.720]   for the vast majority of human existence we've been nomadic and we've done these kind of wider
[00:33:13.520 --> 00:33:20.640]   invention of agriculture and we can't have sedentary communities until people learn how to farm but that's
[00:33:20.640 --> 00:33:28.240]   been discounted peru was a big part of that that area of coral it's connected to another city on the coast
[00:33:28.240 --> 00:33:36.640]   called aspero and aspero starts about the same time but they're all about fishing they have no farming
[00:33:37.360 --> 00:33:42.400]   and coral who's up river from them is farming but funny enough they're not really farming food
[00:33:42.400 --> 00:33:48.880]   they're farming cotton and they're making nets and they're trading the nets with the people on the coast
[00:33:48.880 --> 00:33:57.440]   for the fish so it's not as simple as it's just agriculture anymore but it is i think still rooted in
[00:33:57.440 --> 00:34:04.240]   how can we feed more people than just our family how can we together create a food abundance
[00:34:04.240 --> 00:34:11.760]   so we're no longer scared about running out of food so is it possible which is something you've argued
[00:34:11.760 --> 00:34:23.040]   that civilization started in the amazon in the jungle i do think so i think religion in south america began
[00:34:23.040 --> 00:34:30.880]   in the amazon i think there were people there very old there's actually uh the earliest pottery in all
[00:34:30.880 --> 00:34:37.520]   of the americas all these places that we have civilizations that grew up you know where the oldest pottery is
[00:34:37.520 --> 00:34:44.080]   the middle of the amazon so there's interesting cultures developing in the amazon so religion
[00:34:44.720 --> 00:34:52.400]   you would say preceded civilization in south america the uh the corral and aspero that i was just talking
[00:34:52.400 --> 00:34:59.600]   about it's weird what a dearth of art and any evidence of religion we have we have those pyramids
[00:34:59.600 --> 00:35:04.560]   and things that we call temples but we don't really know what went on in there and there's no hints
[00:35:05.440 --> 00:35:14.320]   of uh religious iconography uh ceremonies nothing like that the first stuff that we get is right when
[00:35:14.320 --> 00:35:24.720]   that culture ends about 1800 bce this culture called uh shavin starts up and they their main temple is up in
[00:35:24.720 --> 00:35:33.600]   the andes in this place of uh least path of re least resistance between the amazon and the coast it's about
[00:35:33.600 --> 00:35:40.400]   three days walk either way from this this place where this temple is that's where we start seeing the very
[00:35:40.400 --> 00:35:46.960]   first religious iconography and it's all over the temples there are things that are definitely from the
[00:35:46.960 --> 00:35:56.000]   coast but the iconography are all jaguars and snakes and crocodiles and those don't come from the coast
[00:35:56.000 --> 00:36:02.160]   all of those things are coming out of the amazon i mean religion is a really powerful idea religions
[00:36:02.160 --> 00:36:07.760]   are one of the most powerful ideas they're the strongest myths that tie people together and to you
[00:36:07.760 --> 00:36:18.640]   it's possible that this powerful uh idea in south america started in the amazon i do i do think it did um
[00:36:18.640 --> 00:36:28.000]   and you're right ideas are more powerful than weapons but archaeology can't see them at all we can see
[00:36:28.000 --> 00:36:36.000]   sometimes we can see ideas manifesting in the things they they create and lead to but there's an
[00:36:36.000 --> 00:36:42.000]   interpretation problem are we right about what idea created this that those are things that archaeology
[00:36:42.000 --> 00:36:47.760]   just can't get at that's one of the challenges of archaeology and looking into ancient histories
[00:36:47.760 --> 00:36:53.600]   you're trying to not just understand what they were doing in terms of architecture but understand what
[00:36:53.600 --> 00:37:00.160]   was going on inside their mind that's really what what i'm in it for trying to understand these people
[00:37:00.160 --> 00:37:06.800]   and it's real detective work and we know we're dealing with uh a totally flawed record we only
[00:37:06.800 --> 00:37:14.560]   have what could preserve the test of time you know if we look around this room here if uh if 2000 years
[00:37:14.560 --> 00:37:19.120]   of weathering happened in this room what would be left and what would we think happened here
[00:37:21.280 --> 00:37:30.000]   right right right right but there's not in this room but if you look at thousands of rooms like it maybe
[00:37:30.000 --> 00:37:37.040]   you can start to piece things together about the different ideologies that ruled the world uh the
[00:37:37.040 --> 00:37:44.240]   religions the different ideas uh tell me about this feng deity one of your more controversial ideas is that
[00:37:44.240 --> 00:37:51.920]   you believe that the rule the religions there's a thread that connects the different civilizations the
[00:37:51.920 --> 00:38:01.440]   societies of the andean region and the religion that practice is more monotheistic than is currently
[00:38:01.440 --> 00:38:08.000]   believed in the mainstream that is exactly what i think and it's i think it's all about this fang deity who
[00:38:08.000 --> 00:38:13.360]   somewhere thousands of years ago crawled his way out of the amazon up into the andes and
[00:38:13.360 --> 00:38:20.320]   a religion took hold that could have been kind of a combination of ideas from the coast and the amazon but
[00:38:20.320 --> 00:38:28.720]   he is the one creator deity in my opinion through all of these cultures and the people in the amazon still
[00:38:28.720 --> 00:38:36.800]   talk about him there his name is viho masse in some groups but they say that his uh his emissaries on
[00:38:36.800 --> 00:38:42.880]   earth are the jaguars and that he is the creator deity why is the current mainstream belief is that
[00:38:42.880 --> 00:38:51.280]   a lot of the religions are not monotheistic well there are bona fide uh pantheons you know greece had
[00:38:51.280 --> 00:38:58.560]   one egypt had one mesopotamia had one lots of the early religions of the old world were
[00:38:58.560 --> 00:39:05.440]   pantheons and i think that was part of the problem the earliest archaeologists walked in there with a
[00:39:05.440 --> 00:39:11.200]   preconceived notion that ancient cultures have pantheons and so they went to the art looking for
[00:39:11.200 --> 00:39:19.280]   them and they came up with things like the shark god and the moon goddess and the sun god and all these
[00:39:19.280 --> 00:39:26.880]   things but when i look at the art and i was trained by a person right here in austin texas as an art historian
[00:39:27.600 --> 00:39:35.520]   you follow certain uh diagnostic traits through art to see the development over time and when i look at
[00:39:35.520 --> 00:39:42.960]   it and use that methodology there's a single face with goggle eyes and fangs and claws on his hands and
[00:39:42.960 --> 00:39:50.640]   feet and snakes coming off of his head and off of his belt he's he's got really identifiable traits he also
[00:39:50.640 --> 00:39:56.880]   likes to sever people's heads off and carry them around but he's the fanged deity and he's there
[00:39:56.880 --> 00:40:04.560]   he shows up in chavin de juantar the capital of that chavin culture and he keeps showing up through
[00:40:04.560 --> 00:40:14.960]   every culture even thousands of miles away throughout the next two millennium right up to the inca the inca have
