
[00:00:00.040 --> 00:00:04.960]   all right everybody welcome to the number one podcast in the world here we are on the all in
[01:47:23.920 --> 01:47:32.080]   but if i'm mayo clinic i'm not giving microsoft or google or open ai my ip because that's what brands me
[01:47:32.080 --> 01:47:39.600]   and so there's going to be a lot of money available there and i think um that there that has got to be a
[01:47:39.600 --> 01:47:45.680]   way to there's got to be a way to figure that out right first how does ip work and how is it distributed
[01:47:45.680 --> 01:47:51.600]   and then how are we using it just in general we really don't know how we're going to implement it
[01:47:51.600 --> 01:47:56.080]   or use it or what the interface is going to be and all that will be figured out by some kid somewhere
[01:47:56.080 --> 01:48:00.800]   so maybe just to wrap mark so these these next 10 or 15 years is it about doubling down on these
[01:48:00.800 --> 01:48:07.440]   current things making cost plus thing huge like harvesting essentially or are you going to do new
[01:48:07.440 --> 01:48:13.520]   things or there's just the bar getting you know when i'm gone i wanted to say he did it
[01:48:13.520 --> 01:48:19.520]   it was expensive when we were sick it ain't expensive no more and to me that's that's the
[01:48:19.520 --> 01:48:25.360]   ultimate mission now it's fun to learn ai and you know build models and do all that stuff right
[01:48:25.360 --> 01:48:30.960]   um but when it's all said and done to me that's where you want to mark that's what let me let me
[01:48:30.960 --> 01:48:36.640]   ask you a final final question that's great uh we've uh you've done a reality show just retired from
[01:48:36.640 --> 01:48:45.120]   that cashed out of three quarters of the mavericks check did that um helping people with uh this cost
[01:48:45.120 --> 01:48:50.880]   plus drugs and and saving people money it's a pretty noble mission kind of adds up to you're going to
[01:48:50.880 --> 01:48:55.760]   run for president and no no there's no no why not it would be a great thing to do you've checked off
[01:48:55.760 --> 01:49:00.480]   all the boxes why wouldn't you old now too old now right he's not what he's talking about 20 years
[01:49:00.480 --> 01:49:05.920]   younger than trump and biden is wrong i changed i'm a sock puppet in my spare time i changed it
[01:49:05.920 --> 01:49:09.760]   four years from now eight years from now would you would you even consider it or if you were going to
[01:49:09.760 --> 01:49:15.440]   consider it yeah right of our era right yeah how would you process making that decision my kids hated
[01:49:15.440 --> 01:49:20.000]   the idea my wife hated the idea they want you know it's hard enough for them to have a normal life
[01:49:20.000 --> 01:49:25.120]   as it is um and that just takes it to a whole nother plus you'd have to run as a republican
[01:49:25.120 --> 01:49:30.000]   because democrats hate billionaires like you no actually bloomberg right you saw it in bloomberg
[01:49:30.000 --> 01:49:34.240]   yeah but that's a hundred million dollars made it to the first question of the first debate boom
[01:49:34.240 --> 01:49:38.160]   elizabeth warren knocked him out but let me just tell you this and we don't have to talk more about
[01:49:38.160 --> 01:49:45.120]   politics parties don't exist anymore they don't they're there's fundraising vehicles and they have
[01:49:45.120 --> 01:49:51.280]   procedures in place but this is donald trump he took over the republican party they do what he says
[01:49:51.280 --> 01:49:56.320]   and kamala harris has learned from donald trump give him credit she has learned what worked for him
[01:49:56.320 --> 01:50:01.600]   they're not stupid she has learned that she has got to be that personality that takes over and they have
[01:50:01.600 --> 01:50:06.960]   got to do what she says you haven't heard a word from bernie or elizabeth warren and that's not
[01:50:06.960 --> 01:50:12.320]   unintentional she is doing it her way now whether or not you agree what she's doing or her approach to win
[01:50:12.880 --> 01:50:17.040]   everybody can argue and that's what makes a market but there are no political parties anymore and the
[01:50:17.040 --> 01:50:23.760]   idea of the the ideology of a party on the democratic side is no more in place than on the republican side
[01:50:23.760 --> 01:50:29.200]   all right so uh with that my nicks got a shot this year what do you think yeah i thought the trade was
[01:50:29.200 --> 01:50:35.600]   great i thought that was great yeah it's great i think that's great i mean he's a little weak on the
[01:50:35.600 --> 01:50:40.720]   defense but he's you know but with kp right that's what they're doing how do they match up with boston
[01:50:40.720 --> 01:50:45.840]   and so kp and cat match up and that's why we got a shot you're saying there's a chance yeah i think
[01:50:45.840 --> 01:50:50.560]   my nicks might get there i'm saying you and jim carrey have a lot in common there's a chance all
[01:50:50.560 --> 01:50:56.240]   right everybody this has been another amazing episode thank you this is fun thanks guys come back
[01:50:56.240 --> 01:51:00.240]   anytime mark and we'll see you all next time bye bye thanks guys that was awesome they'll give you
[01:51:00.240 --> 01:51:06.320]   instructions and i'll upload and i'll see you at a game soon yeah you guys are awesome cheers and i don't mind
[01:51:06.320 --> 01:51:10.640]   arguing david i love to argue this stuff right i know i know look i give you credit you're fun to
[01:51:10.640 --> 01:51:16.880]   talk with and argue with and you obviously don't take it personally and i appreciate that and uh yeah
[01:51:16.880 --> 01:51:22.160]   i give you credit for having fun with it i know too many depressed billionaires so yeah i give you i
[01:51:22.160 --> 01:51:26.240]   give you a lot of credit yeah i i don't get that but you know what if you were if you were when you
[01:51:26.240 --> 01:51:31.440]   were poor you're up when you're rich right and it just doesn't change anything i was hoping you
[01:51:31.440 --> 01:51:36.320]   we talked about elon well we could still go there where's jake we can still go there you can ask the
[01:51:36.320 --> 01:51:44.320]   question if you want all right two of my besties oh has 25 years you and elon is this uh you guys
[01:51:44.320 --> 01:51:51.120]   just uh goofing on each other you got an issue with elon that's sincere or is it just playful fun trolling
[01:51:51.120 --> 01:51:59.360]   so two things one as an entrepreneur elon's like the of the of the right yeah there's i'm a huge fan
[01:51:59.360 --> 01:52:05.040]   what he's been able to accomplish is insane it's incredible i would never diminish anything he's
[01:52:05.040 --> 01:52:13.360]   done as an entrepreneur as a twitter user he's a troll and i mean he just trolls to troll to troll
[01:52:13.360 --> 01:52:20.640]   and every good troll deserves a foil right somebody to troll back and it's just so easy and so much fun
[01:52:20.640 --> 01:52:25.120]   um now you know i get some of the underlying principles i think at least in my mind like when
[01:52:25.120 --> 01:52:28.640]   he talks about what do you think about the first amendment principle that he's doing here of like
[01:52:28.640 --> 01:52:36.000]   radically changing twitter from like it's pretty controlled to hey anything goes i think that's
[01:52:36.000 --> 01:52:44.000]   almost anything i think that's a fear of losing um users so i think that within the conservative
[01:52:44.000 --> 01:52:52.400]   community they are more joiners and heavier um social media users participants yeah yeah participants so
[01:52:52.400 --> 01:52:58.960]   they they subscribe to more things they listen to more podcasts they're more active and i think he
[01:52:58.960 --> 01:53:06.960]   recognized that and that was a fundamental underpinning of why he kind of connected to them on the free
[01:53:06.960 --> 01:53:12.160]   speech thing because he still has his limits obviously it's his platform and what he doesn't want
[01:53:12.160 --> 01:53:18.320]   doesn't get shown so i think that's why and i can't blame him um i wish he would call me i'd help him on on
[01:53:18.320 --> 01:53:24.880]   on his his revenue and all that and then i think on the immigration side here's my theory you guys can
[01:53:24.880 --> 01:53:31.840]   tell me if you agree or disagree i don't think he's anti-immigration like he says you know anti-illegal
[01:53:31.840 --> 01:53:38.480]   immigration um where anybody who's in the country should be deported i think as an immigrant himself and
[01:53:38.480 --> 01:53:44.080]   i'm second generation you guys are you know immigrants at some level we all are but i think as an immigrant
[01:53:44.080 --> 01:53:51.440]   he thinks that the number of illegal immigrants in this country and the hate that's pushed towards them
[01:53:51.440 --> 01:54:01.040]   carries over to legal immigrants including himself and i think he by he believes that by diminishing
[01:54:01.040 --> 01:54:08.400]   the illegal or the non-citizens in this country and asking for their removal it improves the standing of
[01:54:08.400 --> 01:54:14.160]   the legal immigrants including himself and so that's kind of my theory on on both of those things
[01:54:14.160 --> 01:54:20.560]   interesting yeah it's uh it's certainly a different place i don't think you need much of a theory to
[01:54:20.560 --> 01:54:26.240]   explain elon's use because he's just so transparent about what he believes i truly believe that his core
[01:54:26.240 --> 01:54:32.480]   conviction and the reason he bought twitter x is because he wanted to unlock it as a free speech
[01:54:32.480 --> 01:54:37.440]   platform yeah i don't i don't think so okay well i don't know how much more money he can lose
[01:54:37.440 --> 01:54:42.480]   in pursuit of that but let's see here's why here's why i disagree you don't take other people's money to
[01:54:42.480 --> 01:54:48.240]   do that if he put i don't think he knew he didn't know that he would get boycotted by all these
[01:54:48.240 --> 01:54:55.120]   advertisements yeah but he knew he knew that i think he went in open eyes carried the sink in the door
[01:54:55.680 --> 01:55:01.760]   to run it with some improvements operationally which he did a great job of and to and taking
[01:55:01.760 --> 01:55:05.760]   out a huge amount of the cost structure which he did but jason and i were there on the first day the
[01:55:05.760 --> 01:55:11.200]   first day he took over there was an organized boycott of advertisers they called him anti-semitic
[01:55:11.200 --> 01:55:17.280]   which is ridiculous before he even had a chance to do one thing about that site so i've heard from
[01:55:17.280 --> 01:55:25.280]   a lot of those folks um and it's not so much look when you talk about free speech free speech applies
[01:55:25.280 --> 01:55:30.880]   to advertisers as well they get to associate with whoever they want to no matter what so sure so
[01:55:30.880 --> 01:55:37.600]   there there are um unless there's a unless there's a uh a collusive effort going on to sort of organize
[01:55:37.600 --> 01:55:42.240]   no and i get that organization just resolved immediately so there weren't but look i could
[01:55:42.240 --> 01:55:46.320]   from my own self right i don't understand why you won't give him credit for believing in free speech
[01:55:46.320 --> 01:55:51.120]   that's clearly i don't have no problem with free speech look i've always said people like get rid
[01:55:51.120 --> 01:55:56.000]   of the anti-semitic people you get anti-semitic tropes i get you know zillions of anti-semitic
[01:55:56.000 --> 01:56:02.800]   tropes you know in my in my replies just they're non-stop i mean i'm not white you know my grandparents
[01:56:02.800 --> 01:56:07.680]   changed their name to from chabinski to cuban not even intentionally and so it's always your real name
[01:56:07.680 --> 01:56:12.560]   is chabinski white there's just the hate there is insane and my attitude has always been i want to know
[01:56:12.560 --> 01:56:18.880]   who the morons are i have no problem with them still being allowed on the platform but the trade-off
[01:56:18.880 --> 01:56:25.360]   is for advertisers they don't want to be associated with that there is no upside for being on twitter
[01:56:25.360 --> 01:56:31.920]   right now or excellent right now and you add to that the porn kids 13 years old can go on that site
[01:56:31.920 --> 01:56:40.080]   and you can find any insane thing you want on x right now and that also is a problem for advertisers
[01:56:40.080 --> 01:56:45.680]   that's part of free speech but you got to pay the bill when you're willing to accept that i don't think
[01:56:45.680 --> 01:56:52.000]   he realized just how deep users will go in order to use their free speech and i think that really
[01:56:52.000 --> 01:56:57.440]   surprised him and so that's why i don't think that he bought it specifically for free speech because i
[01:56:57.440 --> 01:57:02.720]   think he's always one of the things i really admire i don't know i mean he said he said before he bought
[01:57:02.720 --> 01:57:07.040]   it that he was going to open it up as a free speech platform and this is why hold on this is why the
[01:57:07.040 --> 01:57:12.640]   left immediately started boycotting him before he even changed one policy jake out help me out you were
[01:57:12.640 --> 01:57:20.000]   there well i know for a fact this was a free speech mission for him i do think you know multiple
[01:57:20.000 --> 01:57:26.480]   things can be true mark you are correct that if you have spicy content advertisers don't want anything
[01:57:26.480 --> 01:57:30.480]   to do with it and they have choices and it's also one of the smaller platforms so they have choices
[01:57:30.480 --> 01:57:35.360]   that have more scale so that makes it even easier and it's also true that they're boycotting him
[01:57:35.360 --> 01:57:39.840]   and specifically targeting but all these things are happening at the same time that's fair and i and i
[01:57:39.840 --> 01:57:46.160]   think you know when you look at what he's done there we'll look at it historically as this place
[01:57:46.160 --> 01:57:54.880]   that was very controlled and clean and owned by the press and the elites became this chaotic thing but
[01:57:54.880 --> 01:58:01.360]   also ultimately the one place where at scale you cannot be cancelled and you know if you look at
[01:58:01.360 --> 01:58:06.960]   cancellation as a concept the number one place to get cancelled was twitter you said something even
[01:58:06.960 --> 01:58:12.000]   slightly off man they came down on you they destroyed you and that now that we've gotten rid of cancel
[01:58:12.000 --> 01:58:17.200]   culture and people can say what they believe and people can make them i don't know why it's necessary
[01:58:17.200 --> 01:58:21.600]   to find you think i don't know let me just finish the thought i do think that that will be looked at
[01:58:21.600 --> 01:58:26.240]   as a beautiful thing that he gave to society as a gift and it will be looked at as a really challenged
[01:58:26.240 --> 01:58:32.960]   business because it was an ad business that lost its advertising base and apple and disney have choices i don't see the
[01:58:32.960 --> 01:58:39.440]   need here to look past or to look for an ulterior motive and what elon's doing elon believes in
[01:58:39.440 --> 01:58:45.360]   free speech it's very clear he's run the platform that way and it's costing money so what else could
[01:58:45.360 --> 01:58:50.160]   the motivation be except his principles obviously but he was also addicted to it i can tell you that
[01:58:50.160 --> 01:58:56.640]   as the person who got him i know but that's not that's not why he's running as a free speech let me give you my
[01:58:56.640 --> 01:59:00.960]   counter to that you know him better than i do why are we even having this debate who cares i mean i
[01:59:00.960 --> 01:59:06.160]   know i'm just curious yeah he's running as a free speech platform yeah and that's fine obviously it's
[01:59:06.160 --> 01:59:11.520]   his choice that that's free speech by definition actually to me this debate is is kind of pointless
[01:59:11.520 --> 01:59:16.320]   but let's let's talk about actually the the issue there's a new story this week where open
[01:59:16.320 --> 01:59:26.240]   ai just raised was a 6 billion yeah 150 valuation um they originally started that enterprise with 50
[01:59:26.240 --> 01:59:33.360]   million or so from elon it was a non-profit then they became a for-profit now there's a report saying
[01:59:33.360 --> 01:59:39.200]   that they're telling investors in this round that they can't invest in any other ai companies so they're
[01:59:39.200 --> 01:59:45.760]   acting like i mean they've gone from non-profit philanthropy to piranha for-profit company it's pretty
[01:59:45.760 --> 01:59:50.560]   sharp elbow sam yeah sharp elbow sam said he wasn't going to take compensation now he's getting
[01:59:50.560 --> 01:59:56.800]   compensation yep 10 billion i mean what do you think about this i mean look it's their company they get
[01:59:56.800 --> 02:00:02.800]   to do what they want period of false pretenses i mean if they don't but but don't invest i mean
[02:00:02.800 --> 02:00:07.840]   they shouldn't invest he gave them a donation let me which leads to something i want to say very
[02:00:07.840 --> 02:00:15.200]   positive about elon put aside his genius in coming up and running these companies the one thing i i respect
[02:00:15.200 --> 02:00:21.760]   the most about elon musk and he does more than anybody i've ever seen and that is he goes all in
[02:00:21.760 --> 02:00:28.320]   he doesn't just you know he takes every cent he has and he believes in it and he goes all
[02:00:28.320 --> 02:00:36.560]   mother in he never hedges his bet at all until twitter right that's why i say you know he brought in
[02:00:36.560 --> 02:00:41.280]   investors you know he brought investors to tesla and everything but initially he went all in himself
[02:00:41.280 --> 02:00:45.680]   you know i think with twitter i think he was kind of surprised but going back to open ai
[02:00:45.680 --> 02:00:51.760]   i don't i wouldn't do business with people like that and there are people who just look for what
[02:00:51.760 --> 02:00:56.880]   they think is the next big thing and i certainly could have given them money didn't give them money
[02:00:56.880 --> 02:01:01.280]   i said one of our funds that i'm in gate did give them money originally didn't give them money another
[02:01:01.280 --> 02:01:07.920]   time to me that's just wrong and that catches up to you when people over investors and whatever it
[02:01:07.920 --> 02:01:14.800]   always comes back karma's a in business too now you know gemini with google i've done a lot of stuff with
[02:01:14.800 --> 02:01:22.320]   them notebook is insanely good gemini 1.5 is insanely good meta as open source and what they're doing is
[02:01:22.320 --> 02:01:28.480]   getting better and better there is no you know it there's nothing that says that open ai is going to
[02:01:28.480 --> 02:01:36.080]   win nothing at all and so i don't feel bad about what they're doing and to me it tells me they're more
[02:01:36.080 --> 02:01:42.560]   scared than anything by trying to restrict what people are doing yep that's your perspective it says
[02:01:42.560 --> 02:01:49.040]   it's more a reflection of sam than anything else is right is what you're saying yep well i mean that
[02:01:49.040 --> 02:01:54.480]   would be reflected in the fact that so many people who are the co-founders have left yeah um that that's
[02:01:54.480 --> 02:01:59.840]   a really big red flag this thing is going to change the world and every all the co-founders leave i heard
[02:01:59.840 --> 02:02:04.560]   40 of the 44 co-founders left yeah with the original employees yeah i mean i don't know if that's true
[02:02:04.560 --> 02:02:09.200]   but that's bonkers and then if you well i mean if you also think about this business chamath and
[02:02:09.200 --> 02:02:14.480]   where it's headed sorry there were three there were 44 co-founders around the donald trump cabinet
[02:02:14.480 --> 02:02:20.720]   members thing yeah yeah no but i mean if you if you we we did a joke about it last week but if
[02:02:20.720 --> 02:02:26.080]   you just look at the the competition set that they're up against they're losing 5 billion a year
[02:02:26.080 --> 02:02:32.000]   they're making three and a half they put this thing at 150 billion it's 40 times 50 times revenue
[02:02:32.000 --> 02:02:37.760]   to fill in that valuation on price to sales basis you know it's kind of crazy here's the one thing
[02:02:37.760 --> 02:02:43.520]   that i'll say and i think mark said this in a different way but i'll just i don't think you can
[02:02:43.520 --> 02:02:54.480]   underestimate how companies like google microsoft facebook apple amazon will react when they feel cornered
[02:02:55.200 --> 02:03:00.080]   and i think in in the last 20 or 25 years what you've seen is those companies when their backs
[02:03:00.080 --> 02:03:05.840]   are against the wall they use money they're sharp elbowed but the consistent thing is they've won and
[02:03:05.840 --> 02:03:11.520]   so the real question is do people look at the chart of the users because typically what happens is it's
[02:03:11.520 --> 02:03:17.360]   users what tilts these companies when something some upstart you remember when snapchat was about to
[02:03:17.360 --> 02:03:22.560]   explode yeah there was a decision we're going to decapitate this company facebook effectively did that
[02:03:22.560 --> 02:03:29.120]   they relegated it to zynga yep zynga there's many examples so the real question is when they see that
[02:03:29.120 --> 02:03:35.680]   this app is going to be at three or five hundred million mal and they appear on some list where
[02:03:35.680 --> 02:03:41.760]   they're bigger than i don't know pick your favorite app inside of meta ever yeah ever yeah will they
[02:03:41.760 --> 02:03:46.080]   freak out and if they do freak out what do they do oh i can tell you they're freaking right now oh yeah
[02:03:46.080 --> 02:03:51.600]   it's an ex it's an existential risk to them right and the craze i mean look what microsoft did they
[02:03:51.600 --> 02:03:59.760]   bought three mile island the nuclear reactor they bought it everybody is looking for the angle and
[02:03:59.760 --> 02:04:04.560]   the crazy it's really good yes there used to be moore's law that everything followed right the price
[02:04:04.560 --> 02:04:10.400]   performance curve always went like this you know and power goes up now because you don't know you don't
[02:04:10.400 --> 02:04:15.360]   know what you don't know and what you need to do next that's part of the challenge that um elon has
[02:04:15.360 --> 02:04:20.400]   with tesla in terms of full service driving you don't know what you need to do next to get there to
[02:04:20.400 --> 02:04:26.880]   solve every problem do you have a tesla mark i do and i do also i also have a kia ev i have a tesla ev
[02:04:26.880 --> 02:04:32.720]   and i have a kia ev do you use the fsd and if so how is it what i have but i stopped using it just
[02:04:32.720 --> 02:04:39.680]   because it terrified me um because it doesn't know what adversarial things that doesn't know
[02:04:39.680 --> 02:04:44.000]   because you know you know anything that's adversarial that something that has to train
[02:04:44.000 --> 02:04:48.800]   on something that's seen and it's not smart enough to um figure out what it hasn't seen and whether or
[02:04:48.800 --> 02:04:56.080]   not it's a risk and i've said this before my my um four-year-old mini australian shepherd i can put it
[02:04:56.080 --> 02:05:02.080]   in a risky situation to cross the street and trust it'll get across the street no matter what it is it
[02:05:02.080 --> 02:05:08.320]   doesn't have to be pre-trained you can't do that with um full service driving yet and so until that
[02:05:08.320 --> 02:05:13.200]   gets to where it needs to be where adversarial issues aren't an issue i'm not going to fully
[02:05:13.200 --> 02:05:19.040]   trust it i have the 12. all right guys i gotta i gotta go mark thank you you've been really fun to
[02:05:19.040 --> 02:05:23.920]   talk to so good talking to you this has been overtime with the all-in podcast with mark cuban
[02:05:23.920 --> 02:05:26.960]   we'll see you all next time you got it guys thanks so much love you boys
[02:05:26.960 --> 02:05:33.600]   we'll let your winners ride rain man david sacks
[02:05:33.600 --> 02:05:40.480]   and it said we open source it to the fans and they've just gone crazy with it
[02:05:41.040 --> 02:05:44.160]   west i'm queen of kinoa i'm going all in
[02:05:44.160 --> 02:05:47.280]   let your winners ride what what your winners ride
[02:05:47.280 --> 02:05:50.640]   let your winners ride besties are gone
[02:05:50.640 --> 02:05:54.240]   gold 13th that is my uh dog taking a listen your driveway
[02:05:54.240 --> 02:05:59.920]   oh man
[02:05:59.920 --> 02:06:03.840]   we should all just get a room and just have it one big huge orgy because they're all just useless
[02:06:03.840 --> 02:06:07.920]   it's like this like sexual tension but they just need to release somehow
[02:06:07.920 --> 02:06:25.840]   what you're the beat what you're the beat we need to get mercies are back i'm going all in
[02:06:25.840 --> 02:06:26.340]   you
[02:06:26.340 --> 02:06:56.320]   Thank you.

