
[00:00:00.000 --> 00:00:04.120]   All the people who sold the war in Iraq, they lied us into war after a war.
[00:29:58.800 --> 00:29:59.880]   No, fuck them.
[00:29:59.880 --> 00:30:00.340]   I don't care.
[00:30:00.340 --> 00:30:05.060]   By the way, I get a lot of people speculate online, but I am not, I'm not getting any of these checks, man.
[00:30:05.060 --> 00:30:06.560]   And I'd really like them to start coming in.
[00:30:06.560 --> 00:30:06.780]   Yeah.
[00:30:06.780 --> 00:30:19.120]   Um, but there's like, even when it's like China, you say China's asserting the one China policy, but the one China policy is the policy of the United States of America and has been for 50 years now.
[00:30:19.120 --> 00:30:42.200]   So it's not, I think what's happening there a lot of times is that essentially, even though officially the one China policy is the policy of the United States of America, all of these American politicians, um, and, and, you know, different figureheads across powerful centers in America are, are saying that China doesn't have the right to go into Taiwan.
[00:30:42.200 --> 00:30:45.040]   And then China's in the position of being like, well, Hey, wait a minute.
[00:30:45.040 --> 00:30:47.340]   No, that's not actually the policy.
[00:30:47.340 --> 00:30:52.240]   We maintain this one China policy, but we allow them to kind of do what they want to do.
[00:30:52.240 --> 00:31:01.140]   And, you know, the, the most obvious example of this was when Joe Biden actually said like, Oh, we wouldn't allow that.
[00:31:01.140 --> 00:31:05.740]   And we would militarily intervene if they went into China and then, and this was so bizarre.
[00:31:05.740 --> 00:31:27.500]   Then the white house, whoever that was came out to correct the president of the United States and say, no, the policy of the white house is the one China policy, which look, I mean, again, I think the whole point of this is that the reason why whoever the hell was able to overrule Joe Biden and his administration.
[00:31:27.500 --> 00:31:51.540]   I don't know who that is, um, but the whole point is that if you say, and this is why there is some wisdom in America, accepting the one China policy is that if you tell China that we recognize, uh, uh, Taiwan's independence and that they're not a part of China, that might be the type of thing that would make China invade and say, no, we're not accepting that.
[00:31:51.540 --> 00:31:56.360]   And so at least right now, it's like, kind of like, okay, here's the, look, this is the reality.
[00:31:56.360 --> 00:32:00.940]   It's something that you kind of run up against with the war in Ukraine a lot.
[00:32:00.940 --> 00:32:11.220]   And, and with the situation in China and Taiwan is that there are, um, there are constraints placed on us by reality.
[00:32:11.220 --> 00:32:14.120]   It's not all just, how would you like the world to be?
[00:32:14.120 --> 00:32:15.180]   How would you like it to work?
[00:32:15.180 --> 00:32:23.400]   Obviously I think we would all like that bigger countries don't invade smaller countries and bigger countries don't bully smaller countries around that is not the way of the world.
[00:32:23.400 --> 00:32:24.980]   We are a big country.
[00:32:24.980 --> 00:32:26.880]   That is the biggest bully in the world.
[00:32:26.880 --> 00:32:38.820]   So we're in no position to let, but what we're kind of in the position is just like, you're like, Hey, we'd sure love, if you don't do that, you know, you can do it and you can get away with it, but we would sure love it if you don't.
[00:32:38.820 --> 00:32:52.100]   And so the goal would be to do everything we can to make sure that doesn't happen when Vladimir Putin starts talking about like, Hey, if you keep pushing the idea of Ukraine, joining your military lines, I'm going to invade that country.
[00:32:52.100 --> 00:32:57.160]   The goal there that, or the move there would be to be like, okay, we'll stop talking about that.
[00:32:57.160 --> 00:32:59.000]   Is there something else that we can agree on?
[00:32:59.000 --> 00:33:03.640]   You know, like, is there, is there a way that we, you, we, you will promise you won't do anything to them.
[00:33:03.640 --> 00:33:04.240]   And we'll, okay.
[00:33:04.240 --> 00:33:05.980]   And we'll promise we won't bring them in our military.
[00:33:05.980 --> 00:33:06.960]   Like, that's the goal.
[00:33:06.960 --> 00:33:09.120]   You don't just go like, no, fuck you.
[00:33:09.120 --> 00:33:13.540]   We're doing it anyway, over and over and over again until they do the thing.
[00:33:13.540 --> 00:33:18.140]   I think we got to this discussion from the military industrial complex and military intervention.
[00:33:18.140 --> 00:33:30.840]   And Ron Paul, before that, if you can like rewind a little bit, uh, is there any amount, according to you and according to various flavors of libertarianism, is there any amount of military intervention?
[00:33:31.800 --> 00:33:35.040]   That's justified that's okay.
[00:33:35.040 --> 00:33:49.640]   Um, well, I, I would say, okay, so at least to me, in, in terms of like pure libertarian theory, or just in, in terms of like what I think is right or wrong, like there is such thing as a just war.
[00:33:49.640 --> 00:33:56.980]   Um, the most obvious, uh, example of that would be like, you're invaded by a military and fighting them off.
[00:33:57.300 --> 00:34:14.580]   Um, so in, in that sense, also like, even if you want to, if you want to kind of isolate from everything else, uh, from, you know, all of the awful U S policy toward Russia, post, uh, Soviet union to all of the, you know, NATO expansion and color coded revolutions.
[00:34:14.580 --> 00:34:23.800]   And all of these things, if you want to, you know, Vladimir Putin invades Ukraine, I do think the Ukrainians have a right to fight and, and protect their, their land.
[00:34:23.800 --> 00:34:28.420]   Like there, the, the, there's an aggressive, there's an aggressor there and you have a right to defend yourself.
[00:34:28.420 --> 00:34:33.660]   Uh, so certainly in that sense, I think, um, the American revolution was a just war.
[00:34:33.660 --> 00:34:40.740]   Uh, I think there are, you know, there, there can be just wars in terms of pure libertarian theory.
[00:34:41.220 --> 00:34:49.360]   I think I would say that, look, you, you don't, you never have a right to kill innocent people there.
[00:34:49.360 --> 00:34:50.900]   That's never morally.
[00:34:50.900 --> 00:34:51.560]   Okay.
[00:34:51.560 --> 00:34:56.040]   Now there could be a scenario just like, this is true in life in general, right?
[00:34:56.040 --> 00:35:04.060]   Like there's lots of things that you don't have the right to do, but you could come up with some scenario where you might be in a position where you have to do it.
[00:35:04.060 --> 00:35:16.480]   Because there were all of these extenuating circumstances, you know, like for, you know, you could think of something where like, you remember the, uh, the saw movies where they used to, you know, these crazy, like horror scenarios, but it's like, um, okay.
[00:35:16.480 --> 00:35:28.780]   So there's a person, you know, uh, uh, evil bad guy has buried a key inside this person and you have to kill that person in order to get the key in order to unlock these 20 people to let them out of a cage.
[00:35:28.900 --> 00:35:31.620]   Now, look, you still don't have a right to kill people.
