
[00:00:00.000 --> 00:00:01.440]   Take Tiablo Canyon.
[01:12:04.380 --> 01:12:06.060]   all the other things,
[01:12:06.060 --> 01:12:09.100]   the fact that we have this dual level of litigation,
[01:12:09.100 --> 01:12:12.380]   and then, ironically, here at Diablo Canyon,
[01:12:12.380 --> 01:12:16.460]   you say, "Why, what was one of the leading forces
[01:12:16.460 --> 01:12:18.340]   "that caused this place to get decommissioned
[01:12:18.340 --> 01:12:19.340]   "in the first place?"
[01:12:19.340 --> 01:12:23.700]   It's groups euphemistically called Friends of the Earth,
[01:12:23.700 --> 01:12:26.340]   right, who sue them at every different stage,
[01:12:26.340 --> 01:12:29.380]   who turn public support against them.
[01:12:29.380 --> 01:12:33.180]   Ironically, right, if you decommission Diablo,
[01:12:33.180 --> 01:12:34.780]   you know what the state does?
[01:12:34.780 --> 01:12:37.940]   It imports more coal-produced power.
[01:12:37.940 --> 01:12:38.900]   - We know this.
[01:12:38.900 --> 01:12:41.460]   - And yet, Friends of the Earth are lobbying for this.
[01:12:41.460 --> 01:12:43.060]   - And that doesn't exist in China.
[01:12:43.060 --> 01:12:43.900]   - Right.
[01:12:43.900 --> 01:12:46.700]   - So, to a certain extent, you've built your own problem.
[01:12:46.700 --> 01:12:49.540]   - Well, listen, I would much rather deal
[01:12:49.540 --> 01:12:54.540]   with the downsides of a free system,
[01:12:55.340 --> 01:12:58.500]   where, you know, you have the market competing,
[01:12:58.500 --> 01:13:01.780]   but I will say that when you have this much regulation,
[01:13:01.780 --> 01:13:03.740]   right, the government has chosen to be involved.
[01:13:03.740 --> 01:13:06.220]   You no longer have an unfettered market, right?
[01:13:06.220 --> 01:13:08.100]   So market forces break down.
[01:13:08.100 --> 01:13:10.380]   Clearly, they've broken down here,
[01:13:10.380 --> 01:13:13.060]   and I think now we see the strategic priority
[01:13:13.060 --> 01:13:15.260]   to get, you know, to get behind this.
[01:13:15.260 --> 01:13:16.900]   It's been a heck of a learning.
[01:13:16.900 --> 01:13:19.220]   - Let me riff on one other thing you said
[01:13:19.220 --> 01:13:20.100]   before we wrap up.
[01:13:20.100 --> 01:13:23.140]   On the SMR front, I like your idea
[01:13:23.140 --> 01:13:24.500]   of these people getting together.
[01:13:24.500 --> 01:13:26.660]   You know, we've talked about Facebook's
[01:13:26.660 --> 01:13:29.620]   Open Compute Project, where they open-sourced
[01:13:29.620 --> 01:13:31.700]   all the elements of their data center,
[01:13:31.700 --> 01:13:35.180]   and we heard from Maureen that a lot of these operators
[01:13:35.180 --> 01:13:37.420]   get together and share best practices,
[01:13:37.420 --> 01:13:42.420]   and it strikes me that creating an IP-free world
[01:13:42.420 --> 01:13:48.300]   for these people to live in is beneficial to the utilities.
[01:13:48.300 --> 01:13:51.140]   It should give them more confidence in what they're doing.
[01:13:51.140 --> 01:13:54.700]   I wonder if, I ask all the AIs,
[01:13:54.700 --> 01:13:57.580]   has anyone tried to commercialize
[01:13:57.580 --> 01:14:00.660]   the learnings of the Navy, and they said no.
[01:14:00.660 --> 01:14:02.340]   Everywhere else said no. - In the SMRs.
[01:14:02.340 --> 01:14:05.220]   - And so maybe there's an opportunity there, right?
[01:14:05.220 --> 01:14:07.260]   The government, why not take some of the--
[01:14:07.260 --> 01:14:09.100]   - That would be the coordinating function
[01:14:09.100 --> 01:14:11.260]   if the government could create kind of that
[01:14:11.260 --> 01:14:13.980]   open-source standard for the AP1000, right?
[01:14:13.980 --> 01:14:15.460]   - Or for the SMR one, maybe,
[01:14:15.460 --> 01:14:18.340]   by leveraging what's been done in the Navy
[01:14:18.340 --> 01:14:21.180]   and maybe getting these hyperscalers behind it,
[01:14:21.180 --> 01:14:24.460]   and maybe that's a mini version of a Manhattan Project,
[01:14:24.460 --> 01:14:28.340]   but boy, it seems like there's an opportunity there,
[01:14:28.340 --> 01:14:33.340]   and the reason, and people will be very upset
[01:14:33.340 --> 01:14:35.540]   that as a capitalist I'm suggesting this,
[01:14:35.540 --> 01:14:39.300]   the reason to make it IP-free is to get everyone
[01:14:39.300 --> 01:14:41.120]   working on the same platform,
[01:14:41.120 --> 01:14:43.680]   to remove single-source dependency risk,
[01:14:43.680 --> 01:14:46.460]   and to get the utilities confidence
[01:14:46.460 --> 01:14:48.820]   that this thing's gonna be successful
[01:14:48.820 --> 01:14:51.540]   and gonna go forward, and to get everyone behind it.
[01:14:51.540 --> 01:14:54.980]   So do the Linux of SMRs.
[01:14:54.980 --> 01:14:59.980]   - And by the way, again, this is about buying time, right?
[01:14:59.980 --> 01:15:03.140]   Like if we telescope way out,
[01:15:03.140 --> 01:15:06.740]   and I think Elon's thought about this as much as anyone,
[01:15:06.740 --> 01:15:08.620]   he said ultimately the sun's the source
[01:15:08.620 --> 01:15:11.220]   of all of our power, right?
[01:15:11.220 --> 01:15:13.820]   The problem is we don't have the technologies today
[01:15:13.820 --> 01:15:16.420]   to store it as efficiently as we need to
[01:15:16.420 --> 01:15:18.580]   in order to provide all of our energy, okay?
[01:15:18.580 --> 01:15:21.780]   So I don't know whether it's 25, 50, 75 years,
[01:15:21.780 --> 01:15:24.580]   but we're going to have to bridge these technologies.
[01:15:24.580 --> 01:15:27.840]   We have a clean energy that we invented, right,
[01:15:27.840 --> 01:15:29.700]   that currently is powering, you know,
[01:15:29.700 --> 01:15:32.140]   it's 20% of our total base load power,
[01:15:32.140 --> 01:15:33.920]   it's 50% of our clean energy.
[01:15:33.920 --> 01:15:35.740]   If there's one thing I've taken away
[01:15:35.740 --> 01:15:38.580]   from what we've studied over the course of the last 10 weeks
[01:15:38.580 --> 01:15:40.740]   is that we have 94 plants in this country,
[01:15:40.740 --> 01:15:43.220]   and we should not be decommissioning any of them.
[01:15:43.220 --> 01:15:45.940]   They all have much longer useful lives
[01:15:45.940 --> 01:15:47.100]   than I ever thought about.
[01:15:47.100 --> 01:15:51.260]   At 60, 70 years old, they still run safely
[01:15:51.260 --> 01:15:53.620]   provided that you do the proper maintenance
[01:15:53.620 --> 01:15:55.500]   and all this stuff to these plants,
[01:15:55.500 --> 01:15:57.820]   which frankly is new news to me.
[01:15:57.820 --> 01:15:58.660]   Yeah, me too, me too.
[01:15:58.660 --> 01:16:00.180]   And I think terrific news.
[01:16:00.180 --> 01:16:02.420]   And it's also very clear that we can build more.
[01:16:02.420 --> 01:16:05.260]   I mean, Vogel, yes, we had big cost overruns,
[01:16:05.260 --> 01:16:07.180]   but we have the capacity in this country
[01:16:07.180 --> 01:16:09.140]   to build more of these Gen 3 reactors.
[01:16:09.140 --> 01:16:11.380]   We have a lot of vibrancy and activity going on
[01:16:11.380 --> 01:16:12.740]   on the Gen 4 side.
[01:16:12.740 --> 01:16:15.660]   We've got a lot of bipartisan support now in Congress.
[01:16:15.660 --> 01:16:19.700]   And so I come out of this a little bit more optimistic,
[01:16:19.700 --> 01:16:21.180]   but in the state of California,
[01:16:21.180 --> 01:16:23.260]   we are sitting here at Diablo.
[01:16:23.260 --> 01:16:25.780]   I would love to see Governor Newsom
[01:16:25.780 --> 01:16:28.320]   in the course of the next 24 months
[01:16:28.320 --> 01:16:31.700]   announce that he's gonna extend the license here
[01:16:31.700 --> 01:16:33.140]   for another 15 years.
[01:16:33.140 --> 01:16:37.900]   I mean, this seems to me to be a crown jewel
[01:16:37.900 --> 01:16:41.900]   of California's leadership on things like AI,
[01:16:41.900 --> 01:16:44.540]   our ability to produce this type of energy.
[01:16:44.540 --> 01:16:45.380]   It makes no sense.
[01:16:45.380 --> 01:16:46.940]   Take this off the table
[01:16:46.940 --> 01:16:50.380]   and let's get to working on what we need to do next
[01:16:50.380 --> 01:16:53.300]   in order to reduce our dependency on fossil fuels
[01:16:53.300 --> 01:16:57.620]   and frankly, drive up the power generation in the state
[01:16:57.620 --> 01:17:00.900]   that we're gonna need to power the economy and AI.
[01:17:00.900 --> 01:17:05.460]   Yeah, and I would urge those that care
[01:17:05.460 --> 01:17:08.540]   that if you want to really meaningfully
[01:17:10.500 --> 01:17:12.820]   keep up with China and Korea,
[01:17:12.820 --> 01:17:15.460]   that one, we should quit vilifying them
[01:17:15.460 --> 01:17:18.340]   and start respecting the fact that they're executing
[01:17:18.340 --> 01:17:20.700]   at a level above and beyond us.
[01:17:20.700 --> 01:17:23.620]   And then two, consider some type
[01:17:23.620 --> 01:17:27.580]   of Manhattan Project-like approach
[01:17:27.580 --> 01:17:29.900]   where you get out of the current environment,
[01:17:29.900 --> 01:17:32.780]   you get a lot of smart people thinking
[01:17:32.780 --> 01:17:33.940]   from first principles.
[01:17:33.940 --> 01:17:37.420]   You maybe borrow from what the Navy's done
[01:17:37.420 --> 01:17:42.220]   and consider open source or IP-free solutions
[01:17:42.220 --> 01:17:43.700]   to get everybody on the same page.
[01:17:43.700 --> 01:17:44.580]   Yeah.
[01:17:44.580 --> 01:17:46.540]   Well, next week or the week after,
[01:17:46.540 --> 01:17:48.660]   we'll be back to regular programming.
[01:17:48.660 --> 01:17:50.620]   But this is one of the things you and I wanted to do.
[01:17:50.620 --> 01:17:53.060]   We wanted to take some deep dives on some topics
[01:17:53.060 --> 01:17:54.540]   that interested us along the way.
[01:17:54.540 --> 01:17:55.380]   So thanks.
[01:17:55.380 --> 01:17:57.900]   And I would encourage people that disagree
[01:17:57.900 --> 01:18:01.060]   and I'm sure many will to reach out.
[01:18:01.060 --> 01:18:02.260]   Oh, you're gonna hear from 'em.
[01:18:02.260 --> 01:18:03.100]   I know, I know.
[01:18:03.100 --> 01:18:04.300]   You're gonna hear from 'em.
[01:18:04.300 --> 01:18:08.460]   Share your point of view and we will bring that data
[01:18:08.460 --> 01:18:09.420]   into the discussion.
[01:18:09.420 --> 01:18:11.180]   But on the flip side,
[01:18:11.180 --> 01:18:13.540]   I wanna see more of those "Game Day" posters
[01:18:13.540 --> 01:18:14.620]   saying, "I love nuclear."
[01:18:14.620 --> 01:18:17.620]   I'd love to see people energized around the topic.
[01:18:17.620 --> 01:18:19.300]   I'd love to see the presidential candidates
[01:18:19.300 --> 01:18:21.420]   talking about the topic.
[01:18:21.420 --> 01:18:24.380]   Well, I'm headed to Ann Arbor this weekend
[01:18:24.380 --> 01:18:27.060]   where I suspect "Game Day" will be.
[01:18:27.060 --> 01:18:28.660]   Will we see some more signs?
[01:18:28.660 --> 01:18:31.860]   So maybe I can show off with the signs.
[01:18:31.860 --> 01:18:33.540]   We'll see if I have time to do that.
[01:18:33.540 --> 01:18:34.380]   All right, man.
[01:18:34.380 --> 01:18:35.220]   Have a good time.
[01:18:35.220 --> 01:18:36.060]   Great seeing you. Yeah, take care.
[01:18:36.060 --> 01:18:36.900]   Bye-bye.
[01:18:36.900 --> 01:18:39.500]   (upbeat music)
[01:18:39.500 --> 01:18:47.340]   As a reminder to everybody,
[01:18:47.340 --> 01:18:49.500]   just our opinions, not investment advice.

