
[00:00:00.000 --> 00:00:08.060]   They end up chanting in front of him, Viva la muerte. Long live death. They have their
[00:30:13.620 --> 00:30:22.500]   And probably all four territories of Donetsk-Lukhan's separation are on.
[00:30:22.500 --> 00:30:27.220]   You couldn't lay any of that out because it has to be negotiated on. But I mean, I think that,
[00:30:27.220 --> 00:30:32.260]   and I think the ease with which non-Ukrainians are currently speaking about the Ukrainian seeding
[00:30:32.260 --> 00:30:40.260]   territory is concerning because these territories include hundreds of thousands of Ukrainian citizens
[00:30:40.260 --> 00:30:46.500]   who do not want to live under Putin's rule, and people who have families in the rest of Ukraine,
[00:30:46.500 --> 00:30:55.620]   and much more. And, you know, I recently interviewed children who had managed to get out of the Russian
[00:30:55.620 --> 00:31:10.420]   occupied areas. And it's brutal for the Ukrainian to be growing up in that territory. So when people say,
[00:31:10.420 --> 00:31:19.380]   well, obviously, you know, Donetsk has to be given to Putin, I think that that is not as easy a thing if
[00:31:19.380 --> 00:31:25.380]   you're in Ukraine, as it is if you're sitting in New York, say. And by the way, I think that on the
[00:31:25.380 --> 00:31:31.460]   issue of, there is a school of thought that is, that obviously, President Trump, to some extent, was
[00:31:31.460 --> 00:31:39.380]   floating in recent weeks, which is that if a deal is done, a business deal in relation to minerals or
[00:31:39.380 --> 00:31:45.540]   anything else, you get this great, you get a kind of buffer zone of American businesses and investment,
[00:31:45.540 --> 00:31:52.820]   and therefore American business people in the region, which would effectively warn Putin not to
[00:31:52.820 --> 00:32:01.140]   invade. I don't follow that idea, because not least, there were Americans in the regions that were
[00:32:01.140 --> 00:32:07.380]   invaded in 22, and they left fast. And we know from Hong Kong and other places, just because there are
[00:32:07.380 --> 00:32:11.540]   international financial interests in the region does not mean that the dictatorship will not
[00:32:12.340 --> 00:32:23.380]   either militarily or covertly take over. I don't see American minors as being an effective buffer zone
[00:32:23.380 --> 00:32:30.580]   against Putin. By the way, what did you learn from talking to the children, Ukrainian children from
[00:32:30.580 --> 00:32:39.700]   those regions? Well, I mean, it's heartbreaking, because the only schooling is Russian schooling.
[00:32:41.700 --> 00:32:47.780]   obviously teaching the Russian language, Putin's view of history, and effectively indoctrination.
[00:32:47.780 --> 00:32:54.100]   And people can quibble with that term, but it's Putin-esque indoctrination schools.
[00:32:54.100 --> 00:33:02.580]   And any children or families that do not want that effectively have to hide and not go out.
[00:33:03.460 --> 00:33:08.820]   And there were, I spoke to children and parents who'd had school friends who'd had, for instance,
[00:33:08.820 --> 00:33:16.020]   the Russians set up in 22 and 23 summer camps for the children of some of the areas that have been
[00:33:16.020 --> 00:33:21.460]   occupied, and the children went off to the camps and then they didn't come back. They were just stolen.
[00:33:21.460 --> 00:33:27.620]   I mean, it's thought that around 20,000 Ukrainian children have been stolen in this fashion. That's not a small thing.
[00:33:29.140 --> 00:33:35.620]   It's not got very much attention. But yes, I mean, children who would hide whenever the Russian
[00:33:35.620 --> 00:33:43.300]   troops came to the door. One teenage boy who described to me how when his mother was out,
[00:33:44.260 --> 00:33:52.980]   a woman came around the house, knocked on the door, and gave him his papers, and said that he had to
[00:33:52.980 --> 00:34:03.940]   attend the next week to sign up for the Russian army. I mean, this is not good. And that's obviously what
[00:34:03.940 --> 00:34:10.260]   life is like for thousands of people behind the Russian lines in Ukraine. I just have it in mind
[00:34:10.260 --> 00:34:16.660]   when people say things like, well, obviously these regions have to be handed over. It's very, very hard
[00:34:16.660 --> 00:34:22.740]   if you're Ukrainian to concede to that. Yeah. And even if they are as part of the negotiation handed
[00:34:22.740 --> 00:34:30.260]   over, I think it'll probably be generations or never that that could be accepted by Ukrainian people.
[00:34:30.260 --> 00:34:36.980]   Absolutely. And I would have thought never. What do we know about this kidnapping of children,
[00:34:36.980 --> 00:34:41.620]   the stories of the thousands of children that the Russian forces kidnapped?
[00:34:41.620 --> 00:34:48.100]   Yeah. Some of them were in orphanages in Eastern Ukraine. Not all, by any means. But some were.
[00:34:48.100 --> 00:34:54.340]   And it's a very complicated story, actually, because many children were taken from their families.
[00:34:54.340 --> 00:35:00.100]   Many of the Russians said, well, look at these Ukrainians. They don't even look after their
[00:35:00.100 --> 00:35:06.340]   children. Therefore, we will look after them. And I was recently, when I was there, looking into this
[00:35:06.340 --> 00:35:11.300]   story, because it's a very interesting question as to why it hasn't had more attention. You know,
[00:35:11.300 --> 00:35:17.780]   one thinks of, for instance, the abduction of the Chibok schoolgirls some 12 years ago now in northern
[00:35:17.780 --> 00:35:26.500]   Nigeria, and the appalling abduction of 300 girls by Boko Haram completely gained the world's attention. And I
[00:35:26.500 --> 00:35:32.180]   was very interested into why the Ukrainian children who'd been taken by the Russians had not gained similar
[00:35:32.180 --> 00:35:37.140]   attention. There's a slight similarity with the war in Israel, which I'm sure we'll come on to. But
[00:35:37.140 --> 00:35:45.620]   I do think that one reason is that they were effectively hostages. And the Ukrainians knew,
[00:35:45.620 --> 00:35:53.940]   this is my estimation of the terrain, is that the Ukrainians knew that if they made a great deal about
[00:35:53.940 --> 00:35:59.620]   this, or as it were, more than they did, that the children would effectively be the most effective
[00:35:59.620 --> 00:36:06.420]   bargaining chip. And I do think there's considerable truth in that. Because if you look at, for instance,
[00:36:06.420 --> 00:36:14.340]   the way in which pressure has been put on the Israeli government by the Israeli population about the
[00:36:14.340 --> 00:36:25.620]   kidnapped Israelis, you'll see that it's a pretty effective tactic for any totalitarian regime or terrorist
[00:36:25.620 --> 00:36:31.060]   terrorist group to operate in a way that means that the population of the country you're attacking
[00:36:31.060 --> 00:36:39.780]   pressure their government to do something in terms of concession. It's a very effective tool. And I think
[00:36:39.780 --> 00:36:44.660]   that story was partly played down, not just outside of Ukraine, but also within Ukraine, partly for that
[00:36:44.660 --> 00:36:53.300]   reason. As a truth seeker, as a journalist, how do you operate in that world where, at least to me,
[00:36:53.300 --> 00:36:59.540]   it's obvious that there's just a flood of propaganda on both sides. Now, of course, when you go there and
[00:36:59.540 --> 00:37:06.340]   directly experience it and talk to people, uh, but those people are still also swimming in the propaganda.
[00:37:06.340 --> 00:37:12.100]   So unless you witness stuff directly, sometimes it's hard to know. Like I speak to people on the Russian
[00:37:12.100 --> 00:37:29.700]   side. Uh, which makes me realize, I mean, you, you can be completely lied to, maybe I am in the United
[00:37:29.700 --> 00:37:38.260]   States as well and just be unaware. Um, maybe earth is run by aliens. Maybe the earth is flat. So I don't
[00:37:38.260 --> 00:37:43.940]   know. Maybe you've taken mushrooms. I have before this and I finally see the truth.
[00:37:43.940 --> 00:37:51.300]   And it's you that are deluded Douglas. Okay. But, uh, back to the, our round earth discussion,
[00:37:51.300 --> 00:37:56.660]   round of shills that we are, uh, how do you know what is true? You, you can tell it when
[00:37:57.940 --> 00:38:08.020]   the bare facts become not true. Like you can tell it when somebody is willing to claim that everything
[00:38:08.020 --> 00:38:15.140]   caused the invasion of 2022, except for Vladimir Putin invading Ukraine.
[00:38:15.140 --> 00:38:20.500]   Yeah. There's a, there's a hilarious thing that happens. And I think you've actually speak about
[00:38:20.500 --> 00:38:26.340]   this, that, uh, people are generally just much more willing to criticize the democratically elected
[00:38:26.340 --> 00:38:28.420]   leader. Always, always.
[00:38:28.420 --> 00:38:35.300]   So the interesting thing that happens is these wise sages that do the narratives of like NATO started
[00:38:35.300 --> 00:38:41.540]   the war, right? Which there is some interesting geopolitical depth and truth to that. Like that
[00:38:41.540 --> 00:38:47.220]   NATO expansion created a complicated geopolitical context, whatever, sure. But they forget to say
[00:38:47.220 --> 00:38:51.940]   like other parts of that story. Well, yes, of course. I mean, and I mean,
[00:38:51.940 --> 00:38:55.860]   of course, to some extent it's rather, you know, that there's a, there's a very, the most irritating
[00:38:55.860 --> 00:39:01.860]   type of question asker at any event is the person who says, I was disappointed that in your 30 minute
[00:39:01.860 --> 00:39:06.900]   talk, you didn't address X. And I tend to say, well, looking forward to coming to your next talk,
[00:39:06.900 --> 00:39:11.380]   where in 30 minutes, you'll cover everything that could possibly be covered. Um, there's always
[00:39:11.380 --> 00:39:14.660]   stuff that's going to be left on the sides. There's always going to be stuff that's left
[00:39:14.660 --> 00:39:18.500]   unaddressed. There's always going to be other angles. There's always going to be somebody else who,
[00:39:18.500 --> 00:39:23.380]   who, who, who has this interesting perspective and you can't cover it. Nevertheless, if you cover
