
[00:00:00.000 --> 00:00:02.000]   I'm now recording.
[00:21:14.000 --> 00:21:20.000]   following. You know, in society, we've confused a lot of people to think that
[00:21:20.000 --> 00:21:26.000]   the opposite of liberal is conservative or Republican. And I think that's the
[00:21:26.000 --> 00:21:31.000]   cycle that drives the mind virus inside the mainstream media. The problem is
[00:21:31.000 --> 00:21:36.000]   the opposite of liberal is illiberal. Okay. And what illiberal means is to be
[00:21:36.000 --> 00:21:42.000]   narrow minded and unenlightened. It means to be puritanical. It means to be
[00:21:42.000 --> 00:21:47.000]   fundamentalist. And this is really what it allows us to see. Now we have now had
[00:21:47.000 --> 00:21:56.000]   six years of data, case after case after case, where if you are woke, if you are a
[00:21:56.000 --> 00:22:00.000]   social justice warrior, if you have the right credentials that justify your
[00:22:00.000 --> 00:22:06.000]   upbringing, if you have institutional bona fides that come from your parents,
[00:22:06.000 --> 00:22:13.000]   you get to create the narrative and you get a hall pass. And everybody else
[00:22:13.000 --> 00:22:19.000]   basically is at the subject and the mercy of the mainstream media. And so if you
[00:22:19.000 --> 00:22:23.000]   don't kiss the ring and bow down to them, they will try to destroy you or run you
[00:22:23.000 --> 00:22:27.000]   out of town. But if you are one of them, they will give you a hall pass. And when
[00:22:27.000 --> 00:22:33.000]   it's time for them to change their mind in order to tell the truth, they won't do
[00:22:33.000 --> 00:22:37.000]   it. And so these types of grifts will continue as Friedberg said, because there
[00:22:37.000 --> 00:22:42.000]   is no check and balance without a healthy independent media. There is no way for
[00:22:42.000 --> 00:22:47.000]   all of us to actually know what's really going on. Guys, some person in the media
[00:22:47.000 --> 00:22:51.000]   could have asked the question and dug in deeper around the connections between
[00:22:51.000 --> 00:22:57.000]   Alameda and FTX for the last 24 months. I know could have diligence at a venture
[00:22:57.000 --> 00:23:02.000]   firm. At no point could any person have asked these questions and found ex
[00:23:02.000 --> 00:23:07.000]   employees and said, you know, are there any unseemly connections here between FTX
[00:23:07.000 --> 00:23:11.000]   and Alameda? There was no disgruntled employee. I mean, every company has
[00:23:11.000 --> 00:23:15.000]   disgruntled employee whistleblowers. But here where there was billions of dollars
[00:23:15.000 --> 00:23:19.000]   being made by 10s of people, not a single person who felt on the outs said
[00:23:19.000 --> 00:23:23.000]   anything. Well, he was also giving millions of dollars to press outlets.
[00:23:23.000 --> 00:23:27.000]   Hold on. In donations, the questions weren't asked. And then this kid paid
[00:23:27.000 --> 00:23:30.000]   hush money to the mainstream media. Let me ask a question of you guys. Do you
[00:23:30.000 --> 00:23:33.000]   think that it's the media's responsibility in this context? Or do you
[00:23:33.000 --> 00:23:36.000]   think that there should have been a regulatory authority that had oversight
[00:23:36.000 --> 00:23:40.000]   of this business like there is for every bank and every trading operation in the
[00:23:40.000 --> 00:23:44.000]   United States? And every one of those businesses has a compliance officer
[00:23:44.000 --> 00:23:48.000]   chicken and has regulators up the wazoo making sure that customers are kept safe
[00:23:48.000 --> 00:23:52.000]   and protected? Or do we think that that should should offshore vehicles be
[00:23:52.000 --> 00:23:55.000]   allowed like this? That allow people to operate? It's a reasonable question. But
[00:23:55.000 --> 00:23:59.000]   there was a chicken and egg question. We were all standing around holding our
[00:23:59.000 --> 00:24:04.000]   hands while the CFTC and the SEC were fighting. That's not something that
[00:24:04.000 --> 00:24:09.000]   consumers can be expected to adjudicate. So yes, we should have legislation that
[00:24:09.000 --> 00:24:13.000]   clearly defines all of this. But there were enough parameters that created
[00:24:13.000 --> 00:24:17.000]   regulatory frameworks where a bunch of good actors did operate in them and are
[00:24:17.000 --> 00:24:22.000]   continuing to do so like Coinbase. So I don't think this is a regulatory issue.
[00:24:22.000 --> 00:24:26.000]   I think that if you believe there are people who are supposed to forensically
[00:24:26.000 --> 00:24:31.000]   examine things, and get to the bottom of things and ask hard questions. Those
[00:24:31.000 --> 00:24:36.000]   people did none of that here. And and what's what's even more worrisome is
[00:24:36.000 --> 00:24:40.000]   what they're showing is now with an massive amount of data that shows that
[00:24:40.000 --> 00:24:44.000]   you could ask hard questions. They don't care to because it makes them look bad.
[00:24:44.000 --> 00:24:48.000]   I disagree with this. I think regulators failed here, because they have been
[00:24:48.000 --> 00:24:51.000]   reactive to crypto, they have not been proactive, and they have not been clear
[00:24:51.000 --> 00:24:55.000]   with the crypto community that what they were doing was illegal, and they should
[00:24:55.000 --> 00:24:58.000]   have put the regulations in quicker and they're playing catch up. But all three
[00:24:58.000 --> 00:25:03.000]   groups failed, the media failed, the regulators failed, and VCs failed capital
[00:25:03.000 --> 00:25:08.000]   allocators failed, I apparently to do diligence here and install proper
[00:25:08.000 --> 00:25:13.000]   governance, you cannot put a company like this, you know, in business with
[00:25:13.000 --> 00:25:16.000]   billions of dollars and have no board of directors. No, I agree with you or he
[00:25:16.000 --> 00:25:17.000]   lied to them.
[00:25:17.000 --> 00:25:22.000]   And I agree with you. My point is that while regulators are basically fighting
[00:25:22.000 --> 00:25:27.000]   a territorial turf war, okay, the media could have still done their job. They
[00:25:27.000 --> 00:25:28.000]   chose not to
[00:25:28.000 --> 00:25:31.000]   guys, it was worse than that. Because not only it's not just a case where the
[00:25:31.000 --> 00:25:36.000]   SEC failed to exercise any oversight of him or dig into any of these questions.
[00:25:36.000 --> 00:25:40.000]   He was in the room with them crafting the next set of regulations. He was
[00:25:40.000 --> 00:25:44.000]   working on the regulations that you're talking about that are supposedly needed
[00:25:44.000 --> 00:25:50.000]   breaking them. They let the fox in the hen house. Yeah, he was gonna craft a new
[00:25:50.000 --> 00:25:55.000]   type of regulatory license for these types of exchanges, with the result that
[00:25:55.000 --> 00:25:58.000]   he was going to get one and some of his competitors weren't. This is one of the
[00:25:58.000 --> 00:26:04.000]   things that triggered CZ to basically, you know, do what he did, which is
[00:26:04.000 --> 00:26:10.000]   basically that SPF was trying to get Binance and competitors like that band,
[00:26:10.000 --> 00:26:14.000]   while SPF would be one of the sole people to get the license.
[00:26:14.000 --> 00:26:15.000]   By the way,
[00:26:15.000 --> 00:26:17.000]   he was working with the regulators.
[00:26:17.000 --> 00:26:22.000]   Jason, you just said something derogatory towards CZ he rug pulled him. Did he do
[00:26:22.000 --> 00:26:24.000]   that? Or did he actually expose the fraud?
[00:26:24.000 --> 00:26:26.000]   That's what I mean by rug pulling. Yeah.
[00:26:26.000 --> 00:26:27.000]   He was partners with him.
[00:26:27.000 --> 00:26:28.000]   That's not what rug pull means, Jason.
[00:26:28.000 --> 00:26:33.000]   Okay, well, he was partners with him. And then he realized he was weak, and that
[00:26:33.000 --> 00:26:35.000]   he was doing some stuff that was shady. And he decided he would eliminate a
[00:26:35.000 --> 00:26:39.000]   partner who was creating regulation, as Zach said, whatever you want to say, he
[00:26:39.000 --> 00:26:40.000]   knifed him.
[00:26:40.000 --> 00:26:44.000]   All he did was indicate a desire to liquidate his position in a token that
[00:26:44.000 --> 00:26:49.000]   was supposedly perfectly liquid. And that's basically that caused the
[00:26:49.000 --> 00:26:50.000]   everything to unravel.
[00:26:50.000 --> 00:26:53.000]   Yeah, but these were partners, right? I mean, these were deep business partners.
[00:26:53.000 --> 00:26:54.000]   No, they're not.
[00:26:54.000 --> 00:26:57.000]   And they were partners. They were collaborating on these tokens together.
[00:26:57.000 --> 00:26:58.000]   So they weren't competitors.
[00:26:58.000 --> 00:26:59.000]   No, they weren't.
[00:26:59.000 --> 00:27:04.000]   Jason, like part of the big loan that initiated all of this stuff, like a year
[00:27:04.000 --> 00:27:10.000]   and a half ago, was to buy FTX off the cap table. So, you know, this is all I'm
[00:27:10.000 --> 00:27:15.000]   saying is like you used words and your framing of a guy, you know, who's built
[00:27:15.000 --> 00:27:19.000]   a business is like, he is this nefarious bad actor.
[00:27:19.000 --> 00:27:21.000]   Binance was FTX's first investor.
[00:27:21.000 --> 00:27:26.000]   Hold on a second. But David's right. All the guy did, as far as we can tell
[00:27:26.000 --> 00:27:29.000]   right now, is tweet, I'm selling this token because I don't believe in the
[00:27:29.000 --> 00:27:34.000]   capital structure of this entity. And he got those tokens by being bought out of
[00:27:34.000 --> 00:27:35.000]   the cap table.
[00:27:35.000 --> 00:27:39.000]   I know he was partners with them. So if you don't like rug pulled, how about
[00:27:39.000 --> 00:27:41.000]   backstabbing business partners?
[00:27:41.000 --> 00:27:42.000]   They're not partners.
[00:27:42.000 --> 00:27:43.000]   You still don't understand.
[00:27:43.000 --> 00:27:48.000]   Of course I understand. He was the first investor. So to do this to a company
[00:27:48.000 --> 00:27:49.000]   you were about to.
[00:27:49.000 --> 00:27:50.000]   And then he got bought out.
[00:27:50.000 --> 00:27:51.000]   No, no, he got bought out.
[00:27:51.000 --> 00:27:54.000]   And part of the consideration, hold on, part of the consideration were these
[00:27:54.000 --> 00:27:56.000]   tokens, these FTX tokens.
[00:27:56.000 --> 00:27:58.000]   I understand. Yes. Jason, when Uber went public.
[00:27:58.000 --> 00:27:59.000]   Yes.
[00:27:59.000 --> 00:28:01.000]   And you got distributed stock.
[00:28:01.000 --> 00:28:02.000]   Yeah.
[00:28:02.000 --> 00:28:04.000]   Did you distribute and sell Uber at any point?
[00:28:04.000 --> 00:28:07.000]   Previous to that, I had. I sold some to Masa.
[00:28:07.000 --> 00:28:10.000]   No, no, no, no, no, no. I'm asking you a question. When Uber went public and
[00:28:10.000 --> 00:28:13.000]   you got distributed from Uber, your stock.
[00:28:13.000 --> 00:28:15.000]   So you've never sold a single share of Uber ever?
[00:28:15.000 --> 00:28:16.000]   Not since it's public.
[00:28:16.000 --> 00:28:18.000]   No, I sold it before in private markets.
[00:28:18.000 --> 00:28:21.000]   Okay, but I'm sorry, but that doesn't make Jason a partner of Uber.
[00:28:21.000 --> 00:28:22.000]   You're just a stockholder.
[00:28:22.000 --> 00:28:26.000]   Yeah, this is slightly different, I think. But okay, fine. You guys, if you
[00:28:26.000 --> 00:28:27.000]   guys want to consider.
[00:28:27.000 --> 00:28:29.000]   No, he was the first investor in the company.
[00:28:29.000 --> 00:28:31.000]   They were business partners.
[00:28:31.000 --> 00:28:33.000]   That might have been a historical situation, but their status at the time
[00:28:33.000 --> 00:28:36.000]   that CZ tweeted was that they were competitors.
[00:28:36.000 --> 00:28:39.000]   Okay, fine. I mean, they became competitors. I agree.
[00:28:39.000 --> 00:28:42.000]   And by the way, to Tomas point about this rug pulling language, I think
[00:28:42.000 --> 00:28:44.000]   we're getting kind of down a rabbit hole here.
[00:28:44.000 --> 00:28:45.000]   We're getting on a wheeze here.
[00:28:45.000 --> 00:28:48.000]   CZ did perform a service in this sense.
[00:28:48.000 --> 00:28:49.000]   Okay.
[00:28:49.000 --> 00:28:52.000]   SBF claims that 4 billion more was about to come in.
