
[00:00:00.000 --> 00:00:05.540]   The following is a conversation with Jeffrey Wasserstrom, a historian of modern China.
[00:30:35.780 --> 00:30:50.780]   : Can we talk about that? Who's not called the tank man? The man that stood in front of the row of tanks. This was on June 5th in Tiananmen Square. What do we know about him? What do you think about him? The symbolism.
[00:30:50.780 --> 00:31:04.780]   : It's a, it's an amazing symbol. Um, you know, he's on this boulevard near the square with this long line of tanks and it's unquestionably this act of incredible bravery. And there's some interesting things about it. Some that are forgotten.
[00:31:04.780 --> 00:31:11.780]   : One is that in the end he climbs up on the tank and the tank swerves, you know, it doesn't run him over.
[00:31:11.780 --> 00:31:22.780]   And the Chinese Communist Party initially showed video of this and said, look, the Western press is talking about how vicious we were, but look at the restraint, look at this. He wasn't mowed down.
[00:31:22.780 --> 00:31:31.780]   : And they tried this whole story with Tiananmen initially of saying, look, the students were out of control. This, everybody should remember what happened during the Cultural Revolution.
[00:31:31.780 --> 00:32:00.780]   : And the army showed restraint. And there were a small number of soldiers who were actually burned alive in their, in their tanks during, once the massacre began, people got outraged and they attacked the soldiers. But by selective use of footage, the Communist Party could say, look, actually look at this. The, the heroes, the martyrs were these soldiers. And they try for the first months.
[00:32:00.780 --> 00:32:07.780]   : Months after it to, to try to get this narrative to stick. They talk about Tiananmen a lot. They talk about these things. They show images of the tank man.
[00:32:07.780 --> 00:32:08.780]   : The problem with it is that lots and lots of people around Beijing had seen what happened and knew that in fact, there first been the firing on unarmed civilians with automatic weapons. And then, and there had been many, many people, some students, but a lot of ordinary Beijing, Beijing residents and workers who were just mowed down. So lots of people knew somebody who had been killed. So that story just didn't work. And then I think.
[00:32:08.780 --> 00:32:23.780]   : The, the, the, the, the problem with it is that lots and lots of people around Beijing had seen what happened and knew that in fact, there first been the firing on unarmed civilians with automatic weapons. And then, and there had been many, many people.
[00:32:23.780 --> 00:32:35.780]   : Some students, you know, some students, but a lot of ordinary Beijing, Beijing residents and workers who were just mowed down. So lots of people knew somebody who had been killed. So that story just didn't work. And then I think.
[00:32:35.780 --> 00:32:47.780]   : The, the, the, the, the claim had to be made to try to try to suppress discussion of the event and particularly to this, to repress that visual imagery.
[00:32:47.780 --> 00:33:00.780]   : That was that image of the man in front of a line of tanks, whatever the tanks did do him or not, the main takeaway from it would be this idea that there were lines of tanks in a city.
[00:33:00.780 --> 00:33:12.780]   : That was, um, that the, the image was of the government as having lost the mandate to rule. And they really didn't want to have that image, um, out there in the world.
[00:33:12.780 --> 00:33:27.780]   : Yeah. We're watching the video now. He's got what like grocery bags in his hands. It's such a symbolic. I've had enough. Like that kind of statement.
[00:33:27.780 --> 00:33:37.780]   : Yeah. And it's probably not a student, you know, it's often described as a student, but he probably was, um, a worker and it is, it is a powerful, powerful image of bravery.
[00:33:37.780 --> 00:33:53.780]   : And, you know, I brought up the 1968 parallel for Eastern and Central Europe. There was actually a very powerful photograph of a man bearing his chest in front of a tank in Bratislava during, um, what we think of as Prague spring.
[00:33:53.780 --> 00:34:07.780]   : That was a famous image of bravery against tanks. And in 1968 in Czechoslovakia, then still Czechoslovakia, the tanks that rolled in were Soviet tanks sent down there.
[00:34:07.780 --> 00:34:17.780]   : And so not that people would know, but that was an image, you know, what was so powerful in that was saying, we're not going to put up with this invasion.
[00:34:17.780 --> 00:34:29.780]   : Again, I think you have the people's liberation of army, army looking like an invading force. And that's what, um, that's what the Chinese Communist Party in a sense can't, can't deal with now.
[00:34:29.780 --> 00:34:49.780]   : Even though sometimes they could tell a story about 1989, and they do tell a version of this and some people believe this, I think, is that in 1989, China went one route of not, um, not having the Communist Party dramatically change or relinquish control.
[00:34:49.780 --> 00:35:07.780]   : And the Soviet Union and the former Soviet states went another. And you could say, well, look, and after 1989, the Chinese economy boomed. Life got better for people in China. Life got really terrible for a lot of people in the former Soviet blocs. Maybe we actually, maybe this was the right way to go.
[00:35:07.780 --> 00:35:16.780]   : And you can make that kind of argument. But if you show the tanks and the man in front of the tanks, you, you, you just have a different kind of image of heroism.
[00:35:16.780 --> 00:35:32.780]   : It's one of my favorite photographs or snapshots ever taken videos ever taken. So I apologize if we linger on it. Sometimes you don't understand the symbolic power of an image until afterwards.
[00:35:32.780 --> 00:35:38.780]   : And perhaps that's what the Chinese government didn't quite understand. They lost information more than mean more.
[00:35:38.780 --> 00:35:49.780]   : So I, I have to ask, what do you think was going through that man's head? Was it a heroic statement? Was it a purely primal, guttural, like I've had enough?
[00:35:49.780 --> 00:35:55.780]   : It's so interesting to just speculate. And we just don't know because, you know, he was never able to be interviewed afterwards.
[00:35:55.780 --> 00:36:11.780]   : But I think your emphasis on patriotism is really important because one of the students' main demands was then, I think it might've been the thing that would have gotten them to leave the square would have been to say, you, we want this to be acknowledged as a patriotic, that our goals are patriotic.
[00:36:11.780 --> 00:36:25.780]   : We're not here to take China back into the cultural revolution. We're here, we're here to express our love for the country if it goes in the right way. So will you admit that? And you mentioned about the power of the image.
[00:36:25.780 --> 00:36:44.780]   : And I do think the Chinese Communist Party learned something, has taken to heart the power of the image after that, because we saw this in, but when there were protests in Hong Kong, the government on the mainland really wanted to tell a story there of, you know, crowds out of control.
[00:36:44.780 --> 00:36:54.780]   : And initially there were in 2014, and again, initially in 2019, there were very orderly crowds, and it had trouble with that story.
[00:36:54.780 --> 00:37:08.780]   : So they tried very hard to ban images of peaceful protests until there were some incidents, as there almost always are, of violence by crowds. And then they would show those images over and over again.
[00:37:08.780 --> 00:37:20.780]   : They also worked very hard when Hong Kong protests began in the 2010s to try very hard to avoid any use of soldiers to repress them. It was all the police.
[00:37:20.780 --> 00:37:31.780]   : And they tried very hard and managed to success, because the Western press was often saying, "Will this be another Tiananmen? Will there be a massacre? Will there be soldiers on the streets?"
[00:37:31.780 --> 00:37:54.780]   : The movements in Hong Kong were suppressed without the use of shooting to kill on the streets. They were shooting to wound, there was beanbags shot, there were rubber bullets, there was enormous amounts of tear gas, there was even tear gas let fly inside subway stations in 2019.
[00:37:54.780 --> 00:38:06.780]   : And all these things are really brutalizing, but they don't make the kind of images that sear in the mind the way something like the Tiananmen tank man image,
[00:38:06.780 --> 00:38:23.780]   or the image of a Vietnamese woman being burned by napalm, a young woman that became another of the iconic images during the Vietnam War. Those images really can have an extraordinary power. And I think the Chinese Communist Party is now aware of that.
