
[00:00:00.000 --> 00:00:19.200]   Welcome to the AI Engineers World Fair. This is the first workshop. There's a few other running,
[00:23:46.320 --> 00:23:50.560]   which seems to be very good for sequence modeling. Um, so it's not just for languages. It can be for
[00:23:50.560 --> 00:23:54.880]   any sequence modeling. Right? So, like, if you know, like, you know, Sora is a transformer. Well,
[00:23:54.880 --> 00:23:59.280]   not just a transformer. It's probably plus diffusion, but, like, it's generally a transformer. Um, and
[00:23:59.280 --> 00:24:02.960]   there's other different types of models, which doesn't have to be language modeling. Okay? It's just
[00:24:02.960 --> 00:24:08.960]   sequence modeling. And I'll probably shoot some pictures later. Um, I probably should have explained it a bit
[00:24:08.960 --> 00:24:15.040]   better, but, like, just, just, just assume that transformers are the method behind all language
[00:24:15.040 --> 00:24:20.960]   models. Okay. GPT-4, GPT-3, GPT-5. Okay. I don't know if, okay, who knows what GPT-5 is, but, like,
[00:24:20.960 --> 00:24:27.360]   I'm assuming it's a transformer. Um, the transformers just seem to be very good at learning new knowledge,
[00:24:27.360 --> 00:24:32.400]   injecting knowledge into the model. It seems to be very, very good at changing the weights to fit the
[00:24:32.400 --> 00:24:39.280]   training data. Um, which is very interesting. Um, and the GPT-2 architecture was actually very
[00:24:39.280 --> 00:24:44.000]   popular for the, like, you know, most decoder-style transformer. That was very, very popular. It's
[00:24:44.000 --> 00:24:50.880]   still used to this day. Um, and it kind of got reincarnated by adding extra components to it. And
[00:24:50.880 --> 00:24:56.240]   this new architecture is called transformer plus plus. Um, I don't know if people have heard of this, but
[00:24:56.240 --> 00:25:02.400]   transformer plus plus is the GPT-2 transformer architecture, plus rope embeddings, plus Wiggaloo,
[00:25:02.400 --> 00:25:07.520]   plus RMS layer norm, and with no bias. Um, and I think it's untied weights, although I'm not sure
[00:25:07.520 --> 00:25:11.840]   of GPT, I can't remember that exactly, but I think it's plus untied weights. Um, and transformer plus plus
[00:25:11.840 --> 00:25:19.520]   is the architecture which most people think is the best, you know, transformer architecture for now. Um,
[00:25:19.520 --> 00:25:25.600]   yes, for now. Um, there are probably, like, some other tweaks and little small things that transformer still can
[00:25:25.600 --> 00:25:30.800]   do, but like, in general, this would be considered the best architecture. Um, and how does the
[00:25:30.800 --> 00:25:37.520]   architecture look like? It is just a list of math equations. Um, so I just wrote down the entire
[00:25:37.520 --> 00:25:43.440]   transformer architecture. Um, well, this is Lama 2, right? So Lama's transformer architecture in one
[00:25:43.440 --> 00:25:49.600]   slide. Um, and all you need to do is get some inputs, like some sort of like inputs, do some layer norm,
[00:25:49.600 --> 00:25:54.720]   do some rope embeddings, do some attention, plus some residual, do some layer norm,
[00:25:54.960 --> 00:26:00.480]   swigaloo, whatever, residual layer norm, and you get logits. Um, and you essentially repeat this
[00:26:00.480 --> 00:26:06.160]   middle section L times or many times. Um, and that is the transform architecture. Um,
[00:26:06.160 --> 00:26:11.520]   okay, then maybe the math equations, I'm not sure. Does the math equation scare anyone? Or I'll be
[00:26:11.520 --> 00:26:17.680]   explaining each one. Okay. So like, hopefully I try to make the math equations as like reasonable as
[00:26:17.680 --> 00:26:24.800]   possible. Um, in theory, if you write this down on in PyTorch, um, oh yes, if you write this down in,
[00:26:24.800 --> 00:26:29.840]   in PyTorch, you actually have a working implementation of, of a transformer architecture.
[00:26:29.840 --> 00:26:36.960]   Um, and yeah, so like, we'll be talking about each component separately as well. Um, yeah.
[00:26:36.960 --> 00:26:42.240]   Is anyone scared for the math? No. Yes. No. No. Okay. Very good. Okay. Let me just check questions.
[00:26:42.240 --> 00:26:48.720]   Does anyone have any questions? Okay. Okay. So did you have a question? Okay.
[00:26:48.720 --> 00:26:58.880]   Well, um, so from my understanding, from the layer level for Transformers, um, so it's almost comparable to
[00:26:58.880 --> 00:27:04.960]   Cosmic Plinko in a way. Is that, I mean, of course it's a hard map behind it. Cosmic, sorry? What?
[00:27:04.960 --> 00:27:11.360]   Cosmic Plinko, like the drop the, you know, cause it's 80 layers, right? And a grid, right?
[00:27:11.360 --> 00:27:17.280]   So like low energy something. Sorry. I'm, I'm actually not familiar with that. Do I, you'll have
[00:27:17.280 --> 00:27:23.760]   to explain it to me. What did you say? Cosmic, what? Sorry. Cosmic Plinko. Cosmic Plinko? Do I know
[00:27:23.760 --> 00:27:29.520]   that? I'm not that smart. So you'll have to like explain to me what that is. Should I search that up?
[00:27:29.520 --> 00:27:35.040]   Not gotcha, not gotcha. Um, like, uh, the arcade game with a bunch of pegs and you drop the bottom
[00:27:35.040 --> 00:27:38.880]   Oh, that. Oh, yes. It's a Windows XP.
[00:27:38.880 --> 00:27:43.920]   Output layer, output, you know, on the bottom right, you have to visualize it, right?
[00:27:43.920 --> 00:27:44.480]   Yes.
[00:27:44.480 --> 00:27:52.080]   Like if you take this and visualize it, and then visualize the map. For example, let's take llama 380 AP,
[00:27:52.080 --> 00:27:59.200]   right? It's 32 layers, right? And then layer zero, or I guess, it doesn't matter. There's layer zero,
[00:27:59.200 --> 00:28:06.640]   and then layer 32, which is the output layer. Yes. Now, when you drop a, uh, prompt into this
[00:28:06.640 --> 00:28:13.200]   cosmic machine. Yes. Which, it's not actually cosmic. You just don't understand. Okay. Yes. It's not cosmic.
[00:28:13.200 --> 00:28:18.800]   Yes. It's just mass. Yup. But so far, it's cosmic. Yes. I don't think we understand. Personally,
[00:28:18.800 --> 00:28:22.560]   I don't think we understand if you pretend it again. Like where we're. I know. I think we've
[00:28:22.560 --> 00:28:28.880]   studied a lot, but okay. Yes. Okay. It's just mass. Yes. You're the expert, not me. I'm, you know, so. Okay.
[00:28:28.880 --> 00:28:32.800]   But, um, so you're just trying to say an analogy. Like it's kind of like the game.
[00:28:32.800 --> 00:28:39.760]   Yeah. So, so people can visualize the map versus like. I think so we. Oh, yeah. I'll talk about
[00:28:39.760 --> 00:28:45.920]   that in the slides, but like, I think it's more like, um, an analogy. I think it's more like you're
[00:28:45.920 --> 00:28:50.480]   going through like a maze. Like, okay. It's not a maze. I would say it's more like you have like a,
[00:28:50.480 --> 00:28:58.560]   every single layer has like someone trying to make you change clothes. And then each layer, there's like a
[00:28:58.560 --> 00:29:03.600]   fashion designer trying to get you to wear different clothes. And each layer, the fashion
[00:29:03.600 --> 00:29:07.200]   does designer doesn't like the previous fashion designers choices. And they will change your
[00:29:07.200 --> 00:29:10.960]   clothes. Something like that. I think that's more like a transformer. It's like each fashion
[00:29:10.960 --> 00:29:16.480]   designer has like views on their own. Okay. Yeah. I guess you could say it.
[00:29:16.480 --> 00:29:23.120]   Oh, yes. Yes. Yes. Wait, it is in Windows XP, right? Is that? I'm making me confused. Windows XP,
[00:29:23.120 --> 00:29:28.320]   like the game. I think I played it before. Oh, okay. Anyways. Okay. Yeah. Sorry. Yeah. Question.
[00:29:28.320 --> 00:29:41.520]   Oh. Um, so when I put subscript I, it generally is effect. Well, technically everything is a matrix.
[00:29:41.520 --> 00:29:47.840]   But if you see any summation signs, um, with subscript I, then it generally means row wise or column wise.
[00:29:47.840 --> 00:29:54.960]   Um, the W, like if you see small, small, small, small, like a small W that generally means vector. Um,
[00:29:54.960 --> 00:30:02.240]   but in general, everything that's capital is a matrix. Um, and why is it a matrix? Because it's just faster.
[00:30:02.240 --> 00:30:10.240]   Um, I mean, in theory, you could convert this all to vectors, but for speed purposes, this should be matrices.
[00:30:10.240 --> 00:30:19.920]   Um, yeah. Any other questions? Okay. Next. Um, so, why did I put this? Hello, my name is Daniel. Hi,
[00:30:19.920 --> 00:30:25.040]   my brother's name is Michael. I hope everyone will have tons of fun. AI engineers, what fares is the best.
[00:30:25.040 --> 00:30:35.040]   Um, why did I put this? Well, does anyone notice any similarities between these sentences? Um, or differences?
[00:30:35.040 --> 00:30:44.240]   Sorry? Okay. Yes. Okay. Yes. Okay. Yes. Okay. Except for the first sentence. Okay. Anything else?
[00:30:44.240 --> 00:30:47.040]   Just say random stuff.
[00:30:47.040 --> 00:30:56.560]   Interesting. Yes. Okay. Hello and hi are the same thing, but kind of different words. Okay. Yes. Yes.
[00:30:56.560 --> 00:31:00.800]   Semantic embeddings. Basically this is an example of semantic embedding.
[00:31:00.800 --> 00:31:03.600]   Okay. Okay. Somewhat. Okay.
[00:31:03.600 --> 00:31:12.080]   Okay. Yes. Okay. Okay. Okay. Well, to turn the truth, I didn't have any intention.
[00:31:12.080 --> 00:31:16.800]   The intention. Yes. Go on. I mean, it's the king plus queen.
[00:31:16.800 --> 00:31:19.840]   Yes. Yes. Yes. For water back. Yeah. Yeah. Yeah. I know what you're talking about. Yeah.
[00:31:19.840 --> 00:31:27.120]   So like, you know, it's king minus man plus woman equals queen. That's the, I think that's what you're trying to show.
[00:31:27.120 --> 00:31:37.440]   Okay. Well, in theory, I guess you could have just seen the next slide. There are just five.
[00:31:37.440 --> 00:31:44.000]   If you simply just look, um, the first one, if you consider punctuation as combined with the word,
[00:31:44.720 --> 00:32:02.240]   right? Like hello comma, treat that as one separate component. And if you do this, ignore all spaces. The first one has just five components. Right? What do you think the second one? Okay. I guess you can already have the slides. But what do you think the second one has? Right? Anyone?
[00:32:02.240 --> 00:32:28.560]   I already wrote all the answers there. Okay. Yes. I wrote all the answers. Right? Six, eight, seven. Right? One, two, three, four, five, six, seven, eight. Right? One, two, three, four, five, six, seven. Right? So like, if you do this, um, just assume all punctuation from now on is combined with the word and ignore all spaces. Um, and this, we just invented a tokenizer. Um, right? So this is a very general,
[00:32:28.560 --> 00:32:35.120]   a random tokenizer we just invented. Um, and each one is, has an, essentially the reason why we want to do this
[00:32:35.120 --> 00:32:41.040]   is because computers doesn't, they don't understand words. They only understand numbers. Right? So like,
[00:32:41.040 --> 00:32:47.120]   you have to essentially assign each of these tokens as a number, like an ID. Right? So hello is ID zero. Right?
[00:32:47.120 --> 00:32:54.160]   Oh, hello comma actually is ID zero. My is ID one. Name is ID two and so on. Right? So like, you have to,
[00:32:54.160 --> 00:32:59.520]   you have to assign an ID to each of these components. If you don't do that, then a computer doesn't know
