
[00:00:00.320 --> 00:00:08.540]   I recently stumbled across a fascinating 2024 essay written by a Norwegian psychology professor.
[01:18:42.980 --> 01:18:46.980]   And you go through like two to four weeks for each, uh, one thing.
[01:18:46.980 --> 01:18:48.980]   Maybe you go through again, add a second thing.
[01:18:48.980 --> 01:18:53.980]   You're not trying to jump into like my ideally configured life where I'm making the maximum progress in my ideal lifestyle.
[01:18:53.980 --> 01:18:59.980]   It's like, I am back in control in the sense of I'm not where I want to be right now, but I'm taking action.
[01:18:59.980 --> 01:19:01.980]   That's optional on things that are important.
[01:19:01.980 --> 01:19:02.980]   And that resets you.
[01:19:02.980 --> 01:19:05.980]   And it's going to take six months, take four months, whatever it is.
[01:19:05.980 --> 01:19:07.980]   And then you can say, all right, great.
[01:19:07.980 --> 01:19:10.980]   Now, now I'm back in it.
[01:19:10.980 --> 01:19:12.980]   Where do I need to start making major changes?
[01:19:12.980 --> 01:19:14.980]   Where do I need to start making major changes?
[01:19:14.980 --> 01:19:16.980]   I got to get this whole thing, this whole problem out of here.
[01:19:16.980 --> 01:19:17.980]   I need to shift this job.
[01:19:17.980 --> 01:19:23.980]   And then you're sort of back in a mode of capability where you can start taking big action on optional things that are important.
[01:19:23.980 --> 01:19:25.980]   So that's what I'd recommend.
[01:19:25.980 --> 01:19:26.980]   All right.
[01:19:26.980 --> 01:19:27.980]   Our final part.
[01:19:27.980 --> 01:19:30.980]   I want to check in on the cell phone and schools debate.
[01:19:30.980 --> 01:19:33.980]   I think it's interesting now that we're in a new school year to see where we are.
[01:19:33.980 --> 01:19:35.980]   But first, something that's even more exciting.
[01:19:35.980 --> 01:19:38.980]   I'm going to briefly mention a sponsor.
[01:19:38.980 --> 01:19:42.980]   Jesse, let me tell you about something I'm not very good at, which is hiring.
[01:19:42.980 --> 01:19:50.980]   You know, as you know, we recently hired a creative director to help run the newsletter, among other things here at the company.
[01:19:50.980 --> 01:19:52.980]   You know how, you know what my process was there?
[01:19:52.980 --> 01:19:53.980]   It says, you know, I'm not proud of this.
[01:19:53.980 --> 01:19:58.980]   I took a back of a receipt and I wrote on it and I have it here.
[01:19:58.980 --> 01:20:00.980]   So I remember I wrote on it.
[01:20:00.980 --> 01:20:02.980]   Me need newsletter guy.
[01:20:02.980 --> 01:20:05.980]   Money, maybe non jugglers preferred.
[01:20:05.980 --> 01:20:10.980]   And then I just nailed that onto a random telephone pole and I don't know what to do.
[01:20:10.980 --> 01:20:11.980]   And I don't trust jugglers.
[01:20:11.980 --> 01:20:13.980]   You know what I needed instead?
[01:20:13.980 --> 01:20:14.980]   Indeed.
[01:20:14.980 --> 01:20:19.980]   When it comes to hiring, Indeed is all you need.
[01:20:19.980 --> 01:20:22.980]   So stop struggling to get your job posts seen on other job sites.
[01:20:22.980 --> 01:20:27.980]   Indeed sponsored jobs will help you stand out and hire fast.
[01:20:27.980 --> 01:20:37.980]   According to Indeed data, sponsored jobs posted directly on Indeed have 45% more applications than non-sponsored jobs.
[01:20:37.980 --> 01:20:44.980]   Plus with Indeed sponsored jobs, there are no monthly subscriptions, no long-term contracts, and you only pay for results.
[01:20:44.980 --> 01:20:46.980]   There's no need to wait any longer.
[01:20:46.980 --> 01:20:49.980]   Speed up your hiring right now with Indeed.
[01:20:49.980 --> 01:20:56.980]   And listeners of the show will get a $75 sponsored job credit to get your jobs more visibility at indeed.com/deep.
[01:20:56.980 --> 01:21:03.980]   Just go to indeed.com/deep right now and support our show by saying you heard about Indeed on this podcast.
[01:21:03.980 --> 01:21:07.980]   Indeed.com/deep, terms and conditions apply.
[01:21:07.980 --> 01:21:11.980]   Here's a phrase I just came up with on the spot right now.
[01:21:11.980 --> 01:21:15.980]   Hiring, Indeed, is all you need.
[01:21:15.980 --> 01:21:18.980]   I also want to talk about our good friends at Vanta.
[01:21:18.980 --> 01:21:23.980]   In today's fast-changing digital world, proving your company is trustworthy isn't just important for growth.
[01:21:23.980 --> 01:21:24.980]   It's essential.
[01:21:24.980 --> 01:21:26.980]   That's why Vanta is here.
[01:21:26.980 --> 01:21:27.980]   Now, here's the thing.
[01:21:27.980 --> 01:21:37.980]   Running a company today that basically has anything to do with technology is likely going to require some sort of compliance with all these various standards that are out.
[01:21:37.980 --> 01:21:43.980]   And this can be a huge pain and take up a lot of time that you should be spending instead on just making your company, your products better.
[01:21:43.980 --> 01:21:46.980]   Vanta makes this all easier.
[01:21:46.980 --> 01:22:00.980]   So whether you're a startup tackling your first SOC 2 or ISO 27IO, or an enterprise managing vendor risk, Vanta's trust management platform makes it easier, quicker and more scalable.
[01:22:00.980 --> 01:22:01.980]   This is actually true, Jesse.
[01:22:01.980 --> 01:22:03.980]   This is an actual true story.
[01:22:03.980 --> 01:22:09.980]   Remember how on the last podcast, I talked about being at dinner with a friend and we both had like the Ridge Wallet.
[01:22:09.980 --> 01:22:10.980]   Yeah.
[01:22:10.980 --> 01:22:11.980]   The guy from the tech company.
[01:22:11.980 --> 01:22:12.980]   That same dinner.
[01:22:12.980 --> 01:22:15.980]   So, you know, we have the right sponsors for our show.
[01:22:15.980 --> 01:22:22.980]   At that same dinner, he was talking about vibe coding an app, a software application using AI.
[01:22:22.980 --> 01:22:30.980]   And he actually mentioned the phrase about how one of the things he was sort of having the struggle with is making sure that he had SOC 2 compliance.
[01:22:30.980 --> 01:22:32.980]   So he actually was talking about SOC 2 compliance.
[01:22:32.980 --> 01:22:34.980]   So I was like, Vanta.
[01:22:34.980 --> 01:22:39.980]   And they asked me quietly to leave at that point because it's sort of weird that I jumped up and yelled Vanta.
[01:22:39.980 --> 01:22:45.980]   But the point is, is I had a conversation with someone about SOC 2 compliance just a couple of weeks ago.
[01:22:45.980 --> 01:22:49.980]   So these compliances matter, but they're a pain to work with.
[01:22:49.980 --> 01:22:51.980]   Vanta helps.
[01:22:51.980 --> 01:22:56.980]   One of the things they can do is complete security questionnaires or help you complete those questionnaires up to five times faster.
[01:22:56.980 --> 01:22:58.980]   You can win bigger deals sooner.
[01:22:58.980 --> 01:23:00.980]   And there are results that are impressive.
[01:23:00.980 --> 01:23:07.980]   According to a recent IDC study, Vanta customers slash over $500,000 a year in cost and are three times more productive.
[01:23:07.980 --> 01:23:11.980]   Establishing trust is an optional, but Vanta makes it automatic.
[01:23:11.980 --> 01:23:16.980]   Visit Vanta.com slash deep questions to sign up for a free demo today.
[01:23:16.980 --> 01:23:20.980]   That's V-A-N-T-A dot com slash deep questions.
[01:23:20.980 --> 01:23:23.980]   All right, Jesse, let's move on to our final segment.
[01:23:23.980 --> 01:23:26.980]   So it's back to school season.
[01:23:26.980 --> 01:23:35.980]   I am scheduled to give no fewer than three talks in the near future about kids and phones, which I'm happy to do because I feel super strongly about this topic.
[01:23:35.980 --> 01:23:39.980]   So I've been sort of clued in with like, how is this back to school season going?
[01:23:39.980 --> 01:23:42.980]   So I'm going to pull up an article here from the New York Times.
[01:23:42.980 --> 01:23:45.980]   This was from earlier.
[01:23:45.980 --> 01:23:49.980]   This actually came out in the spring, but it was looking ahead to this current back to school season.
[01:23:49.980 --> 01:23:53.980]   The title of this article was who's against banning cell phones in schools.
[01:23:53.980 --> 01:24:02.980]   So inspired by the governor of New York, Kathy Hochul's push to have a New York be one of the latest states to have a statewide ban on cell phones in schools.
[01:24:02.980 --> 01:24:06.980]   This reporter was checking in who's for this and who is against it.
[01:24:06.980 --> 01:24:12.980]   Now, this has been a long evolving issue with alliances coming and going.
[01:24:12.980 --> 01:24:18.980]   Mainly the groups of people who have been in favor of these bans have been growing while those against have been declining.
[01:24:18.980 --> 01:24:19.980]   So this is an interesting question.
[01:24:19.980 --> 01:24:23.980]   Who is still against smartphone bans in schools?
[01:24:23.980 --> 01:24:27.980]   This, by the way, is an article by Gina Belafonte.
[01:24:27.980 --> 01:24:28.980]   All right.
[01:24:28.980 --> 01:24:30.980]   So just a couple of quotes I want to read here.
[01:24:30.980 --> 01:24:33.980]   Let's talk about the context for this article.
[01:24:33.980 --> 01:24:39.980]   Governor Kathy Hochul's recent campaign is to ban cell phones in schools across New York.
[01:24:39.980 --> 01:24:44.980]   At least eight other states, including Florida and Louisiana, have institute restrictions of varying kinds.
[01:24:44.980 --> 01:24:53.980]   In September, Governor Gavin Newsom signed a phone-free act requiring every school district in California to devise a policy limiting the use of smartphones by July 2026.
[01:24:53.980 --> 01:24:57.980]   So the statewide smartphone bans in schools are spreading.
[01:24:57.980 --> 01:24:59.980]   It's blue states and red states.
[01:24:59.980 --> 01:25:01.980]   There used to be a talking point.
[01:25:01.980 --> 01:25:04.980]   I think Killer Wrens was really pushing this, that somehow this was like a Republican thing.
[01:25:04.980 --> 01:25:09.980]   It's blue states, red states, New York, California, but also Florida, also Louisiana.
[01:25:09.980 --> 01:25:13.980]   Let's look at what's going on with New York's proposed ban.
[01:25:13.980 --> 01:25:23.980]   In a rare instance of agreement between labor and government, it is supported by the United Federation of Teachers, the union representing New York City schoolteachers.
[01:25:23.980 --> 01:25:28.980]   As Michael Mulgrew, the president of the UFT, put it, "It is simple and everyone knows what the expectation is."
[01:25:28.980 --> 01:25:31.980]   So who's in favor of the cell phone bans?
[01:25:31.980 --> 01:25:34.980]   The state of New York and the teachers' unions.
[01:25:34.980 --> 01:25:37.980]   And it's hard to get them to agree on almost anything.
[01:25:37.980 --> 01:25:39.980]   So I think that's pretty impressive.
[01:25:39.980 --> 01:25:46.980]   So who is left to be against these right now outside of like high school students who just like to have their phones?
[01:25:46.980 --> 01:25:48.980]   This is the interesting point of this article.
[01:25:48.980 --> 01:25:50.980]   So the reporter looks into this.
[01:25:50.980 --> 01:26:01.980]   "The constituents most opposed to all-day phone bans are the mothers and fathers who seem to be addicted to constant filial contact."
[01:26:01.980 --> 01:26:02.980]   Twist.
[01:26:02.980 --> 01:26:05.980]   This is a twist for those of us who have been following this issue.
[01:26:05.980 --> 01:26:13.980]   For so many years, the debate was between the data-driven academics and the theory academics.
[01:26:13.980 --> 01:26:22.980]   So the data-driven academics were the social psychologists and the childhood psychologists, the demographers and the economists who were looking at data and they care about data methodology.
[01:26:22.980 --> 01:26:23.980]   This is people like John Hyatt.
[01:26:23.980 --> 01:26:28.980]   This is people like Gene Twenge who are like, "Look, I have no dog in this fight, but we're looking at this data.
[01:26:28.980 --> 01:26:29.980]   This stuff is bad for kids.
[01:26:29.980 --> 01:26:30.980]   We should get this out of schools."
[01:26:30.980 --> 01:26:32.980]   Almost certainly is it going to make things better.
[01:26:32.980 --> 01:26:36.980]   And then the fight was always against, there's another corner of academia who writes about technology.
[01:26:36.980 --> 01:26:46.980]   So like media studies professors or like critical media, critical technology theorists who are less about data and more about particular theoretical frameworks.
[01:26:46.980 --> 01:26:53.980]   Here, here's the framework that's dominant in our field right now and sort of my job is to sort of keep protecting this framework.
[01:26:53.980 --> 01:26:58.980]   And those type of academics, they cared about things like techno-determinism.
[01:26:58.980 --> 01:27:02.980]   They didn't like the idea of just like a technology by itself could be good or bad.
[01:27:02.980 --> 01:27:09.980]   They were much more interested in their frameworks which were more person-focused and about conflicting hierarchies of power, et cetera, et cetera.
[01:27:09.980 --> 01:27:12.980]   These sort of like complicated postmodernism-inspired theories.
[01:27:12.980 --> 01:27:16.980]   And so for a long time, they just kept throwing up roadblocks for their other professors.
[01:27:16.980 --> 01:27:26.980]   And at first, the roadblocks were when Gene Twenge came out in 2017 and said, "By the way, like there's a lot of these trends I'm seeing that are kind of bad.
[01:27:26.980 --> 01:27:28.980]   And I think it's because of phones."
[01:27:28.980 --> 01:27:30.980]   And at first like, "No, it's because of other things."
[01:27:30.980 --> 01:27:35.980]   But then they looked closer and said, "Actually, these trends start just when phones start, not when these other things started."
[01:27:35.980 --> 01:27:36.980]   So they kind of moved on from that.
[01:27:36.980 --> 01:27:40.980]   And then you have the social psychologists come in and say, "I don't know, we're looking at this data."
[01:27:40.980 --> 01:27:44.980]   And there seems to be these retrospective giant social surveys.
[01:27:44.980 --> 01:27:49.980]   There's these correlations between heavy social media use and bad mental health outcomes.
[01:27:49.980 --> 01:27:53.980]   And then against the idea, there's like, "No, our real complaint was not about the timing.
[01:27:53.980 --> 01:27:58.980]   Our real complaint was these correlations are small and there's other correlations you can come up with.
[01:27:58.980 --> 01:28:00.980]   And it just matters how you look at the data.
[01:28:00.980 --> 01:28:02.980]   No one really knows what's going on here."
[01:28:02.980 --> 01:28:06.980]   And then we got better at analyzing the data and they stuck around.
[01:28:06.980 --> 01:28:15.980]   And then we got a lot of other types of study designs like prospective studies and randomized control trials and self-reports and natural experiments.
[01:28:15.980 --> 01:28:16.980]   All we're pointing towards the same thing.
[01:28:16.980 --> 01:28:19.980]   Oh, yeah, these are bad for teenagers.
[01:28:19.980 --> 01:28:22.980]   So then the same people are like, "That's not really our complaint."
[01:28:22.980 --> 01:28:34.980]   I think their complaint now is like, "Well, maybe cell phones are bad, but you can't ban them because we're going to invent hypotheticals where there is a particular kid in a particular situation where it'll be bad for that particular kid.
[01:28:34.980 --> 01:28:41.980]   And the kid is marginalized and we get points because we came up, we should get virtue points because we realized that could be a problem when you didn't."
[01:28:41.980 --> 01:28:43.980]   So this has been the battle.
[01:28:43.980 --> 01:28:45.980]   These professors fighting these professors.
[01:28:45.980 --> 01:28:49.980]   These professors are like, "The data keeps showing this and these other professors keep throwing up different roadblocks."
[01:28:49.980 --> 01:28:50.980]   Like, "Well, what about this?
[01:28:50.980 --> 01:28:51.980]   What about that?"
[01:28:51.980 --> 01:28:53.980]   So this is the twist.
[01:28:53.980 --> 01:28:58.980]   Who's really against these bans now is anxious parents.
[01:28:58.980 --> 01:29:03.980]   And that's something that those of us who are in the academic argument maybe weren't paying attention to.
[01:29:03.980 --> 01:29:06.980]   Let me read a little bit more of a quote here.
[01:29:06.980 --> 01:29:16.980]   "Governor Hochul has spoken to aggrieved first grade teachers who told her that they are overseeing classrooms full of children wearing smart watches.
[01:29:16.980 --> 01:29:21.980]   Mommy and Daddy were checking in all day long saying, 'I miss you and can't wait to see you,' the governor told me.
[01:29:21.980 --> 01:29:24.980]   'That's a parental need,' she said, 'not a student need.'
[01:29:24.980 --> 01:29:29.980]   'The continuation of these patterns,' she worried, 'was bound to keep children from emerging as fully functioning adults.'"
[01:29:29.980 --> 01:29:41.980]   I've heard the same thing in some of the talks that I give, that part of the solution to getting kids off phones, especially in schools, is therapy for the parents.
[01:29:41.980 --> 01:29:42.980]   And I get it.
[01:29:42.980 --> 01:29:44.980]   If you're prone to anxiety, I'm a parent of three.
[01:29:44.980 --> 01:29:48.980]   If you're prone to anxiety, this is a really good vector for anxiety.
[01:29:48.980 --> 01:29:49.980]   I know about anxiety.
[01:29:49.980 --> 01:29:54.980]   A great vector for anxiety is my kid and my kid's safety.
[01:29:54.980 --> 01:29:57.980]   And you can ruminate on that six ways to Sunday.
[01:29:57.980 --> 01:30:02.980]   And once you start ruminating on that, you start telling yourself all these stories of all these disasters that are going to happen.
[01:30:02.980 --> 01:30:08.980]   And that the only way to give yourself some peace is to be able to sort of be in touch with your kid and see this is not a problem.
[01:30:08.980 --> 01:30:23.980]   Unfortunately, from a social utilitarian perspective, dooming an entire demographic to have to have these sort of highly distracted, low-quality educational experiences so that a smaller group of parents can feel better, it's just not the right trade-off.
[01:30:23.980 --> 01:30:24.980]   Right?
[01:30:24.980 --> 01:30:26.980]   There has to be other ways to work on that anxiety.
[01:30:26.980 --> 01:30:27.980]   The kids will be fine.
[01:30:27.980 --> 01:30:30.980]   Your ability to contact them in a day, it's not going to help.
[01:30:30.980 --> 01:30:32.980]   Also, who are these new parents who are talking to their kids every day?
[01:30:32.980 --> 01:30:33.980]   I don't know.
[01:30:33.980 --> 01:30:34.980]   I have three kids, Jesse.
[01:30:34.980 --> 01:30:40.980]   I think by the third kid, we're like rolling them out of the car at the school as like, we're on our way to celebrate school.
[01:30:40.980 --> 01:30:42.980]   We're starting at like, would you call it Dubliner?
[01:30:42.980 --> 01:30:43.980]   Is that the bar you like?
[01:30:43.980 --> 01:30:44.980]   Yeah.
[01:30:44.980 --> 01:30:46.980]   We're not, we're not sitting around.
[01:30:46.980 --> 01:30:47.980]   Oh, poopsie, whoopsie.
[01:30:47.980 --> 01:30:48.980]   I hope you're okay.
[01:30:48.980 --> 01:30:49.980]   Really?
[01:30:49.980 --> 01:30:50.980]   We got stuff to do.
[01:30:50.980 --> 01:30:54.980]   I'm on the Peloton, the margarita.
[01:30:54.980 --> 01:30:55.980]   There you go.
[01:30:55.980 --> 01:30:56.980]   Sorry.
[01:30:56.980 --> 01:31:01.980]   I thought that was interesting, Jesse, that this is, again, I've watched some of these things.
[01:31:01.980 --> 01:31:09.980]   You just, you get a sense of the data early on and you're like, I see the way this is going and we're going to have to have this battle for a while, but it's going to, and this has just been one of those issues.
[01:31:09.980 --> 01:31:10.980]   Like kids should not be on these things.
[01:31:10.980 --> 01:31:11.980]   It's certainly not in school.
[01:31:11.980 --> 01:31:14.980]   And almost everyone is now on board with this.
[01:31:14.980 --> 01:31:16.980]   Most of the places of resistance are gone.
[01:31:16.980 --> 01:31:24.980]   Again, there's still like the professors who don't like techno determinism, the academics who are just now, they're just like throwing out random stuff.
[01:31:24.980 --> 01:31:25.980]   I don't know.
[01:31:25.980 --> 01:31:30.980]   Like kids shouldn't, they should have phones in school because you have a poopy head.
[01:31:30.980 --> 01:31:31.980]   Like, I don't know.
[01:31:31.980 --> 01:31:32.980]   It's kind of like down to there.
[01:31:32.980 --> 01:31:33.980]   I don't know.
[01:31:33.980 --> 01:31:35.980]   But for the most part, we're like, they shouldn't have phones in schools.
[01:31:35.980 --> 01:31:38.980]   Anxious parents is the next generation of things we have to deal with.
[01:31:38.980 --> 01:31:39.980]   So there you go.
[01:31:39.980 --> 01:31:42.980]   That's who's against phones in schools.
[01:31:42.980 --> 01:31:43.980]   Cool article.
[01:31:43.980 --> 01:31:44.980]   All right.
[01:31:44.980 --> 01:31:45.980]   That's all the time we have for today.
[01:31:45.980 --> 01:31:46.980]   Thank you for listening.
[01:31:46.980 --> 01:31:48.980]   We'll be back next week with another episode.
[01:31:48.980 --> 01:31:49.980]   And until then, as always, stay tuned.
[01:31:49.980 --> 01:32:01.980]   Hey, if you liked today's discussion about how technology is making us dumber, you might also like episode 365, which is titled What Technology Wants and How to Push Back.
[01:32:01.980 --> 01:32:03.980]   Interesting addition to today's discussion.
[01:32:03.980 --> 01:32:04.980]   Check it out.
[01:32:04.980 --> 01:32:05.980]   I think you'll like it.
[01:32:05.980 --> 01:32:12.980]   What percentage of your time spent using technology is dedicated to services that make you feel worse?
[01:32:12.980 --> 01:32:18.980]   Why do we end up entangled with tools that don't seem to have our best interest in mind?
[01:32:18.980 --> 01:32:24.980]   How do we escape this fate and take back control of our attention and reclaim our lives?

