
[00:00:00.000 --> 00:00:01.200]   That's good going.
[01:20:00.160 --> 01:20:03.720]   And again, if you feel that you were, you need to apologize.
[01:20:03.720 --> 01:20:05.560]   If you feel that you are,
[01:20:05.560 --> 01:20:07.400]   you need not to proceed with the spanking
[01:20:07.400 --> 01:20:10.720]   until you're in the right place with the Lord, okay?
[01:20:10.720 --> 01:20:12.560]   Also, check his spirit, as well.
[01:20:12.560 --> 01:20:15.240]   We give you some good pointers on how to do that.
[01:20:15.240 --> 01:20:19.280]   Prayer during the restoration process, so important, right?
[01:20:19.280 --> 01:20:21.720]   We need to make sure that we have that tender moment
[01:20:21.720 --> 01:20:26.240]   of embracing our child, helping them understand the gospel,
[01:20:26.240 --> 01:20:29.000]   comforting them, and then praying with them
[01:20:29.000 --> 01:20:30.600]   and teach them to pray.
[01:20:30.600 --> 01:20:32.440]   And your prayer for them can be instructive.
[01:20:32.440 --> 01:20:33.880]   They don't want to pray,
[01:20:33.880 --> 01:20:35.920]   but again, it's good to do that, as well.
[01:20:35.920 --> 01:20:38.200]   Let's see.
[01:20:38.200 --> 01:20:44.760]   We want to be sure that we are sensitive to timing
[01:20:44.760 --> 01:20:46.560]   when we give instructions.
[01:20:46.560 --> 01:20:49.160]   Again, this is still in day four.
[01:20:49.160 --> 01:20:51.000]   Give them a little warning.
[01:20:51.000 --> 01:20:51.960]   Prepare their hearts.
[01:20:51.960 --> 01:20:53.920]   If they're in the middle of watching a video
[01:20:53.920 --> 01:20:56.160]   or doing a game, give them a five-minute warning.
[01:20:56.160 --> 01:20:59.360]   - Building something important with Legos
[01:20:59.360 --> 01:21:00.880]   and all of those kinds of things.
[01:21:00.880 --> 01:21:03.360]   It would be like having a boss walk in
[01:21:03.360 --> 01:21:06.360]   when we're in the middle of accomplishing a project
[01:21:06.360 --> 01:21:09.600]   and telling us, "Right now, you have to do this."
[01:21:09.600 --> 01:21:11.800]   That's hard to transition,
[01:21:11.800 --> 01:21:14.680]   and so it's good with our kids, too.
[01:21:14.680 --> 01:21:17.600]   If we can, this is not something
[01:21:17.600 --> 01:21:19.560]   that is going to happen all the time,
[01:21:19.560 --> 01:21:23.360]   but if you can, give them a five-minute warning
[01:21:23.360 --> 01:21:25.720]   before they actually have to do something.
[01:21:25.720 --> 01:21:27.760]   So bedtime is a perfect example.
[01:21:27.760 --> 01:21:28.920]   - Yeah, absolutely.
[01:21:28.920 --> 01:21:30.760]   So I won't carry on.
[01:21:30.760 --> 01:21:34.880]   - You will eventually, but not right now.
[01:21:34.880 --> 01:21:39.000]   You also want to be sensitive to their development, okay?
[01:21:39.000 --> 01:21:42.240]   If they're in kindergarten or under the kindergarten age,
[01:21:42.240 --> 01:21:44.880]   sometimes they don't understand those positional words,
[01:21:44.880 --> 01:21:47.600]   behind, around, beneath, under.
[01:21:47.600 --> 01:21:50.920]   Giving instructions with the positional words,
[01:21:50.920 --> 01:21:52.200]   they may not completely understand
[01:21:52.200 --> 01:21:53.360]   what you're talking about.
[01:21:53.360 --> 01:21:56.880]   So again, that's a learning process as well with our kids
[01:21:56.880 --> 01:21:59.680]   to help them understand those positional words, right?
[01:21:59.680 --> 01:22:01.120]   Step at a time.
[01:22:01.120 --> 01:22:03.160]   Day five, the appeal process.
[01:22:03.160 --> 01:22:05.360]   You're not going to be using the appeal process
[01:22:05.360 --> 01:22:08.200]   unless your children are characterized
[01:22:08.200 --> 01:22:11.160]   by first-time obedience, right?
[01:22:11.160 --> 01:22:12.000]   Okay?
[01:22:12.000 --> 01:22:14.920]   So hopefully you're working in that area.
[01:22:14.920 --> 01:22:20.120]   To appeal a decision by mom or dad first of the month,
[01:22:20.120 --> 01:22:23.360]   they must be humble and they must be respectful,
[01:22:23.360 --> 01:22:26.040]   and they must, regardless of what your decision is,
[01:22:26.040 --> 01:22:28.600]   if you grant the appeal or not after hearing it,
[01:22:28.600 --> 01:22:30.080]   they must still be obedient.
[01:22:30.080 --> 01:22:30.920]   - Yeah.
[01:22:30.920 --> 01:22:33.640]   So for a person who has like a two-year-old
[01:22:33.640 --> 01:22:36.240]   and you're learning all of this,
[01:22:36.240 --> 01:22:38.560]   your child could technically be ready
[01:22:38.560 --> 01:22:42.520]   for the appeal process by about five, five years old.
[01:22:42.520 --> 01:22:45.760]   So, but all those who have five-year-olds
[01:22:45.760 --> 01:22:47.720]   are now in their mind thinking,
[01:22:47.720 --> 01:22:51.160]   "Oh, then I can give my child the appeal process."
[01:22:51.160 --> 01:22:52.760]   And that's not actually true
[01:22:52.760 --> 01:22:57.000]   because if you're just starting this kind of parenting,
[01:22:57.000 --> 01:23:00.960]   your child is probably not ready for the appeal process.
[01:23:00.960 --> 01:23:03.080]   It is important to give it to them
[01:23:03.080 --> 01:23:06.880]   because this is the beginning of getting them ready
[01:23:06.880 --> 01:23:11.600]   to make good and wise decisions for themselves.
[01:23:11.600 --> 01:23:14.280]   And so we don't give that over to them,
[01:23:14.280 --> 01:23:18.600]   but we work them into that as they start to grow older
[01:23:18.600 --> 01:23:21.680]   so that by the time they're walking out of your house,
[01:23:21.680 --> 01:23:25.000]   they are not only obedient and self-controlled,
[01:23:25.000 --> 01:23:29.560]   but they are very capable of making wise decisions
[01:23:29.560 --> 01:23:33.240]   and wise choices and to solve problems wisely.
[01:23:33.240 --> 01:23:37.000]   - Yes, well said, good job on that, absolutely.
[01:23:37.000 --> 01:23:40.400]   The rest of the session, session five,
[01:23:40.400 --> 01:23:42.880]   gives you an understanding of what is an appeal,
[01:23:42.880 --> 01:23:46.240]   how is it misused, how to rightly appeal,
[01:23:46.240 --> 01:23:47.800]   what is the process itself,
[01:23:47.800 --> 01:23:50.880]   and then five reasons for an appropriate appeal.
[01:23:50.880 --> 01:23:52.880]   So hopefully you'll be able to utilize those
[01:23:52.880 --> 01:23:55.640]   as you continue to train up your children.
[01:23:55.640 --> 01:23:58.200]   And hopefully you'll see that it's a great system to have.
[01:23:58.200 --> 01:23:59.400]   - It is a good system.
[01:23:59.400 --> 01:24:01.360]   - Yeah, and really builds that trust.
[01:24:01.360 --> 01:24:04.800]   - And it keeps us from being legalists, right?
[01:24:04.800 --> 01:24:08.880]   It keeps us from saying, "Do it because we said so," right?
[01:24:08.880 --> 01:24:12.360]   It gives the child an option to be able to come,
[01:24:12.360 --> 01:24:16.520]   if necessary, and appeal your instruction.
[01:24:16.520 --> 01:24:18.440]   So it's really good.
[01:24:18.440 --> 01:24:20.320]   - Yep, and that's the end of day five.
[01:24:20.320 --> 01:24:23.000]   - Wow, look at that, look what you did.
[01:24:23.000 --> 01:24:24.280]   - Look what I did, yeah.
[01:24:24.280 --> 01:24:25.360]   - Right on time.
[01:24:25.360 --> 01:24:28.280]   - Yes, hopefully you guys are reading the material.
[01:24:28.280 --> 01:24:30.760]   I know I breezed through a lot of that towards the end,
[01:24:30.760 --> 01:24:32.880]   but it's your job to do it too.
[01:24:32.880 --> 01:24:34.360]   - Look, they're all wiped out.
[01:24:34.360 --> 01:24:36.280]   - Yeah, they're wiped out.
[01:24:36.280 --> 01:24:37.800]   I'm gonna have Sharon close us out
[01:24:37.800 --> 01:24:40.480]   and then we'll get into Q&A, all right?
[01:24:40.480 --> 01:24:41.400]   Go ahead.
[01:24:41.400 --> 01:24:43.840]   - Father God, thank you so much for this night.
[01:24:43.840 --> 01:24:46.080]   Thank you for giving all of these parents
[01:24:47.360 --> 01:24:52.360]   just the self-control to get through this session tonight.
[01:24:52.360 --> 01:24:54.040]   There was so much information.
[01:24:54.040 --> 01:24:58.360]   I know their brains are probably just bogged down right now,
[01:24:58.360 --> 01:25:01.280]   but Lord, we love you so much,
[01:25:01.280 --> 01:25:03.760]   and we know, God, how faithful you are
[01:25:03.760 --> 01:25:06.360]   to come alongside us throughout the week.
[01:25:06.360 --> 01:25:10.640]   So I do pray, God, that they would be just sensitive
[01:25:10.640 --> 01:25:14.080]   to your Holy Spirit and to the promptings, Lord,
[01:25:14.080 --> 01:25:16.880]   the reminders of what they need to apply
[01:25:16.880 --> 01:25:18.920]   and when they need to apply it.
[01:25:18.920 --> 01:25:21.600]   So thank you, Lord, for being who you are.
[01:25:21.600 --> 01:25:25.800]   Thank you, God, that we are able to serve you,
[01:25:25.800 --> 01:25:27.960]   that you accept our service.
[01:25:27.960 --> 01:25:30.760]   What a grace and a gift that is.
[01:25:30.760 --> 01:25:34.400]   And Lord, I just pray that we would serve you in a way
[01:25:34.400 --> 01:25:38.640]   all week long that would bring you glory and praise.
[01:25:38.640 --> 01:25:41.360]   And we pray this in Jesus' name, amen.
[01:25:41.360 --> 01:25:42.200]   - Amen.
[01:25:42.200 --> 01:25:43.040]   - All right.
[01:25:43.040 --> 01:25:44.200]   - All right, Q&A.
[01:25:44.200 --> 01:25:45.560]   - Okay, Q&A, guys.
[01:25:45.560 --> 01:25:46.400]   Fire away.
[01:25:46.400 --> 01:25:53.080]   It takes them a moment to reorient.
[01:25:53.080 --> 01:25:53.920]   - It does.
[01:25:53.920 --> 01:25:57.080]   To figure out what their question.
[01:25:57.080 --> 01:25:58.400]   - Do I have a question?
[01:25:58.400 --> 01:26:00.360]   - Can I just say, it's not really a question,
[01:26:00.360 --> 01:26:01.520]   but I just wanted to say,
[01:26:01.520 --> 01:26:03.960]   Joshua was able to stay in his classroom
[01:26:03.960 --> 01:26:07.160]   the whole time on Sunday.
[01:26:07.160 --> 01:26:10.240]   He did, 'cause I was serving,
[01:26:10.240 --> 01:26:12.400]   so I had to walk by his classroom.
[01:26:12.400 --> 01:26:14.400]   And when he saw me, he's like,
[01:26:14.400 --> 01:26:15.560]   "Mom, can I have a hug?"
[01:26:15.560 --> 01:26:16.400]   And I was like, "Absolutely,
[01:26:16.400 --> 01:26:18.200]   "I'll come in and give you a hug."
[01:26:18.200 --> 01:26:19.680]   And then he tried again.
[01:26:19.680 --> 01:26:21.600]   He was like, "I wanna go with you."
[01:26:21.600 --> 01:26:24.760]   And I said, "Bud, if you're going with me,
[01:26:24.760 --> 01:26:25.920]   "we're going home.
[01:26:25.920 --> 01:26:26.960]   "We're not doing this.
[01:26:26.960 --> 01:26:28.320]   "You have to be obedient."
[01:26:28.320 --> 01:26:30.400]   "Okay, Mom, I'm sorry."
[01:26:30.400 --> 01:26:32.560]   And that was that.
[01:26:32.560 --> 01:26:35.440]   - Good job, Sarah.
[01:26:35.440 --> 01:26:37.080]   - The victory there.
[01:26:37.080 --> 01:26:38.880]   - Love that.
[01:26:38.880 --> 01:26:39.720]   Well done.
[01:26:39.720 --> 01:26:42.600]   - Okay.
[01:26:42.600 --> 01:26:43.600]   - All right.
[01:26:43.600 --> 01:26:44.800]   Jason Lacey.
[01:26:44.800 --> 01:26:48.320]   - Hi there.
[01:26:48.320 --> 01:26:49.840]   Caught you, huh?
[01:26:49.840 --> 01:26:53.320]   - Can we talk about number 38 on day four a little bit?
[01:26:53.320 --> 01:26:56.520]   - 38 on day four.
[01:26:56.520 --> 01:27:00.360]   - Are we not supposed to use the rod
[01:27:00.360 --> 01:27:01.880]   with our older children?
[01:27:01.880 --> 01:27:05.720]   - Not necessarily.
[01:27:05.720 --> 01:27:09.200]   So, I mean, yes, you should.
[01:27:09.200 --> 01:27:11.080]   So how old?
[01:27:11.080 --> 01:27:12.240]   - Seven.
[01:27:12.240 --> 01:27:14.120]   - Oh, yes, absolutely.
[01:27:14.120 --> 01:27:15.080]   Yes.
[01:27:15.080 --> 01:27:20.000]   - So the question is if your child is five years or younger,
[01:27:20.000 --> 01:27:22.280]   you are right on schedule for using the rod.
[01:27:22.280 --> 01:27:24.600]   - This goes back to what I was talking about,
[01:27:24.600 --> 01:27:27.880]   that if you're in here and you've got a two-year-old
[01:27:27.880 --> 01:27:31.520]   and you're starting to train them in this way,
[01:27:31.520 --> 01:27:32.760]   probably by five,
[01:27:32.760 --> 01:27:35.480]   they're gonna be able to handle the appeal process.
[01:27:35.480 --> 01:27:38.560]   It goes the same way with the spankings.
[01:27:38.560 --> 01:27:41.080]   Like if somebody's got a two-year-old
[01:27:41.080 --> 01:27:43.760]   and they're just really getting into this
[01:27:43.760 --> 01:27:45.320]   or even younger than two-year-old
[01:27:45.320 --> 01:27:48.440]   and they're just starting to really train their hearts,
[01:27:48.440 --> 01:27:52.480]   by five years old, there's gonna be less spankings.
[01:27:52.480 --> 01:27:53.800]   It's not gonna be gone.
[01:27:53.800 --> 01:27:56.080]   There's still gonna be some rebellion
[01:27:56.080 --> 01:27:58.320]   that's gonna crop up every now and then.
[01:27:58.320 --> 01:28:00.160]   But for the most part,
[01:28:00.160 --> 01:28:03.480]   for the parent who was doing this faithfully
[01:28:03.480 --> 01:28:06.200]   for the first five years of that child's life,
[01:28:06.200 --> 01:28:10.440]   there's not gonna be very many spankings by five years old.
[01:28:10.440 --> 01:28:13.160]   But if you're just now learning this
[01:28:13.160 --> 01:28:15.560]   and there's a lot that needs to be undone
[01:28:15.560 --> 01:28:18.480]   because you haven't been practicing these principles,
[01:28:18.480 --> 01:28:23.120]   you're probably very actively spanking at this point.
[01:28:23.120 --> 01:28:27.160]   The good news is if you continue
[01:28:27.160 --> 01:28:30.840]   to consistently train your seven-year-old,
[01:28:30.840 --> 01:28:34.040]   I would say by the time a year goes by,
[01:28:34.040 --> 01:28:38.000]   you are gonna see a radical difference in your son
[01:28:38.000 --> 01:28:42.680]   and you will see less spankings probably in a year.
[01:28:42.680 --> 01:28:44.520]   - Okay. - Yeah.
[01:28:44.520 --> 01:28:49.520]   So if you're consistent and you're really practicing this
[01:28:49.520 --> 01:28:52.640]   and they're older, they learn quickly.
[01:28:52.640 --> 01:28:54.120]   - Oh, yeah.
[01:28:54.120 --> 01:28:57.800]   - Okay, so if she doesn't have problems with,
[01:28:57.800 --> 01:28:59.000]   she obeys right away,
[01:28:59.000 --> 01:29:01.880]   but maybe she's a little bit more prideful.
[01:29:01.880 --> 01:29:05.000]   It's our firstborn, so she struggles with just,
[01:29:05.000 --> 01:29:08.120]   'cause she's better than her sisters at everything.
[01:29:08.120 --> 01:29:13.120]   So do you, how do you, do you spank for that or?
[01:29:13.120 --> 01:29:18.160]   - So if that pride comes out in a disrespectful
[01:29:18.160 --> 01:29:21.600]   or a hurtful way towards others, yes.
[01:29:21.600 --> 01:29:22.440]   - Okay.
[01:29:22.440 --> 01:29:27.440]   - But if it's kind of the, just, you see it in the eyes.
[01:29:27.440 --> 01:29:30.400]   - She's fluffed up. - Yeah.
[01:29:30.400 --> 01:29:32.800]   Yeah, the face- - I would, yeah.
[01:29:32.800 --> 01:29:37.320]   I would do good Bible study with her,
[01:29:37.320 --> 01:29:40.960]   pull out some of the good books and good stories
[01:29:40.960 --> 01:29:44.400]   about the ones who were super prideful
[01:29:44.400 --> 01:29:46.800]   versus the ones who were humble.
[01:29:46.800 --> 01:29:50.360]   I love Abigail.
[01:29:50.360 --> 01:29:54.760]   I don't know if you remember that story, David and Abigail.
[01:29:54.760 --> 01:29:59.760]   She was married to a very brute man, very awful man.
[01:30:00.160 --> 01:30:03.200]   And she was as humble as can be.
[01:30:03.200 --> 01:30:08.200]   And David called her wise and discerning.
[01:30:08.200 --> 01:30:13.160]   And so she was rewarded for her humility.
[01:30:13.160 --> 01:30:15.360]   Anyway, it's a great story,
[01:30:15.360 --> 01:30:17.720]   but there's all kinds of good stories
[01:30:17.720 --> 01:30:19.920]   about pride and humility in the Bible.
[01:30:19.920 --> 01:30:24.000]   If you need help, you know, like email or text me
[01:30:24.000 --> 01:30:29.000]   and I'll shoot you some passages to take her through.
[01:30:29.800 --> 01:30:31.280]   So I would do that with her.
[01:30:31.280 --> 01:30:36.280]   And then the other thing I would do is have her serve.
[01:30:36.280 --> 01:30:40.120]   So every time you see that pride come up,
[01:30:40.120 --> 01:30:42.240]   you know, an eye roll or just kind of,
[01:30:42.240 --> 01:30:45.520]   you know that she's resisting,
[01:30:45.520 --> 01:30:48.920]   but it's not enough to give her a spanking, put her to work
[01:30:48.920 --> 01:30:53.760]   and let her heart be humbled by serving her siblings.
[01:30:53.760 --> 01:30:56.720]   Whoever she was doing it towards,
[01:30:56.720 --> 01:30:59.360]   she should serve that person.
[01:30:59.360 --> 01:31:01.240]   - Okay, that makes sense.
[01:31:01.240 --> 01:31:02.320]   - Okay.
[01:31:02.320 --> 01:31:03.640]   - Yes, thank you.
[01:31:03.640 --> 01:31:06.240]   - That would be the natural consequence or not natural,
[01:31:06.240 --> 01:31:08.080]   the related consequence.
[01:31:08.080 --> 01:31:08.920]   - Yeah.
[01:31:08.920 --> 01:31:09.760]   - Okay.
[01:31:09.760 --> 01:31:11.440]   Okay, great.
[01:31:11.440 --> 01:31:12.560]   Thank you, that helps.
[01:31:12.560 --> 01:31:13.600]   - Welcome.
[01:31:13.600 --> 01:31:15.000]   - Daniel, you had a question.
[01:31:15.000 --> 01:31:18.360]   - So our question is about the,
[01:31:18.360 --> 01:31:21.640]   when we're applying discipline,
[01:31:21.640 --> 01:31:26.000]   it says in the workbook to do it on their thigh, right?
[01:31:26.000 --> 01:31:27.600]   And to keep their pants on.
[01:31:27.600 --> 01:31:28.440]   - Yeah.
[01:31:28.440 --> 01:31:31.040]   - So we tried doing that, but then,
[01:31:31.040 --> 01:31:33.640]   well, we tried doing that.
[01:31:33.640 --> 01:31:35.440]   It's sometimes they have a,
[01:31:35.440 --> 01:31:38.480]   so do you do it on skin or do you do it on the?
[01:31:38.480 --> 01:31:42.240]   - So do you have the wisdom marker that we recommend?
[01:31:42.240 --> 01:31:44.960]   - Oh, it is on its way.
[01:31:44.960 --> 01:31:46.280]   - Okay.
[01:31:46.280 --> 01:31:47.120]   All right.
[01:31:47.120 --> 01:31:51.080]   And that's why I generally say the top of the thigh,
[01:31:51.080 --> 01:31:52.360]   because here's the thing,
[01:31:52.360 --> 01:31:55.840]   Ted Tripp recommends that you take the pants down.
[01:31:55.840 --> 01:31:57.120]   - Bare bottom, yeah.
[01:31:57.120 --> 01:32:01.000]   - And I don't necessarily agree with that.
[01:32:01.000 --> 01:32:04.680]   I don't think that's necessary.
[01:32:04.680 --> 01:32:09.560]   And I do think that there's a dignity issue with that.
[01:32:09.560 --> 01:32:14.560]   And because we use the wisdom marker, it's not necessary.
[01:32:14.560 --> 01:32:19.080]   So it has enough of a sting
[01:32:19.080 --> 01:32:21.600]   that it will go right through a pair of jeans.
[01:32:21.600 --> 01:32:24.880]   So when I say the top of the thigh,
[01:32:24.880 --> 01:32:28.440]   that's for the one that's got a big diaper on.
[01:32:28.440 --> 01:32:29.600]   - Oh, I see.
[01:32:29.600 --> 01:32:30.440]   - Yeah.
[01:32:30.440 --> 01:32:34.200]   So if it's not a diapered child,
[01:32:34.200 --> 01:32:36.960]   you can go right on the buttocks.
[01:32:36.960 --> 01:32:38.200]   - Oh, okay.
[01:32:38.200 --> 01:32:39.080]   - Yeah.
[01:32:39.080 --> 01:32:40.640]   - I see, I see, I see.
[01:32:40.640 --> 01:32:41.960]   Okay.
[01:32:41.960 --> 01:32:42.800]   - Good.
[01:32:42.800 --> 01:32:44.560]   - Good question.
[01:32:44.560 --> 01:32:46.880]   I'm glad we could clarify that.
[01:32:46.880 --> 01:32:50.120]   - Sorry, one last quick question.
[01:32:50.120 --> 01:32:53.080]   So when you guys are talking about the,
[01:32:53.080 --> 01:32:55.760]   like giving them a, like a warning,
[01:32:55.760 --> 01:32:59.000]   like a two minute warning or a five minute warning.
[01:32:59.000 --> 01:33:02.080]   So do you advise to do that as much as we can?
[01:33:02.080 --> 01:33:05.400]   Or because one of the things that we were thinking about was
[01:33:05.400 --> 01:33:08.200]   do we want to teach them that they need to have a warning
[01:33:08.200 --> 01:33:09.640]   every single time before?
[01:33:09.640 --> 01:33:11.280]   - No, no.
[01:33:11.280 --> 01:33:13.320]   - So how do you know when to give them a warning
[01:33:13.320 --> 01:33:14.560]   and when not to give them a warning?
[01:33:14.560 --> 01:33:18.560]   - Yeah, I mean, it's like a lot of times
[01:33:18.560 --> 01:33:20.720]   you're not even going to be able to give them a warning
[01:33:20.720 --> 01:33:22.240]   because you just need them to do
[01:33:22.240 --> 01:33:23.840]   what they need to do right now.
[01:33:23.840 --> 01:33:24.680]   - To be obedient.
[01:33:24.680 --> 01:33:27.760]   - And so they need to learn to be obedient.
[01:33:27.760 --> 01:33:29.840]   How old are your little ones?
[01:33:29.840 --> 01:33:31.040]   - Five, three, and one.
[01:33:31.040 --> 01:33:32.480]   - Yeah.
[01:33:32.480 --> 01:33:37.320]   The five-year-old might be at a good age for a warning.
[01:33:37.320 --> 01:33:42.600]   If the three-year-old is characterized by obedience,
[01:33:42.600 --> 01:33:47.600]   I would say the three-year-old could have a warning.
[01:33:48.200 --> 01:33:53.200]   But the five-year-old is probably at an age where...
[01:33:53.200 --> 01:33:54.560]   Is it a he?
[01:33:54.560 --> 01:33:56.360]   - The five-year-old is a girl.
[01:33:56.360 --> 01:33:57.920]   - The five-year-old doesn't need a warning.
[01:33:57.920 --> 01:33:59.440]   - Yeah, she doesn't need a warning.
[01:33:59.440 --> 01:34:00.280]   She's very like...
[01:34:00.280 --> 01:34:01.680]   - It's more the three-year-old.
[01:34:01.680 --> 01:34:02.520]   - Okay.
[01:34:02.520 --> 01:34:06.080]   So no, you don't have to give the three-year-old a warning,
[01:34:06.080 --> 01:34:09.600]   but I would plan on doing that in the future.
[01:34:09.600 --> 01:34:12.440]   So when your three-year-old gets a little bit older
[01:34:12.440 --> 01:34:17.320]   and is fully engaged in something
[01:34:17.320 --> 01:34:21.760]   and you know that that's gonna be a tough break
[01:34:21.760 --> 01:34:25.600]   for them to make, and you have five minutes,
[01:34:25.600 --> 01:34:27.960]   like let's say you know bedtime, right?
[01:34:27.960 --> 01:34:31.720]   You know that it's gonna be whatever it is, 7.30.
[01:34:31.720 --> 01:34:35.840]   And so your child is just engaged
[01:34:35.840 --> 01:34:37.600]   in whatever it is they're doing,
[01:34:37.600 --> 01:34:41.120]   and you're looking at the clock and it's 7.15,
[01:34:41.120 --> 01:34:41.960]   and you're thinking,
[01:34:41.960 --> 01:34:46.160]   "This is probably gonna be a rough time for my child
[01:34:46.160 --> 01:34:49.120]   to all of a sudden hear that it's time to go to bed."
[01:34:49.120 --> 01:34:49.960]   - Change gears.
[01:34:49.960 --> 01:34:51.840]   - That's a good time to just throw out,
[01:34:51.840 --> 01:34:56.760]   "Hey, bud, you get a five-minute warning here,
[01:34:56.760 --> 01:34:58.920]   just want you to know bedtime's coming up,
[01:34:58.920 --> 01:35:01.840]   so you're gonna wrap it up in five minutes."
[01:35:01.840 --> 01:35:04.880]   That's just kind of grace,
[01:35:04.880 --> 01:35:09.080]   to give them that little five minutes
[01:35:09.080 --> 01:35:12.560]   to know I'm working on something here
[01:35:12.560 --> 01:35:15.200]   that is so important to me,
[01:35:15.200 --> 01:35:19.600]   or I'm watching a TV show that I'm really engaged in,
[01:35:19.600 --> 01:35:23.680]   and to know, "Okay, I've gotta be done with this
[01:35:23.680 --> 01:35:26.040]   in five minutes, so what am I gonna do?
[01:35:26.040 --> 01:35:30.320]   Am I going to put it on pause in five minutes?"
[01:35:30.320 --> 01:35:33.640]   You know, it gives them time to think wisely
[01:35:33.640 --> 01:35:36.080]   about what their choices are.
[01:35:36.080 --> 01:35:38.480]   And then at that time,
[01:35:38.480 --> 01:35:43.080]   "Okay, dude, it's 7.30, up you go, it's time for bed."
[01:35:44.760 --> 01:35:48.200]   He has every reason to be obedient to you.
[01:35:48.200 --> 01:35:53.520]   - So would you intentionally not give him a warning?
[01:35:53.520 --> 01:35:55.200]   'Cause right now, I do give him warnings,
[01:35:55.200 --> 01:35:57.960]   and he responds very well to the warnings.
[01:35:57.960 --> 01:35:59.600]   - This is a three-year-old.
[01:35:59.600 --> 01:36:00.440]   - Three-year-old, yeah.
[01:36:00.440 --> 01:36:02.040]   He responds very well to the warnings right now.
[01:36:02.040 --> 01:36:04.600]   Is it okay to continue doing this?
[01:36:04.600 --> 01:36:06.000]   - Here's what I would do, Daniel,
[01:36:06.000 --> 01:36:08.240]   and I think this is always a good idea,
[01:36:08.240 --> 01:36:10.920]   and you guys will find all kinds of opportunities
[01:36:10.920 --> 01:36:12.040]   to do this.
[01:36:12.040 --> 01:36:13.960]   Because you're asking me,
[01:36:13.960 --> 01:36:16.440]   I think the bottom-line question
[01:36:16.440 --> 01:36:18.840]   that you're asking yourself is,
[01:36:18.840 --> 01:36:22.400]   is he capable of first-time obedience?
[01:36:22.400 --> 01:36:24.400]   And that's a really good question,
[01:36:24.400 --> 01:36:28.160]   because he needs to be capable of first-time obedience
[01:36:28.160 --> 01:36:30.360]   without a warning.
[01:36:30.360 --> 01:36:34.720]   And so what I would do is not give him a warning
[01:36:34.720 --> 01:36:38.840]   on something, and see how he responds.
[01:36:38.840 --> 01:36:40.720]   And if he falls apart,
[01:36:40.720 --> 01:36:43.360]   you gotta give him a consequence for that.
[01:36:43.360 --> 01:36:46.080]   And he does need to learn that lesson
[01:36:46.080 --> 01:36:47.480]   that there's gonna be times
[01:36:47.480 --> 01:36:50.680]   when daddy and mommy cannot give you a warning,
[01:36:50.680 --> 01:36:53.680]   or we're just not going to give you a warning.
[01:36:53.680 --> 01:36:59.280]   And that's a choice, and you need to trust mom and dad.
[01:36:59.280 --> 01:37:02.440]   And so here's what happens.
[01:37:02.440 --> 01:37:04.840]   - That's a lot.
[01:37:04.840 --> 01:37:06.760]   - Yeah, do that a few times.
[01:37:06.760 --> 01:37:08.480]   And then down the road,
[01:37:08.480 --> 01:37:12.760]   we usually talk about this with red cup, blue cup.
[01:37:12.760 --> 01:37:15.040]   And if a child is really accustomed
[01:37:15.040 --> 01:37:16.880]   to having a red cup all the time,
[01:37:16.880 --> 01:37:18.000]   and that's his favorite cup,
[01:37:18.000 --> 01:37:20.280]   and he only drinks out of the red cup,
[01:37:20.280 --> 01:37:22.120]   we always, and parents say,
[01:37:22.120 --> 01:37:26.080]   "Is it okay if he's only drinking out of the red cup?"
[01:37:26.080 --> 01:37:29.640]   And we say, "Well, what if the red cup
[01:37:29.640 --> 01:37:31.280]   "is in the dishwasher one morning?
[01:37:31.280 --> 01:37:34.640]   "Give him the blue cup, and let's see what happens."
[01:37:34.640 --> 01:37:37.640]   If he's not okay with the blue cup, then we have a problem.
[01:37:37.640 --> 01:37:40.320]   Do you see what I'm saying?
[01:37:40.320 --> 01:37:44.280]   So sometimes it's actually a smart idea
[01:37:44.280 --> 01:37:49.280]   to set up a scenario where it's going to challenge them
[01:37:49.280 --> 01:37:52.520]   to see where's the heart.
[01:37:52.520 --> 01:37:54.520]   Is the heart willing to obey?
[01:37:54.520 --> 01:37:58.480]   And if they are, then fine, let them go back to the red cup.
[01:37:58.480 --> 01:38:04.680]   And if yours is willing to obey with no warning,
[01:38:04.680 --> 01:38:08.280]   and you want to go back to giving them a warning, do it.
[01:38:08.280 --> 01:38:09.320]   There's nothing wrong.
[01:38:09.320 --> 01:38:12.000]   But I would test it every now and then,
[01:38:12.000 --> 01:38:14.120]   because you're right.
[01:38:14.120 --> 01:38:19.120]   If that can actually feed their self-importance,
[01:38:19.120 --> 01:38:26.240]   believing that you have to play by the rules,
[01:38:26.240 --> 01:38:28.880]   whereas that's not the way it goes.
[01:38:28.880 --> 01:38:30.720]   Mom and dad set the rules,
[01:38:30.720 --> 01:38:34.040]   and those rules are able to change
[01:38:34.040 --> 01:38:38.760]   whenever mom and dad deem that it's time to change the rule.
[01:38:39.480 --> 01:38:40.320]   So.
[01:38:40.320 --> 01:38:41.560]   - Yeah, and use your discernment,
[01:38:41.560 --> 01:38:43.040]   and be selective about the times
[01:38:43.040 --> 01:38:44.720]   that you are going to give a warning.
[01:38:44.720 --> 01:38:47.200]   You don't have to do it every single time.
[01:38:47.200 --> 01:38:50.920]   - No, you definitely don't, no.
