
[00:00:00.000 --> 00:00:06.100]   The following is a conversation with Terence Tao, widely considered to be one of the greatest
[00:24:27.240 --> 00:24:29.960]   And this is what I managed to accomplish for this average Navier-Stokes.
[00:24:29.960 --> 00:24:33.100]   So it provided this sort of roadmap to solve the problem.
[00:24:33.100 --> 00:24:39.500]   Now, this is a pipe dream because there are so many things that are missing for this to
[00:24:39.500 --> 00:24:40.320]   actually be a reality.
[00:24:41.240 --> 00:24:44.580]   So I can't create these basic logic gates.
[00:24:44.580 --> 00:24:48.440]   I don't have these special configurations of water.
[00:24:48.440 --> 00:24:52.360]   I mean, there's candidates that include vortex rings that might possibly work.
[00:24:52.360 --> 00:24:59.800]   But also, you know, analog computing is really nasty compared to digital computing.
[00:24:59.800 --> 00:25:01.000]   I mean, because there's always errors.
[00:25:01.720 --> 00:25:04.900]   You have to do a lot of error correction along the way.
[00:25:04.900 --> 00:25:09.900]   I don't know how to completely power down the big machine so that it doesn't interfere with the running of the smaller machine.
[00:25:09.900 --> 00:25:12.740]   But everything, in principle, can happen.
[00:25:12.740 --> 00:25:14.640]   Like, it doesn't contradict any of the laws of physics.
[00:25:14.640 --> 00:25:18.620]   So it's sort of evidence that this thing is possible.
[00:25:19.720 --> 00:25:27.060]   There are other groups who are now pursuing ways to make Navier-Stokes blow up, which are nowhere near as ridiculously complicated as this.
[00:25:28.940 --> 00:25:40.160]   They actually are pursuing much closer to the direct self-similar model, which can, it doesn't quite work as is, but there could be some simpler scheme than what I just described to make this work.
[00:25:40.160 --> 00:25:46.480]   There is a real leap of genius here to go from Navier-Stokes to this Turing machine.
[00:25:46.480 --> 00:26:06.400]   So it goes from what, the self-similar blob scenario that you're trying to get the smaller and smaller blob to now having a liquid Turing machine gets smaller and smaller and smaller and somehow seeing how that could be used to say something about a blow up.
[00:26:06.400 --> 00:26:08.200]   I mean, that's a big leap.
[00:26:08.200 --> 00:26:09.220]   So there's precedent.
[00:26:09.220 --> 00:26:19.300]   I mean, so the thing about mathematics is that it's really good at spotting connections between what you might think of as completely different problems.
[00:26:19.300 --> 00:26:23.840]   But if the mathematical form is the same, you can draw a connection.
[00:26:23.840 --> 00:26:31.820]   So there's a lot of work previously on what I call cellular automata, the most famous of which is Conway's Game of Life.
[00:26:31.820 --> 00:26:36.700]   There's this infinite discrete grid, and at any given time, the grid is either occupied by a cell or it's empty.
[00:26:37.200 --> 00:26:40.460]   And there's a very simple rule that tells you how these cells evolve.
[00:26:40.460 --> 00:26:42.460]   So sometimes cells live and sometimes they die.
[00:26:42.460 --> 00:26:50.460]   And when I was a student, it was a very popular screensaver to actually just have these animations going.
[00:26:50.460 --> 00:26:51.720]   And they look very chaotic.
[00:26:51.720 --> 00:26:53.960]   In fact, they look a little bit like turbo flow sometimes.
[00:26:53.960 --> 00:26:58.520]   But at some point, people discovered more and more interesting structures within this game of life.
[00:26:58.780 --> 00:27:00.420]   So for example, they discovered this thing called a glider.
[00:27:00.420 --> 00:27:05.900]   So a glider is a very tiny configuration of like four or five cells, which evolves and it just moves in a certain direction.
[00:27:05.900 --> 00:27:07.960]   And that's like this vortex rings.
[00:27:09.500 --> 00:27:10.780]   Yeah, so this is an analogy.
[00:27:10.780 --> 00:27:13.200]   The Game of Life is kind of like a discrete equation.
[00:27:13.200 --> 00:27:17.180]   And the fluid Navi-Stokes is a continuous equation.
[00:27:17.180 --> 00:27:19.500]   But mathematically, they have some similar features.
[00:27:19.500 --> 00:27:27.700]   And so over time, people discovered more and more interesting things that you could build within the Game of Life.
[00:27:27.700 --> 00:27:29.020]   The Game of Life is a very simple system.
[00:27:29.020 --> 00:27:31.500]   It only has like three or four rules to do it.
[00:27:31.540 --> 00:27:34.460]   But you can design all kinds of interesting configurations inside it.
[00:27:34.460 --> 00:27:39.040]   There's something called a glider gun that does nothing to spit out gliders one at a time.
[00:27:39.040 --> 00:27:48.260]   And then after a lot of effort, people managed to create AND gates and OR gates for gliders.
[00:27:48.260 --> 00:27:55.800]   There's this massive ridiculous structure, which if you have a stream of gliders coming in here and a stream of gliders coming in here,
[00:27:56.040 --> 00:28:05.360]   then you may produce a stream gliders coming out if both of the streams have gliders, then there'll be an output stream.
[00:28:05.360 --> 00:28:07.340]   But if only one of them does, then nothing comes out.
[00:28:07.340 --> 00:28:09.200]   So they could build something like that.
[00:28:09.200 --> 00:28:18.240]   And once you could build these basic gates, then just from software engineering, you can build almost anything.
[00:28:18.240 --> 00:28:20.300]   You can build a Turing machine.
[00:28:20.300 --> 00:28:23.300]   I mean, it's like an enormous steampunk type things.
[00:28:23.300 --> 00:28:24.160]   They look ridiculous.
[00:28:24.960 --> 00:28:28.900]   But then people also generated self-replicating objects in the game of life.
[00:28:28.900 --> 00:28:36.460]   A massive machine, a boner machine, which over a huge period of time, and it always looked like glider guns inside doing these very steampunk calculations,
[00:28:36.460 --> 00:28:40.600]   it would create another version of itself, which could replicate.
[00:28:40.600 --> 00:28:41.900]   That's so incredible.
[00:28:41.900 --> 00:28:45.620]   A lot of this was like community crowdsourced by like amateur mathematicians, actually.
[00:28:45.620 --> 00:28:48.560]   So I knew about that work.
[00:28:48.560 --> 00:28:53.140]   And so that is part of what inspired me to propose the same thing with Navier Stokes.
[00:28:53.880 --> 00:28:57.440]   Now, as I said, analog is much worse than digital.
[00:28:57.440 --> 00:29:03.580]   Like it's going to be, you can't just directly take the constructions from the game of life and plunk them in.
[00:29:03.580 --> 00:29:05.580]   But again, it just shows it's possible.
[00:29:06.180 --> 00:29:10.880]   You know, there's a kind of emergence that happens with these cellular automata.
[00:29:10.880 --> 00:29:15.900]   Local rules, maybe it's similar to fluids, I don't know.
[00:29:15.900 --> 00:29:24.420]   But local rules operating at scale can create these incredibly complex dynamic structures.
[00:29:24.420 --> 00:29:28.840]   Do you think any of that is amenable to mathematical analysis?
[00:29:29.740 --> 00:29:33.540]   Do we have the tools to say something profound about that?
[00:29:33.540 --> 00:29:39.220]   The thing is, you can get these emergent, very complicated structures, but only with very carefully prepared initial conditions.
[00:29:39.440 --> 00:29:48.200]   So these glider guns and gates and software machines, if you just plunk down randomly some cells and you're looking to the left, you will not see any of these.
[00:29:48.200 --> 00:29:52.460]   And that's the analogous situation of Navier Stokes again.
[00:29:52.460 --> 00:29:58.000]   You know, that with typical initial conditions, you will not have any of this weird computation going on.
[00:29:59.000 --> 00:30:07.160]   But basically through engineering, you know, by specially designing things in a very special way, you can make clever constructions.
[00:30:07.160 --> 00:30:16.100]   I wonder if it's possible to prove the sort of the negative of like, basically prove that only through engineering can you ever create something interesting.
[00:30:16.100 --> 00:30:21.840]   This is a recurring challenge in mathematics that I call the dichotomy between structure and randomness.
[00:30:21.840 --> 00:30:25.220]   That most objects that you can generate in mathematics are random.
[00:30:25.620 --> 00:30:27.180]   They look like the digits of pi.
[00:30:27.180 --> 00:30:29.000]   Well, we believe is a good example.
[00:30:29.000 --> 00:30:32.240]   But there's a very small number of things that have patterns.
[00:30:32.240 --> 00:30:42.360]   But now, you can prove something as a pattern by just constructing, you know, like if something has a simple pattern and you have a proof that it does something like repeat itself every so often, you can do that.
[00:30:42.360 --> 00:30:48.980]   And you can prove that most sequences of digits have no pattern.
[00:30:48.980 --> 00:30:52.580]   So like if you just pick digits randomly, there's something called the low large numbers.
[00:30:52.580 --> 00:30:55.240]   It tells you you're going to get as many ones as twos.
[00:30:55.240 --> 00:30:56.300]   In the long run.
[00:30:56.300 --> 00:31:06.820]   But we have a lot fewer tools to, if I give you a specific pattern like the digits of pi, how can I show that this doesn't have some weird pattern to it?
[00:31:06.820 --> 00:31:15.180]   Some other work that I spend a lot of time on is to prove what's called structure theorems or inverse theorems that give tests for when something is very structured.
[00:31:15.960 --> 00:31:18.220]   So some functions are what's called additive.
[00:31:18.220 --> 00:31:20.440]   Like if you have a function that matters the natural numbers are the natural numbers.
[00:31:20.440 --> 00:31:24.520]   So maybe, you know, two maps to four, three maps to six and so forth.
