
[00:00:00.000 --> 00:00:01.640]   what do women want?
[00:20:20.240 --> 00:20:25.840]   where Donald Trump was saying,
[00:20:25.840 --> 00:20:28.240]   this was when he was in competition with Ted Cruz,
[00:20:28.240 --> 00:20:29.920]   I think, in the primary, he said,
[00:20:29.920 --> 00:20:34.280]   "Look at my wife, look at Ted Cruz's wife."
[00:20:34.280 --> 00:20:39.200]   And he really impugned the appearance of Ted Cruz's wife.
[00:20:39.200 --> 00:20:44.200]   - So using language, you can alter the dynamics
[00:20:44.640 --> 00:20:47.560]   of the social hierarchy, the status hierarchy, sorry.
[00:20:47.560 --> 00:20:50.280]   So you can change the values subtly,
[00:20:50.280 --> 00:20:53.240]   or if you have a large platform in big ways,
[00:20:53.240 --> 00:20:55.760]   you can move things around just with your words.
[00:20:55.760 --> 00:20:57.440]   - Yeah, yeah, that's right.
[00:20:57.440 --> 00:20:59.480]   - Right, which is fascinating.
[00:20:59.480 --> 00:21:03.200]   Because it's all socially constructed anyway.
[00:21:03.200 --> 00:21:05.440]   So this, I mean, the question I have is,
[00:21:05.440 --> 00:21:06.800]   you said there's the interesting thing
[00:21:06.800 --> 00:21:11.000]   about mating strategies is there's a small pool
[00:21:11.000 --> 00:21:12.960]   of desirable mates.
[00:21:12.960 --> 00:21:17.960]   And what the word desirable means is socially defined
[00:21:17.960 --> 00:21:20.400]   almost by on purpose to make sure
[00:21:20.400 --> 00:21:22.360]   the pool always stays small.
[00:21:22.360 --> 00:21:23.920]   - I would have a couple thoughts on that.
[00:21:23.920 --> 00:21:26.720]   It's an interesting issue, set of issues you raise.
[00:21:26.720 --> 00:21:31.720]   Okay, one is that I think we have evolved adaptations.
[00:21:31.720 --> 00:21:35.580]   Part of our psychology is to detect differences.
[00:21:35.580 --> 00:21:39.920]   And so this is why, like a, I don't know,
[00:21:39.920 --> 00:21:42.840]   a Martian or an alien coming down,
[00:21:42.840 --> 00:21:44.480]   they might look at humans and say,
[00:21:44.480 --> 00:21:46.920]   "Boy, they all look alike."
[00:21:46.920 --> 00:21:49.320]   Just like we look at, I don't know, zebras or whatever,
[00:21:49.320 --> 00:21:51.160]   and we think they all look alike.
[00:21:51.160 --> 00:21:56.000]   But what's important in decision-making,
[00:21:56.000 --> 00:21:59.120]   especially in the mating domain, or even friendship domain,
[00:21:59.120 --> 00:22:04.120]   or coalitional selection domain, is the differences.
[00:22:04.120 --> 00:22:08.200]   And so I noticed this, just a concrete example of this.
[00:22:09.440 --> 00:22:13.200]   I was sitting around, this is, again, ages ago,
[00:22:13.200 --> 00:22:17.400]   watching something like a Miss America beauty contest,
[00:22:17.400 --> 00:22:19.680]   and people in there with a bunch of other people,
[00:22:19.680 --> 00:22:23.520]   and they were saying, "Boy, did you see Miss North Carolina?
[00:22:23.520 --> 00:22:24.720]   "What a dog."
[00:22:24.720 --> 00:22:27.080]   And so this is astonishing.
[00:22:27.080 --> 00:22:30.440]   So here are like 50 contestants who are selected
[00:22:30.440 --> 00:22:33.420]   as the most attractive in their state, presumably,
[00:22:33.420 --> 00:22:36.640]   although they claim it's based on talent.
[00:22:36.640 --> 00:22:39.620]   But we notice the differences.
[00:22:39.620 --> 00:22:45.320]   And this is why I would push back a little bit
[00:22:45.320 --> 00:22:47.080]   on the term socially constructed,
[00:22:47.080 --> 00:22:51.600]   because I think there are many different meanings
[00:22:51.600 --> 00:22:53.080]   of that phrase.
[00:22:53.080 --> 00:22:56.280]   And one meaning that some people have,
[00:22:56.280 --> 00:22:58.920]   one connotation is that it's arbitrary.
[00:22:58.920 --> 00:23:00.300]   And I don't think it's arbitrary.
[00:23:00.300 --> 00:23:03.280]   So this has been another shift
[00:23:03.280 --> 00:23:06.280]   in understanding standards of beauty,
[00:23:06.280 --> 00:23:10.680]   where it used to be believed in the social sciences.
[00:23:10.680 --> 00:23:12.400]   You can't judge a book by its cover.
[00:23:12.400 --> 00:23:15.000]   Beauty is only skin deep.
[00:23:15.000 --> 00:23:19.840]   Don't judge people on the superficial characteristics.
[00:23:19.840 --> 00:23:22.640]   But in fact, physical appearance provides
[00:23:22.640 --> 00:23:26.200]   a wealth of information about the health status
[00:23:26.200 --> 00:23:29.660]   of someone there, in the case of males,
[00:23:29.660 --> 00:23:32.000]   their physical formidability.
[00:23:32.000 --> 00:23:35.280]   And we have formidability assessment adaptations.
[00:23:35.280 --> 00:23:37.320]   And then fertility as well.
[00:23:37.320 --> 00:23:42.120]   So there are a very predictable set of cues to fertility
[00:23:42.120 --> 00:23:44.960]   that have evolved to be part of our standards
[00:23:44.960 --> 00:23:45.920]   of attractiveness.
[00:23:45.920 --> 00:23:47.840]   And they're not arbitrary.
[00:23:47.840 --> 00:23:49.800]   There are some culturally arbitrary ones.
[00:23:49.800 --> 00:23:53.920]   So like you go to the Maori in New Zealand, for example,
[00:23:53.920 --> 00:23:58.640]   and they find tattoos on their lips to be very attractive.
[00:23:58.640 --> 00:24:02.720]   So there are some culturally arbitrary things.
[00:24:02.720 --> 00:24:06.920]   But standards of beauty like cues to youth,
[00:24:06.920 --> 00:24:11.920]   cues to health in women, clear skin, full lips,
[00:24:11.920 --> 00:24:17.160]   clear eyes, lustrous hair, a small waist-hip ratio
[00:24:17.160 --> 00:24:20.440]   that is circumference of the waist relative to the hips
[00:24:20.440 --> 00:24:23.740]   is a cue to youth and fertility,
[00:24:23.740 --> 00:24:25.680]   and a cue to health.
[00:24:25.680 --> 00:24:27.000]   Symmetrical features.
[00:24:27.000 --> 00:24:31.580]   So we are a bilaterally symmetrical species,
[00:24:31.580 --> 00:24:36.240]   but we all have deviations from perfect symmetry
[00:24:36.240 --> 00:24:38.320]   that are due to different things.
[00:24:38.320 --> 00:24:42.040]   So mutation, load, environmental insults,
[00:24:42.040 --> 00:24:45.120]   diseases during development, and so forth.
[00:24:45.120 --> 00:24:48.680]   - All right, but that's kind of deeply biological.
[00:24:48.680 --> 00:24:51.460]   Like there's cues that indicate something
[00:24:51.460 --> 00:24:54.640]   that is biologically true about a particular human.
[00:24:54.640 --> 00:24:57.600]   So if we talk about both men and women.
[00:24:58.660 --> 00:25:01.640]   So we're now talking about what men want
[00:25:01.640 --> 00:25:06.240]   in the mating strategies when they look at women.
[00:25:06.240 --> 00:25:10.560]   So you're saying small waist to hip ratio.
[00:25:10.560 --> 00:25:11.400]   - Right.
[00:25:11.400 --> 00:25:18.020]   - How much of that is our deep biological past
[00:25:18.020 --> 00:25:19.400]   on top of which we can build
[00:25:19.400 --> 00:25:21.720]   all kinds of different standards of beauty?
[00:25:21.720 --> 00:25:26.220]   So we have many things going on in our brain.
[00:25:27.080 --> 00:25:31.220]   Our value of other humans in selecting a mate
[00:25:31.220 --> 00:25:34.260]   might incorporate a lot more variables
[00:25:34.260 --> 00:25:36.700]   as we get into the 21st century.
[00:25:36.700 --> 00:25:41.700]   So how quickly does our valuation of a mate evolve
[00:25:41.700 --> 00:25:49.020]   relative to the evolution of the human species?
[00:25:49.020 --> 00:25:51.700]   - You're using evolve in the sense of culturally evolve?
[00:25:51.700 --> 00:25:54.100]   - Culturally evolve, and then relative
[00:25:54.100 --> 00:25:55.700]   to biologically evolve.
[00:25:55.700 --> 00:26:00.700]   - Yeah, well, I think that there are some things
[00:26:00.700 --> 00:26:04.340]   that are biologically evolved,
[00:26:04.340 --> 00:26:07.300]   some standards of attractiveness.
[00:26:07.300 --> 00:26:10.300]   And there are some of the things that I mentioned.
[00:26:10.300 --> 00:26:13.060]   So in male evaluation of females,
[00:26:13.060 --> 00:26:14.940]   let me back up and just say,
[00:26:14.940 --> 00:26:16.400]   what is the underlying logic?
[00:26:16.400 --> 00:26:18.340]   Why would we have standards of attractiveness?
[00:26:18.340 --> 00:26:22.020]   So here's the interesting thing,
[00:26:22.020 --> 00:26:23.940]   and this gets back to your earlier question
[00:26:23.940 --> 00:26:26.500]   about what is unique to humans,
[00:26:26.500 --> 00:26:28.340]   or what distinguishes us,
[00:26:28.340 --> 00:26:31.000]   or what set us off on the path that we did,
[00:26:31.000 --> 00:26:36.000]   is chimpanzee males do not have any difficulty
[00:26:36.000 --> 00:26:39.620]   figuring out when a female is fertile.
[00:26:39.620 --> 00:26:42.020]   She signals that like crazy
[00:26:42.020 --> 00:26:43.860]   with the bright red genital swelling,
[00:26:43.860 --> 00:26:47.640]   olfactory cues, she goes into estrus.
[00:26:47.640 --> 00:26:51.600]   In humans, we have, and this was actually a third thing
[00:26:51.600 --> 00:26:53.100]   that I wanted to add earlier,
[00:26:53.100 --> 00:26:55.780]   we have concealed ovulation, okay,
[00:26:55.780 --> 00:26:57.700]   relatively concealed ovulation,
[00:26:57.700 --> 00:27:00.620]   which is remarkable given how close we are
[00:27:00.620 --> 00:27:03.660]   primatologically to chimpanzees.
[00:27:03.660 --> 00:27:08.660]   And so there's a little bit of evidence
[00:27:08.660 --> 00:27:11.620]   that there are subtle changes that occur
[00:27:11.620 --> 00:27:15.980]   when women ovulate, women not on hormonal contraceptives.
[00:27:15.980 --> 00:27:17.260]   - But it's mostly concealed.
[00:27:17.260 --> 00:27:18.860]   - But it is largely concealed.
[00:27:18.860 --> 00:27:21.340]   - Do you think that's a feature or a bug?
[00:27:21.340 --> 00:27:25.840]   Like do we evolve that, is that a cool,
[00:27:25.840 --> 00:27:28.000]   a powerful invention for the human species?
[00:27:28.000 --> 00:27:30.980]   - I think it's an adaptation in women,
[00:27:30.980 --> 00:27:34.260]   that women have evolved concealed ovulation.
[00:27:34.260 --> 00:27:36.940]   And I think it's a feature, not a bug.
[00:27:36.940 --> 00:27:39.980]   - That gives more, would it give more power
[00:27:39.980 --> 00:27:44.980]   for women to select a mate?
[00:27:44.980 --> 00:27:47.620]   - There are a couple different hypotheses about it,
[00:27:47.620 --> 00:27:52.300]   but the one that I think is most plausible
[00:27:52.300 --> 00:27:57.000]   is that, again, comparing it to chimps,
[00:27:57.000 --> 00:28:01.340]   female goes into estrus, the male just has to try
[00:28:01.340 --> 00:28:04.260]   to monopolize her while she's in that estrus phase,
[00:28:04.260 --> 00:28:07.780]   and then they basically ignore the females after that.
[00:28:07.780 --> 00:28:11.460]   If you can't know when a woman is fertile,
[00:28:11.460 --> 00:28:14.700]   then you have to stick around a lot longer.
[00:28:14.700 --> 00:28:19.420]   And so I think long-term pair bonding co-evolved
[00:28:19.420 --> 00:28:22.300]   with concealed ovulation.
[00:28:22.300 --> 00:28:25.920]   And with that, also, a very different form of sexuality,
[00:28:25.920 --> 00:28:30.380]   which is that we have sex throughout the ovulatory cycle,
[00:28:30.380 --> 00:28:34.100]   and chimps don't.
[00:28:34.100 --> 00:28:36.660]   There's a little bit of mating, a little bit of sex
[00:28:36.660 --> 00:28:40.980]   toward the edges of the estrus cycle, but very little.
[00:28:40.980 --> 00:28:45.020]   - So that actually makes mating a more fundamental part
[00:28:45.020 --> 00:28:49.380]   of interaction between humans than it does for chimps.
[00:28:49.380 --> 00:28:52.900]   So meaning like year-round, every day,
[00:28:52.900 --> 00:28:55.780]   constantly selecting mates in terms of biologically speaking.
[00:28:55.780 --> 00:28:59.500]   So what else do men want?
[00:28:59.500 --> 00:29:04.500]   Today, in the 21st century, versus in the caveman days?
[00:29:04.500 --> 00:29:06.380]   - A wonderful question.
[00:29:06.380 --> 00:29:08.500]   To answer it, though, I have to distinguish
[00:29:08.500 --> 00:29:11.820]   between long-term mating and short-term mating.
[00:29:11.820 --> 00:29:16.740]   And in long-term mating, it gets very complicated.
[00:29:16.740 --> 00:29:18.620]   So as a--
[00:29:18.620 --> 00:29:20.980]   - That's one way to put it, yeah.
[00:29:20.980 --> 00:29:24.820]   - Well, so I teach a course in human sexuality
[00:29:24.820 --> 00:29:27.140]   at University of Texas at Austin.
[00:29:27.140 --> 00:29:30.660]   And one of the things, this is back in the days
[00:29:30.660 --> 00:29:34.500]   when there were chalkboards, and you taught
[00:29:34.500 --> 00:29:37.780]   with a piece of chalk and wrote things on the board.
[00:29:37.780 --> 00:29:39.740]   And what I would do is I would ask the class,
[00:29:39.740 --> 00:29:42.540]   I'd teach this large class, one to 200,
[00:29:42.540 --> 00:29:45.020]   I'd say, what do women want?
[00:29:45.020 --> 00:29:48.380]   Tell me all the things women want in a long-term mate.
[00:29:48.380 --> 00:29:51.340]   And so I would start at one end of the blackboard,
[00:29:51.340 --> 00:29:52.940]   there were like five blackboards, and I'd say,
[00:29:52.940 --> 00:29:56.360]   well, I want a mate who's kind, who's understanding,
[00:29:56.360 --> 00:29:58.540]   who's intelligent, who's healthy,
[00:29:58.540 --> 00:30:01.860]   who's got a good sense of humor, who shares my values.
[00:30:01.860 --> 00:30:04.460]   And I'd just go, and I'd fill up five blackboards
[00:30:04.460 --> 00:30:06.300]   and then run out of space.
[00:30:06.300 --> 00:30:10.420]   And so first, this large number of characteristics
[00:30:10.420 --> 00:30:14.180]   that people want, and then specific magnitudes
[00:30:14.180 --> 00:30:16.220]   of those characteristics or amounts.
[00:30:16.220 --> 00:30:19.180]   So I'd say, you want a mate who's, say, generous
[00:30:19.180 --> 00:30:21.140]   with their resources, and they'd say, yes,
[00:30:21.140 --> 00:30:22.660]   I want a mate who's generous with their resources.
[00:30:22.660 --> 00:30:25.820]   So I said, so like a guy who, this is in women's mate
[00:30:25.820 --> 00:30:28.340]   selection, a guy who, at the end of every month,
[00:30:28.340 --> 00:30:32.500]   gets his paycheck and gives it to the local wino
[00:30:32.500 --> 00:30:36.180]   on the drag, and I'd say, well, no, not that generous.
[00:30:36.180 --> 00:30:40.260]   Generous toward me, not indiscriminately generous.
[00:30:40.260 --> 00:30:44.460]   And so you want a mate who's ambitious,
