
[00:00:00.000 --> 00:00:01.400]   I'm gonna take...
[01:17:14.840 --> 01:17:16.840]   and I will see you guys next week.
[01:17:16.840 --> 01:17:19.560]   If you have any questions, actually, please post them here
[01:17:19.560 --> 01:17:21.440]   and I will answer them.
[01:17:21.440 --> 01:17:24.000]   But thanks for now and I'll see you guys next week.
[01:17:24.000 --> 01:17:27.580]   (computer mouse clicking)
[01:17:27.580 --> 01:17:31.160]   (computer mouse clicking)
[01:17:31.160 --> 01:17:34.660]   (computer mouse clicking)
[01:17:34.660 --> 01:17:38.160]   (computer mouse clicking)
[01:17:38.160 --> 01:17:40.160]   Thank you.

