
[00:00:00.000 --> 00:00:02.240]   a generally well-educated human.
[00:15:07.300 --> 00:15:08.980]   we see the same patterns.
[00:15:08.980 --> 00:15:10.780]   And so I don't know.
[00:15:10.780 --> 00:15:13.220]   I think people were very focused
[00:15:13.220 --> 00:15:15.580]   on solving the problem in front of them.
[00:15:15.580 --> 00:15:18.060]   Why one person thinks one way and other person thinks,
[00:15:18.060 --> 00:15:20.700]   it's very hard to explain.
[00:15:20.700 --> 00:15:23.980]   I think people just see it through a different lens,
[00:15:23.980 --> 00:15:26.100]   are looking like vertically instead of horizontally.
[00:15:26.100 --> 00:15:27.700]   They're not thinking about the scaling,
[00:15:27.700 --> 00:15:29.620]   they're thinking about how do I solve my problem?
[00:15:29.620 --> 00:15:31.980]   And well, for robotics, there's not enough data.
[00:15:31.980 --> 00:15:36.820]   And so that can easily abstract to,
[00:15:36.820 --> 00:15:39.260]   well, scaling doesn't work 'cause we don't have the data.
[00:15:39.260 --> 00:15:42.940]   And so I don't know, I just, for some reason,
[00:15:42.940 --> 00:15:44.900]   and it may just have been random chance,
[00:15:44.900 --> 00:15:47.580]   was obsessed with that particular direction.
[00:15:47.580 --> 00:15:49.980]   - When did it become obvious to you
[00:15:49.980 --> 00:15:52.100]   that language is the means
[00:15:52.100 --> 00:15:54.820]   to just feed a bunch of data into these things?
[00:15:54.820 --> 00:15:56.300]   Or was it just, you ran out of other things,
[00:15:56.300 --> 00:15:57.500]   like robotics, there's not enough data,
[00:15:57.500 --> 00:15:58.940]   this other thing, there's not enough data.
[00:15:58.940 --> 00:16:01.100]   - Yeah, I mean, I think this whole idea
[00:16:01.100 --> 00:16:02.580]   of like the next word prediction
[00:16:02.580 --> 00:16:05.220]   that you could do self-supervised learning,
[00:16:05.220 --> 00:16:07.900]   that together with the idea that it's like,
[00:16:07.900 --> 00:16:09.740]   wow, for predicting the next word,
[00:16:09.740 --> 00:16:12.500]   there's so much richness and structure there, right?
[00:16:12.500 --> 00:16:13.980]   It might say two plus two equals,
[00:16:13.980 --> 00:16:15.780]   and you have to know the answer is four.
[00:16:15.780 --> 00:16:18.340]   And it might be telling the story about a character,
[00:16:18.340 --> 00:16:21.540]   and then basically it's posing to the model,
[00:16:21.540 --> 00:16:23.260]   the equivalent of these developmental tests
[00:16:23.260 --> 00:16:24.460]   that get posed to children.
[00:16:24.460 --> 00:16:27.580]   Mary walks into the room and puts an item in there,
[00:16:27.580 --> 00:16:30.460]   and then Chuck walks into the room and removes the item,
[00:16:30.460 --> 00:16:31.660]   and Mary doesn't see it.
[00:16:31.660 --> 00:16:34.140]   What does Mary think, half, so like,
[00:16:34.140 --> 00:16:36.060]   so the models are gonna have to get this right
[00:16:36.060 --> 00:16:38.300]   in the service of predicting the next word,
[00:16:38.300 --> 00:16:40.980]   they're gonna have to solve all these
[00:16:40.980 --> 00:16:43.820]   theory of mind problems, solve all these math problems.
[00:16:43.820 --> 00:16:46.180]   And so my thinking was just,
[00:16:46.180 --> 00:16:48.660]   well, you scale it up as much as you can,
[00:16:48.660 --> 00:16:51.820]   there's kind of no limit to it.
[00:16:51.820 --> 00:16:54.860]   And I think I kind of had abstractly that view,
[00:16:54.860 --> 00:16:58.260]   but the thing, of course, that like really solidified
[00:16:58.260 --> 00:17:02.860]   and convinced me was the work that Alec Radford did on GPT-1,
[00:17:02.860 --> 00:17:05.620]   which was not only could you get this language model
[00:17:05.620 --> 00:17:07.380]   that could predict things very well,
[00:17:07.380 --> 00:17:09.020]   but also you could fine tune it,
[00:17:09.020 --> 00:17:10.820]   you needed to fine tune it in those days
[00:17:10.820 --> 00:17:12.060]   to do all these other tasks.
[00:17:12.060 --> 00:17:16.020]   And so I was like, wow, this isn't just some narrow thing
[00:17:16.020 --> 00:17:18.220]   where you get the language model right,
[00:17:18.220 --> 00:17:20.100]   it's sort of halfway to everywhere, right?
[00:17:20.100 --> 00:17:22.540]   It's like, you get the language model right,
[00:17:22.540 --> 00:17:25.180]   and then with a little move in this direction,
[00:17:25.180 --> 00:17:29.960]   it can solve this logical dereference test or whatever,
[00:17:29.960 --> 00:17:32.180]   and with this other thing,
[00:17:32.180 --> 00:17:33.740]   it can solve translation or something.
[00:17:33.740 --> 00:17:35.020]   And then you're like, wow,
[00:17:35.020 --> 00:17:36.660]   I think there's really something to do it,
[00:17:36.660 --> 00:17:39.180]   and of course we can really scale it.
[00:17:39.180 --> 00:17:40.580]   - Well, one thing that's confusing
[00:17:40.580 --> 00:17:42.580]   or that would have been hard to see,
[00:17:42.580 --> 00:17:44.860]   if you told me in 2018,
[00:17:44.860 --> 00:17:47.740]   we'll have models in 2023, like law two,
[00:17:47.740 --> 00:17:50.540]   that can write theorems in the style of Shakespeare,
[00:17:50.540 --> 00:17:52.260]   whatever theory you want,
[00:17:52.260 --> 00:17:56.140]   they can A standardized tests with open-ended questions,
[00:17:56.140 --> 00:18:00.020]   just all kinds of really impressive things.
[00:18:00.020 --> 00:18:02.540]   You would have said at that time, I would have said,
[00:18:02.540 --> 00:18:03.500]   oh, you have AGI,
[00:18:03.500 --> 00:18:04.340]   you clearly have something
[00:18:04.340 --> 00:18:05.860]   that is a human level intelligence,
[00:18:05.860 --> 00:18:07.860]   where while these things are impressive,
[00:18:07.860 --> 00:18:10.380]   it clearly seems we're not at human level,
[00:18:10.380 --> 00:18:11.860]   at least in the current generation
[00:18:11.860 --> 00:18:14.220]   and potentially for generations to come.
[00:18:14.220 --> 00:18:15.860]   What explains this discrepancy
[00:18:15.860 --> 00:18:19.100]   between super impressive performance in these benchmarks
[00:18:19.100 --> 00:18:21.540]   and in just like the things you could describe
[00:18:21.540 --> 00:18:22.780]   versus generally?
[00:18:22.780 --> 00:18:24.340]   - So that was one area where actually
[00:18:24.340 --> 00:18:27.320]   I was not pressing and I was surprised as well.
[00:18:27.320 --> 00:18:30.100]   So when I first looked at GPT-3
[00:18:30.100 --> 00:18:31.780]   and more so the kind of things
[00:18:31.780 --> 00:18:35.260]   that we built in the early days at Anthropic,
[00:18:35.260 --> 00:18:37.940]   my general sense was, I looked at these
[00:18:37.940 --> 00:18:40.940]   and I'm like, it seems like they really grasped
[00:18:40.940 --> 00:18:42.780]   the essence of language.
[00:18:42.780 --> 00:18:44.700]   I'm not sure how much we need to scale them up.
[00:18:44.700 --> 00:18:48.700]   Like maybe what's more needed from here is like RL
[00:18:48.700 --> 00:18:50.580]   and kind of all the other stuff.
[00:18:50.580 --> 00:18:53.140]   Like we might be kind of near the,
[00:18:53.140 --> 00:18:56.820]   I thought in 2020, like we can scale this a bunch more,
[00:18:56.820 --> 00:18:59.060]   but I wonder if it's more efficient to scale it more
[00:18:59.060 --> 00:19:02.580]   or to start adding on these other objectives like RL.
[00:19:02.580 --> 00:19:04.980]   I thought maybe if you do as much RL
[00:19:04.980 --> 00:19:09.980]   as you've done pre-training for a 2020 style model
[00:19:09.980 --> 00:19:12.780]   that that's the way to go
[00:19:12.780 --> 00:19:14.380]   and scaling it up, we'll keep working,
[00:19:14.380 --> 00:19:17.460]   but is that really the best path?
[00:19:17.460 --> 00:19:20.700]   And I think it, I don't know, it just keeps going.
[00:19:20.700 --> 00:19:22.380]   Like I thought it had understood
[00:19:22.380 --> 00:19:24.340]   a lot of the essence of language,
[00:19:24.340 --> 00:19:28.460]   but then there's kind of further to go.
[00:19:28.460 --> 00:19:31.740]   And so I don't know, stepping back from it,
[00:19:31.740 --> 00:19:36.260]   like one of the reasons why I'm sort of very empiricist
[00:19:36.260 --> 00:19:40.740]   about AI, about safety, about organizations
[00:19:40.740 --> 00:19:43.460]   is that you often get surprised, right?
[00:19:43.460 --> 00:19:46.860]   I feel like I've been right about some things,
[00:19:46.860 --> 00:19:50.020]   but I've still, with these theoretical pictures ahead,
[00:19:50.020 --> 00:19:51.580]   been wrong about most things.
[00:19:51.580 --> 00:19:53.220]   Being right about 10% of the stuff
[00:19:53.220 --> 00:19:58.220]   is sets you head and shoulders above many people.
[00:19:58.220 --> 00:20:01.460]   If you look back to, I can't remember who it was,
[00:20:01.460 --> 00:20:04.660]   kind of made these diagrams that are like,
[00:20:04.660 --> 00:20:07.740]   here's the village idiot, here's Einstein,
[00:20:07.740 --> 00:20:09.420]   here's the scale of intelligence, right?
[00:20:09.420 --> 00:20:11.140]   And the village idiot and Einstein
[00:20:11.140 --> 00:20:13.380]   are like very close to each other.
[00:20:13.380 --> 00:20:15.100]   - Like that, maybe that's still true
[00:20:15.100 --> 00:20:16.900]   in some abstract sense or something,
[00:20:16.900 --> 00:20:19.540]   but it's not really what we're seeing, is it?
[00:20:19.540 --> 00:20:22.380]   We're seeing like, that it seems like the human range
[00:20:22.380 --> 00:20:25.580]   is pretty broad and doesn't,
[00:20:25.580 --> 00:20:29.060]   we don't hit the human range in the same place
[00:20:29.060 --> 00:20:31.540]   or at the same time for different tasks, right?
[00:20:31.540 --> 00:20:36.260]   Like write a sonnet in the style of Cormac McCarthy
[00:20:36.260 --> 00:20:38.860]   or something, like, I don't know, I'm not very creative,
[00:20:38.860 --> 00:20:40.020]   so I couldn't do that.
[00:20:40.020 --> 00:20:43.660]   But like, that's a pretty high level human skill, right?
[00:20:43.660 --> 00:20:45.980]   And even the model is starting to get good at stuff
[00:20:45.980 --> 00:20:48.620]   of like constrained writing.
[00:20:48.620 --> 00:20:51.700]   There's this like, write a page without using the letter E
[00:20:51.700 --> 00:20:53.020]   or something, write a page about X
[00:20:53.020 --> 00:20:54.260]   without using the letter E.
[00:20:54.260 --> 00:20:57.020]   Like, I think the models might be like superhuman
[00:20:57.020 --> 00:20:59.580]   or close to superhuman at that.
[00:20:59.580 --> 00:21:03.460]   But when it comes to, yeah, I don't know,
[00:21:03.460 --> 00:21:06.900]   prove relatively simple mathematical theorems,
[00:21:06.900 --> 00:21:10.140]   like, they're just starting to do the beginning of it.
[00:21:10.140 --> 00:21:13.300]   They make really dumb mistakes sometimes
[00:21:13.300 --> 00:21:16.500]   and they really lack any kind of broad,
[00:21:16.500 --> 00:21:21.500]   like correcting your errors or doing some extended task.
[00:21:21.500 --> 00:21:22.780]   And so, I don't know,
[00:21:22.780 --> 00:21:26.620]   it turns out that intelligence isn't a spectrum.
[00:21:26.620 --> 00:21:29.820]   There are a bunch of different areas of domain expertise.
[00:21:29.820 --> 00:21:32.180]   There are a bunch of different like kinds of skills,
[00:21:32.180 --> 00:21:33.060]   like memory is different.
[00:21:33.060 --> 00:21:35.700]   I mean, it's all formed in the blob.
[00:21:35.700 --> 00:21:37.540]   It's not, it's all formed in the blob.
[00:21:37.540 --> 00:21:38.500]   It's not complicated,
[00:21:38.500 --> 00:21:40.980]   but to the extent it even is on the spectrum,
[00:21:40.980 --> 00:21:42.620]   the spectrum is also wide.
[00:21:42.620 --> 00:21:43.820]   If you asked me 10 years ago,
[00:21:43.820 --> 00:21:45.580]   that's not what I would have expected at all,
[00:21:45.580 --> 00:21:48.460]   but I think that's very much the way it's turned out.
[00:21:48.460 --> 00:21:49.900]   - Oh, man, I have so many questions
[00:21:49.900 --> 00:21:51.580]   just as follow up on that.
[00:21:51.580 --> 00:21:55.740]   One is, do you expect that given the distribution
[00:21:55.740 --> 00:21:57.780]   of training that these models get
[00:21:57.780 --> 00:22:00.060]   from massive amounts of internet data
[00:22:00.060 --> 00:22:02.460]   versus what humans got from evolution,
[00:22:02.460 --> 00:22:04.940]   that the repertoire of skills that elicits
[00:22:04.940 --> 00:22:07.780]   will be just barely overlapping?
[00:22:07.780 --> 00:22:09.700]   It will be like concentric circles?
[00:22:09.700 --> 00:22:12.740]   How do you think about, do those matter?
[00:22:12.740 --> 00:22:15.460]   - Clearly, there's certainly a large amount of overlap,
[00:22:15.460 --> 00:22:17.020]   right, because a lot of the, you know,
[00:22:17.020 --> 00:22:19.980]   like these models have business applications
[00:22:19.980 --> 00:22:22.020]   and many of their business applications are doing things
[00:22:22.020 --> 00:22:23.700]   that, you know, are helping humans
[00:22:23.700 --> 00:22:25.620]   to be more effective at things.
[00:22:25.620 --> 00:22:28.620]   So the overlap is quite large.
[00:22:28.620 --> 00:22:30.780]   And, you know, if you think of all the activity
[00:22:30.780 --> 00:22:32.540]   that humans put on the internet in tax,
[00:22:32.540 --> 00:22:33.820]   that covers a lot of it,
[00:22:33.820 --> 00:22:35.500]   but it probably doesn't cover some things.
[00:22:35.500 --> 00:22:37.700]   Like the models, I think they do learn
[00:22:37.700 --> 00:22:39.500]   a physical model of the world to some extent,
[00:22:39.500 --> 00:22:40.460]   but they certainly don't learn
[00:22:40.460 --> 00:22:42.700]   how to actually move around in the world.
[00:22:42.700 --> 00:22:44.820]   Again, maybe that's easy to fine tune,
[00:22:44.820 --> 00:22:48.180]   but, you know, I think, so I think there are some things
[00:22:48.180 --> 00:22:51.420]   that the models don't learn that humans do.
[00:22:51.420 --> 00:22:54.900]   And then I think, you know, the models learn, for example,
[00:22:54.900 --> 00:22:56.500]   to speak fluent base 64.
[00:22:56.500 --> 00:22:58.900]   I don't know about you, but I never learned that.
