
[00:00:00.760 --> 00:00:02.120]   Hi, I'm Tony Sager.
[00:39:50.680 --> 00:39:51.680]   And I think that's a very important thing.
[00:39:51.680 --> 00:39:52.680]   And I think that's a very important thing.
[00:39:52.680 --> 00:39:53.680]   And I think that's a very important thing.
[00:39:53.680 --> 00:39:54.680]   And I think that's a very important thing.
[00:39:54.680 --> 00:39:55.680]   And I think that's a very important thing.
[00:39:55.680 --> 00:39:56.680]   And I think that's a very important thing.
[00:39:56.680 --> 00:39:57.680]   And I think that's a very important thing.
[00:39:57.680 --> 00:39:58.680]   And I think that's a very important thing.
[00:39:58.680 --> 00:39:59.680]   And I think that's a very important thing.
[00:39:59.680 --> 00:40:00.680]   And I think that's a very important thing.
[00:40:00.680 --> 00:40:01.680]   And I think that's a very important thing.
[00:40:01.680 --> 00:40:02.680]   And I think that's a very important thing.
[00:40:02.680 --> 00:40:03.680]   And I think that's a very important thing.
[00:40:03.680 --> 00:40:04.680]   And I think that's a very important thing.
[00:40:04.680 --> 00:40:05.680]   And I think that's a very important thing.
[00:40:05.680 --> 00:40:06.680]   And I think that's a very important thing.
[00:40:06.680 --> 00:40:07.680]   And I think that's a very important thing.
[00:40:07.680 --> 00:40:08.680]   And I think that's a very important thing.
[00:40:08.680 --> 00:40:09.680]   And I think that's a very important thing.
[00:40:09.680 --> 00:40:10.680]   And I think that's a very important thing.
[00:40:10.680 --> 00:40:11.680]   And I think that's a very important thing.
[00:40:11.680 --> 00:40:12.680]   And I think that's a very important thing.
[00:40:12.680 --> 00:40:13.680]   And I think that's a very important thing.
[00:40:13.680 --> 00:40:14.680]   And I think that's a very important thing.
[00:40:14.680 --> 00:40:15.680]   And I think that's a very important thing.
[00:40:15.680 --> 00:40:16.680]   And I think that's a very important thing.
[00:40:16.680 --> 00:40:17.680]   And I think that's a very important thing.
[00:40:17.680 --> 00:40:18.680]   And I think that's a very important thing.
[00:40:18.680 --> 00:40:19.680]   And I think that's a very important thing.
[00:40:19.680 --> 00:40:20.680]   And I think that's a very important thing.
[00:40:20.680 --> 00:40:21.680]   And I think that's a very important thing.
[00:40:21.680 --> 00:40:22.680]   And I think that's a very important thing.
[00:40:22.680 --> 00:40:23.680]   And I think that's a very important thing.
[00:40:23.680 --> 00:40:24.680]   And I think that's a very important thing.
[00:40:24.680 --> 00:40:25.680]   And I think that's a very important thing.
[00:40:25.680 --> 00:40:26.680]   And I think that's a very important thing.
[00:40:26.680 --> 00:40:27.680]   And I think that's a very important thing.
[00:40:27.680 --> 00:40:28.680]   And I think that's a very important thing.
[00:40:28.680 --> 00:40:29.680]   And I think that's a very important thing.
[00:40:29.680 --> 00:40:30.680]   And I think that's a very important thing.
[00:40:30.680 --> 00:40:31.680]   And I think that's a very important thing.
[00:40:31.680 --> 00:40:32.680]   And I think that's a very important thing.
[00:40:32.680 --> 00:40:33.680]   And I think that's a very important thing.
[00:40:33.680 --> 00:40:34.680]   And I think that's a very important thing.
[00:40:34.680 --> 00:40:35.680]   And I think that's a very important thing.
[00:40:35.680 --> 00:40:36.680]   And I think that's a very important thing.
[00:40:36.680 --> 00:40:37.680]   And I think that's a very important thing.
[00:40:37.680 --> 00:40:38.680]   And I think that's a very important thing.
[00:40:38.680 --> 00:40:39.680]   And I think that's a very important thing.
[00:40:39.680 --> 00:40:40.680]   And I think that's a very important thing.
[00:40:40.680 --> 00:40:41.680]   And I think that's a very important thing.
[00:40:41.680 --> 00:40:42.680]   And I think that's a very important thing.
[00:40:42.680 --> 00:40:43.680]   And I think that's a very important thing.
[00:40:43.680 --> 00:40:44.680]   And I think that's a very important thing.
[00:40:44.680 --> 00:40:45.680]   And I think that's a very important thing.
[00:40:45.680 --> 00:40:46.680]   And I think that's a very important thing.
[00:40:46.680 --> 00:40:47.680]   And I think that's a very important thing.
[00:40:47.680 --> 00:40:48.680]   And I think that's a very important thing.
[00:40:48.680 --> 00:40:49.680]   And I think that's a very important thing.
[00:40:49.680 --> 00:40:50.680]   And I think that's a very important thing.
[00:40:50.680 --> 00:40:51.680]   And I think that's a very important thing.
[00:40:51.680 --> 00:40:52.680]   And I think that's a very important thing.
[00:40:52.680 --> 00:40:53.680]   And I think that's a very important thing.
[00:40:53.680 --> 00:40:54.680]   And I think that's a very important thing.
[00:40:54.680 --> 00:40:55.680]   And I think that's a very important thing.
[00:40:55.680 --> 00:40:56.680]   And I think that's a very important thing.
[00:40:56.680 --> 00:40:57.680]   And I think that's a very important thing.
[00:40:57.680 --> 00:40:58.680]   And I think that's a very important thing.
[00:40:58.680 --> 00:40:59.680]   And I think that's a very important thing.
[00:40:59.680 --> 00:41:00.680]   And I think that's a very important thing.
[00:41:00.680 --> 00:41:01.680]   And I think that's a very important thing.
[00:41:01.680 --> 00:41:02.680]   And I think that's a very important thing.
[00:41:02.680 --> 00:41:03.680]   And I think that's a very important thing.
[00:41:03.680 --> 00:41:04.680]   And I think that's a very important thing.
[00:41:04.680 --> 00:41:05.680]   And I think that's a very important thing.
[00:41:05.680 --> 00:41:06.680]   And I think that's a very important thing.
[00:41:06.680 --> 00:41:07.680]   And I think that's a very important thing.
[00:41:07.680 --> 00:41:08.680]   And I think that's a very important thing.
[00:41:08.680 --> 00:41:12.280]   I want to read this first section from his book.
[00:41:12.280 --> 00:41:14.420]   It's six paragraphs from Chapter 1.
[00:41:14.420 --> 00:41:16.640]   And Chapter 1 is entitled Breaking Free.
[00:41:16.640 --> 00:41:18.140]   It opens with a quote.
[00:41:18.140 --> 00:41:25.560]   Perfect freedom is reserved for the man who lives by his own work and, in that work, does what he wants to do.
[00:41:25.560 --> 00:41:27.120]   R.G. Collingwood.
[00:41:27.120 --> 00:41:35.440]   Entrepreneurship provides the best opportunity for anyone to experience the three most fulfilling intrinsic motivations in life.
[00:41:35.440 --> 00:41:38.580]   Purpose, mastery, and autonomy.
[00:41:38.580 --> 00:41:43.780]   Purpose is the motivation that comes from having an important reason for whatever you do.
[00:41:43.780 --> 00:41:46.560]   It is the conviction that what you're doing matters.
[00:41:46.560 --> 00:41:49.340]   Your work means something significant to you.
[00:41:49.340 --> 00:41:55.940]   You have the satisfaction of knowing that you are doing something useful with your life and that your work has value in the world.
[00:41:55.940 --> 00:42:03.220]   Mastery is the motivation that comes from a desire to achieve a high level of skill, control, and self-expression through what you do.
[00:42:03.220 --> 00:42:08.180]   It is the sense that you're involved in work that enables you to gain a greater sense of effectiveness,
[00:42:08.180 --> 00:42:11.020]   and consequently, greater self-esteem.
[00:42:11.020 --> 00:42:15.360]   Everything you do when starting your own business is a chance at mastery.
[00:42:15.360 --> 00:42:20.700]   The entrepreneurial skills that I found hardest to master were also those that became the most rewarding.
[00:42:20.700 --> 00:42:25.260]   Learning how to sell, learning how to create a working enterprise, and learning how to make a profit.
[00:42:25.260 --> 00:42:33.160]   Autonomy is the motivation that comes from wanting the freedom to do what you think is best with your life, not what anyone else thinks.
[00:42:33.160 --> 00:42:37.080]   Entrepreneurship is the only opportunity to seek financial freedom.
[00:42:37.080 --> 00:42:38.120]   The freedom.
[00:42:38.120 --> 00:42:42.960]   The freedom not to work on anything that you don't enjoy, that is open to anyone.
[00:42:42.960 --> 00:42:46.640]   This is the most genuine sense of freedom that you can experience.
[00:42:46.640 --> 00:42:50.260]   As an entrepreneur, you alone determine your goals.
[00:42:50.260 --> 00:42:53.100]   You have the opportunity to master your own challenges.
[00:42:53.100 --> 00:42:56.560]   You have the maximum freedom possible in what you do.
[00:42:56.560 --> 00:42:59.800]   Your own efforts lead to your own achievements and rewards.
[00:42:59.800 --> 00:43:05.240]   Entrepreneurship is an opportunity to live a purposeful life without regrets.
[00:43:05.240 --> 00:43:08.040]   It is the freest and most self-experienced.
[00:43:08.040 --> 00:43:10.740]   It is the most fulfilling way of life I know.
[00:43:10.740 --> 00:43:14.360]   Hopefully you're inspired to go and read Jake's book.
[00:43:14.360 --> 00:43:15.420]   I highly recommend it.
[00:43:15.420 --> 00:43:16.720]   He talks a lot about fear.
[00:43:16.720 --> 00:43:23.440]   He talks a lot about conditioning, about the things where we're scared to fail and where that comes from and how to overcome those fears.
[00:43:23.440 --> 00:43:30.240]   And he talks a lot about his practical experience in entrepreneurship.
[00:43:30.240 --> 00:43:34.080]   And he is certainly, in many ways, an inspiration.
[00:43:34.080 --> 00:43:35.460]   He worked hard.
[00:43:35.460 --> 00:43:37.400]   He took risk in business.
[00:43:37.520 --> 00:43:38.220]   Built a business.
[00:43:38.220 --> 00:43:38.940]   Sold it.
[00:43:38.940 --> 00:43:40.580]   Kind of achieved his number.
[00:43:40.580 --> 00:43:44.100]   And now he's working on projects that are important to him.
[00:43:44.100 --> 00:43:47.420]   And he's doing them of his own volition.
[00:43:47.420 --> 00:43:51.640]   But yet that's what the original entrepreneurial venture was in the beginning.
[00:43:51.640 --> 00:43:55.000]   So notice also, again, that he is continuing to be productive.
[00:43:55.000 --> 00:44:02.880]   This myth that we play for the rest of our life once we reach a certain financial freedom.
[00:44:02.880 --> 00:44:04.200]   I believe it's just that.
[00:44:04.200 --> 00:44:07.480]   As humans, I really feel we're driven to be productive.
[00:44:08.280 --> 00:44:09.440]   That's our show for today.
[00:44:09.440 --> 00:44:12.100]   Again, today being July 15, 2014.
[00:44:12.100 --> 00:44:13.120]   I hope you enjoyed it.
[00:44:13.120 --> 00:44:14.160]   Thank you for listening.
[00:44:14.160 --> 00:44:15.980]   Thank you for being a part of this show.
[00:44:15.980 --> 00:44:18.020]   I trust that you've enjoyed the content.
[00:44:18.020 --> 00:44:20.100]   If you have any feedback for me, I'd love to hear it.
[00:44:20.100 --> 00:44:22.220]   I'm learning to be a better interviewer.
[00:44:22.220 --> 00:44:26.600]   And that's only going to come with more practice as I continue working at it.
[00:44:26.600 --> 00:44:28.720]   But I really enjoy doing these things.
[00:44:28.720 --> 00:44:30.040]   And I hope that you enjoy listening.
[00:44:30.040 --> 00:44:32.360]   I would be thrilled if you have any feedback for me.
[00:44:32.360 --> 00:44:33.080]   Send me an email.
[00:44:33.080 --> 00:44:35.880]   Joshua at RadicalPersonalFinance.com.
[00:44:35.880 --> 00:44:37.360]   Today's show notes are...
[00:44:37.360 --> 00:44:42.080]   Are all found at RadicalPersonalFinance.com slash 20.
[00:44:42.080 --> 00:44:46.160]   RadicalPersonalFinance.com slash 20 for today for episode 20.
[00:44:46.160 --> 00:44:50.660]   So any show notes that you're interested in are all going to be found there.
[00:44:50.660 --> 00:44:52.840]   If you've enjoyed the content, may I ask a favor?
[00:44:52.840 --> 00:44:53.920]   Take a moment.
[00:44:53.920 --> 00:44:56.320]   Hit pause on your player.
[00:44:56.320 --> 00:44:57.560]   Hit pause on your computer.
[00:44:57.560 --> 00:44:59.640]   And would you please leave me a review in iTunes?
[00:44:59.640 --> 00:45:01.400]   It could be good, bad, indifferent.
[00:45:01.400 --> 00:45:03.100]   You can say that the content was great.
[00:45:03.100 --> 00:45:04.160]   You can say that it was terrible.
[00:45:04.160 --> 00:45:04.780]   I don't mind.
[00:45:04.780 --> 00:45:05.720]   I'll read that information.
[00:45:05.720 --> 00:45:06.580]   I'll take it back in.
[00:45:06.580 --> 00:45:07.300]   But that would...
[00:45:07.300 --> 00:45:08.160]   It would really help us.
[00:45:08.160 --> 00:45:12.520]   The way that the iTunes rankings and all of the podcatching rankings work is based upon reviews.
[00:45:12.520 --> 00:45:17.280]   So the more reviews, the more exposure, the more exposure, the more great guests I can bring on.
[00:45:17.280 --> 00:45:18.960]   And so it's all kind of a virtuous cycle.
[00:45:18.960 --> 00:45:22.420]   If you would do that and then send me an email letting me know that you have done that,
[00:45:22.420 --> 00:45:23.840]   I would thoroughly appreciate it.
[00:45:23.840 --> 00:45:28.560]   And I will thank you personally with a gift of some kind to thank you personally for doing that.
[00:45:28.560 --> 00:45:29.860]   It would just mean the world to me.
[00:45:29.860 --> 00:45:34.120]   So email me at Joshua at RadicalPersonalFinance.com and consider leaving a review.
[00:45:34.120 --> 00:45:35.540]   I would thoroughly appreciate it.
[00:45:35.540 --> 00:45:37.140]   In the meantime, have a...
[00:45:37.140 --> 00:45:38.100]   Excellent Tuesday.
[00:45:38.100 --> 00:45:38.220]   Have a great day.
[00:45:38.220 --> 00:46:08.200]   Have a great day.
[00:46:08.200 --> 00:46:38.180]   Have a great day.
[00:46:38.200 --> 00:46:39.200]   Have a great day.
[00:46:39.200 --> 00:46:39.200]   Have a great day.
[00:46:39.200 --> 00:46:40.200]   Have a great day.
[00:46:40.200 --> 00:46:41.200]   Have a great day.
[00:46:41.200 --> 00:46:41.200]   Have a great day.
[00:46:41.200 --> 00:46:41.640]   Have a great day.
[00:46:41.640 --> 00:46:41.700]   Have a great day.
[00:46:41.700 --> 00:46:41.760]   Have a great day.
[00:46:41.760 --> 00:46:41.780]   Have a great day.
[00:46:41.780 --> 00:46:41.800]   Have a great day.
[00:46:41.800 --> 00:46:41.860]   Have a great day.
[00:46:41.860 --> 00:46:41.920]   Have a great day.
[00:46:41.920 --> 00:46:41.980]   Have a great day.
[00:46:41.980 --> 00:46:42.020]   Have a great day.
[00:46:42.020 --> 00:46:42.060]   Have a great day.
[00:46:42.060 --> 00:46:42.120]   Have a great day.
[00:46:42.120 --> 00:46:42.180]   Have a great day.
[00:46:42.180 --> 00:46:42.220]   Have a great day.
[00:46:42.220 --> 00:46:48.400]   Whether you shop delivery, pickup, or in-store, Kroger Brand has all your favorite things.
[00:46:48.400 --> 00:46:49.580]   Ralph's.
[00:46:49.580 --> 00:46:50.820]   Fresh for everyone.
[00:46:50.820 --> 00:46:53.600]   ♪ MUSIC ♪

