
[00:00:00.000 --> 00:00:04.000]   Welcome to the Latent Space Podcast, another super special edition.
[01:26:12.000 --> 01:26:18.000]   I think that's, you know, basically our sort of recap of our discussion based on MBS releases today.
[01:26:18.000 --> 01:26:22.000]   I wanted to leave some time for what's next for both of you guys.
[01:26:22.000 --> 01:26:29.000]   Maybe, you know, Josh, as a guest of honor, you want to go first as to like what happens next.
[01:26:29.000 --> 01:26:30.000]   You know, we have these releases.
[01:26:30.000 --> 01:26:31.000]   We're happy to put these things out.
[01:26:31.000 --> 01:26:33.000]   I think there's a lot of stuff that we haven't released.
[01:26:33.000 --> 01:26:35.000]   Like this is not the only thing we've been working on.
[01:26:35.000 --> 01:26:39.000]   Most of our actual focus has been on kind of coding and reasoning.
[01:26:39.000 --> 01:26:43.000]   In particular, like the things that we're excited about are can we make these things useful?
[01:26:43.000 --> 01:26:44.000]   Like Jonathan is saying, right?
[01:26:44.000 --> 01:26:46.000]   Like it's not about toy problems.
[01:26:46.000 --> 01:26:50.000]   It's like, can we use these today in our day-to-day workflow and actually have them accelerate us?
[01:26:50.000 --> 01:26:54.000]   And I think we have some kind of internal product prototypes and things that we're excited about.
[01:26:54.000 --> 01:26:58.000]   And so we're excited to share more about this in the coming, you know, months to quarters
[01:26:58.000 --> 01:27:02.000]   as we get it to a place where like other people could maybe get value out of this as well.
[01:27:02.000 --> 01:27:05.000]   But that's kind of our real focus right now is like,
[01:27:05.000 --> 01:27:09.000]   how do you take these really cool capabilities that are out there that our models have, et cetera,
[01:27:09.000 --> 01:27:14.000]   and like make sure that they're actually useful today for us, like when we're doing real work,
[01:27:14.000 --> 01:27:16.000]   and then for other people as well.
[01:27:16.000 --> 01:27:21.000]   In particular, focused on kind of generating code, understanding code, testing code,
[01:27:21.000 --> 01:27:27.000]   verifying it, like starting with the like robust, you know, creation of software.
[01:27:27.000 --> 01:27:28.000]   Excellent.
[01:27:28.000 --> 01:27:29.000]   Jonathan?
[01:27:29.000 --> 01:27:33.000]   I mean, you know, I never like to talk too much about the future because, you know,
[01:27:33.000 --> 01:27:35.000]   I don't know, I think you've heard this from me before.
[01:27:35.000 --> 01:27:37.000]   I like for us to speak through our work.
[01:27:37.000 --> 01:27:40.000]   And so I don't, you know, I don't like to tease too much.
[01:27:40.000 --> 01:27:46.000]   But, you know, I think we're, you know, what's the right way of putting it?
[01:27:46.000 --> 01:27:51.000]   I mean, you know, our mission is, I think to Josh's point, to make this stuff useful
[01:27:51.000 --> 01:27:56.000]   to 12,000 customers and, you know, not a lot of that ends up making it into the public eye
[01:27:56.000 --> 01:27:58.000]   and not a lot of that ends up getting released open source.
[01:27:58.000 --> 01:28:03.000]   So for this kind of forum where really, you know, where we're talking to the community,
[01:28:03.000 --> 01:28:05.000]   you know, I'm asking myself right now, like, you know,
[01:28:05.000 --> 01:28:08.000]   what exciting things are we going to have to offer the community in the next little while?
[01:28:08.000 --> 01:28:13.000]   I think the most exciting part is just we're writing a lot of blog posts right now.
[01:28:13.000 --> 01:28:16.000]   We're trying to share more and more of our science because I feel like we've been doing
[01:28:16.000 --> 01:28:19.000]   these big pushes to create these really giant models.
[01:28:19.000 --> 01:28:21.000]   I think, Josh, I'm sure you had the same experience.
[01:28:21.000 --> 01:28:23.000]   It's exhausting and all consuming.
[01:28:23.000 --> 01:28:26.000]   And you get to the end and you're like, oh, I have all this stuff I want to talk about.
[01:28:26.000 --> 01:28:30.000]   Now I need to find the time to talk about it now that I've survived this huge push.
[01:28:30.000 --> 01:28:32.000]   And we're definitely in that mode right now.
[01:28:32.000 --> 01:28:37.000]   So there's going to be a lot of that coming in in the next little while.
[01:28:37.000 --> 01:28:39.000]   And, you know, we're always cooking up fun new models.
[01:28:39.000 --> 01:28:44.000]   I think the real question is, you know, releasing models open source is not our day to day bread and butter.
[01:28:44.000 --> 01:28:48.000]   It's kind of a fun reward that we get to do sometimes when we have something really cool to share
[01:28:48.000 --> 01:28:50.000]   and a little bit of time and spare GPUs in our hands.
[01:28:50.000 --> 01:28:53.000]   But for the most part, everything is going toward customers.
[01:28:53.000 --> 01:28:59.000]   You know, Databricks is, you know, I think the joke is Databricks has been 18 months away from IPO for five years.
[01:28:59.000 --> 01:29:02.000]   But, you know, so I guess Databricks is 18 months away from IPO still.
[01:29:02.000 --> 01:29:06.000]   But 18 months away from IPO means there's a lot of pressure to deliver for customers.
[01:29:06.000 --> 01:29:08.000]   And we're going to keep working on that.
[01:29:08.000 --> 01:29:14.000]   But I think you'll see hopefully some cool, interesting things get dropped over the course of the summer and into the fall.
[01:29:14.000 --> 01:29:18.000]   You know, we'll, we'll find out when we get there.
[01:29:18.000 --> 01:29:19.000]   I think that's the right way to put it.
[01:29:19.000 --> 01:29:22.000]   I know we were talking earlier about kind of Abra, Kadabra and Alakazam.
[01:29:22.000 --> 01:29:29.000]   And, you know, all I'll say is that, you know, the DBRX small model that we still haven't released yet was called Abra.
[01:29:29.000 --> 01:29:31.000]   DBRX was called Kadabra.
[01:29:31.000 --> 01:29:34.000]   And, you know, there's a third Pokemon in that evolution.
[01:29:34.000 --> 01:29:37.000]   And that's all I'll say for now.
[01:29:37.000 --> 01:29:39.000]   Cool stuff kind of popping up sometimes on chatbot arena.
[01:29:39.000 --> 01:29:41.000]   And, you know, keep your eyes out.
[01:29:41.000 --> 01:29:42.000]   Yeah.
[01:29:42.000 --> 01:29:47.000]   I'll leave the links and the hints in the show notes.
[01:29:47.000 --> 01:29:52.000]   But it was a very fun way to leave some breadcrumbs for people to follow.
[01:29:52.000 --> 01:29:53.000]   Cool.
[01:29:53.000 --> 01:29:57.000]   You know, I'll leave everything to sort of some calls to action.
[01:29:57.000 --> 01:30:00.000]   We're going to be releasing this next week.
[01:30:00.000 --> 01:30:04.000]   So I will be deep in my conference, the AI Engineer World's Fair.
[01:30:04.000 --> 01:30:08.000]   So people can just go to AI.Engineer and live stream it.
[01:30:08.000 --> 01:30:11.000]   Do you guys have any other calls to action before we wrap?
[01:30:11.000 --> 01:30:13.000]   The only one is, you know, we're definitely hiring.
[01:30:13.000 --> 01:30:23.000]   So if you're interested in working on coding, reasoning, interested in working on all this stuff, you know, from the ground up and really deeply understanding not just how does the hardware work, but how do the models work.
[01:30:23.000 --> 01:30:27.000]   And also designing these systems to actually be useful for yourself day to day.
[01:30:27.000 --> 01:30:29.000]   Like, come say hi.
[01:30:29.000 --> 01:30:38.000]   I think the only thing I'll say is, you know, and I like saying it these days, it feels like the field is so crowded and, you know, it requires so many resources to do impactful work.
[01:30:38.000 --> 01:30:43.000]   And, you know, almost on some days it feels like everything's been done or somebody else is doing everything where you can.
[01:30:43.000 --> 01:30:48.000]   At least I remember that feeling every single day of my PhD and even more so now.
[01:30:48.000 --> 01:30:55.000]   But I hope like what you heard from Josh today tells you there is so much enormously impactful work to do in the field.
[01:30:55.000 --> 01:31:01.000]   If only you take a step back and take a fresh look at some of these things and just talk about what you're doing.
[01:31:01.000 --> 01:31:06.000]   There's a huge amount left to do here and a huge amount of exciting work happening every day.
[01:31:06.000 --> 01:31:17.000]   And, you know, for those who are certainly feeling that exhaustion right now, and I count myself among those folks many days, it's refreshing to see these kinds of drops.
[01:31:17.000 --> 01:31:24.000]   And, you know, see that there is so much more, even in things that people feel like they understand, how to set up a cluster.
[01:31:24.000 --> 01:31:25.000]   My God.
[01:31:25.000 --> 01:31:31.000]   You know, even in these evals that we think we understand, there is still more to understand and still more work to do.
[01:31:31.000 --> 01:31:35.000]   And so, you know, just I hope everybody's keeping at it.
[01:31:35.000 --> 01:31:36.000]   All right. Keep on keeping on.
[01:31:36.000 --> 01:31:38.000]   Well, thanks so much for your time, guys.
[01:31:38.000 --> 01:31:39.000]   That was great discussion.
[01:31:39.000 --> 01:31:43.000]   And we'll put the links in the show notes for people to read more.
[01:31:43.000 --> 01:31:44.000]   Thanks.
[01:31:44.000 --> 01:31:45.000]   Thanks so much.
[01:31:45.000 --> 01:31:47.000]   Thanks, Jonathan.
[01:31:47.000 --> 01:32:03.000]   [Music]
[01:32:03.000 --> 01:32:05.060]   you

