
[00:00:00.000 --> 00:00:01.240]   we are becoming cyborgs.
[00:16:16.440 --> 00:16:20.240]   a decentralized collective thing.
[00:16:20.240 --> 00:16:25.240]   Like art is kind of a conversation with all the artists
[00:16:25.240 --> 00:16:29.080]   that have ever lived before you, you know?
[00:16:29.080 --> 00:16:31.120]   Like it's like, you're really just sort of,
[00:16:31.120 --> 00:16:33.560]   it's not like anyone's reinventing the wheel here.
[00:16:33.560 --> 00:16:36.680]   Like you're kind of just taking, you know,
[00:16:36.680 --> 00:16:40.000]   thousands of years of art and like running it
[00:16:40.000 --> 00:16:43.560]   through your own little algorithm and then like making,
[00:16:43.560 --> 00:16:45.080]   you're like your interpretation of it.
[00:16:45.080 --> 00:16:46.280]   - You just joined the conversation
[00:16:46.280 --> 00:16:47.600]   with all the other artists that came before.
[00:16:47.600 --> 00:16:49.640]   It's such a beautiful way to look at it.
[00:16:49.640 --> 00:16:51.560]   - Like, and it's like, I feel like everyone's always like,
[00:16:51.560 --> 00:16:54.160]   there's always copyright and IP and this and that
[00:16:54.160 --> 00:16:55.200]   or authenticity.
[00:16:55.200 --> 00:16:59.240]   And it's just like, I think we need to stop seeing this
[00:16:59.240 --> 00:17:01.600]   as this like egotistical thing of like,
[00:17:01.600 --> 00:17:04.200]   oh, the creative genius, the lone creative genius
[00:17:04.200 --> 00:17:05.040]   or this or that.
[00:17:05.040 --> 00:17:08.760]   'Cause it's like, I think art shouldn't be about that.
[00:17:08.760 --> 00:17:10.400]   I think art is something that sort of
[00:17:10.400 --> 00:17:12.080]   brings humanity together.
[00:17:12.080 --> 00:17:14.120]   And it's also, art is also kind of the collective memory
[00:17:14.120 --> 00:17:14.960]   of humans.
[00:17:14.960 --> 00:17:19.960]   Like we don't give a fuck about whatever ancient Egypt,
[00:17:19.960 --> 00:17:22.800]   like how much grain got sent that day
[00:17:22.800 --> 00:17:24.960]   and sending the records and like, you know,
[00:17:24.960 --> 00:17:27.640]   like who went where and you know,
[00:17:27.640 --> 00:17:29.680]   how many shields needed to be produced for this.
[00:17:29.680 --> 00:17:32.280]   Like we just remember their art.
[00:17:32.280 --> 00:17:34.880]   And it's like, you know, it's like in our day-to-day life,
[00:17:34.880 --> 00:17:38.120]   there's all this stuff that seems more important than art
[00:17:38.120 --> 00:17:40.240]   because it helps us function and survive.
[00:17:40.240 --> 00:17:41.880]   But when all this is gone,
[00:17:41.880 --> 00:17:44.520]   like the only thing that's really gonna be left
[00:17:44.520 --> 00:17:46.800]   is the art, the technology will be obsolete.
[00:17:46.800 --> 00:17:47.640]   - That's so fascinating.
[00:17:47.640 --> 00:17:49.080]   - Like the humans will be dead.
[00:17:49.080 --> 00:17:49.920]   - That is true.
[00:17:49.920 --> 00:17:52.520]   A good compression of human history
[00:17:52.520 --> 00:17:56.200]   is the art we've generated across the different centuries,
[00:17:56.200 --> 00:17:57.800]   the different millennia.
[00:17:57.800 --> 00:17:59.920]   So when the aliens come.
[00:17:59.920 --> 00:18:00.740]   - When the aliens come,
[00:18:00.740 --> 00:18:02.760]   they're gonna find the hieroglyphics and the pyramids.
[00:18:02.760 --> 00:18:04.360]   - I mean, art could be broadly defined.
[00:18:04.360 --> 00:18:06.240]   They might find like the engineering marvels,
[00:18:06.240 --> 00:18:09.840]   the bridges, the rockets, the-
[00:18:09.840 --> 00:18:11.640]   - I guess I sort of classify though.
[00:18:11.640 --> 00:18:12.880]   Architecture is art.
[00:18:12.880 --> 00:18:13.720]   - Yes.
[00:18:13.720 --> 00:18:18.720]   - I consider engineering in those formats to be art,
[00:18:18.720 --> 00:18:19.560]   for sure.
[00:18:19.560 --> 00:18:23.200]   - It sucks that like digital art is easier to delete.
[00:18:23.200 --> 00:18:25.800]   So if there's an apocalypse, a nuclear war,
[00:18:25.800 --> 00:18:26.840]   that can disappear.
[00:18:26.840 --> 00:18:28.080]   - Yes.
[00:18:28.080 --> 00:18:28.920]   - And the physical,
[00:18:28.920 --> 00:18:30.000]   there's something still valuable
[00:18:30.000 --> 00:18:32.360]   about the physical manifestation of art.
[00:18:32.360 --> 00:18:35.600]   That sucks that like music, for example,
[00:18:35.600 --> 00:18:37.960]   has to be played by somebody.
[00:18:37.960 --> 00:18:40.200]   - Yeah, I mean, I do think we should do have
[00:18:40.200 --> 00:18:42.800]   a foundation type situation where we like,
[00:18:42.800 --> 00:18:44.720]   you know how we have like seed banks up in the North
[00:18:44.720 --> 00:18:45.560]   and stuff?
[00:18:45.560 --> 00:18:46.400]   - Yeah.
[00:18:46.400 --> 00:18:48.000]   - Like we should probably have like a solar powered
[00:18:48.000 --> 00:18:49.760]   or geothermal little bunker
[00:18:49.760 --> 00:18:52.360]   that like has all the all human knowledge.
[00:18:52.360 --> 00:18:55.240]   - You mentioned Daniel Hayek and Spotify.
[00:18:55.240 --> 00:18:56.960]   What do you think about that as an artist?
[00:18:56.960 --> 00:18:58.240]   What's Spotify?
[00:18:58.240 --> 00:18:59.720]   Is that empowering?
[00:18:59.720 --> 00:19:02.560]   I get to me Spotify sort of as a consumer is super exciting.
[00:19:02.560 --> 00:19:04.960]   It makes it easy for me to access music
[00:19:04.960 --> 00:19:06.600]   from all kinds of artists,
[00:19:06.600 --> 00:19:08.400]   get to explore all kinds of music,
[00:19:08.400 --> 00:19:12.280]   make it super easy to sort of curate my own playlist
[00:19:12.280 --> 00:19:13.960]   and have fun with all that.
[00:19:13.960 --> 00:19:16.040]   It was so liberating to let go.
[00:19:16.040 --> 00:19:17.560]   You know, I used to collect, you know,
[00:19:17.560 --> 00:19:19.360]   albums and CDs and so on,
[00:19:19.360 --> 00:19:22.120]   like horde albums.
[00:19:22.120 --> 00:19:22.960]   - Yeah.
[00:19:22.960 --> 00:19:23.800]   - Like they matter.
[00:19:23.800 --> 00:19:25.640]   But the reality you can, you know,
[00:19:25.640 --> 00:19:28.200]   that was really liberating that I could let go of that
[00:19:28.200 --> 00:19:32.160]   and letting go of the albums you're kind of collecting
[00:19:32.160 --> 00:19:33.600]   allows you to find new music,
[00:19:33.600 --> 00:19:36.200]   exploring new artists and all that kind of stuff.
[00:19:36.200 --> 00:19:37.920]   But I know from a perspective of an artist
[00:19:37.920 --> 00:19:39.240]   that could be, like you mentioned,
[00:19:39.240 --> 00:19:42.040]   competition could be a kind of constraint
[00:19:42.040 --> 00:19:44.680]   'cause there's more and more and more artists
[00:19:44.680 --> 00:19:46.040]   on the platform.
[00:19:46.040 --> 00:19:47.880]   - I think it's better that there's more artists.
[00:19:47.880 --> 00:19:49.840]   I mean, again, this might be propaganda
[00:19:49.840 --> 00:19:51.680]   'cause this is all from a conversation with Daniel Ek.
[00:19:51.680 --> 00:19:54.040]   So this could easily be propaganda.
[00:19:54.040 --> 00:19:56.720]   - We're all a victim of somebody's propaganda.
[00:19:56.720 --> 00:19:58.960]   So let's just accept this.
[00:19:58.960 --> 00:20:01.040]   - But Daniel Ek was telling me that, you know,
[00:20:01.040 --> 00:20:02.800]   at the, 'cause I, you know,
[00:20:02.800 --> 00:20:04.600]   when I met him, I like,
[00:20:04.600 --> 00:20:06.440]   I came in all furious about Spotify
[00:20:06.440 --> 00:20:07.800]   and like I grilled him super hard.
[00:20:07.800 --> 00:20:10.640]   So I've got his answers here.
[00:20:10.640 --> 00:20:13.560]   But he was saying like at the sort of peak
[00:20:13.560 --> 00:20:15.280]   of the CD industry,
[00:20:15.280 --> 00:20:17.440]   there was like 20,000 artists
[00:20:17.440 --> 00:20:19.560]   making millions and millions of dollars.
[00:20:19.560 --> 00:20:22.880]   Like there was just like a very tiny kind of 1%.
[00:20:22.880 --> 00:20:27.440]   And Spotify has kind of democratized the industry
[00:20:27.440 --> 00:20:30.360]   because now I think he said there's about a million artists
[00:20:30.360 --> 00:20:33.160]   making a good living from Spotify.
[00:20:33.160 --> 00:20:34.800]   And when I heard that, I was like,
[00:20:34.800 --> 00:20:38.840]   honestly, I would rather make less money
[00:20:38.840 --> 00:20:41.160]   and have just like a decent living
[00:20:41.160 --> 00:20:46.560]   than and have more artists be able to have that.
[00:20:46.560 --> 00:20:49.320]   Even though I like, I wish it could include everyone, but.
[00:20:49.320 --> 00:20:50.720]   - Yeah, that's really hard to argue with.
[00:20:50.720 --> 00:20:52.280]   YouTube is the same.
[00:20:52.280 --> 00:20:54.120]   It's YouTube's mission.
[00:20:54.120 --> 00:20:58.280]   They wanna basically have as many creators as possible
[00:20:58.280 --> 00:21:00.080]   and make a living, some kind of living.
[00:21:00.080 --> 00:21:00.920]   - Yeah.
[00:21:00.920 --> 00:21:02.760]   - And that's so hard to argue with.
[00:21:02.760 --> 00:21:03.600]   - It's so hard.
[00:21:03.600 --> 00:21:04.520]   But I think there's better ways to do it.
[00:21:04.520 --> 00:21:06.320]   My manager, I actually wish he was here.
[00:21:06.320 --> 00:21:07.840]   I like, I would have brought him up.
[00:21:07.840 --> 00:21:12.840]   My manager is building an app that can manage you.
[00:21:12.840 --> 00:21:16.520]   So it'll like help you organize your percentages
[00:21:16.520 --> 00:21:18.880]   and get your publishing and da, da, da, da, da.
[00:21:18.880 --> 00:21:20.000]   So you can take out all the middlemen.
[00:21:20.000 --> 00:21:23.040]   So you can have a much bigger, it'll just like automate it.
[00:21:23.040 --> 00:21:23.880]   So you can get.
[00:21:23.880 --> 00:21:24.720]   - So automate the manager?
[00:21:24.720 --> 00:21:28.060]   - Automate management, publishing,
[00:21:28.060 --> 00:21:32.440]   like and legal, it can read,
[00:21:32.440 --> 00:21:34.080]   the app he's building can read your contract
[00:21:34.080 --> 00:21:35.640]   and like tell you about it.
[00:21:35.680 --> 00:21:38.320]   Because one of the issues with music right now,
[00:21:38.320 --> 00:21:39.840]   it's not that we're not getting paid enough,
[00:21:39.840 --> 00:21:44.840]   but it's that the art industry is filled with middlemen
[00:21:44.840 --> 00:21:47.780]   because artists are not good at business.
[00:21:47.780 --> 00:21:50.440]   And from the beginning, like Frank Sinatra,
[00:21:50.440 --> 00:21:51.660]   it's all mob stuff.
[00:21:51.660 --> 00:21:53.440]   Like it's the music industry,
[00:21:53.440 --> 00:21:57.600]   is run by business people, not the artists.
[00:21:57.600 --> 00:21:59.560]   And the artists really get very small cuts
[00:21:59.560 --> 00:22:00.480]   of like what they make.
[00:22:00.480 --> 00:22:04.800]   And so I think part of the reason I'm a technocrat,
[00:22:04.800 --> 00:22:07.080]   which I mean, your fans are gonna be technocrats.
[00:22:07.080 --> 00:22:09.320]   So no one's, they're not gonna be mad at me about this,
[00:22:09.320 --> 00:22:12.240]   but like my fans hate it when I say this kind of thing
[00:22:12.240 --> 00:22:13.200]   or the general public.
[00:22:13.200 --> 00:22:14.240]   - They don't like technocrats.
[00:22:14.240 --> 00:22:15.640]   - They don't like technocrats.
[00:22:15.640 --> 00:22:18.800]   Like when I watched "Battle Angel Alita"
[00:22:18.800 --> 00:22:20.440]   and they were like, "The Martian technocracy."
[00:22:20.440 --> 00:22:22.080]   And I was like, "Yeah, Martian technocracy."
[00:22:22.080 --> 00:22:23.600]   And then they were like, "And they're evil."
[00:22:23.600 --> 00:22:25.640]   And I was like, "Oh, okay."
[00:22:25.640 --> 00:22:28.840]   I was like, "Cause Martian technocracy sounds sick to me."
[00:22:28.840 --> 00:22:32.000]   - Yeah, so your intuition as technocrats
[00:22:32.000 --> 00:22:34.280]   would create some kind of beautiful world.
[00:22:34.280 --> 00:22:36.120]   For example, what my manager's working on,
[00:22:36.120 --> 00:22:39.960]   if you can create an app that removes the need for a lawyer
[00:22:39.960 --> 00:22:43.440]   and then you could have a smart contracts on the blockchain,
[00:22:43.440 --> 00:22:46.880]   removes the need for like management
[00:22:46.880 --> 00:22:48.080]   and organizing all this stuff,
[00:22:48.080 --> 00:22:51.000]   like can read your stuff and explain it to you,
[00:22:51.000 --> 00:22:52.780]   can collect your royalties.
[00:22:52.780 --> 00:22:57.040]   Like then the small amounts,
[00:22:57.040 --> 00:22:58.720]   the amount of money that you're getting from Spotify
[00:22:58.720 --> 00:23:01.840]   actually means a lot more and goes a lot farther.
[00:23:01.840 --> 00:23:03.180]   - It can remove some of the bureaucracy,
[00:23:03.180 --> 00:23:06.400]   some of the inefficiencies that make life
[00:23:06.400 --> 00:23:08.240]   not as great as it could be.
[00:23:08.240 --> 00:23:10.880]   - Yeah, I think the issue isn't that there's not enough,
[00:23:10.880 --> 00:23:12.720]   like the issue is that there's inefficiency.
[00:23:12.720 --> 00:23:17.580]   And I'm really into this positive some mindset,
[00:23:17.580 --> 00:23:20.840]   the win-win mindset of like,
[00:23:20.840 --> 00:23:23.560]   instead of fighting over the scraps,
[00:23:23.560 --> 00:23:26.560]   how do we make the, or worrying about scarcity,
[00:23:26.560 --> 00:23:27.840]   like instead of a scarcity mindset,
[00:23:27.840 --> 00:23:32.400]   why don't we just increase the efficiency in that way?
[00:23:32.400 --> 00:23:34.420]   - Expand the size of the pie.
[00:23:34.420 --> 00:23:36.580]   Let me ask you about experimentation.
[00:23:36.580 --> 00:23:38.660]   So you said, which is beautiful,
[00:23:38.660 --> 00:23:42.820]   being a musician is like having a conversation
[00:23:42.820 --> 00:23:45.460]   with all those that came before you.
[00:23:45.460 --> 00:23:48.340]   How much of creating music is like
[00:23:48.340 --> 00:23:53.100]   kind of having that conversation,
[00:23:53.100 --> 00:23:57.260]   trying to fit into the cultural trends
[00:23:57.260 --> 00:24:00.140]   and how much of it is like trying to as much as possible
[00:24:00.140 --> 00:24:02.640]   to be an outsider and come up with something totally new?
[00:24:02.640 --> 00:24:05.680]   It's like when you're thinking, when you're experimenting,
[00:24:05.680 --> 00:24:08.680]   are you trying to be totally different, totally weird?
[00:24:08.680 --> 00:24:12.120]   Are you trying to fit in?
[00:24:12.120 --> 00:24:14.640]   - Man, this is so hard 'cause I feel like I'm
[00:24:14.640 --> 00:24:16.900]   kind of in the process of semi-retiring from music.
[00:24:16.900 --> 00:24:18.760]   So this is like my old brain.
[00:24:18.760 --> 00:24:22.080]   - Yeah, bring it from like the shelf,
[00:24:22.080 --> 00:24:24.440]   put it on the table for a couple of minutes.
[00:24:24.440 --> 00:24:26.280]   We'll just poke it.
[00:24:26.280 --> 00:24:29.080]   - I think it's a bit of both because I think
