
[00:00:00.000 --> 00:00:05.400]   Hey, everybody, welcome to the all in podcast. I'm your moderator for the week Dave Friedberg
[01:37:16.600 --> 01:37:18.680]   They're figuring out what people want
[01:37:18.680 --> 01:37:23.560]   And I did the same searches on chat gbd4 and I was like, it's not that much better what you're doing
[01:37:24.280 --> 01:37:29.160]   But it's better and your ideas are better. And so I think that they'll win the race and they only have to please
[01:37:29.160 --> 01:37:31.560]   You know, whatever number of users
[01:37:31.560 --> 01:37:36.600]   And this company could wind up being like I said before a 20 person company that does 50 million in revenue
[01:37:36.600 --> 01:37:41.560]   And I think that's going to be a very interesting future and it reminds me of the app economy
[01:37:41.560 --> 01:37:44.680]   There were a small number of acts things like distro kid
[01:37:44.680 --> 01:37:46.920]   or instagram
[01:37:46.920 --> 01:37:51.240]   Where small teams built things that printed money and had incredibly high margins
[01:37:51.240 --> 01:37:56.040]   So I think that's part of the opportunity here. I do agree with chamath's point data is the new oil
[01:37:56.040 --> 01:38:01.660]   Whatever data set you have that you have that's unique is incredibly powerful in terms of defensibility
[01:38:01.660 --> 01:38:05.320]   And could help you to outpace one of the generic models
[01:38:05.320 --> 01:38:12.600]   This dude's been waiting, okay, dude, he's been waiting. All right lightning round. Thanks david for the mic
[01:38:12.600 --> 01:38:17.000]   My name is raed must you transform vc in san francisco my questions for you chamath
[01:38:17.000 --> 01:38:19.880]   um in the last finally jesus christ
[01:38:19.880 --> 01:38:21.880]   something else
[01:38:21.880 --> 01:38:23.960]   What the fuck these guys
[01:38:23.960 --> 01:38:28.680]   So on the last one or two episodes I can't recall you um
[01:38:28.680 --> 01:38:32.060]   You brought up this whole idea is how do we get non-us-born?
[01:38:32.060 --> 01:38:35.560]   American patriots to run for president
[01:38:35.560 --> 01:38:38.280]   so, uh as the
[01:38:38.280 --> 01:38:40.840]   growth hacking drunken master
[01:38:40.840 --> 01:38:45.480]   Um, what do you recommend? How do we propel this idea? How do we have it pick up steam?
[01:38:46.040 --> 01:38:51.400]   And not have to wait 25 years or whatever, you know, it can't happen in the next few years
[01:38:51.400 --> 01:38:53.960]   I think I do think there's a small probability could happen in
[01:38:53.960 --> 01:38:56.600]   25 to 30 years, but
[01:38:56.600 --> 01:38:59.640]   Like the problem is that
[01:38:59.640 --> 01:39:02.520]   The people that
[01:39:02.520 --> 01:39:06.440]   Only j cal can be president on the stage. Yeah, the three of us are fucked up
[01:39:06.440 --> 01:39:12.520]   This is but i'll put you guys in my cabinet. You've all got positions. I think the how is that you have
[01:39:13.480 --> 01:39:16.060]   Enough bottoms up citizen journalism
[01:39:16.060 --> 01:39:19.160]   and opinion formation
[01:39:19.160 --> 01:39:24.600]   That people can independently decide that on the margin. This is a good idea
[01:39:24.600 --> 01:39:28.120]   Like look, I i'm not interested in running for government
[01:39:28.120 --> 01:39:33.400]   But if david were in charge of something very important treasury or state I would have
[01:39:33.400 --> 01:39:41.000]   Immense confidence if freeberg were in charge of something I would have immense confidence. So the idea that guys like this
[01:39:41.000 --> 01:39:43.000]   (laughter)
[01:39:43.000 --> 01:39:48.600]   The idea that guys like this and and oh because i'm born here so you don't have to say that
[01:39:48.600 --> 01:39:53.800]   Don't worry, you'll get the department of sanitation work. I'm definitely gonna win. No, so for sure. I'm gonna win
[01:39:53.800 --> 01:39:56.520]   postmaster general
[01:39:56.520 --> 01:40:00.280]   I do think it's a little it's a little crazy that
[01:40:00.280 --> 01:40:06.920]   Guys like these two get disqualified just because they emigrated when they were like four and six
[01:40:06.920 --> 01:40:09.960]   That's insane
[01:40:10.120 --> 01:40:15.240]   So I I think that if we're in the business of actually deciding that you want the best people for this country
[01:40:15.240 --> 01:40:17.240]   on the court
[01:40:17.240 --> 01:40:19.240]   So that we keep winning championships
[01:40:19.240 --> 01:40:26.280]   You don't tell janice. Oh, you know, you were born in greece. So ciao. Ciao, you don't get to play that's crazy
[01:40:26.280 --> 01:40:29.240]   Put them on the court
[01:40:29.240 --> 01:40:32.600]   And let them win so I do think it takes 25 or 30 years though
[01:40:32.600 --> 01:40:36.440]   of us saying this because it has to be a groundswell of people that say
[01:40:36.840 --> 01:40:40.280]   I just want to win because i'm seeing all these other countries starting to win more
[01:40:40.280 --> 01:40:44.200]   And I don't think I want that for my children. I think I did. I do think it takes a generation
[01:40:44.200 --> 01:40:45.800]   I don't think it happens today
[01:40:45.800 --> 01:40:48.760]   All right, guys in a couple of hours. It will be
[01:40:48.760 --> 01:40:54.120]   The sultan of science's birthday and alan keating's and alan keating's
[01:40:54.120 --> 01:40:56.680]   And yeah, that's right
[01:40:56.680 --> 01:40:59.480]   So I thought it would only be fitting
[01:40:59.480 --> 01:41:01.320]   if
[01:41:01.320 --> 01:41:02.440]   a hundred
[01:41:02.440 --> 01:41:07.240]   All in super fans took a moment. I'm gonna sing in italian and sung
[01:41:07.240 --> 01:41:11.320]   Happy birthday to dave freeberg three
[01:41:11.320 --> 01:41:13.480]   two
[01:41:13.480 --> 01:41:15.480]   one
[01:41:15.480 --> 01:41:27.340]   Happy birthday dear free bird
[01:41:28.140 --> 01:41:32.140]   Happy birthday to you
[01:41:32.140 --> 01:41:35.260]   and many more
[01:41:35.260 --> 01:41:37.420]   All right, sultan of science
[01:41:37.420 --> 01:41:45.260]   I know your wish was to be a top 10 podcaster. It's come true. Finally. I'm like I gotta go into podcasting. Yes
[01:41:45.260 --> 01:41:51.820]   Thank you ashley
[01:41:52.620 --> 01:41:56.720]   Will let your winners ride rain man david sax
[01:41:56.720 --> 01:42:03.520]   We open source it to the fans and they've just gone crazy with it
[01:42:03.520 --> 01:42:14.700]   Besties are gone
[01:42:15.660 --> 01:42:17.660]   My dog taking a notice in your driveway
[01:42:17.660 --> 01:42:26.780]   We should all just get a room and just have one big huge orgy because they're all just useless
[01:42:26.780 --> 01:42:29.900]   It's like this like sexual tension, but they just need to release them out
[01:42:29.900 --> 01:42:33.180]   What you're about to be
[01:42:34.140 --> 01:42:36.140]   Pure feet
[01:42:36.460 --> 01:42:38.460]   We need to get mercies
[01:42:38.460 --> 01:42:47.820]   I'm going all in
[01:42:47.820 --> 01:42:49.880]   you

