
[00:00:00.000 --> 00:00:08.380]   and you see that manifest itself on D-Day, where you've got 6,939 vessels, of which there are 1,213
[00:25:51.180 --> 00:25:55.740]   spaces involved. You just simply can't function. So what you see is in the initial phases of
[00:25:55.740 --> 00:26:02.060]   of Operation Barbarossa, they surge forward. Red Army's got absolutely no answers to anything.
[00:26:02.060 --> 00:26:08.220]   Stalin weirdly hasn't heeded all the warnings that this attack is brewing. And there have been plenty,
[00:26:08.220 --> 00:26:14.220]   incidentally. Smolensk falls on the 15th of July, you know, in less than four weeks. It's just incredible.
[00:26:14.220 --> 00:26:18.300]   Three and a half weeks, Smolensk has gone. You know, they've overwhelmed the rest of what had
[00:26:18.300 --> 00:26:24.300]   been Poland. They surged into what is now Belarus, taken Smolensk. You know, this is Army Group Center.
[00:26:24.300 --> 00:26:30.060]   Army Group North is thrust up into the Baltic. It's all going swimmingly well. But then,
[00:26:30.060 --> 00:26:35.500]   the next several months, they barely go 100 miles. And that's because they're running out of steam.
[00:26:35.500 --> 00:26:41.580]   And the 16th Panzer Division, for example, by the time it's taken Smolensk, involved in taking
[00:26:41.580 --> 00:26:50.060]   Smolensk on the 15th of July, 1941, the following day, it's got 16 tanks left. 16. Out of, you know,
[00:26:50.060 --> 00:26:57.260]   should have 180. So it's just being a trigger. They can't sustain it. And they can't sustain it because
[00:26:57.260 --> 00:27:02.780]   as the Russians fall back, as the Soviet Red Army falls back, they do their own scorched earth policy.
[00:27:02.780 --> 00:27:06.460]   They also discover that the railway line is kind of a different loading gauge. So they've got to
[00:27:06.460 --> 00:27:13.500]   change it. So it's slightly, the Russian loading gauge is slightly wider. So every single mile,
[00:27:13.500 --> 00:27:19.900]   every yard, every foot, every meter that they're capturing of a Russian railway has to be moved
[00:27:19.900 --> 00:27:28.460]   a couple of inches to the left to make it fit the German Kriegsloch in the standard train of locomotive
[00:27:28.460 --> 00:27:33.580]   of the, of the, of the Reichsbahn. Just imagine what that's like. And also Soviet trains are bigger,
[00:27:33.580 --> 00:27:39.980]   so they can take more water, which means the water stops in between are fewer and far between. So they
[00:27:39.980 --> 00:27:43.900]   have to, the Germans, when they come in, their trains, their Kriegsloch are smaller. So they have to have,
[00:27:43.900 --> 00:27:50.060]   be re-watered more often and re-coaled more often. So they have to, I mean, it's, it's absolutely
[00:27:50.060 --> 00:27:55.580]   boggling just how complicated it is and how badly planned it is because they haven't reckoned on this.
[00:27:55.580 --> 00:28:00.460]   They're having to kind of think on their feet. I love the, the logistical details of all of this,
[00:28:00.460 --> 00:28:04.620]   because yes, that's a huge component of this, especially when you're covering that much territory.
[00:28:04.620 --> 00:28:13.580]   But there is a notion that if Hitler didn't stop, uh, army group center, it could have pushed all the
[00:28:13.580 --> 00:28:19.660]   way to Moscow. It was, it was only maybe a hundred miles away from Moscow. Is that, is that, is that a
[00:28:19.660 --> 00:28:25.740]   possibility because it had so much success in the early days pushing forward? Do you think it's
[00:28:25.740 --> 00:28:33.500]   possible that if Hitler, as we mentioned from a military blunder perspective, didn't make that blunder,
[00:28:33.500 --> 00:28:37.820]   that, uh, they could have defeated the Soviet Union right there and then?
[00:28:38.540 --> 00:28:43.180]   Well, my, my own view is that they should never have got close. You know,
[00:28:43.180 --> 00:28:48.780]   Red Army has plenty of men to be able to see off anything that the Germans can do. The capture of
[00:28:48.780 --> 00:28:55.180]   Kyiv, for example, in September, 1941 was a catastrophe for, for the Soviet Union and should
[00:28:55.180 --> 00:29:01.500]   never have happened. I mean, Zukov is saying to, saying to Stalin, we've got to pull back across the
[00:29:01.500 --> 00:29:07.660]   Dnieper. So I was going, no, I can't possibly do that. You can't abandon Kyiv. It's like third city in
[00:29:07.660 --> 00:29:13.100]   the Soviet Union. No way. No, absolutely not. And he goes, well, we're just, we are just going to be
[00:29:13.100 --> 00:29:19.260]   overwhelmed. You know, we, we, we can't hold this. And, and he says, you know, either back me or far me,
[00:29:19.260 --> 00:29:24.860]   back me or sack me. So Stalin sacks him. Uh, uh, yeah, obviously, as we know, Zukov gets, um,
[00:29:24.860 --> 00:29:31.500]   rehabilitated from pretty quick order. Uh, and Stalin does learn very quickly after, thereafter to learn
[00:29:31.500 --> 00:29:36.780]   the lessons. But the opening phase of Barbarossa has been a catastrophe. And so,
[00:29:36.780 --> 00:29:42.460]   so as a consequence of Stalin refusing to let his men retreat back across the Dnieper,
[00:29:42.460 --> 00:29:48.380]   which is a substantial barrier and would be very difficult for the Germans to overwhelm had they
[00:29:48.380 --> 00:29:55.420]   not, had they moved back in time. Um, you know, that's another kind of 700,000 men put in the bag. I
[00:29:55.420 --> 00:30:03.100]   I mean, that's just staggering numbers. Um, but yeah, I mean, there's so many things wrong with the
[00:30:03.100 --> 00:30:08.660]   Barbarossa plan, you know, too much over, it's just such a vast area. I mean, you're talking about kind
[00:30:08.660 --> 00:30:14.700]   of, you know, 2,500 miles or something, you know, of, of frontage, you know, maybe if you kind of put
[00:30:14.700 --> 00:30:19.500]   your, your, your Panzer groups, which are these spearheads and you put them all in one big thrust and
[00:30:19.500 --> 00:30:23.180]   just go hell for leather straight across on a kind of, you know, much more narrow front of,
[00:30:23.180 --> 00:30:25.180]   let's say kind of 400 miles rather than
[00:30:25.180 --> 00:30:31.420]   1200. Then they might've got, you know, they might've just sort of burnt away straight through to
[00:30:31.420 --> 00:30:39.820]   Moscow. They really caught the red army unprepared. Yeah. Is there, um, something to be said about the,
[00:30:39.820 --> 00:30:47.820]   the strategic genius of that or was it just luck? No, I don't think so. I mean, I think, I think,
[00:30:47.820 --> 00:30:51.820]   I think what's happened is you've had the, you've had the, the Soviet purges of the, of the second
[00:30:51.820 --> 00:30:57.180]   after the 1930s where they've, you know, they have executed or imprisoned 22 and a half thousand
[00:30:57.180 --> 00:31:04.780]   officers of which, you know, three out of five marshals, um, you know, God knows how many army
[00:31:04.780 --> 00:31:11.260]   commanders, um, et cetera, et cetera. So, so, you know, you've completely decapitated the red army
[00:31:11.260 --> 00:31:15.180]   in terms of its command structure. So before that, would it be fair to say it was one of,
[00:31:15.180 --> 00:31:19.500]   if not the greatest army in the world? Well, there was a lot of experience.
[00:31:19.500 --> 00:31:23.820]   There's, there's a lot of experience there. But also technology material,
[00:31:23.820 --> 00:31:27.900]   Yeah. The size of the army and the number of people that are, they're mobilized.
[00:31:27.900 --> 00:31:31.820]   Yeah. And they're the first people to kind of adapt, you know, create airborne troops, for example.
[00:31:31.820 --> 00:31:38.620]   So yes, I think there is an argument to say that, but the decapitation is, is, is absolutely brutal.
[00:31:38.620 --> 00:31:44.060]   If you've decapitated an army, you then got to put new guys in charge. And someone who, who looks on
[00:31:44.060 --> 00:31:49.340]   paper like a half decent peacetime commander might not be a very good wartime commander. The,
[00:31:49.340 --> 00:31:54.540]   the different disciplines and different skills and what comes to it, you don't know that until you're
[00:31:54.540 --> 00:31:59.180]   tested. It's very hard to kind of judge. And of course, you know, Stalin is existing in a sort of,
[00:31:59.180 --> 00:32:04.540]   you know, a vacuum of, of paranoia and suspicion all the time, which is unhelpful when you're trying
[00:32:04.540 --> 00:32:12.220]   to develop a strong armed forces. So they go into Finland in, in back end of 1939 and they get there,
[00:32:12.220 --> 00:32:16.220]   you know, they get really badly hammered. They do take about, you know, 50, get the Corellia
[00:32:16.220 --> 00:32:22.140]   Peninsula and they do take some ground, but a huge cost. I mean, the casualties are five times as bad as
[00:32:22.140 --> 00:32:29.580]   those are the Finns and it's humiliation. So Hitler sees that and thinks, okay, they're not up to much
[00:32:29.580 --> 00:32:35.740]   cop. Then Hitler loses the battle of Britain. And he thinks I can't afford to fight a war on two fronts.
[00:32:35.740 --> 00:32:40.860]   That's one of the reasons why Germany loses the war in 1914 to 18 is fighting on the Eastern front,
[00:32:40.860 --> 00:32:44.780]   but also fighting on, you know, the Western front at the same time. We've got to avoid that,
[00:32:44.780 --> 00:32:48.860]   but I've got to get rid of Britain and Britain hasn't come out of the fight. Britain is still fighting
[00:32:48.860 --> 00:32:55.260]   in the back end of 1940, having won the battle of Britain. And so maybe I'll go into the Soviet
[00:32:55.260 --> 00:32:59.100]   Union now while the red army is still weak. You know, we're not a hundred percent ready ourselves,
[00:32:59.100 --> 00:33:02.220]   but, but let's hurry the whole thing forward. Because originally he'd been thinking of planning
[00:33:02.220 --> 00:33:09.340]   an operation in 1943 or 1944. So the idea is you take Poland out, you take out France and the low
[00:33:09.340 --> 00:33:13.660]   countries, you conquer most of Western Europe, you knock out Britain. So therefore you don't have to
[00:33:13.660 --> 00:33:17.020]   worry so much about the United States because they're over the other side of the Atlantic.
