
[00:00:00.000 --> 00:00:01.660]   So it's mid-summer.
[00:15:43.820 --> 00:15:46.540]   This is like the Bible for most of the ideas
[00:15:46.540 --> 00:15:49.260]   we talk about here in these videos.
[00:15:49.260 --> 00:15:54.260]   You can get a free excerpt at calnewport.com/slow.
[00:15:54.260 --> 00:15:56.300]   I know you're gonna like it.
[00:15:56.300 --> 00:15:57.340]   Check it out.
[00:15:57.340 --> 00:15:59.580]   Now let's get back to the video.
[00:15:59.580 --> 00:16:01.060]   All right, idea number two,
[00:16:01.060 --> 00:16:04.920]   office hours, meeting windows, and project protocols.
[00:16:04.920 --> 00:16:06.500]   These are three things that are all trying
[00:16:06.500 --> 00:16:08.480]   to solve the same problem.
[00:16:09.480 --> 00:16:13.840]   So if you read my 2021 book, "A World Without Email,"
[00:16:13.840 --> 00:16:18.800]   I identify what I think is the number one productivity poison
[00:16:18.800 --> 00:16:20.560]   in the knowledge work sector.
[00:16:20.560 --> 00:16:22.680]   And it's not necessarily what people think.
[00:16:22.680 --> 00:16:26.180]   The number one productivity poison is context switching.
[00:16:26.180 --> 00:16:29.560]   Every time you change your attention
[00:16:29.560 --> 00:16:31.840]   from one target to another,
[00:16:31.840 --> 00:16:35.200]   you instigate an expensive neurological process
[00:16:35.200 --> 00:16:37.240]   where your brain is trying to actually switch
[00:16:37.240 --> 00:16:39.440]   which networks are activated
[00:16:39.440 --> 00:16:42.520]   and inhibit other networks that are no longer relevant.
[00:16:42.520 --> 00:16:44.160]   This is an expensive operation.
[00:16:44.160 --> 00:16:45.000]   It takes time.
[00:16:45.000 --> 00:16:46.760]   It can take 10, 15, maybe 20 minutes
[00:16:46.760 --> 00:16:48.440]   for your brain to completely switch
[00:16:48.440 --> 00:16:52.000]   its semantic context from one target to another.
[00:16:52.000 --> 00:16:55.360]   So what happens when you keep context switching rapidly
[00:16:55.360 --> 00:16:56.240]   throughout your work,
[00:16:56.240 --> 00:16:59.300]   where you're trying to work on, let's say, a report,
[00:16:59.300 --> 00:17:01.360]   but every few minutes you jump over to check Slack,
[00:17:01.360 --> 00:17:02.440]   you jump over to check email,
[00:17:02.440 --> 00:17:03.480]   maybe you send a couple of emails,
[00:17:03.480 --> 00:17:04.720]   you come back to what you're working on,
[00:17:04.720 --> 00:17:06.680]   then jump over to check what's going on with the Olympics,
[00:17:06.680 --> 00:17:08.120]   and back to what you're working on.
[00:17:08.120 --> 00:17:09.920]   Every time you switch your attention,
[00:17:09.920 --> 00:17:12.640]   you instigate this expensive change.
[00:17:12.640 --> 00:17:14.680]   But of course, you don't sit around in your email inbox
[00:17:14.680 --> 00:17:17.240]   or Slack or on the Olympics website for 20, 30 minutes,
[00:17:17.240 --> 00:17:18.240]   giving yourself enough time
[00:17:18.240 --> 00:17:20.280]   to completely change this new context.
[00:17:20.280 --> 00:17:23.800]   You actually halt that change after it begins,
[00:17:23.800 --> 00:17:25.520]   and then try to wrench your attention back
[00:17:25.520 --> 00:17:26.920]   to what you're originally working on.
[00:17:26.920 --> 00:17:30.160]   And now you have that cognitive context tries to come back,
[00:17:30.160 --> 00:17:31.560]   but before it could get completely back,
[00:17:31.560 --> 00:17:33.840]   you switch to something else.
[00:17:33.840 --> 00:17:37.720]   This creates a train wreck, cognitively speaking,
[00:17:37.720 --> 00:17:41.040]   inside your head, which makes it very difficult to focus.
[00:17:41.040 --> 00:17:43.280]   This is why you find your sort of intellectual energy
[00:17:43.280 --> 00:17:44.280]   begins to plummet.
[00:17:44.280 --> 00:17:46.920]   It's like, "Oh man, I just feel sort of like fatigued.
[00:17:46.920 --> 00:17:48.960]   "I feel like I can't think straight."
[00:17:48.960 --> 00:17:50.600]   It's a terrible type of state
[00:17:50.600 --> 00:17:53.080]   in which to try to do interesting work.
[00:17:53.080 --> 00:17:55.320]   So you gotta minimize those context shifts.
[00:17:55.320 --> 00:17:58.040]   Well, what's the number one source of context shifts?
[00:17:58.040 --> 00:18:00.480]   Ongoing back and forth, unscheduled conversation.
[00:18:01.800 --> 00:18:04.280]   So if I have multiple conversations
[00:18:04.280 --> 00:18:06.960]   that are unfolding with back and forth emails,
[00:18:06.960 --> 00:18:09.080]   I have multiple conversations
[00:18:09.080 --> 00:18:12.440]   that are sort of unfolding unpredictably
[00:18:12.440 --> 00:18:13.760]   on a Slack channel,
[00:18:13.760 --> 00:18:17.480]   I have to keep tending to those communication channels
[00:18:17.480 --> 00:18:19.280]   because I don't know when the reply to my message
[00:18:19.280 --> 00:18:21.040]   is gonna come in,
[00:18:21.040 --> 00:18:22.360]   but I have to see that pretty quickly
[00:18:22.360 --> 00:18:23.400]   because I have to bounce it back
[00:18:23.400 --> 00:18:24.760]   to their side of the proverbial court
[00:18:24.760 --> 00:18:25.760]   so they can bounce it back to me,
[00:18:25.760 --> 00:18:27.080]   and then I can bounce it back to them.
[00:18:27.080 --> 00:18:29.320]   So we all have to start checking these inboxes
[00:18:29.320 --> 00:18:30.240]   and channels all the time
[00:18:30.240 --> 00:18:31.800]   to keep these ongoing conversations
[00:18:31.800 --> 00:18:33.280]   actually moving forward.
[00:18:33.280 --> 00:18:35.600]   This is the number one source of context shifts.
[00:18:35.600 --> 00:18:38.480]   These context shifts are productivity poison.
[00:18:38.480 --> 00:18:40.080]   So office hours, meeting windows,
[00:18:40.080 --> 00:18:42.520]   and project protocols are three ways
[00:18:42.520 --> 00:18:44.760]   to tame this source of context shifts.
[00:18:44.760 --> 00:18:48.120]   Office hours says have set times most days
[00:18:48.120 --> 00:18:49.800]   where your door is open.
[00:18:49.800 --> 00:18:51.720]   Maybe you have a virtual meeting room
[00:18:51.720 --> 00:18:53.520]   like a Zoom or Teams room activated,
[00:18:53.520 --> 00:18:54.400]   your phone is on.
[00:18:54.400 --> 00:18:57.520]   As much as possible,
[00:18:57.520 --> 00:19:00.040]   when someone tries to instigate
[00:19:00.040 --> 00:19:03.400]   a back and forth discussion with you over email and Slack,
[00:19:03.400 --> 00:19:05.720]   defer them to the office hours.
[00:19:05.720 --> 00:19:06.560]   Yeah, that's important.
[00:19:06.560 --> 00:19:07.680]   We should get into it.
[00:19:07.680 --> 00:19:09.240]   Just grab me at my next office hours
[00:19:09.240 --> 00:19:10.360]   next time you're able.
[00:19:10.360 --> 00:19:12.440]   Now, what you're doing here
[00:19:12.440 --> 00:19:13.680]   is taking these conversations
[00:19:13.680 --> 00:19:17.360]   that would have generated lots of back and forth messages,
[00:19:17.360 --> 00:19:19.800]   which means lots even more checks of your inbox
[00:19:19.800 --> 00:19:21.280]   away for these messages,
[00:19:21.280 --> 00:19:23.720]   and it pushes them all to this one consolidated time
[00:19:23.720 --> 00:19:24.760]   where you can just in real time
[00:19:24.760 --> 00:19:26.360]   go back and forth and solve them.
[00:19:26.360 --> 00:19:28.560]   If you can take three or four such conversations
[00:19:28.560 --> 00:19:30.240]   in a given day and push it to one,
[00:19:30.240 --> 00:19:31.880]   one hour office hours meeting,
[00:19:31.880 --> 00:19:33.640]   and therefore leave the rest of your day
[00:19:33.640 --> 00:19:35.240]   relatively uninterrupted,
[00:19:35.240 --> 00:19:38.120]   it is a significant, significant win
[00:19:38.120 --> 00:19:39.240]   in terms of your exhaustion
[00:19:39.240 --> 00:19:41.120]   and ability to actually do work.
[00:19:41.120 --> 00:19:42.520]   Meeting windows are similar.
[00:19:42.520 --> 00:19:45.320]   People are constantly in our modern world saying,
[00:19:45.320 --> 00:19:46.160]   when can we have a meeting?
[00:19:46.160 --> 00:19:47.360]   When can we have a meeting?
[00:19:47.360 --> 00:19:48.640]   Here's an invite, here's an invite.
[00:19:48.640 --> 00:19:50.800]   It's Zoom, it's Teams, all these virtual meetings.
[00:19:50.800 --> 00:19:53.340]   Now that the friction involved in meetings is so low,
[00:19:53.340 --> 00:19:57.020]   we are inundated with requests for meetings.
[00:19:57.020 --> 00:19:58.380]   Now this can be a problem in part
[00:19:58.380 --> 00:20:00.340]   because scheduling these meetings
[00:20:00.340 --> 00:20:01.740]   requires back and forth messages,
[00:20:01.740 --> 00:20:02.940]   creates context shifting,
[00:20:02.940 --> 00:20:04.360]   and the meetings begin to fall
[00:20:04.360 --> 00:20:06.380]   pretty haphazardly onto your schedule.
[00:20:06.380 --> 00:20:07.940]   So it's very difficult to get through
[00:20:07.940 --> 00:20:09.400]   any extended period of your day
[00:20:09.400 --> 00:20:10.500]   without having some meeting
[00:20:10.500 --> 00:20:12.040]   that completely scrambles your brain
[00:20:12.040 --> 00:20:13.860]   and changes what you're thinking about.
[00:20:13.860 --> 00:20:14.940]   Simplify this by having,
[00:20:14.940 --> 00:20:18.380]   here's the standard windows each day when I do meetings.
[00:20:18.380 --> 00:20:19.220]   Right?
[00:20:19.220 --> 00:20:20.420]   Yeah, let's have a meeting.
[00:20:20.420 --> 00:20:21.500]   I usually do these, you know,
[00:20:21.500 --> 00:20:24.260]   one to four, Tuesday, Wednesday, Thursdays,
[00:20:24.260 --> 00:20:25.420]   you know, are all great for me.
[00:20:25.420 --> 00:20:27.420]   Let me know if there's a slot in there coming up.
[00:20:27.420 --> 00:20:28.380]   So you kind of consolidate,
[00:20:28.380 --> 00:20:30.300]   you take the options away of when the meetings happen,
[00:20:30.300 --> 00:20:31.980]   that simplifies scheduling,
[00:20:31.980 --> 00:20:33.820]   and the meetings themselves are consolidated.
[00:20:33.820 --> 00:20:35.620]   So like your mornings are free in this scenario.
[00:20:35.620 --> 00:20:37.500]   Your Mondays and Fridays are free in this scenario.
[00:20:37.500 --> 00:20:39.940]   You're less, your context shifting less.
[00:20:39.940 --> 00:20:43.580]   If you think you can get away with it,
[00:20:43.580 --> 00:20:46.900]   use some sort of meeting planning software like Calendly.
[00:20:46.900 --> 00:20:48.820]   So you're gonna say, yeah, we should definitely meet.
[00:20:48.820 --> 00:20:51.320]   Here's the link, grab any time that works for you.
[00:20:51.960 --> 00:20:54.920]   So now you've completely eliminated back and forth planning
[00:20:54.920 --> 00:20:56.200]   and you have full control over
[00:20:56.200 --> 00:20:57.720]   when you want these meetings to happen.
[00:20:57.720 --> 00:21:00.200]   So they don't just fall haphazardly in your schedule.
[00:21:00.200 --> 00:21:02.520]   The final advice here for reducing context switching
[00:21:02.520 --> 00:21:04.560]   is project protocols.
[00:21:04.560 --> 00:21:05.600]   If you have an ongoing project
[00:21:05.600 --> 00:21:07.180]   you're gonna be working on for a while,
[00:21:07.180 --> 00:21:08.900]   take 20 minutes upfront to figure out
[00:21:08.900 --> 00:21:11.000]   how are we gonna communicate and collaborate here?
[00:21:11.000 --> 00:21:13.040]   Don't just rock and roll on email
[00:21:13.040 --> 00:21:14.620]   and throwing random meetings at each other
[00:21:14.620 --> 00:21:16.080]   and just sort of hope it works out.
[00:21:16.080 --> 00:21:19.000]   Figure out your protocol for this project.
[00:21:19.000 --> 00:21:20.580]   Oh, we got to produce this report.
[00:21:20.580 --> 00:21:22.580]   Let's take 20 minutes to figure out
[00:21:22.580 --> 00:21:23.940]   how that's gonna unfold.
[00:21:23.940 --> 00:21:25.040]   If you build a protocol,
[00:21:25.040 --> 00:21:28.320]   you can save yourself a lot of unscheduled messaging.
[00:21:28.320 --> 00:21:30.280]   So for example, if you're working with someone else
[00:21:30.280 --> 00:21:33.640]   to produce report, a protocol might say something like,
[00:21:33.640 --> 00:21:37.840]   okay, I will write a rough draft of this report
[00:21:37.840 --> 00:21:42.580]   in a shared document and I'll get that done by Thursday.
[00:21:42.580 --> 00:21:44.080]   All right, I'll get it done by Thursday
[00:21:44.080 --> 00:21:45.400]   at close of business, right?
[00:21:45.400 --> 00:21:46.600]   So that'll just, you can expect it
[00:21:46.600 --> 00:21:48.720]   starting Friday morning, it is available.
[00:21:48.720 --> 00:21:51.680]   Take a look on Friday, add any edits or suggestions
[00:21:51.680 --> 00:21:55.080]   that you have throughout Friday.
[00:21:55.080 --> 00:21:58.160]   On my Monday office hours, which are from three to four,
[00:21:58.160 --> 00:22:00.400]   swing by my office and we'll talk it through.
[00:22:00.400 --> 00:22:03.400]   I will read your comments before those office hours.
[00:22:03.400 --> 00:22:04.620]   I'm putting that on my calendar now
[00:22:04.620 --> 00:22:06.520]   and then we can have a real time discussion about it.
[00:22:06.520 --> 00:22:09.240]   Then during that discussion on office hours,
[00:22:09.240 --> 00:22:11.240]   we can figure out what the final edits are.
[00:22:11.240 --> 00:22:15.560]   And then I'll put aside time on like that Wednesday
[00:22:15.560 --> 00:22:17.480]   to make my pass on those final edits.
[00:22:17.480 --> 00:22:20.400]   I'll have it done by 12, starting at 12,
[00:22:20.400 --> 00:22:22.520]   you can grab the document, you finalize it,
[00:22:22.520 --> 00:22:24.680]   send it to the designer, CC me when you do it.
[00:22:24.680 --> 00:22:26.400]   As long as we get to him by the end of day Wednesday,
[00:22:26.400 --> 00:22:27.520]   we should be fine.
[00:22:27.520 --> 00:22:30.160]   Look, this sounds like a bit of a pain.
[00:22:30.160 --> 00:22:31.640]   The sit down and take 15 minutes
[00:22:31.640 --> 00:22:33.000]   to figure out a protocol like that
[00:22:33.000 --> 00:22:35.040]   for this particular project.
[00:22:35.040 --> 00:22:37.500]   But think about what you just saved.
