
[00:00:00.000 --> 00:00:04.400]   Democrats still think the currency of politics is money and the currency of politics is attention.
[00:24:16.960 --> 00:24:21.000]   But she runs in the Democratic Party at a time when it's turned on that kind of politics.
[00:24:21.000 --> 00:24:28.700]   People want a lot from her personally, but they don't want a sort of prosecutorial character.
[00:24:29.000 --> 00:24:36.760]   So she sort of abandons that and never, I think, really finds another political identity, certainly before she begins running, you know, in 2024 that works.
[00:24:36.760 --> 00:24:38.240]   But she's a talented debater.
[00:24:38.240 --> 00:24:40.900]   She's a very talented performer on the stump.
[00:24:40.900 --> 00:24:46.060]   But she doesn't really have a theory of politics and policy that she's identified with.
[00:24:46.060 --> 00:24:55.560]   But she's a way for Biden to signal that he understands that him being, you know, in 2020, a 78-year-old white guy, he understands the future is not him or at least not just him.
[00:24:55.560 --> 00:25:01.560]   And he's sort of trying to make a coalitional pick that speaks to his own, you know, potential weaknesses.
[00:25:02.300 --> 00:25:04.800]   I think by 2024, you have two problems, right?
[00:25:04.800 --> 00:25:08.040]   Once he only steps down, what is it, June?
[00:25:08.040 --> 00:25:11.500]   Like, they are weeks from the DNC.
[00:25:11.500 --> 00:25:13.940]   They don't have time anymore for an open convention.
[00:25:13.940 --> 00:25:19.720]   You now have the Biden administration is very unpopular for a number of reasons, but particularly inflation and cost of living.
[00:25:20.380 --> 00:25:25.000]   So now you have Kamala Harris running with a sort of anvil of being associated.
[00:25:25.000 --> 00:25:26.700]   I mean, it's a Biden-Harris administration.
[00:25:26.700 --> 00:25:30.100]   She doesn't really have a lane on cost of living.
[00:25:30.100 --> 00:25:32.380]   It's not something she's known for working on in the Senate.
[00:25:32.380 --> 00:25:34.540]   It's not something she has a bunch of great ideas about.
[00:25:34.540 --> 00:25:36.320]   Not something she's great at talking about.
[00:25:36.320 --> 00:25:39.760]   It's probably not the candidate you would pick for a cost of living election.
[00:25:39.760 --> 00:25:42.620]   And she's had no time to build that out, right?
[00:25:42.620 --> 00:25:52.320]   Maybe if she had been running in a primary for, you know, a year and a half, having to fend off Elizabeth Warren and Bernie Sanders and Pete Buttigieg and whomever else, she either would have figured out how to do it, right?
[00:25:52.320 --> 00:25:55.620]   Primaries are periods of education and learning for the candidates, too.
[00:25:55.620 --> 00:25:58.160]   Or they would have found somebody else who could do it.
[00:25:58.160 --> 00:26:00.120]   But she doesn't get any of that, right?
[00:26:00.120 --> 00:26:02.120]   She's thrown into the game with three months to go.
[00:26:02.120 --> 00:26:05.960]   So, you know, they picked the candidate in 2020 who won.
[00:26:05.960 --> 00:26:09.900]   Whether you think Biden's inspiring or not, he was probably—he was a reasonable pick for that moment.
[00:26:09.900 --> 00:26:14.100]   He should have never run for a second term, and he sort of implied to a lot of people that he wouldn't.
[00:26:14.100 --> 00:26:23.520]   And then the handover to Harris was a very difficult handover to a candidate who didn't go through any kind of selection process for the moment in which he was running.
[00:26:23.520 --> 00:26:29.220]   We'll see what they do in 2028, but the consequences of what they did in 2024 have been severe.
[00:26:29.220 --> 00:26:34.160]   There's two really big questions on the table that I think click together in an interesting way.
[00:26:34.160 --> 00:26:36.660]   You asked, one, why did Trump win?
[00:26:36.660 --> 00:26:45.600]   And two, why do Democrats have this certain communication style that might make them less interested in coming on to an unstructured three-hour conversation with you?
[00:26:45.600 --> 00:26:47.900]   Let me try to tell a story that connects them.
[00:26:47.900 --> 00:26:51.160]   I think Trump's victory in 2024 was overdetermined.
[00:26:51.160 --> 00:26:52.900]   There are a lot of factors here.
[00:26:52.900 --> 00:26:57.360]   Number one, if you look internationally, incumbents lost all over the world.
[00:26:57.360 --> 00:27:04.640]   They lost in the U.S., they lost in Europe, they lost in pretty much every developed country at rates that we really haven't seen in 50 years.
[00:27:04.640 --> 00:27:11.920]   And that's largely because the inflation crisis that came after COVID created an absolute disaster for incumbent establishment power.
[00:27:11.920 --> 00:27:13.640]   People couldn't bring prices down.
[00:27:13.640 --> 00:27:14.440]   Voters were furious.
[00:27:14.440 --> 00:27:17.440]   And they were destroying establishment orders all over the world.
[00:27:17.440 --> 00:27:18.900]   Democrats happened to be in power.
[00:27:18.900 --> 00:27:20.560]   And as a result, they got the brunt of it.
[00:27:20.560 --> 00:27:21.200]   That's number one.
[00:27:21.360 --> 00:27:25.500]   Number two, if you look at elections over the 21st century, two things are true.
[00:27:25.500 --> 00:27:28.440]   One, almost every election is unbelievably close.
[00:27:28.440 --> 00:27:43.580]   For reasons that I'm not sure I entirely understand, the parties have gotten really good, historically, bizarrely good, at getting each group to come to the polls with about 48%, such that every election is a battle over the next 1.5%.
[00:27:43.580 --> 00:27:48.520]   And in a world like that, little thermostatic swings are very important.
[00:27:48.980 --> 00:27:59.680]   And what we've seen over the last few years, and there's this theory about thermostatic public opinion in American politics, that says that what often happens in politics is one party has a very compelling message of change.
[00:27:59.680 --> 00:28:06.520]   They become the establishment, and then they become the victims of exactly the weapon that they marshaled.
[00:28:06.520 --> 00:28:10.400]   That then the next outgroup party says, we have a theory of change, and we're going to throw out the bums.
[00:28:10.400 --> 00:28:13.380]   And the next party comes in, and they overreach, and then they lose.
[00:28:13.380 --> 00:28:18.600]   In a world where you have thermostatic change, and every election is very close, you tend to have elections swinging back and forth.
[00:28:18.720 --> 00:28:31.580]   So I think that also explains why Democrats and Republicans have struggled to hold on to power for six-year, eight-year, 12-year terms the same way they did, say, in the 1930s or 1960s.
[00:28:31.580 --> 00:28:37.680]   But finally, you have to look at what kind of character Donald Trump is, and what kind of a media figure he is.
[00:28:37.680 --> 00:28:50.340]   We were just talking off camera about how every age of communications technology revolution clicks into focus a new skill that is suddenly in critical demand for the electorate.
[00:28:50.680 --> 00:28:58.140]   The world of radio technology is a world in which Franklin Delano Roosevelt can be powerful in a way that he can't be in the 1890s.
[00:28:58.140 --> 00:29:00.140]   And then you have the 1950s.
[00:29:00.140 --> 00:29:04.920]   Dwight Eisenhower, 1956, I believe, was the first televised national convention.
[00:29:05.380 --> 00:29:20.560]   Famously, the 1960 presidential debates between JFK and Richard Nixon take an election that is leaning toward Nixon and make an election that's leaning toward JFK because he's so damn handsome and also just electrically compelling on a screen.
[00:29:21.060 --> 00:29:25.520]   We have a new screened technology right now, which is not just television and steroids.
[00:29:25.520 --> 00:29:26.880]   It's a different species entirely.
[00:29:26.880 --> 00:29:30.060]   And it seems to favor.
[00:29:30.060 --> 00:29:41.500]   It seems to provide value for individuals, influencers, and even celebrities and politicians who are good at something like live wire authenticity.
[00:29:41.500 --> 00:29:45.640]   They're good at performing authenticity, as paradoxical as that sounds.
[00:29:46.340 --> 00:29:54.920]   Trump is an absolute marvel at performing authenticity, even when the audience somehow acknowledges that he might be bullshitting.
[00:29:54.920 --> 00:29:58.120]   He's just an amazing performer for this age.
[00:29:58.120 --> 00:30:05.620]   And it speaks to the fact that he seems to be, to borrow Ezra's term, remarkably disinhibited in front of every single audience.
[00:30:05.620 --> 00:30:12.620]   There doesn't seem to be this sort of background algorithm in his head calculating exactly how to craft his message to different audiences.
[00:30:12.620 --> 00:30:16.220]   He just seems to be like a live wire animal in front of every audience.
[00:30:16.220 --> 00:30:25.540]   And I think that compares very distinctly to the democratic character of bureaucratic caution in our age.
[00:30:25.540 --> 00:30:37.160]   And there is a really important distinction between this vibe of the Trumpian ruler and the vibe of the rule follower.
[00:30:37.160 --> 00:30:50.520]   And the vibe of the bureaucratic rule follower is a little bit afraid of unstructured conversation, is always performing the background algorithm of how do I communicate in a way that balances all of the coalitions on my side?
[00:30:50.680 --> 00:30:57.920]   Because if you look at the Democratic Party right now to compare to the Republican Party, I mean, in 2015, I think there were four political parties in America.
[00:30:57.920 --> 00:31:03.720]   There was MAGA, there was a center right, there was the Bernie wing, and there was the Biden-Clinton-Obama wing.
[00:31:04.360 --> 00:31:09.820]   And what happened is that Trump killed and skinned the center right and is now wearing it as a hat.
[00:31:09.820 --> 00:31:15.940]   The entire Republican Party is Donald Trump wearing the skins of the old center right, the Romney wing.
[00:31:15.940 --> 00:31:18.280]   And the Democratic Party is still a fight.
