
[00:00:00.000 --> 00:00:02.040]   The following is a conversation with Scott Horton.
[00:22:13.960 --> 00:22:16.620]   These are shots they called and made happen, right?
[00:22:16.620 --> 00:22:18.180]   They sent him home to inherit the thing.
[00:22:18.180 --> 00:22:20.500]   And then they did work with him.
[00:22:20.500 --> 00:22:22.660]   People forget, man.
[00:22:22.660 --> 00:22:25.000]   And I was just very young at that time.
[00:22:25.000 --> 00:22:30.040]   But I, you know, was raised kind of in the atmosphere of all of this.
[00:22:30.040 --> 00:22:35.000]   And even back then, people conflated the revolution itself with the hostage crisis.
[00:22:35.000 --> 00:22:37.980]   As just one story, it all is spoken in one breath.
[00:22:38.260 --> 00:22:41.700]   But in fact, the revolution was in February of 1979.
[00:22:41.700 --> 00:22:44.100]   And the hostage crisis didn't break out until November.
[00:22:44.100 --> 00:22:45.840]   So what was happening in the meantime?
[00:22:45.840 --> 00:22:53.000]   Well, one of the things was, the Americans were warning the new Iranian regime about threats
[00:22:53.000 --> 00:22:58.080]   from the new dictator of Iraq, Saddam Hussein, who had just overthrown the government in a bloody
[00:22:58.080 --> 00:22:58.660]   coup d'etat.
[00:22:58.660 --> 00:22:59.740]   No revolution there.
[00:22:59.740 --> 00:23:01.080]   And you can watch the video of this.
[00:23:01.080 --> 00:23:03.160]   Have you ever seen the video of Saddam's overthrowing Iraq?
[00:23:03.160 --> 00:23:05.820]   And he's got a huge stadium of guys.
[00:23:06.360 --> 00:23:08.240]   And he just starts calling names.
[00:23:08.240 --> 00:23:11.680]   And everybody whose name he calls has to go out back and get shot.
[00:23:11.680 --> 00:23:13.400]   Like, it's gnarly, man.
[00:23:13.400 --> 00:23:18.240]   I think that video is a dark study of human nature.
[00:23:18.240 --> 00:23:19.560]   It's terrifying.
[00:23:19.560 --> 00:23:20.140]   Oh, it is.
[00:23:20.140 --> 00:23:20.900]   It's ugly, man.
[00:23:20.900 --> 00:23:22.760]   Because everybody is afraid.
[00:23:23.800 --> 00:23:27.920]   And there's a disgusting face that Saddam Hussein has.
[00:23:27.920 --> 00:23:28.360]   Oh, I don't know.
[00:23:28.360 --> 00:23:30.520]   I don't know if there's a sadistic...
[00:23:30.520 --> 00:23:30.860]   Sure.
[00:23:30.860 --> 00:23:32.220]   He was a psychopath, man.
[00:23:32.220 --> 00:23:32.760]   No question.
[00:23:32.760 --> 00:23:35.800]   He was a brute of a dictator, right?
[00:23:35.800 --> 00:23:37.600]   There's a lot of El Presidentes in the world.
[00:23:37.600 --> 00:23:41.620]   Not all of them, like, train their sons to torture people from the time they're young and
[00:23:41.620 --> 00:23:41.900]   stuff.
[00:23:42.160 --> 00:23:43.140]   Oh, fuck.
[00:23:43.140 --> 00:23:45.100]   All the cowards in that room.
[00:23:45.100 --> 00:23:48.680]   But then you have to ask yourself, what would you do if you were in that room?
[00:23:48.680 --> 00:23:49.100]   Yeah.
[00:23:49.100 --> 00:23:50.800]   You've already been bested at that point.
[00:23:50.800 --> 00:23:53.580]   I mean, they could all rush the stage, but that ain't going to do them any good, you know?
[00:23:53.580 --> 00:23:54.860]   But before you...
[00:23:54.860 --> 00:23:56.480]   How did you get to that room?
[00:23:56.480 --> 00:23:56.920]   Yeah.
[00:23:57.120 --> 00:23:59.600]   And then that's why you have to give props to whistleblowers.
[00:23:59.600 --> 00:24:04.300]   You have to give props to people that stand up and risk their life in situations like that,
[00:24:04.300 --> 00:24:09.320]   which in those parts of the world is even harder than it is in the United States of America.
[00:24:09.320 --> 00:24:09.980]   And you know what?
[00:24:09.980 --> 00:24:13.680]   By the way, I usually forget to mention this when I tell this story.
[00:24:13.680 --> 00:24:16.040]   It takes another few seconds to mention that.
[00:24:16.040 --> 00:24:20.380]   Saddam Hussein had been groomed by the CIA since the 1950s, on and off.
[00:24:20.380 --> 00:24:23.480]   And he had been part of different dictator regimes on and off.
[00:24:23.480 --> 00:24:26.000]   He'd been in exile in Cairo for a little while and this kind of thing.
[00:24:26.400 --> 00:24:30.660]   And then in the 70s, leading up to the coup, I think it was really closer to the Soviet Union.
[00:24:30.660 --> 00:24:36.880]   And so we'll get to the, I guess I'll mention it now, the huge irony of the fact that in the
[00:24:36.880 --> 00:24:45.560]   Iran-Iraq war, it was America supporting Saddam Hussein and his Soviet military versus Iran,
[00:24:45.560 --> 00:24:47.880]   and it's American one, right?
[00:24:47.880 --> 00:24:52.280]   The absurdity of this is insane.
[00:24:52.280 --> 00:24:54.920]   Well, I'm skipping ahead a step, but I just like that part.
[00:24:55.560 --> 00:25:00.020]   But so, okay, so America supports the revolution in 79, in February.
[00:25:00.020 --> 00:25:04.820]   They're warning this guy, hey, you better look out for Saddam Hussein and his intentions.
[00:25:04.820 --> 00:25:06.820]   And we're going to get back to that in one moment here.
[00:25:08.660 --> 00:25:12.920]   And they were also warning him about the threat from the Soviet Union.
[00:25:12.920 --> 00:25:14.180]   Now, why is that?
[00:25:14.180 --> 00:25:22.380]   Well, that's because, skip over Iran, now we're talking about Afghanistan and Zbigniew Brzezinski's
[00:25:22.380 --> 00:25:29.180]   policy that let's support the Mujahideen in Afghanistan in order to try to provoke Soviet intervention there.
[00:25:29.180 --> 00:25:34.580]   And so, there's a memo, people can find this at scotthorton.org slash bare use.
[00:25:34.580 --> 00:25:38.560]   If you want to look at it, it's from, you want to go ahead and pull it up?
[00:25:41.140 --> 00:25:47.660]   So, if you allow me to read, President Jimmy Carter's July 3rd, 1979 finding, in quotes, authorizing
[00:25:47.660 --> 00:25:51.380]   covert support for the Mujahideen in Afghanistan.
[00:25:51.380 --> 00:25:53.180]   Secret sensitive.
[00:25:53.400 --> 00:25:58.960]   And the important part is, provide unilaterally or through third countries as appropriate support
[00:25:58.960 --> 00:26:00.220]   to Afghan insurgents.
[00:26:00.220 --> 00:26:04.980]   This is, now, a finding is an order from a president to the CIA to do something.
[00:26:04.980 --> 00:26:06.220]   That's what a finding means.
[00:26:06.220 --> 00:26:08.940]   So, this is an order to CIA to do this.
[00:26:08.940 --> 00:26:13.240]   Now, on that order, they did start pouring in support to the Mujahideen.
[00:26:13.240 --> 00:26:18.420]   Now, I have to tell you that my best experts on this, like Eric Margulies, and I got this
[00:26:18.420 --> 00:26:23.220]   also from reading Andrei Sakharov, the famous Soviet nuclear physicist and dissident, that they
[00:26:23.220 --> 00:26:28.380]   both said that it was an American support for the Mujahideen that really provoked the Russians
[00:26:28.380 --> 00:26:33.560]   into invading Afghanistan, because what it was, was the sock puppet dictator was a basket
[00:26:33.560 --> 00:26:37.920]   case, and he had created so many enemies that he just couldn't hold it together.
[00:26:37.920 --> 00:26:42.680]   So, the first thing the Soviets did when they invaded in December of 79 was take him out back
[00:26:42.680 --> 00:26:44.620]   and shoot him and replace him with a new guy.
[00:26:44.620 --> 00:26:47.400]   So, that was really the cause of the Soviet intervention there.
[00:26:47.400 --> 00:26:49.180]   They had a commie sock puppet regime.
[00:26:49.180 --> 00:26:52.100]   It was not one of the Soviet republics, right?
[00:26:52.160 --> 00:26:59.580]   But they had a sock puppet regime there, but they wanted to, you know, maintain it and it
[00:26:59.580 --> 00:27:00.280]   was falling apart.
[00:27:00.280 --> 00:27:01.480]   So, they rushed to intervene.
[00:27:01.480 --> 00:27:06.500]   However, Lex, the point still remains that the United States of America was trying to bait
[00:27:06.500 --> 00:27:08.680]   the Soviet Union into invading Afghanistan.
[00:27:08.680 --> 00:27:12.560]   We're going to get back to why it's so relevant to the Iran thing in just one second, but let's
[00:27:12.560 --> 00:27:13.860]   stop and talk about this for a second.
[00:27:13.860 --> 00:27:15.320]   Why would they do that?
[00:27:15.320 --> 00:27:17.760]   And they would do that also because of Vietnam.
[00:27:18.000 --> 00:27:22.380]   Because at the end of Vietnam, Americans had what the government considered to be a mental
[00:27:22.380 --> 00:27:24.660]   illness, Vietnam syndrome.
[00:27:24.660 --> 00:27:28.320]   That meant that Americans didn't want to do this anymore.
[00:27:28.320 --> 00:27:31.300]   Contain communism at this cost?
[00:27:31.300 --> 00:27:34.040]   And who really cares if Vietnam goes commie?
[00:27:34.040 --> 00:27:35.720]   We do business with them now.
[00:27:36.380 --> 00:27:41.000]   You know, and so people weren't into it anymore.
[00:27:41.000 --> 00:27:46.140]   So, this is where Zbigniew Brzezinski and his, he was national security advisor under Jimmy
[00:27:46.140 --> 00:27:46.360]   Carter.
[00:27:46.360 --> 00:27:53.800]   And his, I guess, counterpart at defense, a guy named Walter Slocum, they came up with this
[00:27:53.800 --> 00:27:58.880]   brilliant idea that what we'll do is we will bait the Soviets into overexpansion.
[00:27:59.540 --> 00:28:04.260]   Now, we don't want them to invade West Germany, but the Afghans are expendable.
[00:28:04.260 --> 00:28:11.100]   So, if we can bait the Soviets into Afghanistan and bog them down, we will be adding straw to
[00:28:11.100 --> 00:28:11.940]   the camel's back.
[00:28:11.940 --> 00:28:16.980]   This is a way to inflict because by then, think of it, the word Vietnam, that's not even the
[00:28:16.980 --> 00:28:18.640]   name of a country over there somewhere anymore.
[00:28:18.640 --> 00:28:24.260]   Vietnam at that time, that word means some horrible, stupid, no-win, quagmire thing that
[00:28:24.260 --> 00:28:25.280]   you shouldn't have done.
[00:28:25.280 --> 00:28:30.080]   You shot yourself in the foot and the leg and lost your friend Jimmy down the street
[00:28:30.080 --> 00:28:30.900]   and everything.
[00:28:30.900 --> 00:28:33.360]   And we don't want to do that, you know?
[00:28:33.360 --> 00:28:38.280]   That was what Vietnam meant to America, was like, God dang, what a mistake that was.
[00:28:38.280 --> 00:28:41.680]   So, now they're saying, let's do that to the Reds, okay?
[00:28:41.680 --> 00:28:48.020]   We'll bog them down, bleed them to bankruptcy, and force them out the hard way and hurt them
[00:28:48.020 --> 00:28:48.540]   in doing that.
[00:28:48.540 --> 00:28:49.620]   So, that's what they were trying to do.
[00:28:49.620 --> 00:28:52.060]   That was the wisdom behind the operation in the first place.
[00:28:52.060 --> 00:28:57.940]   And now, if you go, click back one to Brzezinski, you'll see where, and he later mis-paraphrases
[00:28:57.940 --> 00:28:58.860]   this a little bit.
[00:28:58.860 --> 00:29:00.480]   He's kind of cute, Brzezinski, but.
[00:29:00.480 --> 00:29:06.080]   National Security Advisors, big new Brzezinski's memo to President Carter on December 26, 1979,
