
[00:00:00.000 --> 00:00:05.000]   The following is a conversation with Jack Weatherford, anthropologist and historian
[00:31:51.900 --> 00:32:02.780]   the father. But also it's quite common that if a man dies and he has no brothers or his brothers do not
[00:32:02.780 --> 00:32:12.220]   marry his widow, then if he has a son by another wife, she will become his wife. So it would have been common
[00:32:12.220 --> 00:32:19.260]   that Bechter eventually, when he passed through puberty, would then perhaps marry Mother Erlun.
[00:32:19.260 --> 00:32:30.620]   Now, I don't know that that happened, but I think either it did or Temujin was trying to prevent it,
[00:32:30.620 --> 00:32:34.140]   because it was bad enough that he was the older brother, but he becomes the older brother and a
[00:32:34.140 --> 00:32:40.780]   stepfather. I think Temujin just couldn't handle that. And already Bechter was ordering him around,
[00:32:40.780 --> 00:32:47.580]   so he would take things like a fish or a bird that Temujin had caught, and that's perfectly acceptable
[00:32:47.580 --> 00:32:50.860]   in the Mongol hierarchy.
[00:32:50.860 --> 00:32:56.060]   So Temujin would catch a fish and Bechter would take the fish.
[00:32:56.060 --> 00:32:59.500]   Yes. It's only recorded once, but perhaps it happened several times.
[00:32:59.500 --> 00:33:03.820]   So that's an okay thing to do for an older brother. Just take stuff.
[00:33:03.820 --> 00:33:13.180]   Yes. He can do anything he wants, just about, with his younger siblings. But Temujin is not going to stand
[00:33:13.180 --> 00:33:20.540]   for it. So mostly in the record, they kind of put the blame on this fish, which I'm not so sure that's
[00:33:20.540 --> 00:33:26.300]   really the blame. And the boys had actually taken the sewing needles from their mother. They were using them for
[00:33:26.300 --> 00:33:33.820]   fishing. And I think it was more complicated than that. But for whatever reason, he and his next
[00:33:33.820 --> 00:33:37.980]   brother, Hasser, decided to kill him. And they did.
[00:33:37.980 --> 00:33:45.180]   Why to you is it more complicated than that? It feels to me like stealing of a fish is like the final straw.
[00:33:45.740 --> 00:33:54.060]   Here he's being abused over and over and over. And the fish is a symbol of that. And so here he takes
[00:33:54.060 --> 00:33:59.740]   matters into his own hands. I think it is the symbol of that. And it can be the thing that pushes him
[00:33:59.740 --> 00:34:07.260]   over the edge. But it's all these other tensions of what's going on with the family. Because they shoot
[00:34:07.260 --> 00:34:13.580]   him with arrows, they kill him. But what happens afterwards is also interesting for the dynamics of
[00:34:13.580 --> 00:34:21.260]   what was going on before. Because we hear nothing from Xochigl. She and her younger son, Belgetai,
[00:34:21.260 --> 00:34:27.100]   they stay with the family. They don't go away. But the one who is outraged is Mother Erlun, his mother.
[00:34:27.100 --> 00:34:35.100]   She screams and hollers at him in the longest kind of tirade you can imagine about, "You will never have
[00:34:35.100 --> 00:34:41.900]   anybody in your life except your own shadow." And, you know, you are worse than everything that she could
[00:34:41.900 --> 00:34:49.100]   name. They could be worse than. She was outraged and went on and on and on about it. So she was obviously
[00:34:49.100 --> 00:34:56.700]   extremely distressed about it. Whereas Xochigl, the mother of the boy, she may have been distressed. I
[00:34:56.700 --> 00:35:03.020]   don't know. But nothing has shown up in the record. So he does have this episode of having killed off his
[00:35:03.020 --> 00:35:09.340]   brother. But I don't think it was deeply meaningful. I think it was important. But I don't think it was
[00:35:09.340 --> 00:35:17.820]   mostly deeply meaningful for Temujin. The brother was gone. The problem was solved. Mother is extremely ticked
[00:35:17.820 --> 00:35:25.900]   well. But it does show. In fact, it's interesting if it's not a big deal for him. It does show
[00:35:25.900 --> 00:35:33.740]   that he's willing to resort to murder to take care of a bad situation.
[00:35:33.740 --> 00:35:41.500]   Yes. He is capable of doing anything that needs to be done to resolve what he sees as a problem.
[00:35:41.500 --> 00:35:48.220]   Bechtel was a problem. Bechtel was a problem. He resolved it at a very young age. So he'd had that
[00:35:48.220 --> 00:35:54.620]   experience behind him. But now Bechtel's younger brother, Belgetei, is on the raid with him and with
[00:35:54.620 --> 00:36:05.420]   Jammuqa when they go to capture Burshta back. So he has both loyalty and Belgetei stays loyal to him
[00:36:05.420 --> 00:36:10.220]   his entire life. His entire life. It was very interesting.
[00:36:10.220 --> 00:36:18.060]   So actually, if we return to Burshta, is it normal to have such a love story across many years when you're
[00:36:18.060 --> 00:36:24.060]   separated and sort of having that kind of loyalty? Because it was two-way loyalty from Burshta to
[00:36:24.060 --> 00:36:31.740]   to Temujin and Temujin to Burshta. And this is like before he was Genghis Khan.
[00:36:31.740 --> 00:36:38.780]   I think as children, he was too preoccupied with staying alive and trying to find fish and roots
[00:36:38.780 --> 00:36:45.100]   to eat and things like that to really be pining for her all the time. But for whatever reason,
[00:36:45.740 --> 00:36:53.500]   she came in, it could be that her family liked him in some way or that she remembered him or that
[00:36:53.500 --> 00:37:00.860]   she had no other suitors. Because at 17, she should have been married, actually. So I can't explain why,
[00:37:00.860 --> 00:37:08.300]   but it was certainly a strong love story after the fact, if not before. I mean, those two were loyal to
[00:37:08.300 --> 00:37:15.900]   each other throughout their lives. She was, I would say, the most important person to him after that.
[00:37:15.900 --> 00:37:20.220]   He went to literal war to get her back.
[00:37:20.220 --> 00:37:26.300]   He risked everything. He was willing to die. He was willing to kill. He was willing to die in order to
[00:37:26.300 --> 00:37:35.340]   get her back. And he got her back. And now, he's reestablished his relationship with Jamukha.
[00:37:36.140 --> 00:37:47.100]   And so they decide to stay together. And they all go off to the Hornuk Valley. And she is pregnant.
[00:37:49.100 --> 00:38:07.900]   But as he says, much later in life, when his own sons rebel against him, and they call that first
[00:38:07.900 --> 00:38:17.900]   child a merchant bastard, he defends his wife viciously to his own sons. He says, "You were not
[00:38:17.900 --> 00:38:23.500]   there. You do not know who loved who and who did not. You did not see the sky turning around.
[00:38:23.500 --> 00:38:28.220]   You did not see the stars falling. You did not see the earth turn over. You don't know what was
[00:38:28.220 --> 00:38:35.740]   happening. And if I say he is my son, he is my son. Who are you to say otherwise? You were not there.
[00:38:35.740 --> 00:38:39.980]   You come from the same warm womb. And if your mother could hear your words,
[00:38:39.980 --> 00:38:46.700]   her warm womb would turn to cold stone." So he defended her forever.
[00:38:46.700 --> 00:38:51.580]   But he's off now. We go back to the beginning. She's pregnant.
[00:38:51.580 --> 00:39:01.660]   There in the Hotanuk Valley. And he and Jamukha decide to renew their vows of being Anda to each other.
[00:39:03.740 --> 00:39:13.740]   So this time it's more serious and ceremony in front of the whole—we can't say tribe. It's not big enough
[00:39:13.740 --> 00:39:22.220]   yet for a tribe, but the whole clan that's there. And then Jamukha takes off a gold belt, which actually
[00:39:22.220 --> 00:39:27.580]   he had stolen from the market at some point. And where on earth they got a gold belt? I don't know.
[00:39:27.580 --> 00:39:36.220]   He took off a gold belt and he put it on Temujin. And then Temujin gave him a mare who had never
[00:39:36.220 --> 00:39:42.460]   had a fold, had never given birth. And it was an unusual mare who had a little growth on the
[00:39:42.460 --> 00:39:47.660]   front of her head, which they called a horn. So it was an unusual gift. And I don't—it has meaning,
[00:39:47.660 --> 00:39:53.500]   but I don't know all the meanings behind it. You know, it's sort of odd to me. But the golden belt,
[00:39:53.500 --> 00:39:59.020]   you can kind of sort of think about it in different ways. But the golden belt—the belt for the Mongol
[00:39:59.020 --> 00:40:07.900]   man is really the sign of manhood. And in fact, this belt of pus—a woman was often then and even now
[00:40:07.900 --> 00:40:13.660]   called a person without a belt, because that's how they were at that time. Today, women wear belts,
[00:40:13.660 --> 00:40:19.900]   of course, but they still use the word, buskui, buskui, with no belt. So it's a very important
[00:40:19.900 --> 00:40:27.100]   symbol of manhood. So he gave that to Temujin, and they celebrated. And in the words of the secret
[00:40:27.100 --> 00:40:33.500]   history, they slept apart under the same blanket, apart from the other group, and they were happy
[00:40:33.500 --> 00:40:44.060]   together. And then when the baby was born, Temujin named the baby Tzuch, which means visitor.
[00:40:44.060 --> 00:40:50.780]   Some people say, "Well, it's because the child was really the market child." Other people say,
[00:40:50.780 --> 00:40:56.300]   "No, it's because he was a visitor on the territory of Chamuk at that time." And other people can say,
