
[00:00:00.000 --> 00:00:02.320]   I hate affirmative action.
[00:23:14.600 --> 00:23:16.360]   probably originated this.
[00:23:16.360 --> 00:23:18.280]   It's the power of the individual.
[00:23:18.280 --> 00:23:20.340]   'Cause sometimes we think there's injustice in the world,
[00:23:20.340 --> 00:23:22.180]   what can I possibly do?
[00:23:22.180 --> 00:23:26.400]   I tend to think one person can be the seed
[00:23:26.400 --> 00:23:29.200]   of starting to fix the injustice.
[00:23:29.200 --> 00:23:30.040]   - Sure.
[00:23:30.040 --> 00:23:33.280]   One person here, one person there.
[00:23:33.280 --> 00:23:35.200]   Yeah.
[00:23:36.060 --> 00:23:38.980]   One thinks, of course, of Frederick Douglass,
[00:23:38.980 --> 00:23:43.980]   the massively significant figure who was born in slavery,
[00:23:43.980 --> 00:23:48.800]   who stole his freedom,
[00:23:48.800 --> 00:23:52.260]   and because he was property,
[00:23:52.260 --> 00:23:54.720]   and he decided he was not gonna be property anymore,
[00:23:54.720 --> 00:23:56.100]   and he took it unto himself
[00:23:56.100 --> 00:23:59.060]   to emancipate himself personally,
[00:23:59.060 --> 00:24:02.100]   and who became an educated,
[00:24:02.100 --> 00:24:04.780]   a powerfully articulate,
[00:24:04.780 --> 00:24:09.340]   massively influential person in the United States
[00:24:09.340 --> 00:24:10.780]   and in England,
[00:24:10.780 --> 00:24:16.540]   going around, presenting himself as an embodiment
[00:24:16.540 --> 00:24:21.540]   of human dignity and commitment to ideals of equality.
[00:24:21.540 --> 00:24:27.640]   And, you know, I mean, he's just one person,
[00:24:27.640 --> 00:24:30.140]   but there were others like him.
[00:24:30.140 --> 00:24:31.940]   - Just one person.
[00:24:31.940 --> 00:24:33.580]   All it takes is just one person.
[00:24:33.580 --> 00:24:34.680]   So here we are.
[00:24:34.680 --> 00:24:41.860]   On this topic of equality in the 21st century.
[00:24:41.860 --> 00:24:45.420]   So what does equality mean today?
[00:24:45.420 --> 00:24:50.420]   If you start to think about this idea of equality of outcome,
[00:24:50.420 --> 00:24:56.700]   or the injustice of inequality,
[00:24:56.700 --> 00:25:01.020]   at which point does equality of outcome is just,
[00:25:01.020 --> 00:25:02.720]   at which point is it unjust?
[00:25:02.720 --> 00:25:05.640]   Sort of looking at our world today,
[00:25:05.640 --> 00:25:07.700]   and looking at inequality,
[00:25:07.700 --> 00:25:13.820]   how do we know that some inequality is a sign of injustice,
[00:25:13.820 --> 00:25:16.540]   and some is the way of life?
[00:25:16.540 --> 00:25:19.620]   So what does equality mean when we look at the world today,
[00:25:19.620 --> 00:25:23.300]   different from Dr. King's speech of the basic humanity?
[00:25:23.300 --> 00:25:25.600]   - I don't think King's speech,
[00:25:25.600 --> 00:25:29.260]   I have a dream that one day my four little children
[00:25:29.260 --> 00:25:31.380]   will be judged not by the color of their skin,
[00:25:31.380 --> 00:25:33.380]   but by the content of their character,
[00:25:33.380 --> 00:25:37.420]   requires equality of outcome.
[00:25:37.420 --> 00:25:42.020]   He says his children will be judged
[00:25:42.020 --> 00:25:44.580]   by the content of their character.
[00:25:44.580 --> 00:25:46.540]   That's a conditional statement.
[00:25:46.540 --> 00:25:48.940]   That is, the judgment will depend
[00:25:48.940 --> 00:25:50.920]   upon the content of their character,
[00:25:50.920 --> 00:25:53.980]   not the color of their skin.
[00:25:53.980 --> 00:25:56.780]   But it doesn't follow from that,
[00:25:56.780 --> 00:26:00.580]   that the outcomes, whatever outcomes we consider,
[00:26:00.580 --> 00:26:03.080]   wealth and economic power,
[00:26:03.080 --> 00:26:06.880]   position within the society,
[00:26:06.880 --> 00:26:10.220]   representation in the various professions,
[00:26:10.220 --> 00:26:12.980]   the various measures of social achievement,
[00:26:12.980 --> 00:26:17.300]   doesn't follow from judging by the content of character,
[00:26:17.300 --> 00:26:19.020]   and not color of skin,
[00:26:19.020 --> 00:26:21.340]   that when we look at the end of the day,
[00:26:21.340 --> 00:26:22.700]   at the social outcomes,
[00:26:22.700 --> 00:26:26.100]   that they will be equal across the different groups.
[00:26:26.100 --> 00:26:29.620]   In fact, I think there's a contradiction in the idea
[00:26:29.620 --> 00:26:31.780]   that groups will be equal
[00:26:31.780 --> 00:26:33.980]   in all of the various social outcomes,
[00:26:33.980 --> 00:26:36.900]   that they will be equally successful in business,
[00:26:36.900 --> 00:26:40.700]   that they will be proportionately represented
[00:26:40.700 --> 00:26:42.180]   in the various professions,
[00:26:42.180 --> 00:26:45.700]   that they will have the same educational achievement,
[00:26:45.700 --> 00:26:49.700]   that the occupational profiles will look the same.
[00:26:51.060 --> 00:26:54.700]   If they are, in fact, distinct groups
[00:26:54.700 --> 00:26:58.880]   with their own cultural traditions and practices,
[00:26:58.880 --> 00:27:02.020]   with their own ideals and norms,
[00:27:02.020 --> 00:27:06.020]   various immigrant populations,
[00:27:06.020 --> 00:27:08.220]   people coming to the United States of America
[00:27:08.220 --> 00:27:10.760]   from all corners of the world,
[00:27:10.760 --> 00:27:14.640]   the descendants of the African slaves,
[00:27:14.640 --> 00:27:17.300]   the Black Americans here today,
[00:27:17.300 --> 00:27:19.260]   who are ourselves various,
[00:27:19.260 --> 00:27:21.900]   with different origins and so on,
[00:27:21.900 --> 00:27:25.300]   the different religious practices and commitments
[00:27:25.300 --> 00:27:30.300]   that Jewish or Mormon or Christian or whatever,
[00:27:30.300 --> 00:27:37.580]   however we parcel up the total population
[00:27:37.580 --> 00:27:38.740]   into the various groups,
[00:27:38.740 --> 00:27:42.780]   these groups are themselves different from one another.
[00:27:42.780 --> 00:27:45.220]   They have different norms
[00:27:45.220 --> 00:27:48.500]   within their own cultural practice.
[00:27:48.500 --> 00:27:50.580]   How would we expect if, in fact,
[00:27:50.580 --> 00:27:54.340]   we recognize that the groups are different from one another,
[00:27:54.340 --> 00:27:56.700]   that in a world that is fair,
[00:27:56.700 --> 00:28:00.000]   they would all come out equally represented
[00:28:00.000 --> 00:28:00.940]   in every undertaking?
[00:28:00.940 --> 00:28:03.300]   They're not equally represented,
[00:28:03.300 --> 00:28:08.300]   and that fact, I'm arguing, is in and of itself insufficient
[00:28:08.300 --> 00:28:11.340]   to justify the conclusion
[00:28:11.340 --> 00:28:15.220]   that they're not somehow being fairly treated.
[00:28:15.220 --> 00:28:18.620]   Fair treatment doesn't imply equal outcomes
[00:28:18.620 --> 00:28:21.540]   in a world in which the populations in question
[00:28:21.540 --> 00:28:24.660]   are themselves different with respect to their culture,
[00:28:24.660 --> 00:28:27.660]   their practices, their norms, their traditions,
[00:28:27.660 --> 00:28:31.380]   their beliefs, their ideals, and so on.
[00:28:31.380 --> 00:28:35.220]   The fact of those different norms, traditions, beliefs,
[00:28:35.220 --> 00:28:37.220]   cultural orientations, and ideals
[00:28:37.220 --> 00:28:40.000]   will have consequences
[00:28:40.000 --> 00:28:44.020]   in terms of their different social outcomes.
[00:28:44.020 --> 00:28:47.780]   So I just think it's a mistake that people are making
[00:28:47.780 --> 00:28:51.940]   when they think fairness of treatment
[00:28:51.940 --> 00:28:55.980]   implies equality of outcomes.
[00:28:55.980 --> 00:28:57.500]   It does not.
[00:28:57.500 --> 00:29:01.220]   Is the process by which, we're speaking now
[00:29:01.220 --> 00:29:06.300]   in the midst of the National Basketball Association's
[00:29:06.300 --> 00:29:10.460]   playoffs, I confess to being a Boston Celtics fan.
[00:29:10.460 --> 00:29:13.520]   I mean, I'm just, it's a very good team,
[00:29:13.520 --> 00:29:16.020]   and I'm excited about my Celtics.
[00:29:16.020 --> 00:29:20.620]   We defeated the Brooklyn Nets.
[00:29:20.620 --> 00:29:25.420]   I mean, we defeated Kevin Durant
[00:29:25.420 --> 00:29:30.420]   and Kyrie Irving and company, okay, in a playoff series.
[00:29:30.420 --> 00:29:33.980]   We whipped them, and we're on our way
[00:29:33.980 --> 00:29:37.820]   to the Eastern Conference Finals,
[00:29:37.820 --> 00:29:39.780]   and we're on our way to the NBA Finals,
[00:29:39.780 --> 00:29:42.520]   and I'm, you know, if I were a betting man,
[00:29:42.520 --> 00:29:45.700]   I'd put down a few bucks that the Boston Celtics,
[00:29:45.700 --> 00:29:48.540]   underrated as we are, have a very good chance
[00:29:48.540 --> 00:29:50.660]   of winning the NBA Finals.
[00:29:50.660 --> 00:29:51.820]   Okay, so that's the NBA.
[00:29:51.820 --> 00:29:53.560]   That's the National Basketball Association.
[00:29:53.560 --> 00:29:54.400]   I'm a sports fan.
[00:29:54.400 --> 00:29:55.780]   I like basketball. - Slightly biased
[00:29:55.780 --> 00:29:57.620]   prediction, but yes.
[00:29:57.620 --> 00:29:59.620]   - Yeah, it is somewhat biased.
[00:29:59.620 --> 00:30:02.120]   All I'm saying is, if you take a look
[00:30:02.120 --> 00:30:04.500]   at who the star players are
[00:30:04.500 --> 00:30:06.140]   in the National Basketball Association,
[00:30:06.140 --> 00:30:09.460]   you're gonna find that there's some Eastern Europeans.
[00:30:09.460 --> 00:30:11.820]   You know, there's some really good basketball players
[00:30:11.820 --> 00:30:15.120]   coming out of Eastern Europe, you know,
[00:30:15.120 --> 00:30:17.900]   and more power to 'em, and there are a lot
[00:30:17.900 --> 00:30:19.700]   of African Americans.
[00:30:19.700 --> 00:30:20.800]   We're overrepresented.
[00:30:20.800 --> 00:30:24.420]   There are not that many Jews, as far as I know.
[00:30:24.420 --> 00:30:27.180]   No offense intended there, Lex, but I mean,
[00:30:27.180 --> 00:30:33.220]   the NBA is not equally representative
[00:30:33.220 --> 00:30:37.460]   of all of the different populations in the United States.
[00:30:37.460 --> 00:30:39.080]   Now, we could go into the reasons why,
[00:30:39.080 --> 00:30:41.380]   but I'm just saying the process
[00:30:41.380 --> 00:30:44.580]   by which you get to be playing in the NBA is fair.
[00:30:44.580 --> 00:30:47.320]   If you can play, you can get on the court.
[00:30:47.320 --> 00:30:51.220]   All they're looking for is people who can play.
[00:30:51.220 --> 00:30:53.020]   I think something like that is true
[00:30:53.020 --> 00:30:56.060]   in many different venues.
[00:30:56.060 --> 00:31:01.060]   I expect, if you're a really good technical engineer,
[00:31:01.060 --> 00:31:03.180]   companies are gonna employ you,
[00:31:03.180 --> 00:31:07.300]   and if you can make money, they're gonna advance you,
[00:31:07.300 --> 00:31:12.220]   and you will be able to rise to the top of that profession.
[00:31:12.220 --> 00:31:15.380]   I expect that the people who are engaged
[00:31:15.380 --> 00:31:18.780]   in financial transactions, who are actually making bets
[00:31:18.780 --> 00:31:21.540]   on the market, by and large, are the people
[00:31:21.540 --> 00:31:24.180]   who are good at that activity,
[00:31:24.180 --> 00:31:26.180]   and if you're good at that activity in this world,
[00:31:26.180 --> 00:31:31.180]   in this modern world, you're gonna rise to the top.
[00:31:33.300 --> 00:31:37.660]   I'm not saying that there are no barriers of discrimination.
[00:31:37.660 --> 00:31:40.540]   Of course, there are, of many different sorts,
[00:31:40.540 --> 00:31:43.540]   but I'm saying that to expect that there would be,
[00:31:43.540 --> 00:31:46.260]   okay, I mean, let's look at who's actually writing code.
[00:31:46.260 --> 00:31:48.460]   Let's look at who's actually trading bonds.
[00:31:48.460 --> 00:31:52.940]   Let's look at who's actually starting businesses,
[00:31:52.940 --> 00:31:57.120]   and so on, to say that in a fair world,
[00:31:57.120 --> 00:31:59.980]   I would expect that if blacks are 10% of the population,
[00:31:59.980 --> 00:32:02.380]   they'd be 10% of every one of those things,
[00:32:02.380 --> 00:32:06.660]   is to ignore the reality that the differences
[00:32:06.660 --> 00:32:09.860]   in the culture and practices and norms
[00:32:09.860 --> 00:32:12.140]   of the various population groups will lead
[00:32:12.140 --> 00:32:14.840]   to differences in their representation
[00:32:14.840 --> 00:32:17.060]   amongst people who are outstanding performers
[00:32:17.060 --> 00:32:20.060]   in one or another activity.
[00:32:20.060 --> 00:32:24.060]   - How do you know if the difference in culture
[00:32:24.060 --> 00:32:26.900]   accounts for the difference in outcomes,
[00:32:26.900 --> 00:32:30.140]   or it's the existence of barriers,
[00:32:30.140 --> 00:32:32.980]   especially barriers early on in life,
[00:32:32.980 --> 00:32:35.300]   of discrimination that are racially based?
[00:32:35.300 --> 00:32:38.140]   So if you think about affirmative action,
[00:32:38.140 --> 00:32:44.860]   in which ways is affirmative action empowering?
[00:32:44.860 --> 00:32:47.480]   In which way is it limiting?
[00:32:47.480 --> 00:32:50.820]   For these early development of the different groups,
[00:32:50.820 --> 00:32:53.060]   but let's just speak to African Americans.
[00:32:53.060 --> 00:32:56.260]   We should say that you went to some no-name
[00:32:56.260 --> 00:32:57.720]   Northwestern University at first,
[00:32:57.720 --> 00:33:00.420]   but then you ended up with the great University of MIT.
[00:33:00.420 --> 00:33:05.840]   So that's your, not early, but middle development.
[00:33:05.840 --> 00:33:09.060]   So speaking of the development,
[00:33:09.060 --> 00:33:13.220]   the opportunities, the equality of opportunity,
