
[00:00:00.000 --> 00:00:01.500]   - Hi, it's Helen.
[01:11:27.580 --> 01:11:30.900]   then I started listening to the,
[01:11:30.900 --> 01:11:34.420]   I bought his, started buying his CDs of his courses.
[01:11:34.420 --> 01:11:35.700]   You know, I would listen to them driving to work
[01:11:35.700 --> 01:11:37.020]   every morning and I just found them
[01:11:37.020 --> 01:11:40.420]   to be incredibly insightful and incredibly,
[01:11:40.420 --> 01:11:42.700]   incredibly useful.
[01:11:42.700 --> 01:11:47.700]   And what the basic idea behind
[01:11:47.700 --> 01:11:50.340]   Ziglar's version of affirmations,
[01:11:50.340 --> 01:11:54.900]   which was again, 1980s, '90s kind of stuff
[01:11:54.900 --> 01:11:57.460]   where personal development had not gotten
[01:11:57.460 --> 01:11:59.140]   as popularly known as today
[01:11:59.140 --> 01:12:01.020]   and affirmations were still going,
[01:12:01.020 --> 01:12:03.380]   was that he used his affirmations
[01:12:03.380 --> 01:12:05.460]   and talked about character qualities.
[01:12:05.460 --> 01:12:08.340]   And the point that he made that rocked my world
[01:12:08.340 --> 01:12:10.060]   as a young man was he pointed out
[01:12:10.060 --> 01:12:13.780]   that character qualities are all skills,
[01:12:13.780 --> 01:12:16.660]   that they are not innate attributes.
[01:12:16.660 --> 01:12:20.460]   You're not born honest or born dishonest.
[01:12:20.460 --> 01:12:23.700]   Rather, honesty is something that you exercise
[01:12:23.700 --> 01:12:26.180]   and you can become increasingly honest
[01:12:26.180 --> 01:12:30.580]   or increasingly dishonest based upon the,
[01:12:30.580 --> 01:12:32.300]   based upon the way that you live
[01:12:32.300 --> 01:12:33.780]   and the way that you act.
[01:12:33.780 --> 01:12:36.140]   And things like discipline, you're not,
[01:12:36.140 --> 01:12:37.780]   you don't come out of your mother's womb
[01:12:37.780 --> 01:12:40.140]   and the doctor holds you up and says,
[01:12:40.140 --> 01:12:42.220]   "Hey, here's a disciplined boy."
[01:12:42.220 --> 01:12:45.140]   You know, it's discipline is something that is developed.
[01:12:45.140 --> 01:12:46.220]   So if you're a disciplined person
[01:12:46.220 --> 01:12:48.300]   or you're focused or you're compassionate
[01:12:48.300 --> 01:12:50.500]   or you're respectful or you're kind,
[01:12:50.500 --> 01:12:52.740]   you know, kindness is not an innate attribute.
[01:12:52.740 --> 01:12:54.060]   And that rocked my world.
[01:12:54.060 --> 01:12:56.780]   It started a process of self-development
[01:12:56.780 --> 01:12:58.660]   that continues to this day
[01:12:58.660 --> 01:13:02.940]   with even just a lot of my recent interests.
[01:13:02.940 --> 01:13:06.540]   I've recently been really into "Peak" by Anders Ericsson,
[01:13:06.540 --> 01:13:08.580]   his insight into genius.
[01:13:08.580 --> 01:13:11.420]   I read "Talent is Overrated" by Jeff Colvin,
[01:13:11.420 --> 01:13:14.580]   his research into kind of synthesizing the field.
[01:13:14.580 --> 01:13:16.980]   I'm reading "Range" at the moment.
[01:13:16.980 --> 01:13:21.820]   And basically, these books and this concept
[01:13:21.820 --> 01:13:24.580]   for me has been an enormous mindset shift
[01:13:24.580 --> 01:13:26.900]   because I grew up thinking
[01:13:26.900 --> 01:13:29.140]   that all of these things were innate,
[01:13:29.140 --> 01:13:31.380]   that either you had them or you didn't have them.
[01:13:31.380 --> 01:13:34.180]   I thought that character qualities
[01:13:34.180 --> 01:13:36.340]   were either things that you were born with
[01:13:36.340 --> 01:13:37.540]   or weren't born with,
[01:13:37.540 --> 01:13:41.180]   just like I thought that innate ability and talent
[01:13:41.180 --> 01:13:44.300]   and genius was something that you're either born with
[01:13:44.300 --> 01:13:45.620]   or you're not born with.
[01:13:45.620 --> 01:13:49.300]   I distinctly remember an experience I had
[01:13:49.300 --> 01:13:52.420]   when I was in college, sorry, in high school,
[01:13:52.420 --> 01:13:55.660]   where I had a friend of mine,
[01:13:55.660 --> 01:13:56.900]   we were signing up for our classes
[01:13:56.900 --> 01:13:58.340]   and choosing our electives,
[01:13:58.340 --> 01:14:00.860]   and a friend of mine signed up for an art class.
[01:14:00.860 --> 01:14:02.700]   And I thought, oh, that's pretty cool.
[01:14:02.700 --> 01:14:05.140]   And I thought, wouldn't that be fun to take an art class?
[01:14:05.140 --> 01:14:07.860]   But I can't draw, I'm not artistic.
[01:14:07.860 --> 01:14:11.380]   And it never dawned on me as a high school student,
[01:14:11.380 --> 01:14:13.220]   it never even occurred to me
[01:14:13.220 --> 01:14:17.980]   that artistic ability is something that can be developed.
[01:14:17.980 --> 01:14:20.220]   I never imagined that it could be taught.
[01:14:20.220 --> 01:14:24.140]   I just assumed and thought that you either are an artist
[01:14:24.140 --> 01:14:25.420]   or you're not an artist,
[01:14:25.420 --> 01:14:28.220]   and you're born an artist with artistic skill or you're not.
[01:14:28.220 --> 01:14:29.540]   And I knew I didn't have it,
[01:14:29.540 --> 01:14:32.180]   so therefore there's no point in taking an art class.
[01:14:32.180 --> 01:14:35.180]   It sounds stupid when you say it out loud,
[01:14:35.180 --> 01:14:38.540]   but I distinctly recall having that experience
[01:14:38.540 --> 01:14:39.460]   and thinking, oh, bummer,
[01:14:39.460 --> 01:14:40.740]   wouldn't it be neat to be good at art?
[01:14:40.740 --> 01:14:43.700]   And I never thought I should sign up for the class.
[01:14:43.700 --> 01:14:45.020]   And it continues to this day
[01:14:45.020 --> 01:14:47.540]   what I've realized is that a lot of us think the same way.
[01:14:47.540 --> 01:14:50.220]   We think that these things are fixed.
[01:14:50.220 --> 01:14:52.860]   And all of the research that I can find
[01:14:52.860 --> 01:14:57.000]   indicates that all of these things
[01:14:57.000 --> 01:14:59.580]   that we think in some cases are innate,
[01:14:59.580 --> 01:15:01.180]   they're not in any way innate.
[01:15:01.180 --> 01:15:03.780]   They are talent.
[01:15:03.780 --> 01:15:05.060]   Let me continue on this theme.
[01:15:05.060 --> 01:15:06.220]   Sorry, they're developed.
[01:15:06.220 --> 01:15:07.100]   Let me continue for a moment.
[01:15:07.100 --> 01:15:07.940]   I'm gonna come back and tell you
[01:15:07.940 --> 01:15:09.860]   where to find these affirmations and go over them with you.
[01:15:09.860 --> 01:15:13.740]   But it's important to understand the basis of them
[01:15:13.740 --> 01:15:16.100]   as I see them as being useful.
[01:15:16.100 --> 01:15:20.320]   The most interesting book to me that I read
[01:15:20.320 --> 01:15:22.540]   was Anders Erikson's book called "Peak."
[01:15:22.540 --> 01:15:25.060]   And in this book, Erikson,
[01:15:25.060 --> 01:15:27.420]   who dedicated his entire career
[01:15:27.420 --> 01:15:32.080]   to studying the genius performers of the world,
[01:15:32.080 --> 01:15:34.660]   he came away and wrote this book at the end of his career.
[01:15:34.660 --> 01:15:36.860]   And as I understand his thesis,
[01:15:36.860 --> 01:15:41.860]   basically says that all genius level performance
[01:15:41.860 --> 01:15:45.500]   is attributable to two functions.
[01:15:45.500 --> 01:15:50.500]   Number one is proper training and practice techniques.
[01:15:50.500 --> 01:15:54.020]   He has developed a term
[01:15:54.020 --> 01:15:56.020]   of what he calls deliberate practice,
[01:15:56.020 --> 01:15:58.140]   which means something very specific.
[01:15:58.140 --> 01:16:03.000]   It's a type of coached practice
[01:16:03.000 --> 01:16:06.660]   in a chosen field or discipline
[01:16:06.660 --> 01:16:10.060]   that causes you to get better
[01:16:10.060 --> 01:16:12.060]   because you're working continually
[01:16:12.060 --> 01:16:14.220]   on the things that you're not good at.
[01:16:14.220 --> 01:16:15.620]   And this could be contrasted
[01:16:15.620 --> 01:16:18.040]   with what could be called naive practice.
[01:16:18.040 --> 01:16:20.140]   The idea is that sometimes people think,
[01:16:20.140 --> 01:16:22.100]   well, if I just do something more,
[01:16:22.100 --> 01:16:23.540]   if I do something more frequently,
[01:16:23.540 --> 01:16:25.540]   then I'll get better at it.
[01:16:25.540 --> 01:16:27.860]   But this turns out not to be the case,
[01:16:27.860 --> 01:16:29.260]   and that's what we call naive practice.
[01:16:29.260 --> 01:16:30.940]   So a good example would be driving.
[01:16:30.940 --> 01:16:34.020]   You may drive over the next five years, if you're an adult,
[01:16:34.020 --> 01:16:36.060]   you may drive, say, 1,000 hours.
[01:16:36.060 --> 01:16:38.060]   But at the end of those 1,000 hours,
[01:16:38.060 --> 01:16:40.780]   you're unlikely to be in any way
[01:16:40.780 --> 01:16:43.260]   a better driver than you are today.
[01:16:43.260 --> 01:16:45.900]   And in fact, you're probably going to be a worse driver
[01:16:45.900 --> 01:16:48.940]   than you are today because there's some amount of entropy
[01:16:48.940 --> 01:16:50.500]   that's happening in your skills
[01:16:50.500 --> 01:16:52.060]   from when you were more focused.
[01:16:52.060 --> 01:16:55.260]   And so what they've shown is that in many fields,
[01:16:55.260 --> 01:16:58.460]   even fields with experience, for example, medicine,
[01:16:58.460 --> 01:17:00.580]   that if you're a physician
[01:17:00.580 --> 01:17:03.780]   and you've just been practicing medicine for a long time,
[01:17:03.780 --> 01:17:06.560]   you're actually not any more likely
[01:17:06.560 --> 01:17:08.220]   to give better medical advice
[01:17:08.220 --> 01:17:09.960]   than somebody who's been practicing medicine
[01:17:09.960 --> 01:17:12.020]   for a very short period of time,
[01:17:12.020 --> 01:17:13.960]   unless you have been engaging
[01:17:13.960 --> 01:17:18.780]   in very focused personal development and deliberate practice.
[01:17:18.780 --> 01:17:22.440]   Just doing more of a thing doesn't make you better at it.
[01:17:23.580 --> 01:17:26.420]   You have to engage in deliberate practice
[01:17:26.420 --> 01:17:30.060]   where you are intentionally choosing to get better.
[01:17:30.060 --> 01:17:31.140]   Usually this is going to be,
[01:17:31.140 --> 01:17:33.300]   you're being coached to get better,
[01:17:33.300 --> 01:17:35.000]   or you're coaching yourself to get better.
[01:17:35.000 --> 01:17:39.340]   You are specifically focusing on specific skills
[01:17:39.340 --> 01:17:42.080]   that relate to the field that you're trying to improve in.
[01:17:42.080 --> 01:17:44.060]   So that's number one is deliberate practice.
[01:17:44.060 --> 01:17:46.300]   Number two is just enough time.
[01:17:46.300 --> 01:17:49.100]   And so if you engage in deliberate practice
[01:17:49.100 --> 01:17:51.100]   for a sufficient amount of time,
[01:17:51.100 --> 01:17:54.620]   that accounts for all world-class performers,
[01:17:54.620 --> 01:17:58.040]   for all genius, at least according to Erickson.
[01:17:58.040 --> 01:17:59.520]   And he has made a personal study
[01:17:59.520 --> 01:18:01.420]   of studying all of the child prodigies
[01:18:01.420 --> 01:18:04.580]   and all of the savants and all the hard cases, et cetera,
[01:18:04.580 --> 01:18:05.900]   and that's his conclusion.
[01:18:05.900 --> 01:18:08.680]   And I find, you know, I don't have any reason to doubt him.
[01:18:08.680 --> 01:18:10.260]   He's the expert, I'm not.
[01:18:10.260 --> 01:18:14.620]   And so what's fascinating about that is,
[01:18:14.620 --> 01:18:16.780]   I find it a very freeing concept,
[01:18:16.780 --> 01:18:20.420]   is that I can be a world-class performer
[01:18:20.420 --> 01:18:24.100]   in anything that I choose to focus on
[01:18:24.100 --> 01:18:26.380]   if I'm willing to engage,
[01:18:26.380 --> 01:18:30.500]   if I'm willing and motivated to engage in deliberate practice
[01:18:30.500 --> 01:18:32.940]   for a sufficient period of time
[01:18:32.940 --> 01:18:34.860]   as is necessary for each field.
[01:18:34.860 --> 01:18:37.580]   In some fields, if I didn't begin as a child,
[01:18:37.580 --> 01:18:39.940]   I probably will never achieve that genius level.
[01:18:39.940 --> 01:18:42.140]   In other fields, I may be able to,
[01:18:42.140 --> 01:18:44.440]   but it comes down to me and what I do.
[01:18:44.440 --> 01:18:47.460]   And so art is no different, that artistic skills,
[01:18:47.460 --> 01:18:50.380]   even artistic art savants and children
[01:18:50.380 --> 01:18:52.660]   who just, you know, create beautiful pictures
[01:18:52.660 --> 01:18:54.660]   at eight years old and things like that.
[01:18:54.660 --> 01:18:56.300]   They're not born with an art gene.
[01:18:56.300 --> 01:18:59.020]   There's no evidence of artistic genes.
[01:18:59.020 --> 01:19:02.580]   It's not innate, it's based upon environment,
[01:19:02.580 --> 01:19:05.500]   environmental cues, practice, good coaching,
[01:19:05.500 --> 01:19:07.420]   and enough time to develop those skills.
[01:19:07.420 --> 01:19:11.100]   Even, you know, Mozart, young child prodigies, all included.
[01:19:11.100 --> 01:19:13.620]   Even things that are fixed.
[01:19:13.620 --> 01:19:16.660]   So for example, Anderson talks about things like IQ.
[01:19:16.660 --> 01:19:18.340]   IQ is a really fascinating thing
[01:19:18.340 --> 01:19:22.860]   because it seems to be broadly heritable and broadly fixed.
[01:19:22.860 --> 01:19:24.700]   It doesn't seem to be,
[01:19:24.700 --> 01:19:27.380]   it's not like we have a long list of things
[01:19:27.380 --> 01:19:30.140]   that dramatically affect IQ.
[01:19:30.140 --> 01:19:34.260]   There's some things, but it doesn't, dramatic effects.
[01:19:34.260 --> 01:19:37.900]   But even IQ, that thing that we can measure, sort of,
[01:19:37.900 --> 01:19:40.680]   that has some reflection of innate ability,
[01:19:40.680 --> 01:19:43.300]   doesn't turn out to be particularly important
[01:19:43.300 --> 01:19:45.260]   in the development or expression
[01:19:45.260 --> 01:19:48.580]   of genius-level performance in any field of human endeavor.
[01:19:48.580 --> 01:19:51.460]   Erickson talks about chess players,
[01:19:51.460 --> 01:19:53.820]   and he indicates that they did a very careful study
[01:19:53.820 --> 01:19:58.660]   of IQ test performance among chess players.
[01:19:58.660 --> 01:20:03.020]   And what they found is that IQ seemed to give
[01:20:03.020 --> 01:20:06.220]   chess players a slight advantage
[01:20:06.220 --> 01:20:08.580]   in the early stages of learning chess.
[01:20:08.580 --> 01:20:11.040]   So chess players with a higher measured IQ
[01:20:11.040 --> 01:20:14.140]   than other chess players with a lower measured IQ
[01:20:14.140 --> 01:20:17.220]   seem to learn and grasp the basic concepts
[01:20:17.220 --> 01:20:19.300]   of chess more quickly.
[01:20:19.300 --> 01:20:23.180]   But that difference very quickly disappeared.
[01:20:23.180 --> 01:20:26.460]   And at the highest level of chess grandmasters,
[01:20:26.460 --> 01:20:31.460]   chess grandmasters don't show any higher level of IQ
[01:20:31.460 --> 01:20:35.260]   than is expected based upon the general population.
[01:20:35.260 --> 01:20:38.100]   And they don't, their performance doesn't seem
[01:20:38.100 --> 01:20:41.500]   to be driven by IQ in any way.
[01:20:41.500 --> 01:20:44.700]   And so really it does come down to practice
[01:20:44.700 --> 01:20:47.260]   and development of oneself.
[01:20:47.260 --> 01:20:49.240]   Now, back to affirmations.
[01:20:49.240 --> 01:20:54.260]   When Ziegler convinced me of the fact that skills,
[01:20:54.260 --> 01:20:57.980]   that character qualities are skills,
[01:20:57.980 --> 01:21:02.980]   then that concept convinced me of the value of affirmations.
[01:21:02.980 --> 01:21:08.100]   Because I've never liked or been in any way comfortable
[01:21:08.100 --> 01:21:11.680]   with the woo-woo side of kind of personal development.
[01:21:11.680 --> 01:21:15.240]   Because the woo-woo side is,
[01:21:15.240 --> 01:21:20.460]   again, it's just something that,
[01:21:20.460 --> 01:21:24.420]   you know, it's like look in the mirror and say I'm rich.
[01:21:24.420 --> 01:21:26.060]   In reality, I know I'm broke.
[01:21:26.060 --> 01:21:28.240]   To me, how do you ever do that?
[01:21:28.240 --> 01:21:29.380]   You're lying to yourself.
[01:21:29.380 --> 01:21:30.480]   Start by telling the truth.
[01:21:30.480 --> 01:21:32.340]   I'd rather just look in the mirror and say I'm broke
[01:21:32.340 --> 01:21:35.700]   and I don't wanna be than, you know, I'm rich, et cetera.
[01:21:35.700 --> 01:21:40.700]   But based upon being convinced of those attributes
[01:21:40.700 --> 01:21:46.580]   being genuine skills, then I realized
[01:21:46.580 --> 01:21:50.140]   that if I affirm these skills to myself,
[01:21:50.140 --> 01:21:53.220]   then that may have some valuable effect.
[01:21:53.220 --> 01:21:56.460]   That may help me to do better
[01:21:56.460 --> 01:22:00.740]   and to be able to develop these things.
[01:22:00.740 --> 01:22:03.340]   And then I can focus on different skills
[01:22:03.340 --> 01:22:07.060]   at different parts of my day and in my life
[01:22:07.060 --> 01:22:09.060]   and I can develop them.
[01:22:09.060 --> 01:22:11.940]   I don't know how to say it any differently than that.
[01:22:11.940 --> 01:22:12.900]   So that was where it was.
[01:22:12.900 --> 01:22:14.340]   So if you wanna find the affirmation,
[01:22:14.340 --> 01:22:17.080]   just search Zig Ziglar Affirmations and you'll find,
[01:22:17.080 --> 01:22:18.580]   you can find a PDF of the card
[01:22:18.580 --> 01:22:20.380]   that he would send out with his stuff.
[01:22:20.380 --> 01:22:24.540]   And then what I will do is I will play for you
[01:22:24.540 --> 01:22:29.100]   the audio here of the morning affirmations that I use.
[01:22:29.100 --> 01:22:30.900]   And I'll play it for you here.
[01:22:30.900 --> 01:22:33.780]   I think, let's see if this will work while I'm recording.
[01:22:33.780 --> 01:22:36.120]   Stand by a moment.
[01:22:36.120 --> 01:22:44.780]   All right, so that's not gonna work
[01:22:44.780 --> 01:22:47.340]   based upon how I have the computer set up for today.
[01:22:47.340 --> 01:22:49.700]   So I'll just read these to you.
[01:22:49.700 --> 01:22:52.400]   And what I did was I just found some music
[01:22:52.400 --> 01:22:54.280]   and recorded them, recorded them.
[01:22:54.280 --> 01:22:56.500]   But here they are, the text of them.
[01:22:56.500 --> 01:22:58.980]   And as I say these, I'll read them a little bit slowly,
[01:22:58.980 --> 01:23:03.840]   but I just want you to recognize that these things are,
[01:23:03.840 --> 01:23:08.620]   these things are, just recognize that these are skills
[01:23:08.620 --> 01:23:09.460]   that you can grow in.
[01:23:09.460 --> 01:23:10.620]   So here's how I say them.
[01:23:10.620 --> 01:23:15.140]   I, Joshua Sheets, am a child of the King,
[01:23:15.140 --> 01:23:17.260]   living in the will of God,
[01:23:17.260 --> 01:23:18.900]   and I can do all things through Christ
[01:23:18.900 --> 01:23:20.820]   who gives me strength.
[01:23:20.820 --> 01:23:22.260]   I claim the following attributes
[01:23:22.260 --> 01:23:24.260]   because I have the mind of Christ.
[01:23:24.260 --> 01:23:25.540]   I am a confidant of God.
[01:23:25.540 --> 01:23:27.620]   And by the way, I have scriptures that I use for these
[01:23:27.620 --> 01:23:30.260]   to convince myself of these things biblically.
[01:23:30.260 --> 01:23:32.540]   And although I am weak in many of these qualities,
[01:23:32.540 --> 01:23:37.500]   I am specifically told to let the weak say I am strong.
[01:23:37.500 --> 01:23:39.980]   So I am strong.
[01:23:39.980 --> 01:23:42.940]   By claiming, developing, and using these biblical qualities,
[01:23:42.940 --> 01:23:45.540]   I will become the person God created me to be,
[01:23:45.540 --> 01:23:49.820]   and I will glorify God and benefit mankind.
[01:23:49.820 --> 01:23:54.380]   I, Joshua Sheets, am an honest, intelligent,
[01:23:54.380 --> 01:23:58.700]   organized, responsible, committed, teachable person
[01:23:58.700 --> 01:24:02.620]   who is sober, loyal, and who clearly understands
[01:24:02.620 --> 01:24:05.020]   that regardless of who signs my paycheck,
[01:24:05.020 --> 01:24:06.700]   I am self-employed.
[01:24:06.700 --> 01:24:09.940]   I am an optimistic, punctual, enthusiastic,
[01:24:09.940 --> 01:24:12.900]   goal-setting, smart-working, self-starter
[01:24:12.900 --> 01:24:16.380]   who is a disciplined, focused, dependable,
[01:24:16.380 --> 01:24:19.900]   persistent, positive thinker with great self-control,
[01:24:19.900 --> 01:24:23.460]   and I am an energetic and diligent team player
[01:24:23.460 --> 01:24:26.420]   and hard worker who appreciates the opportunity
[01:24:26.420 --> 01:24:30.340]   my company and the free enterprise system offer me.
[01:24:30.340 --> 01:24:32.380]   I am thrifty with my resources,
[01:24:32.380 --> 01:24:35.380]   and I apply common sense to my daily tasks.
[01:24:35.380 --> 01:24:38.780]   I take honest pride in my competence, appearance,
[01:24:38.780 --> 01:24:42.500]   and manners, and am motivated to be and do my best
[01:24:42.500 --> 01:24:46.700]   so that my healthy self-image will remain on solid ground.
[01:24:46.700 --> 01:24:49.940]   These are the qualities which enable me to manage myself
[01:24:49.940 --> 01:24:52.320]   and help give me employment security
[01:24:52.320 --> 01:24:55.140]   in a no-job security world.
[01:24:55.140 --> 01:24:59.380]   I, Joshua Sheets, am a compassionate, respectful,
[01:24:59.380 --> 01:25:03.620]   encourager who is a considerate, generous,
[01:25:03.620 --> 01:25:08.620]   gentle, patient, caring, sensitive, personable,
[01:25:08.620 --> 01:25:11.820]   attentive, fun-loving person.
[01:25:11.820 --> 01:25:16.340]   I am a supportive, giving and forgiving,
[01:25:16.340 --> 01:25:21.060]   clean, kind, unselfish, affectionate, loving,
[01:25:21.060 --> 01:25:24.180]   family-oriented man, and I am a sincere
[01:25:24.180 --> 01:25:26.220]   and open-minded good listener
[01:25:26.220 --> 01:25:29.340]   and a good finder who is trustworthy.
[01:25:29.340 --> 01:25:30.860]   These are the qualities which enable me
[01:25:30.860 --> 01:25:33.220]   to build good relationships.
[01:25:33.220 --> 01:25:35.700]   I, Joshua Sheets, am a person of integrity
[01:25:35.700 --> 01:25:38.940]   with the faith and wisdom to know what I should do
[01:25:38.940 --> 01:25:42.260]   and the courage and conviction to follow through.
[01:25:42.260 --> 01:25:45.740]   I have the vision to manage myself and to lead others.
[01:25:45.740 --> 01:25:49.980]   I am authoritative, confident, and humbly grateful
[01:25:49.980 --> 01:25:52.220]   for the opportunity life offers me.
[01:25:52.220 --> 01:25:55.900]   I am fair, flexible, resourceful,
[01:25:55.900 --> 01:25:59.180]   creative, knowledgeable, decisive,
[01:25:59.180 --> 01:26:01.660]   and an extra miler with a servant's attitude
[01:26:01.660 --> 01:26:03.860]   who communicates well with others.
[01:26:03.860 --> 01:26:08.260]   I am a consistent, pragmatic teacher with character,
[01:26:08.260 --> 01:26:11.380]   and I have a finely-tuned sense of humor.
[01:26:11.380 --> 01:26:13.140]   I am an honorable person
[01:26:13.140 --> 01:26:17.140]   and I'm balanced in my personal, family, and business life,
[01:26:17.140 --> 01:26:19.860]   and I have a passion for being, doing,
[01:26:19.860 --> 01:26:23.700]   and learning more today so I can be, do,
[01:26:23.700 --> 01:26:26.260]   and have more tomorrow.
[01:26:26.260 --> 01:26:30.260]   These are the qualities of the winner I was born to be,
[01:26:30.260 --> 01:26:32.620]   and I am fully committed to developing
[01:26:32.620 --> 01:26:37.300]   these marvelous qualities with which I have been entrusted.
[01:26:37.300 --> 01:26:40.460]   And then you can go into either the morning version
[01:26:40.460 --> 01:26:44.300]   or the daytime version, et cetera.
[01:26:44.300 --> 01:26:45.860]   But the last sentence that I like
[01:26:45.860 --> 01:26:47.580]   from the nighttime version is,
[01:26:47.580 --> 01:26:50.620]   recognizing, claiming, and developing these qualities,
[01:26:50.620 --> 01:26:53.900]   which I already have, gives me a legitimate chance
[01:26:53.900 --> 01:26:57.780]   to be happier, healthier, more prosperous, more secure,
[01:26:57.780 --> 01:27:00.300]   have more friends, greater peace of mind,
[01:27:00.300 --> 01:27:03.340]   better family relationships, and legitimate hope
[01:27:03.340 --> 01:27:05.980]   that the future will be even better.
[01:27:05.980 --> 01:27:07.260]   So you can find the text of that.
[01:27:07.260 --> 01:27:09.980]   As I said, go online, search Zig Ziglar Affirmations,
[01:27:09.980 --> 01:27:11.020]   and you'll find it.
[01:27:11.020 --> 01:27:13.060]   But that's the basis of it.
[01:27:13.060 --> 01:27:18.060]   And I wish that I did this every day,
[01:27:18.060 --> 01:27:21.820]   but since I am honest, I cannot say that.
[01:27:21.820 --> 01:27:24.660]   What I can say is that every time I engage
[01:27:24.660 --> 01:27:27.180]   in this practice, I feel better.
[01:27:27.180 --> 01:27:31.020]   And as is common, when we do something that works,
[01:27:31.020 --> 01:27:34.500]   then we, because it works, we usually stop doing it,
[01:27:34.500 --> 01:27:36.500]   and it's frustrating about that.
[01:27:36.860 --> 01:27:40.020]   And so what I will do is I tend to do it in phases, though,
[01:27:40.020 --> 01:27:42.540]   is that I listen to the recording,
[01:27:42.540 --> 01:27:44.140]   usually when I make my coffee,
[01:27:44.140 --> 01:27:45.780]   I have the little recording that I made
[01:27:45.780 --> 01:27:48.180]   with some dramatic movie score music, et cetera,
[01:27:48.180 --> 01:27:49.940]   of my voice reading it to myself.
[01:27:49.940 --> 01:27:53.060]   I put my earbuds in while I wait for the water to heat,
[01:27:53.060 --> 01:27:55.820]   and I listen to that in the morning, and I like it,
[01:27:55.820 --> 01:27:58.220]   because it just causes me to want to,
[01:27:58.220 --> 01:28:00.260]   it makes me stand up straighter,
[01:28:00.260 --> 01:28:02.780]   'cause I recognize, yes, I am those things.
[01:28:02.780 --> 01:28:05.700]   Those things do describe me.
[01:28:05.700 --> 01:28:07.180]   They do describe me in a measure,
[01:28:07.180 --> 01:28:09.740]   and I want them to describe me more and more.
[01:28:09.740 --> 01:28:13.060]   And what usually happens is, as I'm reading the list
[01:28:13.060 --> 01:28:15.080]   or listening to the list, et cetera,
[01:28:15.080 --> 01:28:16.220]   I'll find something where there's
[01:28:16.220 --> 01:28:18.340]   a little twinge of conscience.
[01:28:18.340 --> 01:28:21.940]   And for example, as I go through this now,
[01:28:21.940 --> 01:28:23.260]   and I say it's disciplined, right?
[01:28:23.260 --> 01:28:25.900]   Well, am I disciplined to do this thing
[01:28:25.900 --> 01:28:26.900]   that I'm telling you about
[01:28:26.900 --> 01:28:28.780]   that has been a good factor of my life?
[01:28:28.780 --> 01:28:32.660]   Well, no, and I haven't been super disciplined,
[01:28:32.660 --> 01:28:34.300]   but even as I'm recording this,
[01:28:34.300 --> 01:28:36.900]   then I sit up a little bit straighter, my chest goes up.
[01:28:36.900 --> 01:28:38.940]   No, I'm gonna express discipline,
[01:28:38.940 --> 01:28:40.060]   I'm gonna cultivate discipline,
[01:28:40.060 --> 01:28:41.280]   and I'm gonna do this more frequently,
[01:28:41.280 --> 01:28:42.700]   'cause it's a healthy thing.
[01:28:42.700 --> 01:28:46.020]   And then you recognize times when I wasn't compassionate,
[01:28:46.020 --> 01:28:49.860]   or I was unkind to someone, and it tweaks your conscience,
[01:28:49.860 --> 01:28:51.640]   and you can go and apologize or fix something.
[01:28:51.640 --> 01:28:53.140]   But I think it's a very healthy habit.
[01:28:53.140 --> 01:28:56.140]   And then the final thing is, I'm making that right now,
[01:28:56.140 --> 01:28:59.220]   I'm planning to give my children,
[01:28:59.220 --> 01:29:00.700]   well, I can get it done, 'cause it's a long list,
[01:29:00.700 --> 01:29:02.500]   but I'm making books for my children,
[01:29:02.500 --> 01:29:05.220]   and I'm gonna teach this affirmation to my children.
[01:29:05.220 --> 01:29:10.220]   So I'm using AI to make inspirational,
[01:29:10.220 --> 01:29:13.460]   forward-looking pictures of these things.
[01:29:13.460 --> 01:29:16.300]   And then I've created a set of text
[01:29:16.300 --> 01:29:18.740]   that's associated with each of these character qualities.
[01:29:18.740 --> 01:29:20.400]   And this is kind of a component
[01:29:20.400 --> 01:29:23.820]   of my character education with my children,
[01:29:23.820 --> 01:29:26.620]   is I'm gonna give them all a printed photo book
[01:29:26.620 --> 01:29:27.640]   that have the AI images.
[01:29:27.640 --> 01:29:29.220]   They love it when I make AI images for them.
[01:29:29.220 --> 01:29:33.840]   So AI images of each of my children,
[01:29:33.840 --> 01:29:35.740]   forward, expressing these qualities.
[01:29:35.740 --> 01:29:38.700]   And I believe that this is something that we need to do
[01:29:38.700 --> 01:29:42.020]   as part of our education, the same way that,
[01:29:42.020 --> 01:29:44.580]   so character education is important for us,
[01:29:44.580 --> 01:29:46.220]   and it's also important for our children.
[01:29:46.220 --> 01:29:50.260]   And so that begins by identifying character qualities.
[01:29:50.260 --> 01:29:52.860]   And I've got a collection of about a half a dozen books
[01:29:52.860 --> 01:29:56.540]   that we go through that discuss different character qualities.
[01:29:56.540 --> 01:29:58.140]   So integrity, what does that mean?
[01:29:58.140 --> 01:30:00.020]   Responsibility, what is that?
[01:30:00.020 --> 01:30:02.780]   And my ambition and my hope is that I can set them
[01:30:02.780 --> 01:30:07.780]   on a stronger foundation by being intimately aware
[01:30:07.780 --> 01:30:11.180]   of the definition of these qualities,
[01:30:11.180 --> 01:30:13.140]   the fact that they have them,
[01:30:13.140 --> 01:30:15.700]   and the fact that they need to be developed.
