
[00:00:00.000 --> 00:00:02.000]   Freeberg, Freeberg. What's up?
[01:26:59.160 --> 01:27:00.540]   What's happening? What's happening?
[01:27:00.540 --> 01:27:05.700]   Oh my gosh. How do I get to be the fat guy on this pod? I don't get it. This is not,
[01:27:05.700 --> 01:27:06.540]   this can't be happening.
[01:27:06.540 --> 01:27:07.380]   I just bought my third machine.
[01:27:07.380 --> 01:27:08.580]   This can't be happening.
[01:27:08.580 --> 01:27:09.060]   It's happening.
[01:27:09.060 --> 01:27:14.100]   This is your Twilight Zone episode. I just bought, I decided I'm going twice a week with
[01:27:14.100 --> 01:27:20.640]   the trainer and I just bought the Hydro. So now I have Tonal, Peloton Tread and I got the Hydro.
[01:27:20.640 --> 01:27:24.000]   I'm going from smart machine to smart machine. Hey, are you spack?
[01:27:24.000 --> 01:27:26.280]   Oh, I got to . Oh, good question.
[01:27:26.280 --> 01:27:28.560]   No, no, no.
[01:27:28.560 --> 01:27:29.280]   No comment?
[01:27:29.280 --> 01:27:29.640]   No comment.
[01:27:29.640 --> 01:27:31.980]   Okay. Sorry. I just saw some tweet.
[01:27:31.980 --> 01:27:33.720]   People have other things to do.
[01:27:33.720 --> 01:27:34.500]   Guys, I got to call.
[01:27:34.500 --> 01:27:35.040]   We know you don't.
[01:27:35.040 --> 01:27:35.640]   We got things to do.
[01:27:35.640 --> 01:27:36.120]   I got to go.
[01:27:36.120 --> 01:27:38.520]   All right, everybody. Love you besties. Love you, Sasha.
[01:27:38.520 --> 01:27:39.000]   Love you. Love you.
[01:27:39.000 --> 01:27:43.620]   Yeah. Get a salad. Okay. We love you. Bye besties. Eat a salad.
[01:27:43.620 --> 01:27:45.300]   And of course the dictator here.
[01:27:45.300 --> 01:27:46.500]   The absolute dictator.
[01:27:46.500 --> 01:27:47.520]   The dictator himself.
[01:27:47.520 --> 01:27:49.860]   The spack master himself.
[01:27:49.860 --> 01:27:51.420]   The dictator.
[01:27:51.420 --> 01:27:54.660]   Shout out to all my haters.
[01:27:54.660 --> 01:27:56.700]   I write a minimum of a hundred million dollars personal.
[01:27:56.700 --> 01:27:58.920]   Spack daddy, you respect this paper.
[01:27:58.920 --> 01:28:00.240]   I get thousands of millions confused.
[01:28:00.240 --> 01:28:01.140]   I'm the dictator.
[01:28:01.140 --> 01:28:03.420]   Let the court side when you see me after four years.
[01:28:03.420 --> 01:28:05.820]   It's hard to make good investments. It's hard to build a company.
[01:28:05.820 --> 01:28:07.740]   Big waves and I hit the gym later.
[01:28:08.940 --> 01:28:10.940]   I'm the dictator.
[01:28:10.940 --> 01:28:12.940]   I'm the dictator.
[01:28:12.940 --> 01:28:14.940]   I'm the dictator.
[01:28:14.940 --> 01:28:18.940]   I am a complete byproduct of a social safety net.
[01:28:18.940 --> 01:28:20.940]   I'm the dictator.
[01:28:20.940 --> 01:28:22.940]   I'm the dictator.
[01:28:22.940 --> 01:28:26.940]   And at some point you have to figure out whether you actually want your kids to have asthma or not.
[01:28:26.940 --> 01:28:28.940]   Or you care more about the land gross.
[01:28:28.940 --> 01:28:30.940]   I'm the dictator.
[01:28:30.940 --> 01:28:32.940]   I'm king of the spack.
[01:28:32.940 --> 01:28:34.940]   People take money is free.
[01:28:34.940 --> 01:28:36.940]   And it's not.
[01:28:36.940 --> 01:28:38.880]   I pick up the slack.
[01:28:38.880 --> 01:28:39.880]   I'm just frank.
[01:28:39.880 --> 01:28:40.880]   But it's fine.
[01:28:40.880 --> 01:28:41.880]   I'm secure in the bed.
[01:28:41.880 --> 01:28:43.880]   I get thousands of millions confused.
[01:28:43.880 --> 01:28:45.880]   I get thousands of millions confused.
[01:28:45.880 --> 01:28:47.880]   I get thousands of millions confused.
[01:28:47.880 --> 01:28:48.880]   Firing on all cylinders.
[01:28:48.880 --> 01:28:50.880]   Shout out to all my haters.
[01:28:50.880 --> 01:28:53.880]   Ultra-launched billionaire has bought the French Monde.
[01:28:53.880 --> 01:28:55.880]   Spack daddy, you respect this paper.
[01:28:55.880 --> 01:28:56.880]   I just want to be called king.
[01:28:56.880 --> 01:28:57.880]   I'm the dictator.
[01:28:57.880 --> 01:28:59.880]   Let the court side when you see me after four years.
[01:28:59.880 --> 01:29:01.880]   The little guy getting run over.
[01:29:01.880 --> 01:29:02.880]   I just can't stand that.
[01:29:02.880 --> 01:29:04.880]   Big waves and I hit the gym later.
[01:29:04.880 --> 01:29:05.880]   I'm the dictator.
[01:29:05.880 --> 01:29:07.880]   Hang up, hang up, hang up.
[01:29:07.880 --> 01:29:09.880]   I'm the dictator.
[01:29:09.880 --> 01:29:10.880]   I'm the dictator.
[01:29:10.880 --> 01:29:11.880]   It's hard to make it.
[01:29:11.880 --> 01:29:12.880]   It's hard to make good investments.
[01:29:12.880 --> 01:29:13.880]   It's hard to build a company.
[01:29:13.880 --> 01:29:19.880]   Because if it was easy, everybody would be doing it all the time.
[01:29:19.880 --> 01:29:21.880]   This one man for yourself, it's all about you.
[01:29:21.880 --> 01:29:23.880]   You can figure it out.
[01:29:23.880 --> 01:29:25.880]   The rugged individualism.
[01:29:25.880 --> 01:29:27.880]   That's just not realistic.
[01:29:27.880 --> 01:29:31.880]   Anybody who wants, who's listening to this, who wants to go to the French Laundry, stay
[01:29:31.880 --> 01:29:35.880]   at home, pour a bunch of salt on whatever you're going to eat.
[01:29:35.880 --> 01:29:36.880]   Okay?
[01:29:37.140 --> 01:29:38.400]   Melt a stick of butter in the microwave?
[01:29:38.400 --> 01:29:40.180]   Melt a stick of butter in the microwave, drink it,
[01:29:40.180 --> 01:29:42.400]   and then basically take it for $1,500,
[01:29:42.400 --> 01:29:44.640]   light it on fire, and you've been to the punchline.
[01:29:44.640 --> 01:29:51.480]   It's hard to make it.
[01:29:51.480 --> 01:29:52.740]   It's hard to make good investments.
[01:29:52.740 --> 01:29:53.780]   It's hard to build a company.
[01:29:53.780 --> 01:29:55.140]   Because if it was easy,
[01:29:55.140 --> 01:29:56.800]   everybody would be doing it all the time.
[01:29:56.800 --> 01:30:01.640]   This one man for yourself, it's all about you.
[01:30:01.640 --> 01:30:02.640]   You can figure it out.
[01:30:02.640 --> 01:30:06.280]   The rugged individualism, that's just not realistic.
[01:30:06.540 --> 01:30:07.700]   It's a real joke.
[01:30:07.700 --> 01:30:08.200]   Bye!
[01:30:08.200 --> 01:30:10.260]   you

