
[00:00:00.000 --> 00:00:05.660]   Humans are by far the hardest part of computer graphics because millions of years of evolution
[00:25:31.940 --> 00:25:40.780]   Because it's not just a game powered by Unreal Engine, but it's also, you know, a social ecosystem where people can make friends and voice chat and get together and party.
[00:25:40.780 --> 00:25:44.540]   So we've opened up all of those social features into Epic Online Services.
[00:25:44.840 --> 00:25:49.080]   And we give them away to all developers for free, because we all benefit from growth in that user base.
[00:25:49.080 --> 00:26:00.780]   And, you know, our goal is ultimately to build the company's products and the same technology that we share with everybody else, and to help that foster a bigger and bigger ecosystem over time where everybody benefits.
[00:26:02.780 --> 00:26:04.760]   If we could just linger on the 90s.
[00:26:04.760 --> 00:26:07.740]   So you said built-in boards.
[00:26:07.740 --> 00:26:13.160]   Maybe you can explain what that's like, and also explain the birth of the Internet, what that was like.
[00:26:13.160 --> 00:26:15.900]   What was the Internet like in the 90s?
[00:26:15.900 --> 00:26:18.140]   So the Internet is a funny thing.
[00:26:18.140 --> 00:26:25.020]   It started out as this Defense Department research project called the ARPANET, the Advanced Research Project Agency Network.
[00:26:25.020 --> 00:26:32.300]   And it was kind of like this revered secret thing that became more and more open as they connected universities.
[00:26:32.300 --> 00:26:36.820]   Universities connected to the Internet in the mid-1980s.
[00:26:36.820 --> 00:26:41.460]   And so if you were at a prestigious institution with access to computers, you could get on there.
[00:26:41.460 --> 00:26:43.860]   But the consumer back then, we just had these modems.
[00:26:43.860 --> 00:26:54.880]   You know, this thing you plug into your phone line, and it dials up a phone number, and then, you know, sends wild sound effects over the telephone line to send digital signals.
[00:26:54.880 --> 00:26:56.600]   It goes back and forth, and these were really slow.
[00:26:56.600 --> 00:26:59.580]   You know, the first modem I had was 300 boards.
[00:26:59.580 --> 00:27:02.420]   That means 30 characters per second of data.
[00:27:02.420 --> 00:27:07.260]   So you're, like, sitting there watching a sentence, like, slowly emerge character by character as you're going online.
[00:27:07.260 --> 00:27:10.260]   But, you know, that's how we got online, and we talked with each other.
[00:27:10.260 --> 00:27:12.440]   So you dial up to a local bulletin board.
[00:27:12.440 --> 00:27:13.440]   It'll be run by a person.
[00:27:13.440 --> 00:27:18.100]   Usually, they have a computer or two sitting in their kitchen or something that's running the bulletin board.
[00:27:18.100 --> 00:27:23.280]   And they have a small community of a few hundred users, all competing to connect to that one phone line.
[00:27:23.940 --> 00:27:25.780]   It was often busy, and you couldn't get in.
[00:27:25.780 --> 00:27:28.340]   And the more popular bulletin boards were hardest to get to.
[00:27:28.340 --> 00:27:29.380]   Nice.
[00:27:29.380 --> 00:27:31.420]   But you had all kinds of communities develop, you know.
[00:27:31.420 --> 00:27:35.240]   And you could see, like, there was the programming communities where people talked about programming.
[00:27:35.240 --> 00:27:38.920]   There was the news and events, you know, community.
[00:27:38.920 --> 00:27:42.360]   I lived in the outskirts of Washington, D.C., so that was, like, a big thing.
[00:27:42.360 --> 00:27:50.780]   But then there was, like, the pirate community where they're sharing pirated Apple II games and, you know, very different community ethos and mantras out there.
[00:27:50.780 --> 00:27:54.080]   But all, you know, all really nice and also very small.
[00:27:54.080 --> 00:28:00.280]   These things, these bulletin boards couldn't grow to the size of Facebook because your phone line couldn't take that many calls.
[00:28:01.440 --> 00:28:08.600]   And, you know, then later in the 1990s, the Internet, which had been fostered in these colleges, started opening up for the public.
[00:28:08.600 --> 00:28:09.860]   And anybody could connect to it.
[00:28:09.860 --> 00:28:12.220]   And, you know, suddenly the world took on a life of its own.
[00:28:12.220 --> 00:28:15.520]   It became much, much easier to reach a global audience faster.
[00:28:16.280 --> 00:28:25.900]   And you would start shipping games to the Internet, which is a bit of a crazy thing to do because you're supposed to have, like, a, you know, a physical copy.
[00:28:25.900 --> 00:28:28.060]   But to post on the Internet is pretty innovative.
[00:28:28.060 --> 00:28:29.800]   Even Shareware is pretty innovative.
[00:28:29.800 --> 00:28:31.060]   Yeah.
[00:28:31.060 --> 00:28:33.540]   You know, it's been a funny transition for the game business.
[00:28:33.540 --> 00:28:36.380]   You know, Epic started out making Shareware games distributed digitally.
[00:28:37.220 --> 00:28:49.000]   But, you know, as the first 3D games took off, like, you know, Wolfenstein and Doom from id Software and then Unreal from us took off, you know, to reach a huge audience of millions of users, we had to go into retail stores.
[00:28:49.000 --> 00:28:52.700]   So we worked with a retail publisher, and they made a box, and they put CD-ROMs in the box.
[00:28:52.700 --> 00:28:56.680]   And, you know, then the world started transitioning back to digitally.
[00:28:56.680 --> 00:28:59.620]   Like, and that transition didn't start well, right?
[00:28:59.620 --> 00:29:04.480]   The initial transition of gaming to digital was all BitTorrent, all piracy.
[00:29:05.360 --> 00:29:14.320]   And, you know, there are horror stories about games that would, you know, sell, like, 100,000 copies but have 2 million users because most people pirated it.
[00:29:14.320 --> 00:29:26.640]   And then, you know, Steam came along and introduced digital distribution and made digital distribution of legit games so convenient that most players moved away from piracy towards that.
[00:29:26.640 --> 00:29:33.320]   And, you know, their practices were then followed by others, and the early digital industry took form.
[00:29:33.320 --> 00:29:34.620]   Yeah, it's fascinating.
[00:29:34.780 --> 00:29:37.540]   I mean, pirates do lead the way for innovation.
[00:29:37.540 --> 00:29:40.440]   The same as the story of Spotify.
[00:29:40.440 --> 00:29:49.180]   You basically, I think most people, when they derive value from things like video games, want to pay for those video games.
[00:29:49.180 --> 00:29:50.520]   They just want it to be easy.
[00:29:50.520 --> 00:29:53.560]   And so that, the same thing with music with Spotify.
[00:29:53.560 --> 00:30:01.660]   But maybe just staying in the 90s, there are going to be a lot of indie game developers who listen to us talking today.
[00:30:02.300 --> 00:30:21.420]   Can you go back to that mindset and try to derive some wisdom and advice to those folks when you were just a solo developer, maybe just a small group of people creating your early games that eventually became this huge gaming company?
[00:30:21.420 --> 00:30:46.080]   Well, you know, one of the critical things that Epic always worked hard to do was to make something different that nobody else was doing and to try to satisfy a small audience rather than competing globally with the game juggernauts.
[00:30:46.080 --> 00:30:52.740]   You know, back in the 1990s, Epic was new, but Electronic Arts and Activision and the other big publishers had been around for a decade.
[00:30:52.740 --> 00:30:57.620]   And they were huge companies that had giant retail distribution networks.
[00:30:57.620 --> 00:31:03.880]   You know, if I tried to make a game and then convince them to publish it, I doubt I could have had a chance.
[00:31:03.880 --> 00:31:09.780]   And I doubt that even if I made a successful game, that I would have made much money from it, though they might have.
[00:31:09.780 --> 00:31:13.720]   And, you know, so the really unique angle to Epic then was shareware.
[00:31:14.100 --> 00:31:23.020]   And that was just the idea that if we distribute our game differently, then we can reach a much larger audience than these bigger competitors by virtue of this first episode of the game being free.
[00:31:23.020 --> 00:31:26.640]   You know, it was kind of the advent of what later became free to play.
[00:31:26.640 --> 00:31:31.900]   And the logic of that is just as true now as it was then.
