
[00:00:00.000 --> 00:00:00.840]   I'm Josh Tobin.
[01:11:31.040 --> 01:11:33.260]   in this class to guess the difficulty.
[01:11:33.260 --> 01:11:36.460]   And like, to be clear, the difficulties that I have here
[01:11:36.460 --> 01:11:38.500]   were like my guess that I did this morning.
[01:11:38.500 --> 01:11:43.140]   So those are also like very much subject to be wrong.
[01:11:43.140 --> 01:11:46.720]   But if you put like some guess for difficulty
[01:11:46.720 --> 01:11:48.340]   that's like wildly incorrect,
[01:11:48.340 --> 01:11:50.420]   just know that I'm gonna be stocking the sheet
[01:11:50.420 --> 01:11:51.300]   and calling you out for it.
[01:11:51.300 --> 01:11:53.820]   So yeah, that's the accountability mechanism.
[01:11:53.820 --> 01:11:56.460]   Yeah.
[01:11:56.460 --> 01:11:59.340]   - With the growth of the end-to-end project,
[01:11:59.340 --> 01:12:01.260]   is it that we want to pick projects
[01:12:01.260 --> 01:12:02.780]   that have more work in their company
[01:12:02.780 --> 01:12:04.220]   than we do in our companies
[01:12:04.220 --> 01:12:07.020]   in order to focus on best practices
[01:12:07.020 --> 01:12:08.860]   and the core work that's under that.
[01:12:08.860 --> 01:12:11.180]   - Yeah, I kind of want to leave this up to you.
[01:12:11.180 --> 01:12:14.340]   I think, you know, I think if you're sort of newer
[01:12:14.340 --> 01:12:18.740]   to machine learning and you haven't like built a project
[01:12:18.740 --> 01:12:20.540]   on your own before, then I would recommend
[01:12:20.540 --> 01:12:22.280]   choosing something where you kind of know
[01:12:22.280 --> 01:12:23.900]   where you're gonna get the data from already.
[01:12:23.900 --> 01:12:26.600]   And you have a good sense that you can find a model
[01:12:26.600 --> 01:12:28.060]   that's going to work for this data.
[01:12:28.060 --> 01:12:29.780]   And then just like focus on getting one thing
[01:12:29.780 --> 01:12:30.780]   working end-to-end.
[01:12:30.780 --> 01:12:33.960]   If you're sort of more experienced,
[01:12:33.960 --> 01:12:36.060]   like some of you kind of have been like working
[01:12:36.060 --> 01:12:39.260]   as machine learning engineers for quite some time already,
[01:12:39.260 --> 01:12:40.660]   then you know, challenge yourself
[01:12:40.660 --> 01:12:42.260]   and like use your best judgment.
[01:12:42.260 --> 01:12:44.700]   Yeah.
[01:12:44.700 --> 01:12:46.060]   - Maybe a little late, but I have a question
[01:12:46.060 --> 01:12:48.460]   about the pull request, whether you had any
[01:12:48.460 --> 01:12:50.460]   sort of guidelines as to what you should take
[01:12:50.460 --> 01:12:51.300]   that we should be able to do,
[01:12:51.300 --> 01:12:53.180]   but what kind of pull requests are you looking for?
[01:12:53.180 --> 01:12:54.660]   - Yeah, submit a pull request
[01:12:54.660 --> 01:12:56.220]   that I will be excited to merge.
[01:12:56.220 --> 01:12:57.060]   Yeah.
[01:12:57.060 --> 01:12:58.460]   (audience laughing)
[01:12:58.460 --> 01:13:00.900]   No, I think there's like, you know,
[01:13:00.900 --> 01:13:02.740]   this code base is not actually used in production.
[01:13:02.740 --> 01:13:04.780]   We built it as an example of a sort of like
[01:13:04.780 --> 01:13:06.740]   a simplified example of a production system.
[01:13:06.740 --> 01:13:08.220]   And so there are a lot of things
[01:13:08.220 --> 01:13:11.040]   that we just didn't really have time
[01:13:11.040 --> 01:13:12.580]   to get working the right way.
[01:13:12.580 --> 01:13:15.260]   And so, you know, as you poke around the code,
[01:13:15.260 --> 01:13:17.440]   you will find those and yeah.
[01:13:17.440 --> 01:13:22.200]   (man speaking indistinctly)
[01:13:25.740 --> 01:13:29.620]   So for the demo, I think it depends a little bit
[01:13:29.620 --> 01:13:31.500]   on what your dataset looks like.
[01:13:31.500 --> 01:13:32.340]   Yeah.
[01:13:32.340 --> 01:13:38.620]   What's the question?
[01:13:38.620 --> 01:13:42.200]   (man speaking indistinctly)
[01:13:42.200 --> 01:13:47.180]   Yeah, I mean, so the goal is like, you know,
[01:13:47.180 --> 01:13:50.260]   if your thing is like an app, like to have, you know,
[01:13:50.260 --> 01:13:51.720]   you don't need to build like an iOS app,
[01:13:51.720 --> 01:13:54.260]   but to have some sort of, you know,
[01:13:54.260 --> 01:13:55.540]   web endpoint that you can like,
[01:13:55.540 --> 01:13:58.220]   so you can pull out your phone and show it to your friends.
[01:13:58.220 --> 01:14:00.800]   Yeah.
[01:14:00.800 --> 01:14:06.080]   (man speaking indistinctly)
[01:14:22.180 --> 01:14:24.140]   So the question is, is there a language expectation
[01:14:24.140 --> 01:14:24.980]   for this?
[01:14:24.980 --> 01:14:29.460]   I'm going to strongly encourage people to use Keras.
[01:14:29.460 --> 01:14:31.620]   And we'll talk more about this next week.
[01:14:31.620 --> 01:14:32.820]   I just kind of think it's like the best way
[01:14:32.820 --> 01:14:35.140]   to get things to actually work.
[01:14:35.140 --> 01:14:36.980]   If you have a problem where Keras doesn't make sense,
[01:14:36.980 --> 01:14:39.660]   then, you know, then let me know why.
[01:14:39.660 --> 01:14:42.100]   And there are like definitely other languages
[01:14:42.100 --> 01:14:44.100]   that could make sense for certain projects.
[01:14:44.100 --> 01:14:47.700]   Yeah, I'll take this as the last question
[01:14:47.700 --> 01:14:48.540]   and then we're gonna move on.
[01:14:48.540 --> 01:14:50.460]   (woman speaking indistinctly)
[01:14:50.460 --> 01:14:51.300]   Yeah.
[01:14:51.300 --> 01:14:55.140]   (woman speaking indistinctly)
[01:14:55.140 --> 01:15:01.020]   What are the problems where deep learning
[01:15:01.020 --> 01:15:03.500]   does worse than classical machine learning?
[01:15:03.500 --> 01:15:04.560]   A few things come to mind.
[01:15:04.560 --> 01:15:08.040]   One is just anywhere where you don't have a lot of data.
[01:15:08.040 --> 01:15:11.780]   So if you're in a domain that has limited data,
[01:15:11.780 --> 01:15:14.820]   classical machine learning tends to do better,
[01:15:14.820 --> 01:15:16.140]   tends to generalize better.
[01:15:16.140 --> 01:15:19.220]   Another thing that comes to mind is causal reasoning.
[01:15:19.220 --> 01:15:21.180]   So there's sort of like a whole literature
[01:15:21.180 --> 01:15:23.020]   around causal reasoning in classical ML
[01:15:23.020 --> 01:15:24.640]   that doesn't work all that well,
[01:15:24.640 --> 01:15:26.820]   but it works better than sort of the non-existent
[01:15:26.820 --> 01:15:28.720]   causal reasoning in deep learning.
[01:15:28.720 --> 01:15:35.220]   And then the only other thing that really comes to mind
[01:15:35.220 --> 01:15:38.280]   is sort of geometric understanding,
[01:15:38.280 --> 01:15:40.400]   like understanding of 3D structure.
[01:15:40.400 --> 01:15:42.620]   And this is actually really surprising to me.
[01:15:42.620 --> 01:15:43.620]   I don't think it should be true,
[01:15:43.620 --> 01:15:45.740]   but as far as I can tell,
[01:15:45.740 --> 01:15:47.740]   for things like 3D reconstruction,
[01:15:47.740 --> 01:15:49.700]   classical pipelines still tend to work better,
[01:15:49.700 --> 01:15:51.900]   maybe with a little bit of deep learning sprinkled in.
[01:15:51.900 --> 01:15:55.980]   Great.
[01:15:55.980 --> 01:15:58.420]   That's all for me.
[01:15:58.420 --> 01:16:01.560]   Next up, we have our guest speaker, Neil Kosa.
[01:16:01.560 --> 01:16:06.900]   Neil is, I would describe Neil as sort of
[01:16:06.900 --> 01:16:10.420]   the rare entrepreneur that is crazy enough
[01:16:10.420 --> 01:16:12.980]   not only to start a machine learning startup
[01:16:12.980 --> 01:16:14.620]   and not only to do it in healthcare,
[01:16:14.620 --> 01:16:17.500]   but actually to do two at the same time.
[01:16:17.500 --> 01:16:19.740]   And so Neil, I think, I've always been super impressed
[01:16:19.740 --> 01:16:22.500]   by Neil's insight about how to think about
[01:16:22.500 --> 01:16:24.420]   sort of like what machine learning problems
[01:16:24.420 --> 01:16:25.460]   or just what problems in general
[01:16:25.460 --> 01:16:28.340]   will be really impactful for people to be working on.
[01:16:28.340 --> 01:16:30.860]   So I'm really excited to have him here.
[01:16:30.860 --> 01:16:31.700]   Thanks, welcome.

