
[00:00:00.000 --> 00:00:06.460]   I'm Cal Newport, and this is In Depth, a semi-regular series in which I talk to
[01:47:15.460 --> 01:47:19.220]   Yeah. There are a lot of differences and you have to be very careful with this. You can't get cute and
[01:47:19.220 --> 01:47:25.060]   have full timers who are classified as contractors. You don't have to be doing. Yeah. You don't want to do
[01:47:25.060 --> 01:47:33.220]   a specific thing. It is clearly hourly. It's yeah, but I am, I am willing to, and I'll put this in quotation
[01:47:33.220 --> 01:47:40.500]   marks, overpay hourly for contractors. I am especially willing to overpay for
[01:47:40.500 --> 01:47:49.780]   for let's just say companies where you don't have any, uh, single point of failure. Let me give an
[01:47:49.780 --> 01:48:00.180]   example. So there's, um, I use an outsourced sort of fractional family office, which handles all of my,
[01:48:00.180 --> 01:48:04.900]   right? So there's, there's an annual various annual fees and so on, but they handle all of my bill pay.
[01:48:04.900 --> 01:48:13.540]   They handle all of my effectively bookkeeping. They handle, uh, they can give feedback on
[01:48:13.540 --> 01:48:19.460]   investments. Some considering I can just float tons of stuff to them that they have a first pass on.
[01:48:20.500 --> 01:48:25.140]   And what's nice about that, as opposed to having a single contractor,
[01:48:25.140 --> 01:48:29.780]   I, you know, before we started recording, I was like, let me put on some backup audio.
[01:48:29.780 --> 01:48:36.900]   Right. And I'm recording on QuickTime just in case. So I am excessively hyper vigilant
[01:48:36.900 --> 01:48:42.980]   and the military has this expression, or I mean the military, but you'll get the idea. Two is one and
[01:48:42.980 --> 01:48:46.340]   one is none. It's like, if you have, if you have two, you're going to lose one. If you have one,
[01:48:46.340 --> 01:48:53.060]   you're going to have none. So always have redundancy. And I've been in a position before where
[01:48:53.060 --> 01:48:59.460]   do you have a key function? Let's just say it's for the podcast could be sound editing,
[01:48:59.460 --> 01:49:03.860]   could be video editing, and you have a fast turnaround for whatever reason, and somebody gets sick.
[01:49:03.860 --> 01:49:11.380]   If you don't have a backup, you're in a scramble and in a bad situation. So particularly with something
[01:49:11.380 --> 01:49:16.260]   that is mission critical, like bill pay, if somebody gets sick, I want to know that my
[01:49:16.260 --> 01:49:21.940]   profile my information is within a system and a company such that there's a backup person.
[01:49:21.940 --> 01:49:23.140]   Yeah, someone can pick it up and do it.
[01:49:23.140 --> 01:49:28.020]   Who can swap in and handle it. So I'm particularly willing to overpay for that.
[01:49:28.020 --> 01:49:38.340]   And I think part of that is that I've seen the employee tail wag the dog in some cases, to borrow
[01:49:38.340 --> 01:49:46.420]   from the tax expression, where people hire, hire and hire, maybe it's during like a 2020 boom cycle,
[01:49:46.420 --> 01:49:54.820]   because there's a company that benefited from that, or who knows, they start adding folks. But then they
[01:49:54.820 --> 01:50:00.340]   run into the discomfort and possible complications of firing. So they don't want to fire. So they start
[01:50:00.340 --> 01:50:06.580]   inventing lots of things to keep people busy so they can, in their mind, justify the salaries they're
[01:50:06.580 --> 01:50:15.620]   paying. Yep. And I try to avoid putting myself in a position where even subconsciously I can be
[01:50:15.620 --> 01:50:17.940]   influenced by those types of incentives. Yep.
[01:50:17.940 --> 01:50:24.660]   So on the payroll you're going to invent work and then suddenly you have, you know, you're doing live
[01:50:24.660 --> 01:50:27.620]   shows and you've got, you're selling t-shirts and.
[01:50:27.620 --> 01:50:35.060]   Exactly. Exactly. So to try to avoid that, I really apply constraints, right? The beauty of constraints,
[01:50:35.060 --> 01:50:40.980]   whether you're writing a book, creating a game or building a company, guess what? Like Derek Sivert
[01:50:40.980 --> 01:50:45.620]   speaks on this really well with respect to CDBA, but it's like, this is your chance to try to create
[01:50:45.620 --> 01:50:51.540]   your version of a utopia. It sounds maybe ridiculous, but it is, right? Like there's, you have to do
[01:50:51.540 --> 01:50:56.740]   certain things, checks and balances and dot your I's across your T's from a legal perspective, from a health
[01:50:56.740 --> 01:51:01.620]   insurance perspective, et cetera. But there's a lot of room to do things in an interesting way. I think,
[01:51:01.620 --> 01:51:07.860]   you know, Jason Freed and DHH at 37 Signals do a great job with this. Maybe they renamed it Basecamp.
[01:51:07.860 --> 01:51:14.900]   Yeah. So they, they have some incredibly innovative ways of approaching things. Then you see like a
[01:51:14.900 --> 01:51:20.980]   Coinbase and like what they did and public pronouncements and kind of excluding discussions
[01:51:20.980 --> 01:51:27.860]   of politics from the workplace. Like you can do a lot within your company. So for me, just like my house,
[01:51:27.860 --> 01:51:33.220]   just like hopefully my books or podcasts, it's like my company is a reflection of my personality
[01:51:34.340 --> 01:51:38.580]   with its strengths and almost certainly with its, you know, with the, with its weaknesses,
[01:51:38.580 --> 01:51:44.500]   I try to cover for them. Uh, I, I think I try to make it perhaps too aggressively like a bonsai tree.
[01:51:44.500 --> 01:51:52.580]   Maybe I would benefit from having an extra person or two. Uh, but I have recognized my, my hyper aversion
[01:51:52.580 --> 01:51:58.580]   to waste means that I will also try to invent things for people to do if I feel like they have too much idle
[01:51:58.580 --> 01:52:03.540]   That's interesting. Yeah. Yeah. Yeah. Yeah. So contractors won't make you do that. Yeah. Three employees. Okay.
[01:52:03.540 --> 01:52:08.420]   Yeah. And that determines what, um, what I can do or not do. Yeah. But, but also
[01:52:08.420 --> 01:52:16.340]   that leads me to more productive solutions. Like if I had 10 people who, uh,
[01:52:16.340 --> 01:52:20.980]   let's just say a number of them were kind of off cycle and had a lot of time,
[01:52:20.980 --> 01:52:24.740]   I might have tried to do a game internally. That would have been, I don't want to say a disaster,
[01:52:24.740 --> 01:52:29.060]   but it would, I would have wasted so much time. Everybody would have been learning from square one.
[01:52:29.060 --> 01:52:32.660]   And instead, because I've applied the constraint of keeping the company small,
[01:52:32.660 --> 01:52:37.220]   it was like, no, let's go collaborate. Let somebody else who does this every day,
[01:52:37.220 --> 01:52:40.980]   who's a plus at it, do that stuff. Yeah. Otherwise you would not that this,
[01:52:40.980 --> 01:52:44.340]   he loves this, but it wouldn't be good for you. And I, you'll end up with like Brandon Sanderson's
[01:52:44.900 --> 01:52:50.980]   warehouse. And Brandon Sanderson loves having that business. I find it insane. I've talked to,
[01:52:50.980 --> 01:52:54.740]   I don't know him, but I know some of his people, but it's, he loves it. And I'm like, oh my God,
[01:52:54.740 --> 01:53:01.860]   it's my nightmare. Yeah. He loves it. Like that's, that's part of his art. Yeah. And I recognize that
[01:53:01.860 --> 01:53:08.980]   I, uh, he also has in his wife and other people, folks to run a lot of the logistics and other aspects.
[01:53:08.980 --> 01:53:14.740]   Yeah. One thing I recognize about myself also is I have a tendency to metal. This comes
[01:53:14.740 --> 01:53:19.940]   back to being an average manager. Yeah. You're not gonna be happy with that. I get my hands,
[01:53:19.940 --> 01:53:26.020]   I get my hands dirty often when I probably should just leave everything alone. I'm like maybe an
[01:53:26.020 --> 01:53:30.980]   executive chef who's like running from station to station, like, ah, come on, come on. I'll let me
[01:53:30.980 --> 01:53:34.180]   cut those terms. That's the right place to put the sauce. Come on. Yeah. It's just like, you know,
[01:53:34.180 --> 01:53:41.780]   I got to recognize that this, uh, this OCD thing is, is sometimes very helpful, but also leads me to make
[01:53:41.780 --> 01:53:49.700]   some pretty dumb decisions. So I try to, uh, Charlie Munger would often say, and Warren Buffett too,
[01:53:49.700 --> 01:53:54.660]   right? It's not about being super smart. It's just trying not to be stupid, not to be dumb.
[01:53:54.660 --> 01:53:59.940]   Yeah. Yeah. I hear you. Well, Tim, maybe that's a great place. That's a great piece of advice to,
[01:53:59.940 --> 01:54:05.060]   to leave it on. Don't worry about being smart. Just try not to be stupid too often. Yeah. I always
[01:54:05.060 --> 01:54:09.300]   appreciate you take, I always appreciate our conversations. I feel like we do them both places.
[01:54:09.300 --> 01:54:15.700]   It's, it's, uh, it's always, it's always a pleasure and I'm, uh, enjoyed it and coyote coyote. Yeah,
[01:54:15.700 --> 01:54:21.940]   it's everywhere folks. Amazon target, Walmart, wherever. So hope you hope you try it. It's, uh,
[01:54:21.940 --> 01:54:28.180]   it's, it works. People laugh. It's, uh, it's a, it's a dumb game for smart people.
[01:54:29.860 --> 01:54:33.780]   So check it out. And, uh, always nice to spend time together, Cal. All right. Thank you, Tim.
[01:54:33.780 --> 01:54:38.660]   Thanks man. All right. So there you go. That was my conversation with Tim Ferris. We started talking
[01:54:38.660 --> 01:54:43.780]   about his game. I actually have it right here. Here's coyote. And we went from how do you build a
[01:54:43.780 --> 01:54:49.860]   game that is really good to playing the game of life in a way that's going to give you real meaning and
[01:54:49.860 --> 01:54:54.820]   depth. I have, have you tried this yet, Jesse? I did. You brought it to the beach. Yeah. You took one
[01:54:54.820 --> 01:54:59.140]   of the copies. Yeah. Fun, right? Yeah. It's fun. I like it. It was really cool to hear from Tim.
[01:54:59.140 --> 01:55:04.420]   How hard it is to get one of these games perfectly calibrated. That was the cool part where you have
[01:55:04.420 --> 01:55:09.380]   like the, the prototyping and it's just you tweaking this. What if we change this card to this card to
[01:55:09.380 --> 01:55:12.500]   that card? It's one of those things you think it's like, oh, I could invent the card game. You realize
[01:55:12.500 --> 01:55:17.540]   like, oh my God, it's so hard to make one. That's fun. Um, this is a good one. Tim is always fantastic to
[01:55:17.540 --> 01:55:23.220]   talk to. He's a team thinker. He sits and he thinks, and he cares about living deeply in a shallow world.
[01:55:23.220 --> 01:55:27.780]   To me, that is what the four hour work week is about before our work week, as much as any book
[01:55:27.780 --> 01:55:33.380]   probably helped set those seeds in my thinking about crafting a life that matters and it's enjoyable
[01:55:33.380 --> 01:55:38.580]   and that you enjoy as opposed to just pursuing a particular goal or a single grand accomplishment
[01:55:38.580 --> 01:55:42.500]   that you think is going to solve everything. So I always enjoy going on Tim show and it's been a
[01:55:42.500 --> 01:55:47.700]   pleasure to have him on mine. So thank you, Tim. Check out his podcast, the Tim Ferriss show,
[01:55:47.700 --> 01:55:51.220]   which I'm sure you already know by coyote. This is everywhere, isn't it?
[01:55:51.220 --> 01:55:54.900]   Yeah. You can get an all store show. That guy's got it dialed in. This is not some,
[01:55:54.900 --> 01:56:02.020]   you know, Patreon product or whatever. Like it's a Walmart. Yeah. Good for him. All right. Thanks,
[01:56:02.020 --> 01:56:05.540]   Tim. Thanks for listening. We'll be back next week on Monday with a normal episode of the show.
[01:56:05.540 --> 01:56:08.900]   Uh, but until then, as always stay deep. Hey, if you liked this video,
[01:56:08.900 --> 01:56:12.100]   I think you'll really like this one as well. Check it out.

