
[00:00:00.000 --> 00:00:05.240]   I write the script in December, January, Josh Arnett, Marlee Shelton, come down, fly Frank in,
[00:22:08.220 --> 00:22:13.280]   spends way too much. And when you can make stuff for less, your profit margin is much better.
[00:22:13.820 --> 00:22:18.400]   So when I first started, I didn't have any money. So I still play like I don't have money.
[00:22:18.400 --> 00:22:22.280]   So I had super eight, my dad had a super eight camera, but I couldn't afford it.
[00:22:22.780 --> 00:22:29.940]   I shot two rolls that you had to get to, you had to buy the film, shoot two minutes. I shot two
[00:22:29.940 --> 00:22:34.480]   rolls of that. It's another same amount of money that it costs to buy it, whatever that was, 12 bucks
[00:22:34.480 --> 00:22:40.600]   or whatever to develop it. You get it. There's no sound. Most of the shit's out of focus, you know,
[00:22:40.600 --> 00:22:46.700]   but then my dad who sold cookware had a VCR, one of the first VCRs, home VCRs for the market that he
[00:22:46.700 --> 00:22:52.020]   would play his sales tapes to his salesman. And it came with a camera attached like this
[00:22:52.020 --> 00:22:57.220]   cable you got coming out. Imagine if that had to go into your VCR for you to even see what it's
[00:22:57.220 --> 00:23:03.600]   shooting. And this is old camera, manual focus, manual iris and 12 foot cable. And I would start
[00:23:03.600 --> 00:23:09.200]   making movies with that instead. Now I have for $8, I have a two hour erasable tape of sound and
[00:23:09.200 --> 00:23:15.800]   picture. So I got into digital basically really early. I was doing, which was really frowned upon back
[00:23:15.800 --> 00:23:21.380]   then and continued to be all the way to when I was using it for real in the early 2000s before
[00:23:21.380 --> 00:23:24.420]   everyone realized, oh, that's the future. Yeah. That's fascinating. Cause you were
[00:23:24.420 --> 00:23:30.120]   rebel in that way too, using digital. Yeah. Well, cause of the means and the democratizing of that,
[00:23:30.120 --> 00:23:35.900]   the elite didn't like that. You could just go make a movie like that, but I started practicing
[00:23:35.900 --> 00:23:41.480]   and it's much easier to practice when it doesn't cost any money. Like if you want to be a rock star,
[00:23:41.480 --> 00:23:44.880]   right? If you want to learn how to play guitar really well, you're not going to just jump on stage and
[00:23:44.900 --> 00:23:48.360]   suddenly go to play. You have to practice to your fingers bleed. Well, the same with movies,
[00:23:48.360 --> 00:23:51.800]   you got to keep telling stories and cutting them together. And you just can't afford that on film.
[00:23:51.800 --> 00:23:57.160]   Nobody can with two minute roll costing as much as a two hour tape. So I was moving all these,
[00:23:57.160 --> 00:24:02.200]   doing all these movies. First, I would cut in camera and that VCR, that old VCR had a really great
[00:24:02.200 --> 00:24:06.960]   pause button that they stopped making that when you hit pause, it stopped right there. And it stopped
[00:24:06.960 --> 00:24:12.680]   with a clean cut. It didn't have all this color bars like the later ones had. So I, that was my,
[00:24:12.680 --> 00:24:17.380]   and it had an audio dub feature where you could add another second soundtrack to it.
[00:24:17.380 --> 00:24:23.220]   So if I have people talking, I could hit audio dub and add sound effects. So I could have two tracks on
[00:24:23.220 --> 00:24:29.640]   the same one. So I, that was my filmmaking kit for a while until I needed to start doing real editing.
[00:24:30.140 --> 00:24:36.560]   And my dad bought a second VCR for his business. Cause I stole his other one and I found that if I hooked
[00:24:36.560 --> 00:24:43.360]   them together, I could play on one and use that pause button on the second. And this was the limitation.
[00:24:43.360 --> 00:24:49.120]   This would taught me how to edit in my head is that if I shot a bunch of footage, I needed to shoot very
[00:24:49.120 --> 00:24:53.540]   little footage so I could find it. Cause sometimes you shoot out of order. So when I cut it, I have to cut
[00:24:53.540 --> 00:24:58.520]   in linear order because if you push pause, it's a nice clean cut, but only, it only holds for five
[00:24:58.520 --> 00:25:03.120]   minutes. You have five minutes before the machine shuts off. So you got to find your next shot within
[00:25:03.120 --> 00:25:08.300]   five minutes and do that. Otherwise, if you have to start the machine over, it added all these color
[00:25:08.300 --> 00:25:14.360]   bars and it would be all screwed up. So I'd have to sit there and not move for like all day while I cut
[00:25:14.360 --> 00:25:21.760]   knowing what the next shot was. And once I had it cut, I would then add some sound effects to it.
[00:25:21.760 --> 00:25:26.340]   Remember, cause I have the audio dub function, but now if I want to add music, I take that tape,
[00:25:26.340 --> 00:25:32.820]   which has two tracks now into the first deck and put it into the VCR again, one generation of loss,
[00:25:32.820 --> 00:25:38.840]   but I have a little cassette tape player with the music and I do a Y splitter so I can add the music
[00:25:38.840 --> 00:25:45.420]   yeah. Right. Just like that. That's like being resourceful with what you have. And I made a
[00:25:45.420 --> 00:25:49.820]   award winning short films that way on video. There were some festivals that would allow video, not
[00:25:49.820 --> 00:25:56.840]   many, but they would always win. And there were always funny as, uh, I stumbled upon spy kids that
[00:25:56.840 --> 00:26:01.420]   way. Like I wanted to make these action movies in my backyard, but when you're a teenager, you don't
[00:26:01.420 --> 00:26:05.600]   know anybody who can come be your action star. And if you just bring your high school buddies, well,
[00:26:05.600 --> 00:26:10.800]   they just look like high school kids. So I use my little brothers and sisters cause I'm one of 10
[00:26:10.800 --> 00:26:15.640]   third oldest. They're just sitting around watching cartoons anyway. And I made them the action stars
[00:26:15.640 --> 00:26:20.800]   just to like learn. And I found those things would be a winning formula. They'd win every festival I'd
[00:26:20.800 --> 00:26:27.800]   send them to. So bedhead was my first time using a film camera. It was a windup film camera. I got in
[00:26:27.800 --> 00:26:32.680]   film school. I went to film school for one semester and realized I already knew more than the film
[00:26:32.680 --> 00:26:36.620]   students. Cause they, they taught you a whole other outdated way of doing it. So I thought,
[00:26:36.620 --> 00:26:42.480]   I'm just going to use that film camera camera to make a, a low budget movie, a definitive film
[00:26:42.480 --> 00:26:47.500]   version that I can send to all film festivals of these action kids, which is a precursor to spy kids.
[00:26:47.500 --> 00:26:52.060]   Bedhead is a precursor to spy kids. And we should say that bedhead was an award winning short film.
[00:26:52.060 --> 00:26:57.880]   That was probably a big sort of leap for you that probably opened the door to you to then make all
[00:26:57.880 --> 00:27:03.860]   your, your, your brain, especially because those video festivals, I would win like a trip to New
[00:27:03.860 --> 00:27:08.340]   York and a director's chair with a video shorts that I would put in festivals, but I knew the film
[00:27:08.340 --> 00:27:12.960]   festival, if I could get into film festivals, I could send that all over the world. So I made that little
[00:27:12.960 --> 00:27:17.820]   short film, sent it and it was winning all the festivals. And I thought, wow, I made that with a
[00:27:17.820 --> 00:27:28.960]   wind up camera, film camera filming, just one take each shot, just no slates. Cause I'm the editor and
[00:27:28.960 --> 00:27:38.000]   that cost 800 bucks. And it was eight minutes. I bet I can make an 80 minute movie for $8,000 if I'd
[00:27:38.000 --> 00:27:43.560]   use the same method. So that movie I did six months later, I was making mariachi because it opened up my
[00:27:43.560 --> 00:27:47.380]   mind to that. I could try it in a feature. Can we actually pause on that? Because I think
[00:27:47.380 --> 00:27:52.960]   a bad head has a really great, really unique story shot in a really unique way. I think what I'm trying
[00:27:52.960 --> 00:28:00.040]   to say is like, it's very important to write, write the right script, write the right story.
[00:28:00.040 --> 00:28:05.360]   So let me tell you the trick to that. And mariachi is the same way. And this really helped people.
[00:28:05.360 --> 00:28:11.560]   Like even Kevin Smith from clerk said, wow, Robert said when mariachi was success, I talked about how I
[00:28:11.560 --> 00:28:16.960]   did it. And I said, I, I, I looked at everything I had. What do I have? We have a pit bull. We have a
[00:28:16.960 --> 00:28:23.000]   turtle. We've got a bus that Carlos's cousin owns. His cousin is a brother has a brother-in-law has a
[00:28:23.000 --> 00:28:28.540]   bar and he owns a ranch. So the bad guy lives at the ranch. The fight scene is going to be in the bar.
[00:28:28.540 --> 00:28:33.120]   He's going to hit a bus at one point. He's going to, the girl's going to have a dog and a turtle is
[00:28:33.120 --> 00:28:38.360]   going to cross the road. It gives you all this production value. So you write backwards. So for bedhead,
[00:28:38.360 --> 00:28:41.740]   I even did that with a camera. So I've been shooting video all this time. And one thing I
[00:28:41.740 --> 00:28:46.880]   wished I could do on video, I never could with slow motion or stop motion even. So when I got that
[00:28:46.880 --> 00:28:52.140]   crappy world war two camera, they gave us in film school, I mean, I was so pissed. Like this is the
[00:28:52.140 --> 00:28:55.700]   camera I've been trying to get my hands. I could have bought this for 50 bucks at a bond shop, old
[00:28:55.700 --> 00:29:01.240]   Bill and how wind up. You couldn't even see through the lens. You were seeing through an approximation of the
[00:29:01.240 --> 00:29:07.900]   lens, but you could shoot slow motion. I could do reverse photography. If I filmed upside down,
